cnpj,erro,razao_social,nome_fantasia,situacao_cadastral,descricao_situacao_cadastral,data_situacao_cadastral,data_inicio_atividade,telefone_1,telefone_2,fax,email,logradouro,numero,complemento,bairro,municipio,uf,cep,codigo_municipio_ibge,cnae_fiscal,cnae_fiscal_descricao,natureza_juridica,porte,capital_social,cnaes_secundarios_resumo,telefone_maps,maps_url,whatsapp_maps,query_usada
37731374000197,,SINTROPIA COSMETICA REGENERATIVA LTDA,SINTROPIA COSMETICOS NATURAIS,2,ATIVA,2020-07-15,2020-07-15,9888781818,,,,PROFESSOR PINHO RODRIGUES,7,,RENASCENCA,SAO LUIS,MA,65075740,2111300,4772500,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",Sociedade Empresária Limitada,MICRO EMPRESA,70000,4646001:Comércio atacadista de cosméticos e produtos de perfumaria | 8599604:Treinamento em desenvolvimento profissional e gerencial,,,,
37457800000146,,AFETO NATURAL COMERCIO DE COSMETICOS LTDA,,2,ATIVA,2020-06-18,2020-06-18,1298102097,,,,CAPITAO LAURO HORTA BARBOSA,100,,ITAIM,TAUBATE,SP,12081308,3554102,4772500,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",Sociedade Empresária Limitada,MICRO EMPRESA,100000,4646001:Comércio atacadista de cosméticos e produtos de perfumaria | 4646002:Comércio atacadista de produtos de higiene pessoal | 4789005:Comércio varejista de produtos saneantes domissanitários,,,,
02501783000101,"http_400: {""message"":""CNPJ 02.501.783/0001-01 inválido."",""type"":""bad_request"",""name"":""BadRequestError""}",,,,,,,,,,,,,,,,,,,,,,,,,+55 19 3859-2627,https://www.google.com/maps/place/Agilise+Cosm%C3%A9ticos/data=!4m7!3m6!1s0x94c8cd0b448bcf69:0x4c1af1f657282c64!8m2!3d-22.9903426!4d-47.0010239!16s%2Fg%2F11g_rk9f9!19sChIJac-LRAvNyJQRZCwoV_bxGkw?authuser=0&hl=pt-BR&rclk=1,https://wa.me/551938592627,AGILSE COSMETICOS INDUSTRIA E COMERCIO LTDA Brasil
41331701000190,,AROMA FENIX COMERCIO DE PRODUTOS NATURAIS LTDA,FENIX COMERCIO DE PRODUTOS NATURAIS,2,ATIVA,2021-03-24,2021-03-24,1192523592,,,,ACACIO FERREIRA,334,,JARDIM TRES MARIAS,TABOAO DA SERRA,SP,06790000,3552809,4649499,Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente,Sociedade Empresária Limitada,MICRO EMPRESA,120000,"4729699:Comércio varejista de produtos alimentícios em geral ou espe | 4772500:Comércio varejista de cosméticos, produtos de perfumaria e d | 8292000:Envasamento e empacotamento sob contrato",,,,
07424209000121,,BIONAT INDUSTRIA E COMERCIO DE COSMETICOS LTDA,BIONAT COSMETICOS,2,ATIVA,2022-02-08,2005-05-18,1146114055,,,,ADOLFO SEVERINO CANDIDO,46,,PARQUE SANTA TERESA,CARAPICUIBA,SP,06340690,3510609,2063100,"Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal",Sociedade Empresária Limitada,MICRO EMPRESA,70000,"4772500:Comércio varejista de cosméticos, produtos de perfumaria e d",,,,
24783852000114,"http_400: {""message"":""CNPJ 24.783.852/0001-14 inválido."",""type"":""bad_request"",""name"":""BadRequestError""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,BLACK OUT COSMETICOS E SERVICOS LTDA Brasil | ALT:BLACK OUT COSMETICOS E SERVICOS LTDA telefone
14498125000142,"http_400: {""message"":""CNPJ 14.498.125/0001-42 inválido."",""type"":""bad_request"",""name"":""BadRequestError""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,CEUCI RITUAIS DE CUIDADO LTDA Brasil | ALT:CEUCI RITUAIS DE CUIDADO LTDA telefone
24173063000108,,COCCUS INDUSTRIA E COMERCIO LTDA,COCCUS,2,ATIVA,2016-02-16,2016-02-16,2735351327,2735351227,,,CHAMPAGNAT,520,ANDAR 2,PRAIA DA COSTA,VILA VELHA,ES,29101410,3205200,4781400,Comércio varejista de artigos do vestuário e acessórios,Sociedade Empresária Limitada,MICRO EMPRESA,160000,"1359600:Fabricação de outros produtos têxteis não especificados ante | 1412601:Confecção de peças de vestuário, exceto roupas íntimas e as  | 1412602:Confecção, sob medida, de peças do vestuário, exceto roupas  | 1412603:Facção de peças do vestuário, exceto roupas íntimas | 4642701:Comércio atacadista de artigos do vestuário e acessórios, ex | 8211300:Serviços combinados de escritório e apoio administrativo | 8599604:Treinamento em desenvolvimento profissional e gerencial",,,,
45631199000194,,CONFECCOES SCUDELER LTDA,CAMU-CAMU,2,ATIVA,2005-11-03,1981-03-19,1532884100,,,,VEREADOR ANTONIO MODENA,652,,RECANTO DAS ROSAS I,CERQUILHO,SP,18523268,3511508,1412601,"Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida",Sociedade Empresária Limitada,EMPRESA DE PEQUENO PORTE,75500,"1412603:Facção de peças do vestuário, exceto roupas íntimas",,,,
14157209000100,"http_400: {""message"":""CNPJ 14.157.209/0001-00 inválido."",""type"":""bad_request"",""name"":""BadRequestError""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,CORDEIRO CABOS ELETRICOS S.A. Brasil | ALT:CORDEIRO CABOS ELETRICOS S.A. telefone
52920751000120,,ELEMENTAL AMAZONIA PRODUTOS NATURAIS LTDA,ELEMENTAL AMAZONIA,2,ATIVA,2023-11-17,2023-11-17,9493052489,,,,O,S/N,LOJA 01 E 06 CENTRO COMERCIAL,VILA PERMANENTE,TUCURUI,PA,68464000,1508100,2063100,"Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal",Sociedade Empresária Limitada,EMPRESA DE PEQUENO PORTE,90000,"1099607:Fabricação de alimentos dietéticos e complementos alimentare | 4637199:Comércio atacadista especializado em outros produtos aliment | 4646001:Comércio atacadista de cosméticos e produtos de perfumaria | 4729699:Comércio varejista de produtos alimentícios em geral ou espe | 4772500:Comércio varejista de cosméticos, produtos de perfumaria e d",,,,
38468661000119,,ESPIRITO DO CHA COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,ESPIRITO DO CHA,2,ATIVA,2020-09-15,2020-09-15,2171233597,,,,ASSIS BUENO,00040,APT 401,BOTAFOGO,RIO DE JANEIRO,RJ,22280080,3304557,4729699,Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente,Sociedade Empresária Limitada,MICRO EMPRESA,10000,"4637199:Comércio atacadista especializado em outros produtos aliment | 4759899:Comércio varejista de outros artigos de uso pessoal e domést | 6110803:Serviços de comunicação multimídia - SCM | 7319003:Marketing direto | 7410299:atividades de design não especificadas anteriormente | 8230001:Serviços de organização de feiras, congressos, exposições e ",,,,
56919695000164,,56.919.695 RAFAEL JESUS DE OLIVEIRA,,2,ATIVA,2024-08-19,2024-08-19,,,,,,,,SETOR HABITACIONAL VICENTE PIRES,BRASILIA,DF,72005630,5300108,4772500,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",Empresário (Individual),MICRO EMPRESA,10000,4742300:Comércio varejista de material elétrico | 4541206:Comércio a varejo de peças e acessórios novos para motocicle | 4781400:Comércio varejista de artigos do vestuário e acessórios | 4759899:Comércio varejista de outros artigos de uso pessoal e domést | 4530703:Comércio a varejo de peças e acessórios novos para veículos  | 4763601:Comércio varejista de brinquedos e artigos recreativos | 4753900:Comércio varejista especializado de eletrodomésticos e equip | 4744001:Comércio varejista de ferragens e ferramentas | 4744099:Comércio varejista de materiais de construção em geral,,,,56.919.695 RAFAEL JESUS DE OLIVEIRA BRASILIA DF | ALT:FROSEIM PROFESSIONAL BRASILIA DF
09479867000146,,GENEVY INDUSTRIA E COMERCIO DE CHOCOLATES LTDA,TUDO ZERO LEITE,2,ATIVA,2008-03-04,2008-03-04,1171529674,,1123844346,,PEDRO BUENO,935,,JABAQUARA,SAO PAULO,SP,04342010,3550308,1093701,Fabricação de produtos derivados do cacau e de chocolates,Sociedade Empresária Limitada,MICRO EMPRESA,100000,"1099699:Fabricação de outros produtos alimentícios não especificados | 4649499:Comércio atacadista de outros equipamentos e artigos de uso  | 4637107:Comércio atacadista de chocolates, confeitos, balas, bombons | 4637104:Comércio atacadista de pães, bolos, biscoitos e similares",,,,
30770184000130,,INDUSTRIAS GRANFINO S/A,,2,ATIVA,2005-11-03,1966-09-23,2127659400,2127659400,2127659400,,OSCAR SOARES,1.525,,CALIFORNIA,NOVA IGUACU,RJ,26220098,3303500,1069400,Moagem e fabricação de produtos de origem vegetal não especificados anteriormente,Sociedade Anônima Fechada,DEMAIS,18000000,"1066000:Fabricação de alimentos para animais | 4691500:Comércio atacadista de mercadorias em geral, com predominânc",,,,
10777548000104,,INFA INSTITUTO FARMACEUTICO PERFECT LTDA,,2,ATIVA,2005-11-03,1966-08-17,8135422001,,8132311750,,INGO HERING RODOVIA PE 18,1244,GALPAO02,DISTRITO INDUSTRIAL,ABREU E LIMA,PE,53520730,2600054,2063100,"Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal",Sociedade Empresária Limitada,EMPRESA DE PEQUENO PORTE,1000,2110600:Fabricação de produtos farmoquímicos | 4646001:Comércio atacadista de cosméticos e produtos de perfumaria,,,,
49790926000117,,IRMAOS CARNEIRO LTDA,CAFE CARNEIRO,2,ATIVA,2004-11-26,1966-08-25,,,,,JOAO RIOS CARNEIRO,30,,JARDIM MARINGA,ITAPEVA,SP,18407030,3522406,1081302,Torrefação e moagem de café,Sociedade Empresária Limitada,EMPRESA DE PEQUENO PORTE,25000,"3314710:Manutenção e reparação de máquinas e equipamentos para uso g | 4691500:Comércio atacadista de mercadorias em geral, com predominânc | 4711302:Comércio varejista de mercadorias em geral, com predominânci | 4789099:Comércio varejista de outros produtos não especificados ante | 7739099:Aluguel de outras máquinas e equipamentos comerciais e indus",,,,IRMAOS CARNEIRO LTDA ITAPEVA SP
