place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
db869f66a37916a9,I9 Brasil Construtora,"Av. Durval Messias Queiroga, 254 - Urbanova, São José dos Campos - SP, 12244-142, Brasil",-23.1800673,-45.9508624,+55 12 3302-1336,Mostrar horário de funcionamento da semana,i9brasilconstrutora.com.br,"5,0",50,Construtora,Aberto · Fecha 17:00,https://www.google.com/maps/place/I9+Brasil+Construtora/data=!4m7!3m6!1s0x94cc4a9c7eec9d8d:0x550b235ce38982cb!8m2!3d-23.1800673!4d-45.9508624!16s%2Fg%2F11g5_4w8v6!19sChIJjZ3sfpxKzJQRy4KJ41wjC1U?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|construtora São José dos Campos - SP|construtora e incorporadora São José dos Campos - SP|incorporadora imobiliária São José dos Campos - SP
30a1bf09f34e6990,Amais Construtora,"Av. Maria de Lourdes Friggi, 371 - Urbanova, São José dos Campos - SP, 12244-889, Brasil",-23.199707,-45.9588734,,Mostrar horário de funcionamento da semana,,"5,0",50,Construtor Imobiliário,Aberto · Fecha 17:30,https://www.google.com/maps/place/Amais+Construtora/data=!4m7!3m6!1s0x94cc3574ac834931:0x6d2acf56b337d60!8m2!3d-23.199707!4d-45.9588734!16s%2Fg%2F11rvlrqwhv!19sChIJMUmDrHQ1zJQRYH0za_Ws0gY?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|construtora São José dos Campos - SP
9ee936d6ec493dfd,Conepura Construtora e Incorporadora,"Av. João Paulo ||, 68 - Urbanova, São José dos Campos - SP, 12244-597, Brasil",-23.2034931,-45.9498314,+55 12 3949-2526,,,"4,4",44,Construtora,,https://www.google.com/maps/place/Conepura+Construtora+e+Incorporadora/data=!4m7!3m6!1s0x94cc342fbae97853:0x79068879e62a8609!8m2!3d-23.2034931!4d-45.9498314!16s%2Fg%2F1q5glvb_8!19sChIJU3jpui80zJQRCYYq5nmIBnk?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|construtora São José dos Campos - SP|construtora e incorporadora São José dos Campos - SP
3fb21d734ce3a36d,GVC CONSTRUÇÕES,"Av. Ironman Victor Garrido, N 460 - Urbanova, São José dos Campos - SP, 12244-392, Brasil",-23.2003539,-45.9471038,+55 12 98701-9190,Mostrar horário de funcionamento da semana,gvcconstrucoes.com.br,"4,8",48,Construtora,Aberto · Fecha 17:00,https://www.google.com/maps/place/GVC+CONSTRU%C3%87%C3%95ES/data=!4m7!3m6!1s0x94cc358aacf9e049:0x805626401317a3ed!8m2!3d-23.2003539!4d-45.9471038!16s%2Fg%2F11fmxj40dp!19sChIJSeD5rIo1zJQR7aMXE0AmVoA?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|construtora e incorporadora São José dos Campos - SP|incorporadora imobiliária São José dos Campos - SP
a6f15a125f12bf9e,"Casa do Construtor São José dos Campos (Urbanova V) - Aluguel de Equipamentos, Máquinas e Ferramentas","Av. Antônio Widmer, Sala 04, Nº 841 - Urbanova V, São José dos Campos - SP, 12244-873, Brasil",-23.2023774,-45.9530837,+55 12 3949-2998,Mostrar horário de funcionamento da semana,casadoconstrutor.com.br,"4,9",49,Serviço de locação de equipamentos para construção civil,Aberto · Fecha 17:30,"https://www.google.com/maps/place/Casa+do+Construtor+S%C3%A3o+Jos%C3%A9+dos+Campos+%28Urbanova+V%29+-+Aluguel+de+Equipamentos,+M%C3%A1quinas+e+Ferramentas/data=!4m7!3m6!1s0x94cc3517ee045789:0x2d85c32f1aefae41!8m2!3d-23.2023774!4d-45.9530837!16s%2Fg%2F11vyhg40lm!19sChIJiVcE7hc1zJQRQa7vGi_DhS0?authuser=0&hl=pt-BR&rclk=1",scraper_gmaps|construção civil São José dos Campos - SP|locação de equipamentos para construção São José dos Campos - SP|locação de máquinas São José dos Campos - SP
4a70a8ff1cf2d006,URBALOC,"Av. João Paulo ||, 165 - Urbanova, São José dos Campos - SP, 12244-597, Brasil",-23.203164,-45.950871,+55 12 99766-2911,Mostrar horário de funcionamento da semana,urbaloc.com.br,"4,9",49,Serviço de aluguel de andaimes,Aberto · Fecha 17:30,https://www.google.com/maps/place/URBALOC/data=!4m7!3m6!1s0x94cc35d1f3d8d0ad:0x61d261e80df2c95c!8m2!3d-23.203164!4d-45.950871!16s%2Fg%2F1q65zjdn7!19sChIJrdDY89E1zJQRXMnyDehh0mE?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|construção civil São José dos Campos - SP|locação de equipamentos para construção São José dos Campos - SP|andaime São José dos Campos - SP|locação de máquinas São José dos Campos - SP
754b6afdbcf63f5a,"Faculdade de Engenharias, Arquitetura e Urbanismo (FEAU)","FEAU (Campus - Av. Shishima Hifumi, 2911 - bloco 10 - Urbanova, São José dos Campos - SP, 12244-000, Brasil",-23.2117197,-45.9635388,+55 12 3947-1006,Mostrar horário de funcionamento da semana,univap.br,"4,8",48,Universidade,Fechado · Abre às 13:30,"https://www.google.com/maps/place/Faculdade+de+Engenharias,+Arquitetura+e+Urbanismo+%28FEAU%29/data=!4m7!3m6!1s0x94cc34170bbedc0b:0xeca3d28b22ee1757!8m2!3d-23.2117197!4d-45.9635388!16s%2Fg%2F11cmr0h_yt!19sChIJC9y-Cxc0zJQRVxfuIovSo-w?authuser=0&hl=pt-BR&rclk=1",scraper_gmaps|engenharia civil São José dos Campos - SP
b0d7f16e489092d7,Decon Terraplanagem,"Av. Shishima Hifumi, 1588 - Urbanova, São José dos Campos - SP, 12244-140, Brasil",-23.1956255,-45.9323614,+55 12 99786-4240,,,"5,0",50,Empresa de Terraplenagem,,https://www.google.com/maps/place/Decon+Terraplanagem/data=!4m7!3m6!1s0x94cc35da0b1d8079:0x1bcec048e083bc37!8m2!3d-23.1956255!4d-45.9323614!16s%2Fg%2F11fsmvh171!19sChIJeYAdC9o1zJQRN7yD4EjAzhs?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|empresa de terraplenagem São José dos Campos - SP
7f73d6de9410e501,Grupo Crossterra/TerraVap Terraplenagem e Pavimenação,"Av. Irerê, 200 - Urbanova, São José dos Campos - SP, 12244-053, Brasil",-23.1861833,-45.941204,+55 12 99772-0144,Mostrar horário de funcionamento da semana,grupocrossterra.wixsite.com,,,Empresa de Terraplenagem,Aberto · Fecha 17:00,https://www.google.com/maps/place/Grupo+Crossterra%2FTerraVap+Terraplenagem+e+Pavimena%C3%A7%C3%A3o/data=!4m7!3m6!1s0x94cc37fde0fb8ba9:0x355c2b345a07caa4!8m2!3d-23.1861833!4d-45.941204!16s%2Fg%2F11vwd608l7!19sChIJqYv74P03zJQRpMoHWjQrXDU?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|empresa de terraplenagem São José dos Campos - SP|pavimentação São José dos Campos - SP
ee635328e06293e2,Tecplant.garden,"Av. João Paulo ||, 581 - Urbanova V, São José dos Campos - SP, 12244-597, Brasil",-23.2020711,-45.9559555,+55 12 3949-1726,Mostrar horário de funcionamento da semana,,"4,7",47,Loja,Aberto · Fecha 17:30,https://www.google.com/maps/place/Tecplant.garden/data=!4m7!3m6!1s0x94cc355ec5cdc045:0x81b6d3eb042ef54a!8m2!3d-23.2020711!4d-45.9559555!16s%2Fg%2F11s1p_gr3y!19sChIJRcDNxV41zJQRSvUuBOvTtoE?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|empresa de terraplenagem São José dos Campos - SP
936ae446af0cf6bf,Vai Locar Equipamentos | Urbanova,"Av. Ironman Victor Garrido, 681 - Urbanova, São José dos Campos - SP, 12244-392, Brasil",-23.2019597,-45.9499289,+55 800 740 4001,Mostrar horário de funcionamento da semana,vailocar.com.br,"5,0",50,Serviço de locação de equipamentos para construção civil,Aberto · Fecha 18:00,https://www.google.com/maps/place/Vai+Locar+Equipamentos+%7C+Urbanova/data=!4m7!3m6!1s0x94cc35004fd67dd1:0xdc0db640d3084355!8m2!3d-23.2019597!4d-45.9499289!16s%2Fg%2F11w1d0f9fn!19sChIJ0X3WTwA1zJQRVUMI00C2Ddw?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|locação de equipamentos para construção São José dos Campos - SP
