place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
d347db487fec37f3,Clube Náutico Araraquara,"Rodovia Antonio Machado Sant'Anna, Km 63 - SP 255, Américo Brasiliense - SP, 14820-000, Brasil",-21.7089932,-48.030408,+55 16 3303-2360,Mostrar horário de funcionamento da semana,clubenauticoararaquara.com,"4,8",48,Clube,Aberto · Fecha 00:00,https://www.google.com/maps/place/Clube+N%C3%A1utico+Araraquara/data=!4m7!3m6!1s0x94b858e087778dcd:0x1159775a8327659a!8m2!3d-21.7089932!4d-48.030408!16s%2Fg%2F1yfjq00rh!19sChIJzY13h-BYuJQRmmUng1p3WRE?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Araraquara - SP
fa9756ef6d10ed68,Clube 22 de Agosto. Araraquara -SP,"Av. Carmo Fiorillo, 391 - Vila Santana, Araraquara - SP, 14801-169, Brasil",-21.7855905,-48.1927706,+55 16 3014-3022,Mostrar horário de funcionamento da semana,clube22deagosto.com.br,"4,4",44,Clube de campo,Fecha em breve · 22:00 · Abre qui. às 06:30,https://www.google.com/maps/place/Clube+22+de+Agosto.+Araraquara+-SP/data=!4m7!3m6!1s0x94b8f3e5f8bf9391:0x29f56093e1b48eae!8m2!3d-21.7855905!4d-48.1927706!16s%2Fg%2F1tfgfbfg!19sChIJkZO_-OXzuJQRro604ZNg9Sk?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Araraquara - SP|escolinha de futebol Araraquara - SP|escola de futebol Araraquara - SP|escolinha de natação Araraquara - SP|grêmio recreativo Araraquara - SP
c6e308bd38579f98,Telefonica Clube Araraquara,"R. José Barbieri Neto, 582 - Jardim Botanico, Araraquara - SP, 14805-000, Brasil",-21.7529135,-48.1818226,+55 16 99727-3020,Aberto 24 horas·Outros horários,,"4,5",45,Clube de campo,,https://www.google.com/maps/place/Telefonica+Clube+Araraquara/data=!4m7!3m6!1s0x94b8f11f2ca6aa4d:0xda9835649cdbd949!8m2!3d-21.7529135!4d-48.1818226!16s%2Fg%2F1td5mtc6!19sChIJTaqmLB_xuJQRSdnbnGQ1mNo?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Araraquara - SP|escolinha de natação Araraquara - SP
35dcd5c49e11c4b6,Sede de Campo do SISMAR,"R. Ver. Mario Ananias, s/n - Chácara Flora, Araraquara - SP, 14805-304, Brasil",-21.7550222,-48.179419,+55 16 2500-0350,Mostrar horário de funcionamento da semana,sismar.org,"4,8",48,Clube do trabalhador,Fecha em breve · 22:00 · Abre qui. às 08:00,https://www.google.com/maps/place/Sede+de+Campo+do+SISMAR/data=!4m7!3m6!1s0x94b8f1033038ae01:0xefbf1ec4e6958ab3!8m2!3d-21.7550222!4d-48.179419!16s%2Fg%2F11j0q_w21t!19sChIJAa44MAPxuJQRs4qV5sQev-8?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Araraquara - SP|escolinha de futebol Araraquara - SP|escolinha de natação Araraquara - SP
7fad7ce6002d63b9,Clube Araraquarense,"Av. Dom Pedro Ⅱ, 1192 - Sala 01 - Jardim do Carmo, Araraquara - SP, 14801-040, Brasil",-21.7970552,-48.1824692,+55 16 3334-7200,Mostrar horário de funcionamento da semana,clubeararaquarense.com.br,"4,6",46,Clube,Fecha em breve · 22:00 · Abre qui. às 06:00,https://www.google.com/maps/place/Clube+Araraquarense/data=!4m7!3m6!1s0x94b8f3c320a5c77b:0xab7f5563937eda6b!8m2!3d-21.7970552!4d-48.1824692!16s%2Fg%2F1tf7nnvx!19sChIJe8elIMPzuJQRa9p-k2NVf6s?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Araraquara - SP|escolinha de futebol Araraquara - SP|escolinha de natação Araraquara - SP|associação desportiva classista Araraquara - SP
7b04a39dc04a017c,Arena Sports Banespinha,"Av. Antônio Carvalho Neto, 120-328 - Chácara Flora Araraquara, Araraquara - SP, 14805-325, Brasil",-21.7341622,-48.186395,,Mostrar horário de funcionamento da semana,,"4,7",47,Clube de campo,Fecha em breve · 22:00 · Abre qui. às 07:00,https://www.google.com/maps/place/Arena+Sports+Banespinha/data=!4m7!3m6!1s0x94b8f189a825d853:0x598c622f4f222749!8m2!3d-21.7341622!4d-48.186395!16s%2Fg%2F11hyh_rj0z!19sChIJU9glqInxuJQRSSciTy9ijFk?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Araraquara - SP|escolinha de futebol Araraquara - SP
0a6bb4a667acfa15,APCD (Sede de campo),"R. Ver. Mario Ananias - Araraquara, SP, 14805-304, Brasil",-21.7513636,-48.178938,,,,"4,4",44,Club,,https://www.google.com/maps/place/APCD+%28Sede+de+campo%29/data=!4m7!3m6!1s0x94b8f121efa631cf:0x2db02ba8d4c77e3b!8m2!3d-21.7513636!4d-48.178938!16s%2Fg%2F11g6927991!19sChIJzzGm7yHxuJQRO37H1KgrsC0?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Araraquara - SP
39670740059d6d8a,"Associação Araraquarense de Engenharia, Arquitetura e Agronomia (Sede de Campo - Clube)","R. José Barbieri Neto - Araraquara, SP, Brasil",-21.7519714,-48.1826524,+55 16 3336-1089,Mostrar horário de funcionamento da semana,aaeaa.org.br,"4,6",46,Clube de campo,Fechado · Abre qui. às 08:00,"https://www.google.com/maps/place/Associa%C3%A7%C3%A3o+Araraquarense+de+Engenharia,+Arquitetura+e+Agronomia+%28Sede+de+Campo+-+Clube%29/data=!4m7!3m6!1s0x94b8f0e596e21b6d:0xbc22083f63e6543b!8m2!3d-21.7519714!4d-48.1826524!16s%2Fg%2F11ddyxdny8!19sChIJbRviluXwuJQRO1TmYz8IIrw?authuser=0&hl=pt-BR&rclk=1",scraper_gmaps|clube de campo Araraquara - SP
3897bc4b6e5161e6,Associação da Justiça de Araraquara,"Av. Fortunato Anselmo Pagliarini - Chácara Flora Araraquara, Araraquara - SP, 14805-330, Brasil",-21.7287789,-48.1845068,+55 16 3322-5624,Mostrar horário de funcionamento da semana,clubeaja.com.br,"4,7",47,Clube de campo,Fecha em breve · 22:00 · Abre qui. às 09:00,https://www.google.com/maps/place/Associa%C3%A7%C3%A3o+da+Justi%C3%A7a+de+Araraquara/data=!4m7!3m6!1s0x94b8f3dae3cee663:0x432eacbed611ef34!8m2!3d-21.7287789!4d-48.1845068!16s%2Fg%2F1w347q9s!19sChIJY-bO49rzuJQRNO8R1r6sLkM?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Araraquara - SP|associação desportiva classista Araraquara - SP
f573df0fa09a8b39,Academia Clube Náutico Araraquara,"Av. Circular Mário Hyroio Arita, 700 - Jardim Primavera, Araraquara - SP, 14802-404, Brasil",-21.7752986,-48.1746356,+55 16 3303-2360,Mostrar horário de funcionamento da semana,clubenauticoararaquara.com,"4,7",47,Academia,Fechado · Abre qui. às 06:30,https://www.google.com/maps/place/Academia+Clube+N%C3%A1utico+Araraquara/data=!4m7!3m6!1s0x94b8f15cad54f427:0x2a295a78a3fbbfe1!8m2!3d-21.7752986!4d-48.1746356!16s%2Fg%2F1tr9pj73!19sChIJJ_RUrVzxuJQR4b_7o3haKSo?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Araraquara - SP|escolinha de natação Araraquara - SP
