place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
d5c439392fb944d0,Clube PRÓ-VIDA - Araçoiaba da Serra,"Estr. Dr. Celso Charuri, Araçoiaba da Serra - SP, 18190-000, Brasil",-23.5749637,-47.6059357,+55 11 2683-7000,,provida.net,"4,8",48,Clube,,https://www.google.com/maps/place/Clube+PR%C3%93-VIDA+-+Ara%C3%A7oiaba+da+Serra/data=!4m7!3m6!1s0x94c5927f63bc6ac1:0x8397b383d1711f15!8m2!3d-23.5749637!4d-47.6059357!16s%2Fg%2F11b6hns81v!19sChIJwWq8Y3-SxZQRFR9x0YOzl4M?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Araçoiaba da Serra - SP|associação desportiva classista Araçoiaba da Serra - SP|condomínio Araçoiaba da Serra - SP
1e2936e825086eee,Araçoiaba Country Club,"Rod. Raposo Tavares, Km 122,5, Araçoiaba da Serra - SP, 18190-000, Brasil",-23.543137,-47.6617062,+55 15 3291-1108,Mostrar horário de funcionamento da semana,ddliink.com.br,"4,2",42,Clube de campo,Fechado · Abre qui. às 09:00,https://www.google.com/maps/place/Ara%C3%A7oiaba+Country+Club/data=!4m7!3m6!1s0x94c5ecc8773e9fc5:0x7b5c5adcbd561314!8m2!3d-23.543137!4d-47.6617062!16s%2Fg%2F11c5s3hh1p!19sChIJxZ8-d8jsxZQRFBNWvdxaXHs?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Araçoiaba da Serra - SP
d0061a86d401cbb1,TJ Soccer Academy,"Av. Manoel Vieira, 1170 - Jd Dalila, Araçoiaba da Serra - SP, 18190-000, Brasil",-23.5120446,-47.6047699,+55 15 99860-0447,Mostrar horário de funcionamento da semana,chuteinicialsorocaba.com.br,"5,0",50,Treino de futebol,Fechado · Abre qui. às 13:00,https://www.google.com/maps/place/TJ+Soccer+Academy/data=!4m7!3m6!1s0x94c5f3c40ef8cf25:0x319e5c8cfec095eb!8m2!3d-23.5120446!4d-47.6047699!16s%2Fg%2F11wfpvcx8k!19sChIJJc_4DsTzxZQR65XA_oxcnjE?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escola de futebol Araçoiaba da Serra - SP
4bd15341143a7af2,CTA - Centro de Treinamento Adventista / Araçoiaba da Serra,"Estrada de Aparecida, 222, Araçoiaba da Serra - SP, 18190-000, Brasil",-23.499688,-47.6623579,+55 15 3388-9600,,cta.apso.net.br,"4,9",49,Área de camping,,https://www.google.com/maps/place/CTA+-+Centro+de+Treinamento+Adventista+%2F+Ara%C3%A7oiaba+da+Serra/data=!4m7!3m6!1s0x94c5ec422479b58d:0x775410e76c814680!8m2!3d-23.499688!4d-47.6623579!16s%2Fg%2F11c328yg2b!19sChIJjbV5JELsxZQRgEaBbOcQVHc?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escola de futebol Araçoiaba da Serra - SP
88b4e87361b72436,Ronaldo Academy Sorocaba,"R. Antônio Aparecido Ferraz, 1480 - Parque Santa Isabel, Sorocaba - SP, 18052-280, Brasil",-23.5371246,-47.4988403,+55 15 98108-9999,Mostrar horário de funcionamento da semana,r9sorocaba.academy,"4,6",46,Escola de esportes,Fechado · Abre qui. às 09:00,https://www.google.com/maps/place/Ronaldo+Academy+Sorocaba/data=!4m7!3m6!1s0x94c58ba3c6fc4e11:0xe876637b41d650b3!8m2!3d-23.5371246!4d-47.4988403!16s%2Fg%2F11fdwxxlm3!19sChIJEU78xqOLxZQRs1DWQXtjdug?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escola de futebol Araçoiaba da Serra - SP
fc9acc969283bf97,Escola de Futebol Meninos da Vila Santos Sorocaba,"Av. Sylvio Betti, 300 - Recreio dos Sorocabanos, Sorocaba - SP, 18071-025, Brasil",-23.4558162,-47.5032655,+55 15 99848-1216,Fecha em breve · 23:00 · Abre qui. às 08:00·Outros horários,,"4,6",46,Clube esportivo,,https://www.google.com/maps/place/Escola+de+Futebol+Meninos+da+Vila+Santos+Sorocaba/data=!4m7!3m6!1s0x94c5f4594f87fd0b:0xad96cdf2f57541e3!8m2!3d-23.4558162!4d-47.5032655!16s%2Fg%2F11b6xky0zx!19sChIJC_2HT1n0xZQR40F19fLNlq0?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escola de futebol Araçoiaba da Serra - SP
2a058a70788b757f,Sport Club Araçoiaba,"Av. Pres. Tancredo Neves, 466 - Res. Alvorada, Araçoiaba da Serra - SP, 18190-000, Brasil",-23.5234853,-47.6221931,+55 15 99722-7137,Mostrar horário de funcionamento da semana,,,,Clube esportivo,Fechado · Abre qui. às 08:00,https://www.google.com/maps/place/Sport+Club+Ara%C3%A7oiaba/data=!4m7!3m6!1s0x94c5f3b12e8bfb43:0xf8d4e996903f9753!8m2!3d-23.5234853!4d-47.6221931!16s%2Fg%2F11xlmnjksq!19sChIJQ_uLLrHzxZQRU5c_kJbp1Pg?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escola de futebol Araçoiaba da Serra - SP|associação desportiva classista Araçoiaba da Serra - SP
270df5f26d8c5e81,Associação Desportiva Classista Ksb,"Av. José Rabelo Portela, 698 - Jardim Maria de Fatima, Várzea Paulista - SP, 13220-540, Brasil",-23.2176095,-46.8465253,+55 11 4596-3688,,,"4,2",42,Associação / organização,,https://www.google.com/maps/place/Associa%C3%A7%C3%A3o+Desportiva+Classista+Ksb/data=!4m7!3m6!1s0x94cf20c0fb21a3a5:0x9f4869bbbf3557c5!8m2!3d-23.2176095!4d-46.8465253!16s%2Fg%2F1tjh0j0p!19sChIJpaMh-8Agz5QRxVc1v7tpSJ8?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associação desportiva classista Araçoiaba da Serra - SP
aefc4683f5b426e4,Associação Desportiva Classista Rhodia,"R. do Sol, 500 - Jardim do Sol, Campinas - SP, 13085-260, Brasil",-22.7926562,-47.0858486,+55 19 3287-4828,Mostrar horário de funcionamento da semana,,"4,4",44,Associação / organização,Fechado · Abre qui. às 09:00,https://www.google.com/maps/place/Associa%C3%A7%C3%A3o+Desportiva+Classista+Rhodia/data=!4m7!3m6!1s0x94c8c10fc0e9c787:0x9abcbf8563d8d3b6!8m2!3d-22.7926562!4d-47.0858486!16s%2Fg%2F1tcvc_vh!19sChIJh8fpwA_ByJQRttPYY4W_vJo?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associação desportiva classista Araçoiaba da Serra - SP
a8d965f76bfdae61,Secretaria de Agricultura e Meio Ambiente,"R. Dr. Afonso Vergueiro, 16 - Centro, Araçoiaba da Serra - SP, 18190-000, Brasil",-23.5054588,-47.6187919,+55 15 3281-1625,Mostrar horário de funcionamento da semana,aracoiaba.sp.gov.br,"3,8",38,Escritório do Governo do Estado,Fechado · Abre qui. às 08:00,https://www.google.com/maps/place/Secretaria+de+Agricultura+e+Meio+Ambiente/data=!4m7!3m6!1s0x94c5ed711f244dff:0xe57348f1ad301b02!8m2!3d-23.5054588!4d-47.6187919!16s%2Fg%2F1q64qpj_j!19sChIJ_00kH3HtxZQRAhswrfFIc-U?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|ADC Araçoiaba da Serra - SP
