place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
0e0643968051ffdd,Nippon Country Club,"Estr. dos Vados, 260 - Centro Industrial, Arujá - SP, 07432-575, Brasil",-23.4119597,-46.3708022,+55 11 4652-0270,Mostrar horário de funcionamento da semana,nipponcountryclub.com.br,"4,8",48,Clube de campo,Fechado · Abre às 08:00,https://www.google.com/maps/place/Nippon+Country+Club/data=!4m7!3m6!1s0x94ce59a97b2cbca1:0xc50c9a11f75b7c9d!8m2!3d-23.4119597!4d-46.3708022!16s%2Fg%2F1tfqmhlh!19sChIJobwse6lZzpQRnXxb9xGaDMU?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Arujá - SP|grêmio recreativo Arujá - SP
486e39b34bc0601b,Clube de Campo Sindicato dos Químicos,"Estr. dos Canjicas, S/N, Arujá - SP, 07432-575, Brasil",-23.3313548,-46.328441,,,,"4,6",46,Clube de campo,,https://www.google.com/maps/place/Clube+de+Campo+Sindicato+dos+Qu%C3%ADmicos/data=!4m7!3m6!1s0x94ce8751b916a15b:0xb04bfa509f535078!8m2!3d-23.3313548!4d-46.328441!16s%2Fg%2F11t1ccq4c5!19sChIJW6EWuVGHzpQReFBTn1D6S7A?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Arujá - SP
2239a0cc7c887a66,Clube Pafume,"Unnamed Road, 07432-575, Arujá - SP, Brasil",-23.4148918,-46.2786655,+55 11 98655-9099,Mostrar horário de funcionamento da semana,,"4,5",45,Clube de campo,Fechado · Abre às 09:00,https://www.google.com/maps/place/Clube+Pafume/data=!4m7!3m6!1s0x94ce7e70809cdc99:0x267341f0001648fa!8m2!3d-23.4148918!4d-46.2786655!16s%2Fg%2F11c2przlwt!19sChIJmdycgHB-zpQR-kgWAPBBcyY?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Arujá - SP
a49d74feb0602ead,Nippon Country Club,"Rod. Pres. Dutra, 2055 - Mirante do Arujá, Arujá - SP, 07432-575, Brasil",-23.4109871,-46.3710094,+55 11 4652-0270,,nipponcountryclub.com.br,"4,6",46,Clube de campo,,https://www.google.com/maps/place/Nippon+Country+Club/data=!4m7!3m6!1s0x94ce7dfbcceeab4d:0x8c949b2ea505c584!8m2!3d-23.4109871!4d-46.3710094!16s%2Fg%2F11b6htvn2r!19sChIJTavuzPt9zpQRhMUFpS6blIw?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Arujá - SP|grêmio recreativo Arujá - SP
a7b564830c2fc285,Arujá Paradise Club,"Estr. Gerdino Antônio Pinheiro, Arujá - SP, Brasil",-23.3396244,-46.3179158,,,,"5,0",50,Clube,,https://www.google.com/maps/place/Aruj%C3%A1+Paradise+Club/data=!4m7!3m6!1s0x94ce870021b5f7cd:0x54dc5f545cc8ebc7!8m2!3d-23.3396244!4d-46.3179158!16s%2Fg%2F11nk1bzmts!19sChIJzfe1IQCHzpQRx-vIXFRf3FQ?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Arujá - SP
9d0815374565033b,Arujá Golf Clube,"Estr. dos Vados, 2000 - Fontes, Guarulhos - SP, 07400-970, Brasil",-23.4017015,-46.3774897,+55 11 4655-2627,Mostrar horário de funcionamento da semana,arujagolfclube.com.br,"4,6",46,Clube de golfe,Fechado · Abre às 07:00,https://www.google.com/maps/place/Aruj%C3%A1+Golf+Clube/data=!4m7!3m6!1s0x94ce886b3477725b:0xd62a11bae84bfb3c!8m2!3d-23.4017015!4d-46.3774897!16s%2Fg%2F1tgw64wm!19sChIJW3J3NGuIzpQRPPtL6LoRKtY?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Arujá - SP|grêmio recreativo Arujá - SP
d0802750d626dff5,Sociedade Amigos do Loteamento Aruja Country Club,"Estr. Arujá-Santa Isabel, 405 - Jardim Santo Antonio, Arujá - SP, 07432-575, Brasil",-23.3823289,-46.3032771,+55 11 4654-1435,Mostrar horário de funcionamento da semana,,"4,3",43,Clube de campo,Fechado · Abre às 07:00,https://www.google.com/maps/place/Sociedade+Amigos+do+Loteamento+Aruja+Country+Club/data=!4m7!3m6!1s0x94ce874246f7b5c3:0x2e92692232bc2dae!8m2!3d-23.3823289!4d-46.3032771!16s%2Fg%2F11b6hq0qk6!19sChIJw7X3RkKHzpQRri28MiJpki4?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Arujá - SP
b8d55d556ecb45b8,Campo de Futebol,"Arujá - SP, 07432-575, Brasil",-23.326009,-46.2993151,,,,"4,9",49,Clube,,https://www.google.com/maps/place/Campo+de+Futebol/data=!4m7!3m6!1s0x94ce86a1dea7d7c7:0xb2e84d1e00eeb2c1!8m2!3d-23.326009!4d-46.2993151!16s%2Fg%2F1vfp4sd4!19sChIJx9en3qGGzpQRwbLuAB5N6LI?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Arujá - SP
c877881c45e83034,Aruja Country Club,"Alameda dos Ipês, 85 - Arujá Country Club, Arujá - SP, 08584-510, Brasil",-23.4209,-46.3271804,+55 11 4654-2877,Mostrar horário de funcionamento da semana,salacc.com.br,"4,6",46,Associação / organização,Aberto 24 horas,https://www.google.com/maps/place/Aruja+Country+Club/data=!4m7!3m6!1s0x94ce7da0ebd6a40b:0x9908bd5d3d72433!8m2!3d-23.4209!4d-46.3271804!16s%2Fg%2F1th6fzw1!19sChIJC6TW66B9zpQRMyTX09WLkAk?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Arujá - SP|grêmio recreativo Arujá - SP|associação desportiva classista Arujá - SP|condomínio residencial Arujá - SP|condomínio Arujá - SP
11631e393374921f,PL Golf Clube,"Av. Pl do Brasil, 4594 - Bairro do Pirituba, Arujá - SP, 07400-000, Brasil",-23.3707504,-46.3659706,+55 11 4655-2622,Mostrar horário de funcionamento da semana,plgc.com.br,"4,7",47,Clube de golfe,Fechado · Abre às 07:00,https://www.google.com/maps/place/PL+Golf+Clube/data=!4m7!3m6!1s0x94ce86291f896d69:0x5de70032fe000314!8m2!3d-23.3707504!4d-46.3659706!16s%2Fg%2F11b6hpg5rg!19sChIJaW2JHymGzpQRFAMA_jIA510?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Arujá - SP
