place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
e9e9ac9c6eacd94b,Atibaia Clube de Montanha,"Estrada Parque das Cascatas s/n - Portão, Atibaia - SP, 12948-129, Brasil",-23.228727,-46.5420713,+55 11 4416-9213,Mostrar horário de funcionamento da semana,acmatibaia.com.br,"4,7",47,Clube de campo,Fechado · Abre qui. às 07:00,https://www.google.com/maps/place/Atibaia+Clube+de+Montanha/data=!4m7!3m6!1s0x94cec12736b52e6f:0x26fcd36cbcea06fb!8m2!3d-23.228727!4d-46.5420713!16s%2Fg%2F1tgnssyb!19sChIJby61NifBzpQR-wbqvGzT_CY?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Atibaia - SP|associação desportiva classista Atibaia - SP
225ebaab9d51fa79,AABB Atibaia,"R. Tameyuki Nakasu, 239 - Jardim das Cerejeiras, Atibaia - SP, 12951-590, Brasil",-23.1225461,-46.588167,,Mostrar horário de funcionamento da semana,atibaia.aabb.com.br,"4,5",45,Clube de campo,Fechado · Abre sex. às 10:57,https://www.google.com/maps/place/AABB+Atibaia/data=!4m7!3m6!1s0x94cec150a6cf627d:0xb1cede7f8611f681!8m2!3d-23.1225461!4d-46.588167!16s%2Fg%2F11b8b_m4qv!19sChIJfWLPplDBzpQRgfYRhn_ezrE?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Atibaia - SP
a24dd989bb1bad3b,Atibaia Campo,"Estr. dos Pires, 500 - Caetetuba, Atibaia - SP, 12952-280, Brasil",-23.1122583,-46.5912409,+55 11 4412-2022,,atibaiacampo.com.br,"4,6",46,Chalé,,https://www.google.com/maps/place/Atibaia+Campo/data=!4m10!3m9!1s0x94cec41ca0508115:0x6ead6c0031a58e63!5m2!4m1!1i2!8m2!3d-23.1122583!4d-46.5912409!16s%2Fg%2F1td7v9yx!19sChIJFYFQoBzEzpQRY46lMQBsrW4?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Atibaia - SP
e2e08d3b9187370b,Clube Recreativo Atibaiano,"Praça Claudino Alves, 125 - Centro, Atibaia - SP, 12940-800, Brasil",-23.1173859,-46.5549507,+55 11 4412-8962,,,"4,4",44,Clube,,https://www.google.com/maps/place/Clube+Recreativo+Atibaiano/data=!4m7!3m6!1s0x94cec12736b52e6f:0xc0ef386e70ba146f!8m2!3d-23.1173859!4d-46.5549507!16s%2Fg%2F1tcw99vc!19sChIJby61NifBzpQRbxS6cG4478A?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Atibaia - SP
a6d7b64a8cc2cd1d,Clube de Campo Fazenda,"Estr. Mun. Nemésio Dário dos Santos, s/n - Sítio da Moenda, Itatiba - SP, 13252-755, Brasil",-22.9573696,-46.767269,+55 11 4538-7622,Mostrar horário de funcionamento da semana,clubedecampofazenda.com.br,"4,5",45,Clube de campo,Fechado · Abre qui. às 08:00,https://www.google.com/maps/place/Clube+de+Campo+Fazenda/data=!4m7!3m6!1s0x94ced4efffffffff:0xf7e68afd56473383!8m2!3d-22.9573696!4d-46.767269!16s%2Fg%2F11b6hhk9gc!19sChIJ_____-_UzpQRgzNHVv2K5vc?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Atibaia - SP
35768465167cfab6,Campo Primavera,"Av. Dr. Joviano Alvim, 1321 - Vila Thais, Atibaia - SP, 12942-012, Brasil",-23.1233977,-46.5552085,,,,"5,0",50,Clube,,https://www.google.com/maps/place/Campo+Primavera/data=!4m7!3m6!1s0x94cec1c5e97c43af:0x8065b838793d4c65!8m2!3d-23.1233977!4d-46.5552085!16s%2Fg%2F11s53gp41q!19sChIJr0N86cXBzpQRZUw9eTi4ZYA?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Atibaia - SP
1d372014e208f196,campo SPR,"Av. Jerônimo de Camargo, 7660 - Caetetuba, Atibaia - SP, 12951-540, Brasil",-23.1170128,-46.5884421,,Mostrar horário de funcionamento da semana,,"4,4",44,Campo de futebol,Aberto 24 horas,https://www.google.com/maps/place/campo+SPR/data=!4m7!3m6!1s0x94cec153fcf8f9af:0xe610a6e22515eb01!8m2!3d-23.1170128!4d-46.5884421!16s%2Fg%2F11g9q8xqg4!19sChIJr_n4_FPBzpQRAesVJeKmEOY?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Atibaia - SP
e311d80ac47b57c3,Grêmio Esportivo Atibaiense,"R. José Píres, 55 - Centro, Atibaia - SP, 12940-650, Brasil",-23.1165012,-46.555058,+55 11 4402-3911,Mostrar horário de funcionamento da semana,,"4,3",43,Clube,Aberto · Fecha 22:00,https://www.google.com/maps/place/Gr%C3%AAmio+Esportivo+Atibaiense/data=!4m7!3m6!1s0x94cec120a7d77989:0xf488ee16ebdac048!8m2!3d-23.1165012!4d-46.555058!16s%2Fg%2F1wn34tdr!19sChIJiXnXpyDBzpQRSMDa6xbuiPQ?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Atibaia - SP|escola de futebol Atibaia - SP|associação desportiva classista Atibaia - SP
b947cb960315cd95,ATIBAIA CAMPO CEAEC,"Parque Rio Abaixo, Atibaia - SP, Brasil",-23.1107591,-46.592043,+55 11 4412-2022,,atibaiacampo.com.br,"4,0",40,Complexo de condomínio,,https://www.google.com/maps/place/ATIBAIA+CAMPO+CEAEC/data=!4m7!3m6!1s0x94cec7af5212595f:0x82240c0caa59c734!8m2!3d-23.1107591!4d-46.592043!16s%2Fg%2F11p0vtbrqc!19sChIJX1kSUq_HzpQRNMdZqgwMJII?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Atibaia - SP
b5234af063d379e3,Clube de Tiro Atibaia,"R. Inosuke Ando, 440 - Jardim dos Pinheiros, Atibaia - SP, 12945-751, Brasil",-23.1109919,-46.5016268,+55 11 94468-3838,Mostrar horário de funcionamento da semana,clubedetiroatibaia.com.br,"4,7",47,Clube de tiro,Fechado · Abre qui. às 09:00,https://www.google.com/maps/place/Clube+de+Tiro+Atibaia/data=!4m7!3m6!1s0x94cebf6de09767f3:0x48eb59e6e2046c5!8m2!3d-23.1109919!4d-46.5016268!16s%2Fg%2F1pv5_j5j_!19sChIJ82eX4G2_zpQRxUYgbp61jgQ?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Atibaia - SP
