place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
53afce39e7eebd41,Clube Aldeia da Serra,"Estr. Dr. Yojiro Takaoka, 2900 - Aldeia da Serra, Barueri - SP, 06500-000, Brasil",-23.503004,-46.9530944,+55 11 4192-2953,Mostrar horário de funcionamento da semana,,"4,6",46,Clube,Fechado · Abre qui. às 07:00,https://www.google.com/maps/place/Clube+Aldeia+da+Serra/data=!4m7!3m6!1s0x94cf1cf129e6edb9:0xf48e9e5a831640b3!8m2!3d-23.503004!4d-46.9530944!16s%2Fg%2F1tmz81vm!19sChIJue3mKfEcz5QRs0AWg1qejvQ?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Barueri - SP|escolinha de futebol Barueri - SP
70a00661853c61fa,Barueri Futebol clube,"Av. Guilherme Rohn, 71 - Nova Aldeinha, Barueri - SP, 06440-030, Brasil",-23.5108402,-46.8586483,+55 11 93730-7038,Mostrar horário de funcionamento da semana,instagram.com,"5,0",50,Clube de futebol,Fechado · Abre qui. às 08:00,https://www.google.com/maps/place/Barueri+Futebol+clube/data=!4m7!3m6!1s0x94cf03c7e895c837:0x6748150856373f78!8m2!3d-23.5108402!4d-46.8586483!16s%2Fg%2F11sms4nz50!19sChIJN8iV6McDz5QReD83VggVSGc?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Barueri - SP|escolinha de futebol Barueri - SP
45a0b8df347fa2a0,Arena Crefisa Barueri,"Av. Pref. João Vila-Lobos Quero, 1001 - Jardim Belval, Barueri - SP, 06422-122, Brasil",-23.5130991,-46.8993869,,,crefisabarueriarena.com.br,"4,4",44,Estádio de futebol,,https://www.google.com/maps/place/Arena+Crefisa+Barueri/data=!4m7!3m6!1s0x94cf03f723d68c69:0x1538b5832ee84e77!8m2!3d-23.5130991!4d-46.8993869!16s%2Fm%2F02rz_h3!19sChIJaYzWI_cDz5QRd07oLoO1OBU?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Barueri - SP|escolinha de futebol Barueri - SP
16bdc0a9a9ccda4d,Campo do Jardim Esperança,"R. João Euclídes Cortês, 765 - Jardim Esperanca, Barueri - SP, 06413-050, Brasil",-23.4921016,-46.8743806,,Mostrar horário de funcionamento da semana,,"4,3",43,Campo de futebol,Fechado · Abre qui. às 09:00,https://www.google.com/maps/place/Campo+do+Jardim+Esperan%C3%A7a/data=!4m7!3m6!1s0x94cf03b76cb7c437:0x400941f5687a0223!8m2!3d-23.4921016!4d-46.8743806!16s%2Fg%2F11bwqqfh33!19sChIJN8S3bLcDz5QRIwJ6aPVBCUA?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Barueri - SP|escolinha de futebol Barueri - SP
a67ca2f641f72070,Alphaville Tênis Clube,"Alameda Mamoré, 82 - Alphaville Industrial, Barueri - SP, 06454-040, Brasil",-23.4907985,-46.8434873,+55 11 2188-2700,Mostrar horário de funcionamento da semana,alphavilletenisclube.com.br,"4,7",47,Tênis Clube,Fechado · Abre qui. às 07:00,https://www.google.com/maps/place/Alphaville+T%C3%AAnis+Clube/data=!4m7!3m6!1s0x94cf0215e590bcbd:0xc449758b5b0ecdf9!8m2!3d-23.4907985!4d-46.8434873!16s%2Fg%2F1z44b43yk!19sChIJvbyQ5RUCz5QR-c0OW4t1ScQ?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Barueri - SP|escolinha de futebol Barueri - SP
6f31996e5f0ec2e0,Barueri Volleyball Club,"R. Mari, 100 - Jardim California, Barueri - SP, 06409-020, Brasil",-23.4964817,-46.8911097,+55 11 4198-5525,Mostrar horário de funcionamento da semana,bvc-volei.org,"4,9",49,Clube de futebol,Fechado · Abre qui. às 08:00,https://www.google.com/maps/place/Barueri+Volleyball+Club/data=!4m7!3m6!1s0x94cf0391a4495555:0x14d13db15ee646a8!8m2!3d-23.4964817!4d-46.8911097!16s%2Fg%2F11s0x7hf7r!19sChIJVVVJpJEDz5QRqEbmXrE90RQ?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Barueri - SP|escolinha de futebol Barueri - SP
0ddc7053caba1752,IMPACTO ARENA SOCIETY,"Rua Nossa Senhora da Escada, R. Cláudia Rita Correia, 80 - Vila, Barueri - SP, 06440-070, Brasil",-23.509548,-46.860267,+55 11 96345-1813,Mostrar horário de funcionamento da semana,,"4,1",41,Quadra de esportes,Fechado · Abre qui. às 08:00,https://www.google.com/maps/place/IMPACTO+ARENA+SOCIETY/data=!4m7!3m6!1s0x94cf022a37a0d3a7:0x4ac5702d41cd081a!8m2!3d-23.509548!4d-46.860267!16s%2Fg%2F11bc8y2gpx!19sChIJp9OgNyoCz5QRGgjNQS1wxUo?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Barueri - SP|escolinha de futebol Barueri - SP
398494ab084c27e7,Campo de Futebol Aldeia,"Av. Guilherme Rohn - Nova Aldeinha, Barueri - SP, 06440, Brasil",-23.510672,-46.858702,,Mostrar horário de funcionamento da semana,,"4,3",43,Campo de futebol,Fechado · Abre qui. às 08:00,https://www.google.com/maps/place/Campo+de+Futebol+Aldeia/data=!4m7!3m6!1s0x94cf022a007fec5b:0xcf6de6e4bdb25455!8m2!3d-23.510672!4d-46.858702!16s%2Fg%2F11ckbx6qbh!19sChIJW-x_ACoCz5QRVVSyveTmbc8?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Barueri - SP|escolinha de futebol Barueri - SP
cf770d961b0836f1,Complexo Esportivo Sinval Pereira da Cruz,"Rua Ângela Mirella, 246 - Jardim Barueri, Barueri - SP, 06411-330, Brasil",-23.4978245,-46.8730004,+55 41990478,Mostrar horário de funcionamento da semana,,"4,7",47,Parque esportivo,Fechado · Abre qui. às 06:00,https://www.google.com/maps/place/Complexo+Esportivo+Sinval+Pereira+da+Cruz/data=!4m7!3m6!1s0x94cf03c812d9504f:0xafbb0ffa60651e8f!8m2!3d-23.4978245!4d-46.8730004!16s%2Fg%2F11dyx5ly36!19sChIJT1DZEsgDz5QRjx5lYPoPu68?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Barueri - SP
affb42094e7f4f85,Chute Inicial Corinthians - Unidade Barueri,"Av. Arnaldo Rodrigues Bittencourt, 2833 - Vila Nilva, Barueri - SP, 06404-200, Brasil",-23.5064583,-46.8619694,+55 11 97771-3304,Mostrar horário de funcionamento da semana,sportbridge.com.br,"4,6",46,Treino de futebol,Fechado · Abre sáb. às 08:30,https://www.google.com/maps/place/Chute+Inicial+Corinthians+-+Unidade+Barueri/data=!4m7!3m6!1s0x94cf01f89dde3d31:0x817954db7b6deb47!8m2!3d-23.5064583!4d-46.8619694!16s%2Fg%2F1s04bws_l!19sChIJMT3enfgBz5QRR-tte9tUeYE?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Barueri - SP|escolinha de futebol Barueri - SP|escola de futebol Barueri - SP
8392a3c85b612c91,Xerife - Locação de Quadras Society,"R. São Fernando, 295 - Jardim Julio, Barueri - SP, 06447-280, Brasil",-23.5494684,-46.8840952,+55 11 96737-6875,Mostrar horário de funcionamento da semana,,"4,5",45,Local para eventos,Fechado · Abre qui. às 09:00,https://www.google.com/maps/place/Xerife+-+Loca%C3%A7%C3%A3o+de+Quadras+Society/data=!4m7!3m6!1s0x94cf0122a3861d6b:0x30ebb0ca89e01a28!8m2!3d-23.5494684!4d-46.8840952!16s%2Fg%2F11c5qs7x_c!19sChIJax2GoyIBz5QRKBrgicqw6zA?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Barueri - SP|escolinha de futebol Barueri - SP
c65a0bf507eb1f2d,Campo de Futebol,"Jardim California, Barueri - SP, Brasil",-23.4933062,-46.888891,,,,,,Clube,Permanentemente fechado,https://www.google.com/maps/place/Campo+de+Futebol/data=!4m7!3m6!1s0x94cf0390dc545cc7:0x70b1280bc4264d41!8m2!3d-23.4933062!4d-46.888891!16s%2Fg%2F1v62jt2r!19sChIJx1xU3JADz5QRQU0mxAsosXA?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Barueri - SP
a0c9eef96ac7f0a0,Meninos da Vila Unidade Barueri,"R. São Fernando, 295 - Jardim Julio, Barueri - SP, 06447-280, Brasil",-23.5493106,-46.884201,+55 11 98704-8582,Mostrar horário de funcionamento da semana,pt-br.facebook.com,"4,5",45,Treino de futebol,Fechado · Abre qui. às 08:00,https://www.google.com/maps/place/Meninos+da+Vila+Unidade+Barueri/data=!4m7!3m6!1s0x94cf0122a3861d6b:0x19165e062ea52af5!8m2!3d-23.5493106!4d-46.884201!16s%2Fg%2F11cm15_b_l!19sChIJax2GoyIBz5QR9SqlLgZeFhk?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Barueri - SP|escola de futebol Barueri - SP
86ed0fe9979e08f6,Escola de Futebol Futurinho - Barueri,"R. Grandes Lagos, 110 - Jardim Regina Alice, Barueri - SP, 06412-090, Brasil",-23.5017246,-46.882863,+55 11 98223-4562,Mostrar horário de funcionamento da semana,,"4,6",46,Centro de treinamento,Fechado · Abre qui. às 08:00,https://www.google.com/maps/place/Escola+de+Futebol+Futurinho+-+Barueri/data=!4m7!3m6!1s0x94cf03c1cd2dd8dd:0x136a19e3dececb10!8m2!3d-23.5017246!4d-46.882863!16s%2Fg%2F11c1x3x5t8!19sChIJ3dgtzcEDz5QREMvO3uMZahM?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Barueri - SP|escola de futebol Barueri - SP|escola particular Barueri - SP
6d4b450e182e17df,A.S. Roma Escola de Futebol,"Av Giovane Atilio Tolaine, 732 Jardim - Votupoca, Barueri - SP, 06445-000, Brasil",-23.5311857,-46.8723206,,Mostrar horário de funcionamento da semana,instagram.com,"4,6",46,Treino de futebol,Fechado · Abre qui. às 08:00,https://www.google.com/maps/place/A.S.+Roma+Escola+de+Futebol/data=!4m7!3m6!1s0x94cf01b65faef7a5:0xc0d257e69bcda4ee!8m2!3d-23.5311857!4d-46.8723206!16s%2Fg%2F11v0bx_pr3!19sChIJpfeuX7YBz5QR7qTNm-ZX0sA?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Barueri - SP|escola de futebol Barueri - SP
034fae5816bc2b4c,Resenha Campeonato Amador Barueri,"Av. Guilherme Perereca Guglielmo, 1000 - Centro, Barueri - SP, 06401-145, Brasil",-23.5070807,-46.867831,+55 11 4199-1700,Mostrar horário de funcionamento da semana,,"4,6",46,Associação / organização,Aberto 24 horas,https://www.google.com/maps/place/Resenha+Campeonato+Amador+Barueri/data=!4m7!3m6!1s0x94cf03c9141484b7:0x6283f854d02d9d98!8m2!3d-23.5070807!4d-46.867831!16s%2Fg%2F11h6yx5xx3!19sChIJt4QUFMkDz5QRmJ0t0FT4g2I?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Barueri - SP|escola de futebol Barueri - SP
7d11959d1a571490,Meninos da vila Barueri Centro,"R. Cláudia Rita Correia, 80 - Aldeia, Barueri - SP, 06440-070, Brasil",-23.5093207,-46.8606946,+55 11 98704-8582,Mostrar horário de funcionamento da semana,,"3,7",37,Treino de futebol,Fechado · Abre qui. às 09:00,https://www.google.com/maps/place/Meninos+da+vila+Barueri+Centro/data=!4m7!3m6!1s0x94cf032a473e099f:0x434cced96e033b34!8m2!3d-23.5093207!4d-46.8606946!16s%2Fg%2F11wfg87849!19sChIJnwk-RyoDz5QRNDsDbtnOTEM?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Barueri - SP|escola de futebol Barueri - SP
063c867809984092,Juventus Academy Barueri,"Rua Nossa Senhora da Escada, R. Cláudia Rita Correia, 80 - Sala 1, Barueri - SP, 06440-070, Brasil",-23.5093207,-46.8606946,+55 11 98111-3966,Mostrar horário de funcionamento da semana,,"5,0",50,Treino de futebol,Fechado · Abre qui. às 08:00,https://www.google.com/maps/place/Juventus+Academy+Barueri/data=!4m7!3m6!1s0x94cf03ccb0084eb7:0x75abf38c9e718e6d!8m2!3d-23.5093207!4d-46.8606946!16s%2Fg%2F11vkfcx3__!19sChIJt04IsMwDz5QRbY5xnozzq3U?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Barueri - SP|escola de futebol Barueri - SP
dfc4e5f994915477,"Complexo Esportivo Jardim Silveira ""Amaro Lopes Billafon""","Av. Alziro Soares, 20 - Jardim Silveira, Barueri - SP, 06602-000, Brasil",-23.5272618,-46.8934507,+55 11 4199-1700,Mostrar horário de funcionamento da semana,,"4,7",47,Escola de esportes,Fechado · Abre qui. às 07:00,https://www.google.com/maps/place/Complexo+Esportivo+Jardim+Silveira+%22Amaro+Lopes+Billafon%22/data=!4m7!3m6!1s0x94cf01efa9871123:0x5d57471596fa117!8m2!3d-23.5272618!4d-46.8934507!16s%2Fg%2F11rcpy633c!19sChIJIxGHqe8Bz5QRF6FvWXF01QU?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Barueri - SP|escola de futebol Barueri - SP|associação desportiva classista Barueri - SP
8f3de1e769ac3de0,Poa Academy C.T Esportivo,"R. Olga, 373 - Parque dos Camargos, Barueri - SP, 06436-390, Brasil",-23.5360502,-46.8922843,+55 11 93397-5766,Fechado · Abre qui. às 14:30·Outros horários,,"5,0",50,Treino de futebol,,https://www.google.com/maps/place/Poa+Academy+C.T+Esportivo/data=!4m7!3m6!1s0x94cf013d48b41195:0x60962917b7f7dfb5!8m2!3d-23.5360502!4d-46.8922843!16s%2Fg%2F11y30_mwfc!19sChIJlRG0SD0Bz5QRtd_3txcplmA?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Barueri - SP
