place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
98b7285d646a2be4,Campo de Futebol do Grêmio Caiçara,"Centerville, Bertioga - SP, 11250-000, Brasil",-23.8433341,-46.1420145,,Mostrar horário de funcionamento da semana,,"4,5",45,Clube,Aberto 24 horas,https://www.google.com/maps/place/Campo+de+Futebol+do+Gr%C3%AAmio+Cai%C3%A7ara/data=!4m7!3m6!1s0x94cdfc71cdfd749f:0xc2055a62c286ff23!8m2!3d-23.8433341!4d-46.1420145!16s%2Fg%2F1tdyrxjd!19sChIJn3T9zXH8zZQRI_-GwmJaBcI?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Bertioga - SP|escolinha de futebol Bertioga - SP|grêmio recreativo Bertioga - SP
ca5b5592c55ad5a0,Sede Bertioga Futebol Clube,"Centerville, Bertioga - SP, 11250-000, Brasil",-23.852027,-46.1416772,,Mostrar horário de funcionamento da semana,,"4,2",42,Clube,Aberto 24 horas,https://www.google.com/maps/place/Sede+Bertioga+Futebol+Clube/data=!4m7!3m6!1s0x94cdfd55bef32213:0x6c7dfc373fcb0436!8m2!3d-23.852027!4d-46.1416772!16s%2Fg%2F11ssb0sh13!19sChIJEyLzvlX9zZQRNgTLPzf8fWw?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Bertioga - SP
6b47ee16198f4910,Praça de Esportes Clube Rio da Praia,"R. Pastor Djalma da Silva Coimbra, 1089 - Maitinga, Bertioga - SP, 11250-000, Brasil",-23.8193721,-46.115982,+55 13 98149-2782,Mostrar horário de funcionamento da semana,m.facebook.com,"4,1",41,Campo de futebol,Fechado · Abre qui. às 08:00,https://www.google.com/maps/place/Pra%C3%A7a+de+Esportes+Clube+Rio+da+Praia/data=!4m7!3m6!1s0x94cdfb74f6dc715f:0xd34d1b19d0264e8d!8m2!3d-23.8193721!4d-46.115982!16s%2Fg%2F11cmbp2ftq!19sChIJX3Hc9nT7zZQRjU4m0BkbTdM?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Bertioga - SP|escolinha de futebol Bertioga - SP|escola de futebol Bertioga - SP
500b4414ec898eb4,Campo Indaiá Futebol Clube,"R. Campinho do Capão - Jd Remanso, Bertioga - SP, 11250-000, Brasil",-23.8186853,-46.0449796,,,,"4,0",40,Clube,,https://www.google.com/maps/place/Campo+Indai%C3%A1+Futebol+Clube/data=!4m7!3m6!1s0x94cdf1004e14e5fb:0x8ea862090fbcb90c!8m2!3d-23.8186853!4d-46.0449796!16s%2Fg%2F11mcfvgwvq!19sChIJ--UUTgDxzZQRDLm8DwliqI4?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Bertioga - SP
140fdf8a5fdaf512,Clube A,"R. Maria Lucia, 159 - Jardim Itapoa, Bertioga - SP, 11250-000, Brasil",-23.8127099,-46.0481738,,Mostrar horário de funcionamento da semana,,"4,5",45,Clube,Aberto · Fecha 22:00,https://www.google.com/maps/place/Clube+A/data=!4m7!3m6!1s0x94cdf1e018849cb7:0xf604f92cc18e9959!8m2!3d-23.8127099!4d-46.0481738!16s%2Fg%2F11hdj7nvxx!19sChIJt5yEGODxzZQRWZmOwSz5BPY?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Bertioga - SP
dfa9004479ed9319,Camping Club do Brasil - Bertioga,"Av. Anchieta, 10500 - Jardim Rafael, Bertioga - SP, 11250-000, Brasil",-23.8182859,-46.0851681,+55 13 3311-9329,,campingclube.com.br,"4,5",45,,,https://www.google.com/maps/place/Camping+Club+do+Brasil+-+Bertioga/data=!4m7!3m6!1s0x94cdfa573bd7c0db:0xdfa864399a8636f4!8m2!3d-23.8182859!4d-46.0851681!16s%2Fg%2F11b6hn6t80!19sChIJ28DXO1f6zZQR9DaGmjlkqN8?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Bertioga - SP
2b0e3fde3158ddc5,Riviera Golf Club,"Av. da Orla, 559 - Riviera de São Lourenço, Bertioga - SP, 11250-000, Brasil",-23.8020707,-46.0342316,+55 13 3316-1606,Mostrar horário de funcionamento da semana,,"4,6",46,Clube de golfe,Fechado · Abre qui. às 08:00,https://www.google.com/maps/place/Riviera+Golf+Club/data=!4m7!3m6!1s0x94cdf0eff0312ba9:0xd421c7158771aa0f!8m2!3d-23.8020707!4d-46.0342316!16s%2Fg%2F1ptzqq6l_!19sChIJqSsx8O_wzZQRD6pxhxXHIdQ?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Bertioga - SP
18f74e560d11ddaa,Clube de Campo de São Paulo,"Praça Rockford, 28 - Vila Represa, São Paulo - SP, 04826-410, Brasil",-23.7348764,-46.7218602,+55 11 5923-5853,Mostrar horário de funcionamento da semana,clubedecampodesp.com.br,"4,7",47,Clube de campo,Fecha em breve · 18:00 · Abre qui. às 06:00,https://www.google.com/maps/place/Clube+de+Campo+de+S%C3%A3o+Paulo/data=!4m7!3m6!1s0x94ce4ef794ed93ff:0xc2dde65b322b8faa!8m2!3d-23.7348764!4d-46.7218602!16s%2Fg%2F11c2j7p11m!19sChIJ_5PtlPdOzpQRqo8rMlvm3cI?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Bertioga - SP
62ced5d40cb5881d,Arena Coliseum,"R. B, 2A - Chácaras-City Mar, Bertioga - SP, 11259-372, Brasil",-23.7963827,-46.0726993,+55 13 99709-5185,,,"4,2",42,Clube esportivo,,https://www.google.com/maps/place/Arena+Coliseum/data=!4m7!3m6!1s0x94cdfb2b17f2eaf5:0xa3ffbdd44e6cae6!8m2!3d-23.7963827!4d-46.0726993!16s%2Fg%2F11rsd_mlmq!19sChIJ9eryFyv7zZQR5srmRN37Pwo?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Bertioga - SP
ad7f2aa8f0572edb,Bertioga Paddle Club,"Av. Vicente de Carvalho, 48 - Centro, Bertioga - SP, 11250-000, Brasil",-23.8544706,-46.1371359,+55 13 99718-5769,Mostrar horário de funcionamento da semana,,"5,0",50,Clube,Fechado · Abre qui. às 07:00,https://www.google.com/maps/place/Bertioga+Paddle+Club/data=!4m7!3m6!1s0x94cdfd3637e14083:0x46b0f88d5dbea0e0!8m2!3d-23.8544706!4d-46.1371359!16s%2Fg%2F11ptmfkl9x!19sChIJg0DhNzb9zZQR4KC-XY34sEY?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Bertioga - SP
78f9555de7d290ad,Complexo Esportivo Pé n'Areia,"Av. Tomé de Souza - Vila Clais, Bertioga - SP, 11250-000, Brasil",-23.8443118,-46.1309087,+55 13 3317-2004,Mostrar horário de funcionamento da semana,bertioga.sp.gov.br,"4,7",47,Quadra de esportes,Aberto 24 horas,https://www.google.com/maps/place/Complexo+Esportivo+P%C3%A9+n%27Areia/data=!4m7!3m6!1s0x94cdfb4c3a96ff33:0x43bffa18f01623ef!8m2!3d-23.8443118!4d-46.1309087!16s%2Fg%2F11k4bbvlcq!19sChIJM_-WOkz7zZQR7yMW8Bj6v0M?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Bertioga - SP|escolinha de futebol Bertioga - SP
b71fa7f6e8fe391a,Caramuru Club de Tiro Esportivo e Defesa,"Rua Projetada 3 - Sitio São João, 20 - São João, Bertioga - SP, 11250-000, Brasil",-23.8511906,-46.1697725,+55 13 99781-3257,Mostrar horário de funcionamento da semana,clubetirobertioga.com.br,"4,7",47,Clube de tiro,Fechado · Abre qui. às 09:00,https://www.google.com/maps/place/Caramuru+Club+de+Tiro+Esportivo+e+Defesa/data=!4m7!3m6!1s0x94cdfdf6feed5293:0x9d49fce6cf22b508!8m2!3d-23.8511906!4d-46.1697725!16s%2Fg%2F11rsg7yvh3!19sChIJk1Lt_vb9zZQRCLUiz-b8SZ0?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Bertioga - SP
3b6711f778b0f71f,Campo de Guaratuba Futebol,"R. Aad, 638 - Lot. Costa do Sol, Bertioga - SP, 11250-000, Brasil",-23.7596202,-45.8998654,,Fechado · Abre dom. às 08:00·Outros horários,instagram.com,"5,0",50,Campo de futebol,,https://www.google.com/maps/place/Campo+de+Guaratuba+Futebol/data=!4m7!3m6!1s0x94cd8d6a81270645:0xc68385fb182e6b52!8m2!3d-23.7596202!4d-45.8998654!16s%2Fg%2F11ssc0kwsw!19sChIJRQYngWqNzZQRUmsuGPuFg8Y?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Bertioga - SP
e4106147f898b3af,Clube de Campo de Mogi das Cruzes,"R. Duarte de Freitas, 133 - Parque Monte Libano, Mogi das Cruzes - SP, 08780-240, Brasil",-23.5197073,-46.1810678,+55 11 4728-5600,Mostrar horário de funcionamento da semana,ccmc.com.br,"4,5",45,Clube de campo,Aberto · Fecha 23:00,https://www.google.com/maps/place/Clube+de+Campo+de+Mogi+das+Cruzes/data=!4m7!3m6!1s0x0:0x89a693310ae1ad14!8m2!3d-23.5197073!4d-46.1810678!16s%2Fg%2F1ttthw00!19sChIJAAAAAAAAAAARFK3hCjGTpok?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Bertioga - SP
3eb9f3e674f92448,Society City Mar,"Bairro Chácaras, Bertioga - SP, 11250-000, Brasil",-23.7971134,-46.0675249,,Mostrar horário de funcionamento da semana,,"4,5",45,Campo de futebol,Abre em breve · 18:00,https://www.google.com/maps/place/Society+City+Mar/data=!4m7!3m6!1s0x94cdfa8fb85c6655:0x821a0f64baa8a355!8m2!3d-23.7971134!4d-46.0675249!16s%2Fg%2F11c4dyqfb9!19sChIJVWZcuI_6zZQRVaOoumQPGoI?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Bertioga - SP|escolinha de futebol Bertioga - SP
d0b9b12744c9ea74,Clube Sinuca Bar,"Av. Marginal - Chácara Vista Linda, Bertioga - SP, 11250-000, Brasil",-23.804929,-46.0877334,+55 13 98185-9119,Mostrar horário de funcionamento da semana,,"4,4",44,Casa noturna,Fechado · Abre sex. às 21:00,https://www.google.com/maps/place/Clube+Sinuca+Bar/data=!4m7!3m6!1s0x94cdfafb04f0bc13:0x6a1a68d2b0bbec46!8m2!3d-23.804929!4d-46.0877334!16s%2Fg%2F11sh22s_nk!19sChIJE7zwBPv6zZQRRuy7sNJoGmo?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Bertioga - SP
