place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
d6818b019f4300ae,CLUBE DE CAMPO ASU,"Philadelpho Fernandes, 502 - Jardim Nossa Sra. das Gracas (Rubiao Junior), Botucatu - SP, 18618-016, Brasil",-22.8975461,-48.5017637,,,,"4,1",41,Campo de futebol,,https://www.google.com/maps/place/CLUBE+DE+CAMPO+ASU/data=!4m7!3m6!1s0x94c6d89e48c9f4f1:0x9829e36d5a2fa58f!8m2!3d-22.8975461!4d-48.5017637!16s%2Fg%2F11bvv56j0w!19sChIJ8fTJSJ7YxpQRj6UvWm3jKZg?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Botucatu - SP
99f387423fdd167d,Clube Recreativo Botunespa,"Estr. p/ Fazenda Boa Vista, 53-367 - Distrito Industrial III, Botucatu - SP, Brasil",-22.8620256,-48.4763818,,,,"4,3",43,Clube de campo,,https://www.google.com/maps/place/Clube+Recreativo+Botunespa/data=!4m7!3m6!1s0x94c720ccf7ac20f5:0xf0540bf1e1ec1c08!8m2!3d-22.8620256!4d-48.4763818!16s%2Fg%2F11c1tm9gyj!19sChIJ9SCs98wgx5QRCBzs4fELVPA?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Botucatu - SP|grêmio recreativo Botucatu - SP
1f8320a5c768e2cf,AABB Botucatu,"R. Basilio Brandolise - Chácara Recreio Vista Alegre, Botucatu - SP, Brasil",-22.9077343,-48.5013235,+55 14 98129-9077,Mostrar horário de funcionamento da semana,facebook.com,"4,3",43,Clube de campo,Fechado · Abre qui. às 09:00,https://www.google.com/maps/place/AABB+Botucatu/data=!4m7!3m6!1s0x94c6d89707311647:0x276ddbfce2782496!8m2!3d-22.9077343!4d-48.5013235!16s%2Fg%2F11bzypqgr0!19sChIJRxYxB5fYxpQRliR44vzbbSc?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Botucatu - SP
5c8f482f097a2ee0,Vila Olimpica Futebol Society,"R. José Benedito Nogueira, 10 - Jardim Tropical, Botucatu - SP, 18607-289, Brasil",-22.889552,-48.4646043,+55 14 99615-7135,Mostrar horário de funcionamento da semana,,"4,7",47,Campo de futebol,Aberto · Fecha 00:00,https://www.google.com/maps/place/Vila+Olimpica+Futebol+Society/data=!4m7!3m6!1s0x94c6df6dd9b8827b:0x8eab05f0e28f20d9!8m2!3d-22.889552!4d-48.4646043!16s%2Fg%2F1tdmll8b!19sChIJe4K42W3fxpQR2SCP4vAFq44?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Botucatu - SP|escolinha de futebol Botucatu - SP|escola de futebol Botucatu - SP
eb18698d6444ee5a,Associação Atlética Botucatuense (AAB),"Centro, R. Gen. Júlio Marcondes Salgado, 411 - Vila Padovan, Botucatu - SP, 18602-200, Brasil",-22.8956523,-48.4448435,+55 14 98191-0038,Mostrar horário de funcionamento da semana,aabotucatuense.com.br,"4,6",46,Clube,Fechado · Abre qui. às 06:00,https://www.google.com/maps/place/Associa%C3%A7%C3%A3o+Atl%C3%A9tica+Botucatuense+%28AAB%29/data=!4m7!3m6!1s0x94c6df748999681f:0xd439727850d4375d!8m2!3d-22.8956523!4d-48.4448435!16s%2Fg%2F1tdkc54_!19sChIJH2iZiXTfxpQRXTfUUHhyOdQ?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Botucatu - SP
13e4ef877fbe185c,Associação Recreativa Foras de Forma de Botucatu,"Jardim Tropical, Botucatu - SP, Brasil",-22.8957457,-48.4747974,,,forasdeforma.com.br,"4,8",48,Clube de futebol,,https://www.google.com/maps/place/Associa%C3%A7%C3%A3o+Recreativa+Foras+de+Forma+de+Botucatu/data=!4m7!3m6!1s0x94c6df523edbca27:0xa90c1704d077c776!8m2!3d-22.8957457!4d-48.4747974!16s%2Fg%2F11f126cdx6!19sChIJJ8rbPlLfxpQRdsd30AQXDKk?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Botucatu - SP|grêmio recreativo Botucatu - SP
a6037ed2c30bed6b,Estadio Municipal João Roberto Pilan - Campo Do Inca,"R. Marília, 664 - Vila Antartica, Botucatu - SP, 18608-560, Brasil",-22.8700217,-48.4604754,+55 14 3815-8295,Informações sobre horários de pico,botucatu.sp.gov.br,"4,5",45,Estádio de futebol,,https://www.google.com/maps/place/Estadio+Municipal+Jo%C3%A3o+Roberto+Pilan+-+Campo+Do+Inca/data=!4m7!3m6!1s0x94c720bd992c312b:0xc83b9ba5896b09f7!8m2!3d-22.8700217!4d-48.4604754!16s%2Fg%2F11cn5qcqt6!19sChIJKzEsmb0gx5QR9wlriaWbO8g?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Botucatu - SP
4261ad3ec8966c06,Botucatu Tênis Clube,"R. Siqueira Campos, 444 - Centro, Botucatu - SP, 18600-290, Brasil",-22.884803,-48.4438762,+55 14 3882-0443,Mostrar horário de funcionamento da semana,botucatutenisclube.com.br,"4,5",45,Tênis Clube,Fechado · Abre qui. às 06:30,https://www.google.com/maps/place/Botucatu+T%C3%AAnis+Clube/data=!4m7!3m6!1s0x94c6df7814f4a6e1:0x183c55a91c034d89!8m2!3d-22.884803!4d-48.4438762!16s%2Fg%2F1tklrnvb!19sChIJ4ab0FHjfxpQRiU0DHKlVPBg?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Botucatu - SP
9c0fcbca6eb4a8a4,AAF - Associação Atlética Ferroviária,"R. Manoel da Silva, s/n - Vila Sao Lucio, Botucatu - SP, 18609-500, Brasil",-22.8771859,-48.4470999,+55 14 3815-3072,Mostrar horário de funcionamento da semana,aafbotucatu.com.br,"4,6",46,Clube esportivo,Fechado · Abre qui. às 08:00,https://www.google.com/maps/place/AAF+-+Associa%C3%A7%C3%A3o+Atl%C3%A9tica+Ferrovi%C3%A1ria/data=!4m7!3m6!1s0x94c72082e5fdfe25:0x6139084a532bdeb2!8m2!3d-22.8771859!4d-48.4470999!16s%2Fg%2F11f3srmv8c!19sChIJJf795YIgx5QRst4rU0oIOWE?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Botucatu - SP
4e6a01bf65e01754,Campo bocha,"R. Luciano Lunardi - Botucatu, SP, 18608-410, Brasil",-22.8716544,-48.4622239,,,,,,Clube,,https://www.google.com/maps/place/Campo+bocha/data=!4m7!3m6!1s0x94c721001dd1462b:0xebde0530256ecce1!8m2!3d-22.8716544!4d-48.4622239!16s%2Fg%2F11vrx3dr22!19sChIJK0bRHQAhx5QR4cxuJTAF3us?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Botucatu - SP
