place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
20bf97c1568b4c84,Ronaldo Academy Bragança Paulista,"Placar Society - Rod. Cap. Bardoino - Cidade Nova, Bragança Paulista - SP, 12922-190, Brasil",-22.9222587,-46.5517679,+55 11 98835-4672,Mostrar horário de funcionamento da semana,ronaldoacademy.com.br,"5,0",50,Treino de futebol,Aberto · Fecha 21:00,https://www.google.com/maps/place/Ronaldo+Academy+Bragan%C3%A7a+Paulista/data=!4m7!3m6!1s0x94cecb5d2690badb:0xf725b7d1144232d0!8m2!3d-22.9222587!4d-46.5517679!16s%2Fg%2F11wq6nv03_!19sChIJ27qQJl3LzpQR0DJCFNG3Jfc?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Bragança Paulista - SP|escola de futebol Bragança Paulista - SP|associação desportiva classista Bragança Paulista - SP
3969bde7f83a76b2,CETA - Centro Esportivo de Treinamento e Aprendizado,"R. Luís Nóbrega de Oliveira, 515 - Porta das Estâncias, Bragança Paulista - SP, 12915-030, Brasil",-22.9830129,-46.5210547,+55 11 99883-8133,Aberto · Fecha 23:00·Outros horários,,"4,7",47,Quadra de esportes,,https://www.google.com/maps/place/CETA+-+Centro+Esportivo+de+Treinamento+e+Aprendizado/data=!4m7!3m6!1s0x94cec82ed63e5621:0x3a384a1d8f1dd78d!8m2!3d-22.9830129!4d-46.5210547!16s%2Fg%2F11c6cgc2nf!19sChIJIVY-1i7IzpQRjdcdjx1KODo?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Bragança Paulista - SP|escola de futebol Bragança Paulista - SP
bcddbffe3eba1ae7,Legionário Esporte Clube,"Av. Juscelino K. de Oliveira, 174 - Matadouro, Bragança Paulista - SP, 12926-010, Brasil",-22.9427406,-46.5396365,+55 11 4032-2033,Mostrar horário de funcionamento da semana,legionarioesporteclube.org,"4,5",45,Treino de futebol,Fechado · Abre qui. às 08:00,https://www.google.com/maps/place/Legion%C3%A1rio+Esporte+Clube/data=!4m7!3m6!1s0x94ceca274b7d9855:0x88a0261506805a54!8m2!3d-22.9427406!4d-46.5396365!16s%2Fg%2F1tlbvvzk!19sChIJVZh9SyfKzpQRVFqABhUmoIg?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Bragança Paulista - SP|escola de futebol Bragança Paulista - SP
88efff6348d6e5b0,Ferroviários Atlético Clube,"Av. dos Imigrantes, 38 - Jardim Sao Jose, Bragança Paulista - SP, 12908-590, Brasil",-22.9689278,-46.5421147,+55 11 4032-4538,Mostrar horário de funcionamento da semana,instagram.com,"4,5",45,Clube esportivo,Aberto 24 horas,https://www.google.com/maps/place/Ferrovi%C3%A1rios+Atl%C3%A9tico+Clube/data=!4m7!3m6!1s0x94cec9bb8b1b8a23:0x6b3350af0f0b2b43!8m2!3d-22.9689278!4d-46.5421147!16s%2Fg%2F1tf5fx3c!19sChIJI4obi7vJzpQRQysLD69QM2s?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Bragança Paulista - SP|escola de futebol Bragança Paulista - SP|grêmio recreativo Bragança Paulista - SP|associação desportiva classista Bragança Paulista - SP
c37731331c3dee96,ACADEMIA DE FUTEBOL REAL BRASIL,"Tv. Nonato A. Gimenez Gonzales, 3600 - Matadouro, Bragança Paulista - SP, 12902-001, Brasil",-22.9413509,-46.540525,+55 11 91218-8401,Mostrar horário de funcionamento da semana,,"4,6",46,Treino de futebol,Fechado · Abre qui. às 10:00,https://www.google.com/maps/place/ACADEMIA+DE+FUTEBOL+REAL+BRASIL/data=!4m7!3m6!1s0x94cecb0802f27523:0xf8c8e8569287e7da!8m2!3d-22.9413509!4d-46.540525!16s%2Fg%2F11ld89h961!19sChIJI3XyAgjLzpQR2ueHklboyPg?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Bragança Paulista - SP|escola de futebol Bragança Paulista - SP
9d69a730c0b18a97,Arena Society Multigrama,"Av. dos Imigrantes, 4087 - São Lourenço, Bragança Paulista - SP, 12902-001, Brasil",-22.9397665,-46.5395615,+55 11 99867-6624,Mostrar horário de funcionamento da semana,,"4,5",45,Campo de futebol,Aberto · Fecha 00:00,https://www.google.com/maps/place/Arena+Society+Multigrama/data=!4m7!3m6!1s0x94ceca215bb14499:0xab749446f10cd69d!8m2!3d-22.9397665!4d-46.5395615!16s%2Fg%2F11fx8jp5ld!19sChIJmUSxWyHKzpQRndYM8UaUdKs?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Bragança Paulista - SP|escola de futebol Bragança Paulista - SP
5e1fa5772adc0703,Vila Soccer,"R. Mauro de Próspero - Res. das Ilhas, Bragança Paulista - SP, 12913-045, Brasil",-22.9629335,-46.5278338,+55 11 97164-4615,Mostrar horário de funcionamento da semana,,"4,9",49,Campo de futebol,Aberto 24 horas,https://www.google.com/maps/place/Vila+Soccer/data=!4m7!3m6!1s0x94cec9512d4fb40f:0xc239a46316a7a2a3!8m2!3d-22.9629335!4d-46.5278338!16s%2Fg%2F11kjdn1xds!19sChIJD7RPLVHJzpQRo6KnFmOkOcI?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Bragança Paulista - SP|escola de futebol Bragança Paulista - SP
bfd714de550ea4bd,Clube de Regatas Bandeirantes,"de A - Av. Presidente Humberto de Alencar Castelo Branco, 500 - Tanque do Moinho, Bragança Paulista - SP, 12910-200, Brasil",-22.933649,-46.5284233,+55 11 4035-1050,Mostrar horário de funcionamento da semana,crbandeirantes.com.br,"4,8",48,Clube recreativo,Aberto · Fecha 22:00,https://www.google.com/maps/place/Clube+de+Regatas+Bandeirantes/data=!4m7!3m6!1s0x94ceca1bb1def675:0x8351c096ae210156!8m2!3d-22.933649!4d-46.5284233!16s%2Fg%2F1tdl783g!19sChIJdfbesRvKzpQRVgEhrpbAUYM?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Bragança Paulista - SP|escola de futebol Bragança Paulista - SP|grêmio recreativo Bragança Paulista - SP
d0c196b0df4d8865,Campo Do Formigão,"R. Alziro de Oliveira, 612 - Jardim Morumbi, Bragança Paulista - SP, 12926-030, Brasil",-22.9290412,-46.5337038,,,,"4,7",47,Campo de futebol,,https://www.google.com/maps/place/Campo+Do+Formig%C3%A3o/data=!4m7!3m6!1s0x94cecb8fd38bf1a1:0x265bf642fa745780!8m2!3d-22.9290412!4d-46.5337038!16s%2Fg%2F11f5tfnzwf!19sChIJofGL04_LzpQRgFd0-kL2WyY?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Bragança Paulista - SP
d1b21b7a925e5a7e,HWT Sports,"Rod. Benevenuto Moretto, S/N - KM 11, Bragança Paulista - SP, 12900-000, Brasil",-22.8672326,-46.6244998,+55 11 2490-1380,Mostrar horário de funcionamento da semana,hwtsports.com.br,"4,7",47,Clube esportivo,Fechado · Abre qui. às 08:00,https://www.google.com/maps/place/HWT+Sports/data=!4m7!3m6!1s0x94c9330457561f5b:0x88c9e67da6e8761b!8m2!3d-22.8672326!4d-46.6244998!16s%2Fg%2F11cllpnry8!19sChIJWx9WVwQzyZQRG3bopn3myYg?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Bragança Paulista - SP|escola de futebol Bragança Paulista - SP|associação desportiva classista Bragança Paulista - SP
