place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
cc7a560398a4f6f9,Colônia de Férias de Caraguatatuba,"R. José Vieira de Freitas Lins, 70 - Porto Novo, Caraguatatuba - SP, 11667-785, Brasil",-23.6953328,-45.4320081,+55 11 95742-2297,,,"4,5",45,Clube de campo,,https://www.google.com/maps/place/Col%C3%B4nia+de+F%C3%A9rias+de+Caraguatatuba/data=!4m7!3m6!1s0x94cd66b9c6540df7:0x22f2f36d9501d8c6!8m2!3d-23.6953328!4d-45.4320081!16s%2Fg%2F11btwvyss4!19sChIJ9w1UxrlmzZQRxtgBlW3z8iI?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Caraguatatuba - SP
bee7d775e432fbc7,Campo do Corinthians Tinga,"R. Geraldo Gomes Leite, 121 - Jardim Jaqueira, Caraguatatuba - SP, 11674-320, Brasil",-23.6279618,-45.4333092,,,,"4,1",41,Clube,,https://www.google.com/maps/place/Campo+do+Corinthians+Tinga/data=!4m7!3m6!1s0x94cd639cb31f5ca5:0xc97b2f4f4143b026!8m2!3d-23.6279618!4d-45.4333092!16s%2Fg%2F11rcsfm4zc!19sChIJpVwfs5xjzZQRJrBDQU8ve8k?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Caraguatatuba - SP
121a495a5c0eec98,Esporte Clube XV de Novembro,"Av. Siqueira Campos, 77 - Sumaré, Caraguatatuba - SP, 11661-420, Brasil",-23.61801,-45.4100373,+55 12 3422-1645,Mostrar horário de funcionamento da semana,,"3,7",37,Clube de futebol,Aberto · Fecha 20:00,https://www.google.com/maps/place/Esporte+Clube+XV+de+Novembro/data=!4m7!3m6!1s0x94cd639d1ea30dc9:0x210dac7957c7b436!8m2!3d-23.61801!4d-45.4100373!16s%2Fg%2F12372lw4!19sChIJyQ2jHp1jzZQRNrTHV3msDSE?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Caraguatatuba - SP|associação desportiva classista Caraguatatuba - SP
c13351766f4cce94,Campo Estrela do morro,"Morro do Algodão, Caraguatatuba - SP, Brasil",-23.6852324,-45.4544179,,,,"4,5",45,Clube esportivo,,https://www.google.com/maps/place/Campo+Estrela+do+morro/data=!4m7!3m6!1s0x94cd7d25d5a05a17:0x5bd1601b0487acf8!8m2!3d-23.6852324!4d-45.4544179!16s%2Fg%2F11qbblg6bl!19sChIJF1qg1SV9zZQR-KyHBBtg0Vs?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Caraguatatuba - SP
c4d666bcec14f64b,Campo do sertão dos Tourinhos,"R. Manoel Ricardo Francisco, 56-122 - Massaguaçu, Caraguatatuba - SP, 11677-317, Brasil",-23.5798779,-45.337326,,Mostrar horário de funcionamento da semana,,"4,2",42,Clube esportivo,Aberto 24 horas,https://www.google.com/maps/place/Campo+do+sert%C3%A3o+dos+Tourinhos/data=!4m7!3m6!1s0x94cd67d84e4122eb:0xf25685cec338d19b!8m2!3d-23.5798779!4d-45.337326!16s%2Fg%2F11rtw697_3!19sChIJ6yJBTthnzZQRm9E4w86FVvI?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Caraguatatuba - SP
70ac3bea78090c39,CLUBE CENTER UNIDADE 03,"R. José Cândido Capeli, 395 - Porto Novo, Caraguatatuba - SP, 11667-480, Brasil",-23.6942149,-45.4339691,+55 11 91219-7434,,clucenter.com.br,"4,4",44,Pousada,,https://www.google.com/maps/place/CLUBE+CENTER+UNIDADE+03/data=!4m10!3m9!1s0x94d29d5e9857ebb9:0x30fe79be1a3c2e05!5m2!4m1!1i2!8m2!3d-23.6942149!4d-45.4339691!16s%2Fg%2F11c317vcl9!19sChIJuetXmF6d0pQRBS48Gr55_jA?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Caraguatatuba - SP
d2e42221bc30e1be,Clube da Bola - CARAGUATATUBA,"Av. Luiz Cláudio do Prado, 693 - Indaiá, Caraguatatuba - SP, 11665-295, Brasil",-23.629708,-45.429379,+55 12 98883-0399,Mostrar horário de funcionamento da semana,,"3,5",35,Parque esportivo,Aberto · Fecha 00:00,https://www.google.com/maps/place/Clube+da+Bola+-+CARAGUATATUBA/data=!4m7!3m6!1s0x94cd6394fe3f025b:0xae28326c87cf0028!8m2!3d-23.629708!4d-45.429379!16s%2Fg%2F11yzylnpl0!19sChIJWwI__pRjzZQRKADPh2wyKK4?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Caraguatatuba - SP
3d16fff37d7bff1e,Campo do Força Jovem F.C (Arena Toca do Gato),"Alameda Canal, 2-118 - Pontal de Santa Marina, Caraguatatuba - SP, 11666-820, Brasil",-23.6670875,-45.4483329,+55 12 99120-7108,Mostrar horário de funcionamento da semana,,"4,4",44,Campo de futebol,Fechado · Abre às 19:00,https://www.google.com/maps/place/Campo+do+For%C3%A7a+Jovem+F.C+%28Arena+Toca+do+Gato%29/data=!4m7!3m6!1s0x94cd630d25f437bf:0x58caa2ccd8f46322!8m2!3d-23.6670875!4d-45.4483329!16s%2Fg%2F11f61smfpg!19sChIJvzf0JQ1jzZQRImP02Myiylg?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Caraguatatuba - SP
3e45a6ad209d692f,Colonia De Férias Dos Metalurgicos De Campinas,"R. José Cândido Capeli, 290 - Porto Novo, Caraguatatuba - SP, 11669-330, Brasil",-23.6944258,-45.4331836,+55 12 3887-3930,,metalcampinas.org.br,"4,6",46,Hospedagem,,https://www.google.com/maps/place/Colonia+De+F%C3%A9rias+Dos+Metalurgicos+De+Campinas/data=!4m7!3m6!1s0x94d29d5ef22b08a5:0x3bf5e271ebe16eb2!8m2!3d-23.6944258!4d-45.4331836!16s%2Fg%2F11bv5vb24h!19sChIJpQgr8l6d0pQRsm7h63Hi9Ts?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Caraguatatuba - SP
1bbe00bffd329b92,Colônia de Férias dos Metalúrgicos de Guarulhos,"Av. Primeiro de Maio, 1420 - Porto Novo, Caraguatatuba - SP, 11668-150, Brasil",-23.6907634,-45.4372138,+55 12 3887-1250,Aberto 24 horas·Outros horários,metalurgico.org.br,"4,6",46,,,https://www.google.com/maps/place/Col%C3%B4nia+de+F%C3%A9rias+dos+Metal%C3%BArgicos+de+Guarulhos/data=!4m7!3m6!1s0x94d29d3685555553:0xe8ce9fe1a39cd398!8m2!3d-23.6907634!4d-45.4372138!16s%2Fg%2F1tmqmy5p!19sChIJU1VVhTad0pQRmNOco-Gfzug?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Caraguatatuba - SP
d90549ce417d1ade,Campo do XV de Caragua,"Tv. Olegário Nardi, 1 - Centro, Caraguatatuba - SP, 11660-175, Brasil",-23.6187229,-45.4109382,+55 12 99673-3308,Mostrar horário de funcionamento da semana,,"4,0",40,Campo de futebol,Aberto · Fecha 23:55,https://www.google.com/maps/place/Campo+do+XV+de+Caragua/data=!4m7!3m6!1s0x94cd639d12fcb4b9:0x6bd77a99a96d6dee!8m2!3d-23.6187229!4d-45.4109382!16s%2Fg%2F11c6vwbcwh!19sChIJubT8Ep1jzZQR7m1tqZl612s?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Caraguatatuba - SP
b98dc1c6ab639877,CLUBE DA METAMORFOSE FINANCEIRA,"BR-101, 434 - Centro, Caraguatatuba - SP, 11660-020, Brasil",-23.6215649,-45.4099484,+55 12 99201-6725,,,,,Clube de campo,,https://www.google.com/maps/place/CLUBE+DA+METAMORFOSE+FINANCEIRA/data=!4m7!3m6!1s0x94cd639e7c3014a3:0x9b977b109e340fe4!8m2!3d-23.6215649!4d-45.4099484!16s%2Fg%2F11nsrctmxy!19sChIJoxQwfJ5jzZQR5A80nhB7l5s?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Caraguatatuba - SP
66b9943e065f9de6,Colônia de Férias do Sindicato dos Metalúrgicos de SJCampos,"Rua Jose Vieira de Freitas Lide, 95 - Porto Novo, Caraguatatuba - SP, 11667-785, Brasil",-23.6956063,-45.4312616,+55 12 3887-1525,,,"4,8",48,Sindicato,,https://www.google.com/maps/place/Col%C3%B4nia+de+F%C3%A9rias+do+Sindicato+dos+Metal%C3%BArgicos+de+SJCampos/data=!4m7!3m6!1s0x94d29d5df6db8ae5:0x311b8dfbcdda664c!8m2!3d-23.6956063!4d-45.4312616!16s%2Fg%2F11dx9hqkd7!19sChIJ5Yrb9l2d0pQRTGbazfuNGzE?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Caraguatatuba - SP
4739670deadbedd0,Arena R&B Society,"Estr. do Rio Claro, 40 - Travessão, Caraguatatuba - SP, 11670-401, Brasil",-23.6921424,-45.4460563,+55 12 98206-0841,,facebook.com,"4,6",46,Campo de futebol,,https://www.google.com/maps/place/Arena+R%26B+Society/data=!4m7!3m6!1s0x94cd62a90b6c89e1:0x2721473db116f320!8m2!3d-23.6921424!4d-45.4460563!16s%2Fg%2F124ylv4yg!19sChIJ4YlsC6lizZQRIPMWsT1HISc?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Caraguatatuba - SP|escolinha de futebol Caraguatatuba - SP|escola de futebol Caraguatatuba - SP|associação desportiva classista Caraguatatuba - SP
