place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
04e96630e7c5b99f,Clube Recreativo Jequitibá,"R. José de Noronha Ferraz, 454 - Vila Resende, Caçapava - SP, 12282-060, Brasil",-23.1037552,-45.6962144,+55 12 3655-4873,Mostrar horário de funcionamento da semana,instagram.com,"4,6",46,Clube de campo,Aberto · Fecha 22:00,https://www.google.com/maps/place/Clube+Recreativo+Jequitib%C3%A1/data=!4m7!3m6!1s0x94cc515e272e8a33:0x20adba5166b01b4a!8m2!3d-23.1037552!4d-45.6962144!16s%2Fg%2F1v76_sjt!19sChIJM4ouJ15RzJQRShuwZlG6rSA?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Caçapava - SP|grêmio recreativo Caçapava - SP
ad31d1cd2cde4913,Clube ADC Mafersa,"Av. Ver. Altomir Spinelli, 111 - Jardim Campo Grande, Caçapava - SP, 12282-505, Brasil",-23.0990652,-45.6949757,+55 12 3653-4297,Mostrar horário de funcionamento da semana,,"4,5",45,Club,Aberto 24 horas,https://www.google.com/maps/place/Clube+ADC+Mafersa/data=!4m7!3m6!1s0x94cc517a8942e629:0xfabe090132f86713!8m2!3d-23.0990652!4d-45.6949757!16s%2Fg%2F1tcvk6jt!19sChIJKeZCiXpRzJQRE2f4MgEJvvo?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Caçapava - SP|associação de moradores Caçapava - SP
9cf57728d60fdd43,ASPMC / Associação Dos Servidores Publicos De Caçapava / Clube De Campo,"Caçapava - SP, Brasil",-23.0628038,-45.7321495,+55 12 3653-4178,Mostrar horário de funcionamento da semana,m.facebook.com,"4,3",43,Clube de campo,Fechado · Abre sáb. às 09:00,https://www.google.com/maps/place/ASPMC+%2F+Associa%C3%A7%C3%A3o+Dos+Servidores+Publicos+De+Ca%C3%A7apava+%2F+Clube+De+Campo/data=!4m7!3m6!1s0x94cc506aa0fb4ccb:0xf889fecf4aefada9!8m2!3d-23.0628038!4d-45.7321495!16s%2Fg%2F11bwh8pdwd!19sChIJy0z7oGpQzJQRqa3vSs_-ifg?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Caçapava - SP
fbfe84b6fb97dea7,Campo Airsoft ZONA DA MATA,"Av. Mal. Castelo Branco, 3952 - Vila Paraíso, Caçapava - SP, 12286-580, Brasil",-23.1150593,-45.7346979,+55 12 99147-0272,Mostrar horário de funcionamento da semana,,"4,8",48,Clube esportivo,Aberto · Fecha 18:00,https://www.google.com/maps/place/Campo+Airsoft+ZONA+DA+MATA/data=!4m7!3m6!1s0x94cc510056da6d9d:0x9dd76ba477a04618!8m2!3d-23.1150593!4d-45.7346979!16s%2Fg%2F11zkskwk4l!19sChIJnW3aVgBRzJQRGEagd6Rr150?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Caçapava - SP
37b819c59f5ba5bb,Grêmio Recreativo Nestlé de Caçapava,"R. Dr. José de Moura Resende, 1309 - Vera Cruz, Caçapava - SP, 12286-010, Brasil",-23.1082332,-45.7210129,,Mostrar horário de funcionamento da semana,nestle.com.br,"4,4",44,Clube,Aberto · Fecha 22:00,https://www.google.com/maps/place/Gr%C3%AAmio+Recreativo+Nestl%C3%A9+de+Ca%C3%A7apava/data=!4m7!3m6!1s0x94cc5184b642ba2f:0xcd41f3c07afdba50!8m2!3d-23.1082332!4d-45.7210129!16s%2Fg%2F1tdnm740!19sChIJL7pCtoRRzJQRULr9esDzQc0?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Caçapava - SP|grêmio recreativo Caçapava - SP
57d97b3f944cc872,Associação Atlética Caçapavense,"Av. da Integração - Jardim Maria Cândida, Caçapava - SP, Brasil",-23.111301,-45.7006335,+55 12 3653-2379,,,"4,0",40,Associação / organização,,https://www.google.com/maps/place/Associa%C3%A7%C3%A3o+Atl%C3%A9tica+Ca%C3%A7apavense/data=!4m7!3m6!1s0x94cc53d93a44a1ef:0x978006c9bf898755!8m2!3d-23.111301!4d-45.7006335!16s%2Fg%2F11b7hpz4nq!19sChIJ76FEOtlTzJQRVYeJv8kGgJc?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Caçapava - SP
9f854c80f569e39e,Chacara Souza,"760, Estr. Mun. Antonio Fidelis de souza - Vila Menino Jesus, Caçapava - SP, Brasil",-23.0681086,-45.7026192,,,,"4,4",44,Clube de campo,,https://www.google.com/maps/place/Chacara+Souza/data=!4m7!3m6!1s0x94cc50e30c0a6b33:0x7c0c8bcf637dd59a!8m2!3d-23.0681086!4d-45.7026192!16s%2Fg%2F11by_lm43n!19sChIJM2sKDONQzJQRmtV9Y8-LDHw?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Caçapava - SP
3ba409e1aa5ffd5b,SóCraques (Escola de Futebol em Caçapava),"R. José Venâncio Nogueira, 13 - Vila Naly, Caçapava - SP, 12280-028, Brasil",-23.0937659,-45.708011,+55 12 99225-1915,Mostrar horário de funcionamento da semana,,"3,9",39,Treino de futebol,Fechado · Abre às 18:00,https://www.google.com/maps/place/S%C3%B3Craques+%28Escola+de+Futebol+em+Ca%C3%A7apava%29/data=!4m7!3m6!1s0x94cc53ab99df1247:0xfbc8307901073b4b!8m2!3d-23.0937659!4d-45.708011!16s%2Fg%2F11h1yf_hyr!19sChIJRxLfmatTzJQRSzsHAXkwyPs?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Caçapava - SP|escola de futebol Caçapava - SP
831c0745ec506356,Escola Oficial do São Paulo Cacapava,"Av. Brasil, 70 - Vila Antônio Augusto Luiz, Caçapava - SP, 12286-070, Brasil",-23.1017354,-45.711015,+55 12 3652-6880,Mostrar horário de funcionamento da semana,,,,Escola pública,Aberto · Fecha 17:30,https://www.google.com/maps/place/Escola+Oficial+do+S%C3%A3o+Paulo+Cacapava/data=!4m7!3m6!1s0x94cc517741df0421:0x5cb218fa29d6ff7!8m2!3d-23.1017354!4d-45.711015!16s%2Fg%2F11bxc55c38!19sChIJIQTfQXdRzJQR92-doo8hywU?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Caçapava - SP|escola de futebol Caçapava - SP|escola particular Caçapava - SP|colégio particular Caçapava - SP
2f8d23cbfe1c252e,R10 Academy Caçapava,"Rod. João Amaral Gurgel, 3500 - Km 3 - Sape l, Caçapava - SP, 12285-020, Brasil",-23.1403016,-45.7205191,+55 12 98874-6957,Mostrar horário de funcionamento da semana,r10-cacapava.rds.land,,,Treino de futebol,Fechado · Abre às 15:00,https://www.google.com/maps/place/R10+Academy+Ca%C3%A7apava/data=!4m7!3m6!1s0x94cc534ea8f37a33:0x7c31aa4c2bc3ce7f!8m2!3d-23.1403016!4d-45.7205191!16s%2Fg%2F11mly4gkh5!19sChIJM3rzqE5TzJQRf87DK0yqMXw?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Caçapava - SP
