place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
1095bd69012a18e9,Clube De Campo São Camilo,"R. Costábile Comenale, 233 - Vila Jovina, Cotia - SP, 06705-130, Brasil",-23.5962337,-46.8967871,+55 11 4703-5931,,,"4,7",47,Clube de campo,,https://www.google.com/maps/place/Clube+De+Campo+S%C3%A3o+Camilo/data=!4m7!3m6!1s0x94cf0766df4d7f9d:0x13bee6ad8d2eccca!8m2!3d-23.5962337!4d-46.8967871!16s%2Fg%2F1v0lly0f!19sChIJnX9N32YHz5QRyswuja3mvhM?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Cotia - SP
db772ecc18517454,Thermas da Mata,"Estr. Morro Grande, 3000 - Jardim Isis, Cotia - SP, 06719-500, Brasil",-23.6237616,-46.9520776,+55 11 5555-0607,Fechado · Abre sex. às 10:00·Outros horários,thermasdamata.com.br,"4,5",45,Parque aquático,,https://www.google.com/maps/place/Thermas+da+Mata/data=!4m7!3m6!1s0x94cfa82610303349:0xcc0ce1ccf01865b1!8m2!3d-23.6237616!4d-46.9520776!16s%2Fg%2F11hrzf8q22!19sChIJSTMwECaoz5QRsWUY8MzhDMw?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Cotia - SP
b3245e60c698871b,Santapaula Country Club,"Av. Santa Paula, 10 - Jardim Santa Paula, Cotia - SP, 06720-380, Brasil",-23.628078,-46.973384,+55 11 98641-8453,,clubesantapaula.com.br,"4,5",45,Clube de campo,,https://www.google.com/maps/place/Santapaula+Country+Club/data=!4m7!3m6!1s0x94cf07fb74c9a771:0xd99a8710072dc2a4!8m2!3d-23.628078!4d-46.973384!16s%2Fg%2F1td4qvs0!19sChIJcafJdPsHz5QRpMItBxCHmtk?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Cotia - SP|grêmio recreativo Cotia - SP
709eb0bae2c73722,Escola Oficial SPFC Cotia Portão,"Estr. Macapá - Jardim Maria Tereza, Cotia - SP, 06703-590, Brasil",-23.6000987,-46.9092685,+55 11 95652-1880,,,"4,4",44,Treino de futebol,,https://www.google.com/maps/place/Escola+Oficial+SPFC+Cotia+Port%C3%A3o/data=!4m7!3m6!1s0x94cf0787a72a2955:0xb239dc211d62aaa!8m2!3d-23.6000987!4d-46.9092685!16s%2Fg%2F11q8xcvwjj!19sChIJVSkqp4cHz5QRqirWEcKdIws?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Cotia - SP|escola de futebol Cotia - SP|escola municipal Cotia - SP|escola particular Cotia - SP|colégio particular Cotia - SP
c1bfba18c99583ad,CFA Laudo Natel Cotia,"Av. Dr. Odair Pacheco Pedroso, 1700 - Vila Monte Serrat, Cotia - SP, 06717-200, Brasil",-23.6213979,-46.9149579,+55 11 4148-3293,Mostrar horário de funcionamento da semana,saopaulofc.net,"4,8",48,Centro de treinamento,Aberto 24 horas,https://www.google.com/maps/place/CFA+Laudo+Natel+Cotia/data=!4m7!3m6!1s0x94cfa9ede9d41fad:0x8da6e87d2bebeae6!8m2!3d-23.6213979!4d-46.9149579!16s%2Fg%2F1tf4g559!19sChIJrR_U6e2pz5QR5urrK33opo0?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Cotia - SP|escola de futebol Cotia - SP
e0fd7210eb859b6f,Escola de Futebol do Boca Juniors - Granja Viana,"R. Roma, 889 - Chácaras dos Lagos, Cotia - SP, 06708-640, Brasil",-23.5830562,-46.8426704,+55 11 4612-1618,,bocajuniorsbrasil.com.br,"4,4",44,Escola de esportes,,https://www.google.com/maps/place/Escola+de+Futebol+do+Boca+Juniors+-+Granja+Viana/data=!4m7!3m6!1s0x94cfaaa05d750161:0xee5e26b8b8fd4f28!8m2!3d-23.5830562!4d-46.8426704!16s%2Fg%2F12lvrh_fg!19sChIJYQF1XaCqz5QRKE_9uLgmXu4?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Cotia - SP|escola de futebol Cotia - SP|escola particular Cotia - SP|colégio particular Cotia - SP
b06f15ce15053162,Bembolado Complexo Esportivo Cotia,"R. José Menino, 186 - Parque Rincao, Cotia - SP, 06705-462, Brasil",-23.5980426,-46.8872926,+55 11 95376-4500,Fechado · Abre qui. às 08:00·Outros horários,bembolado.esp.br,"4,7",47,Academia,,https://www.google.com/maps/place/Bembolado+Complexo+Esportivo+Cotia/data=!4m7!3m6!1s0x94cfa986bbeceec9:0xc6c51e8afb4c9dc5!8m2!3d-23.5980426!4d-46.8872926!16s%2Fg%2F11h8n0b8s2!19sChIJye7su4apz5QRxZ1M-4oexcY?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Cotia - SP|escola de futebol Cotia - SP|escolinha de natação Cotia - SP|escola de natação Cotia - SP|escola particular Cotia - SP
ee99821f9567b605,Society Granja Viana,"Estr. Fernando Nobre, 200 - Parque Rincao, Cotia - SP, 06705-490, Brasil",-23.5940761,-46.8801073,+55 11 4612-0221,Mostrar horário de funcionamento da semana,societygranjaviana.com.br,"4,5",45,Quadra de esportes,Fecha em breve · 00:30 · Abre qui. às 08:00,https://www.google.com/maps/place/Society+Granja+Viana/data=!4m7!3m6!1s0x94cf009e3b52aea7:0x2ff12d768c5b62ce!8m2!3d-23.5940761!4d-46.8801073!16s%2Fg%2F1ptwtd2qs!19sChIJp65SO54Az5QRzmJbjHYt8S8?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Cotia - SP|escola de futebol Cotia - SP|grêmio recreativo Cotia - SP
741db25f75af9b72,Centro Esportivo Paraná,"Rua Nelson Rainere, 1300 - Lageado, Cotia - SP, 06702-155, Brasil",-23.594284,-46.925639,+55 11 97586-4835,Mostrar horário de funcionamento da semana,,"4,7",47,Local para práticas esportivas,Fecha em breve · 00:00 · Abre qui. às 12:00,https://www.google.com/maps/place/Centro+Esportivo+Paran%C3%A1/data=!4m7!3m6!1s0x94cf0798949789e3:0x215c827ce5f804e1!8m2!3d-23.594284!4d-46.925639!16s%2Fg%2F11fcvbpkhf!19sChIJ44mXlJgHz5QR4QT45XyCXCE?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Cotia - SP|escola de futebol Cotia - SP
e5ae63db7ab49650,escolaCOXA | Unidade Cotia-SP,"Roselândia, Cotia - SP, Brasil",-23.5773523,-46.9270975,+55 11 4261-1313,,escolacoxacotia.blogspot.com,"3,9",39,Treino de futebol,,https://www.google.com/maps/place/escolaCOXA+%7C+Unidade+Cotia-SP/data=!4m7!3m6!1s0x94cf076c9d878a55:0xacdce286aa073690!8m2!3d-23.5773523!4d-46.9270975!16s%2Fg%2F1vq75_gc!19sChIJVYqHnWwHz5QRkDYHqobi3Kw?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Cotia - SP|escola de futebol Cotia - SP
