place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
b184322c6b557ea0,SABAP Clube de Campo,"Av. Agenor Pires da Fonseca, 1060 - Jardim do Vale, Guaratinguetá - SP, 12519-010, Brasil",-22.7734054,-45.1819307,+55 12 3125-4966,Mostrar horário de funcionamento da semana,sabap01.blogspot.com.br,"4,4",44,Clube de campo,Aberto · Fecha 18:00,https://www.google.com/maps/place/SABAP+Clube+de+Campo/data=!4m7!3m6!1s0x94ccc678cbf1421b:0xdaf4eee664a2ec07!8m2!3d-22.7734054!4d-45.1819307!16s%2Fg%2F1q5gj1smx!19sChIJG0Lxy3jGzJQRB-yiZObu9No?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Guaratinguetá - SP|grêmio recreativo Guaratinguetá - SP|associação desportiva classista Guaratinguetá - SP
fcf14457a7ee841a,Clube de Campo dos Bancários de Guaratinguetá e Região,"Estr. Municipal - Estr. Vicinal Plínio Galvão César, Km 5 - Capituba, Guaratinguetá - SP, 12512-305, Brasil",-22.7536068,-45.2146163,+55 12 3122-3638,Mostrar horário de funcionamento da semana,bancariosgta.com.br,"4,7",47,Clube de campo,Aberto · Fecha 17:00,https://www.google.com/maps/place/Clube+de+Campo+dos+Banc%C3%A1rios+de+Guaratinguet%C3%A1+e+Regi%C3%A3o/data=!4m7!3m6!1s0x94ccc3ebf14e85b9:0xe5519d9c34fc989c!8m2!3d-22.7536068!4d-45.2146163!16s%2Fg%2F11b6hmh58c!19sChIJuYVO8evDzJQRnJj8NJydUeU?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Guaratinguetá - SP
52330fa05b8aeb9e,Clube de Campo Pedrinhas,"Estr. Pres. Tancredo Neves - Pedrinhas, Guaratinguetá - SP, 12508-010, Brasil",-22.7640791,-45.351688,+55 12 3127-6108,Mostrar horário de funcionamento da semana,facebook.com,"4,4",44,Clube de campo,Fechado · Abre qui. às 09:00,https://www.google.com/maps/place/Clube+de+Campo+Pedrinhas/data=!4m7!3m6!1s0x94ccc409b188344b:0x2b0d94e6c34179c9!8m2!3d-22.7640791!4d-45.351688!16s%2Fg%2F11b6htpy9z!19sChIJSzSIsQnEzJQRyXlBw-aUDSs?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Guaratinguetá - SP
0190c9f88a78308e,Clube do Nésio,"Estr. Vicinal Plínio Galvão César, 78 - Jardim Aeroporto, Guaratinguetá - SP, 12512-305, Brasil",-22.7480754,-45.2332978,+55 12 98704-5014,Mostrar horário de funcionamento da semana,,"4,3",43,Clube de campo,Aberto · Fecha 18:00,https://www.google.com/maps/place/Clube+do+N%C3%A9sio/data=!4m7!3m6!1s0x94ccc0d0da49c225:0x188dd416f805b62d!8m2!3d-22.7480754!4d-45.2332978!16s%2Fg%2F11cmd4qyjx!19sChIJJcJJ2tDAzJQRLbYF-BbUjRg?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Guaratinguetá - SP
747ae5e06d379c6e,Centro De Lazer Dos Comerciarios De Guaratingueta E Regiao,"Lot. Chacaras Sant Anna do Pingui, Guaratinguetá - SP, Brasil",-22.7614836,-45.2172972,+55 12 3122-4281,,,"4,5",45,Clube de campo,,https://www.google.com/maps/place/Centro+De+Lazer+Dos+Comerciarios+De+Guaratingueta+E+Regiao/data=!4m7!3m6!1s0x94ccc6b9dd6d85d7:0x382721eb4b353bcc!8m2!3d-22.7614836!4d-45.2172972!16s%2Fg%2F11bwgw49b4!19sChIJ14Vt3bnGzJQRzDs1S-shJzg?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Guaratinguetá - SP
333f14546c98d45e,Guará Tênis Clube,"R. Hilda Maria, 291 - Rio Comprido, Guaratinguetá - SP, 12500-000, Brasil",-22.782863,-45.1547972,,Mostrar horário de funcionamento da semana,,"4,6",46,Clube de campo,Aberto · Fecha 18:00,https://www.google.com/maps/place/Guar%C3%A1+T%C3%AAnis+Clube/data=!4m7!3m6!1s0x94ccc5f368daf959:0x8a2e00eba07f9d59!8m2!3d-22.782863!4d-45.1547972!16s%2Fg%2F11c1xnsp_1!19sChIJWfnaaPPFzJQRWZ1_oOsALoo?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Guaratinguetá - SP|grêmio recreativo Guaratinguetá - SP
5aab2592015441c1,CASOF,"Alameda Rio de Janeiro, 386-584 - Escola Aeronáutica, Guaratinguetá - SP, 12510-060, Brasil",-22.787046,-45.2293601,+55 12 99620-1941,Mostrar horário de funcionamento da semana,,"4,6",46,Clube de campo,Aberto · Fecha 19:00,https://www.google.com/maps/place/CASOF/data=!4m7!3m6!1s0x94ccc156ac221655:0x8c4a7efc93c307c9!8m2!3d-22.787046!4d-45.2293601!16s%2Fg%2F11g891mb9f!19sChIJVRYirFbBzJQRyQfDk_x-Sow?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Guaratinguetá - SP
5d989ebbfe845f32,Clube Light,"Bom Jardim II, Guaratinguetá - SP, Brasil",-22.7877608,-45.2597408,,,,"4,2",42,Clube de campo,,https://www.google.com/maps/place/Clube+Light/data=!4m7!3m6!1s0x94ccc175d3cad8c5:0xd8a9667f08b09c2e!8m2!3d-22.7877608!4d-45.2597408!16s%2Fg%2F11f3b0jdty!19sChIJxdjK03XBzJQRLpywCH9mqdg?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Guaratinguetá - SP
ce04d3090c31496f,Condomínio Campo Belo Clube,"Av. São Dimas, 305 - São Dimas, Guaratinguetá - SP, 12513-010, Brasil",-22.7829479,-45.2008452,,,,"4,5",45,Complexo de condomínio,,https://www.google.com/maps/place/Condom%C3%ADnio+Campo+Belo+Clube/data=!4m7!3m6!1s0x94ccc4272f026967:0xa366c25e89363752!8m2!3d-22.7829479!4d-45.2008452!16s%2Fg%2F11bv6pwlht!19sChIJZ2kCLyfEzJQRUjc2iV7CZqM?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Guaratinguetá - SP|condomínio Guaratinguetá - SP
c309eefe030369e8,Clube dos Alunos,"Av. Brg. Ademar Lírio, 388-476 - Escola Aeronáutica, Guaratinguetá - SP, 12510-020, Brasil",-22.788668,-45.2198164,,,,"5,0",50,Clube de campo,,https://www.google.com/maps/place/Clube+dos+Alunos/data=!4m7!3m6!1s0x94ccc401f832b839:0x6ae1bbb4ad4d4952!8m2!3d-22.788668!4d-45.2198164!16s%2Fg%2F11c5wmwpcm!19sChIJObgy-AHEzJQRUklNrbS74Wo?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Guaratinguetá - SP
