place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
8c64c15321dc7e15,Campo do Santa Rosa F.C,"Av. Artur Paixão, 193 - Vila Ligya, Guarujá - SP, 11430-060, Brasil",-23.9950747,-46.2888055,+55 13 3257-4002,Mostrar horário de funcionamento da semana,,"4,6",46,Campo de futebol,Aberto · Fecha 18:00,https://www.google.com/maps/place/Campo+do+Santa+Rosa+F.C/data=!4m7!3m6!1s0x94ce02011b5ec461:0xfca46e2f2368af02!8m2!3d-23.9950747!4d-46.2888055!16s%2Fg%2F11bccjgqh2!19sChIJYcReGwECzpQRAq9oIy9upPw?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Guarujá - SP|associação desportiva classista Guarujá - SP
e36573749a8e790b,Vila Souza Atlético Clube,"Av. Artur Costa Filho, 48 - Vila Maia, Guarujá - SP, 11410-080, Brasil",-23.9922599,-46.2542704,+55 13 3329-1051,Mostrar horário de funcionamento da semana,,"4,2",42,Clube esportivo,Aberto · Fecha 22:00,https://www.google.com/maps/place/Vila+Souza+Atl%C3%A9tico+Clube/data=!4m7!3m6!1s0x94d1fe28ebabe8c7:0xb02285a0a1786f6d!8m2!3d-23.9922599!4d-46.2542704!16s%2Fg%2F1vd3wywr!19sChIJx-ir6yj-0ZQRbW94oaCFIrA?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Guarujá - SP|escola de futebol Guarujá - SP
4da178bc0fcb16b2,Guarujá Golf Club,"Av. das Américas, 545 - Praia de Pernambuco, Guarujá - SP, 11444-090, Brasil",-23.9702224,-46.1936073,+55 13 3353-1090,Mostrar horário de funcionamento da semana,guarujagolfclub.com.br,"4,7",47,Clube de golfe,Aberto · Fecha 18:00,https://www.google.com/maps/place/Guaruj%C3%A1+Golf+Club/data=!4m7!3m6!1s0x94d2000dab9a8329:0x1269cb55231b8932!8m2!3d-23.9702224!4d-46.1936073!16s%2Fg%2F1ptw5q6vx!19sChIJKYOaqw0A0pQRMokbI1XLaRI?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Guarujá - SP
33935a9815d80bd6,Campo da Ponte Preta,"Jardim Las Palmas, Guarujá - SP, Brasil",-24.0078435,-46.2771671,,,,"4,2",42,Clube,,https://www.google.com/maps/place/Campo+da+Ponte+Preta/data=!4m7!3m6!1s0x94d1fe0de1e4debb:0x6fc4900d6edf0c3!8m2!3d-24.0078435!4d-46.2771671!16s%2Fg%2F11cs6969k_!19sChIJu97k4Q3-0ZQRw_Dt1gBJ_AY?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Guarujá - SP
7a3670fb59d7c7ce,Campo do Presidente,"Av. Pref. Domingos de Souza, 545 - Jardim Santa Maria, Guarujá - SP, 11432-130, Brasil",-23.987568,-46.278394,+55 13 99805-8548,Mostrar horário de funcionamento da semana,,"5,0",50,Clube,Fecha em breve · 17:00 · Abre qui. às 08:00,https://www.google.com/maps/place/Campo+do+Presidente/data=!4m7!3m6!1s0x94ce0100111a7253:0x7200dfd439d66ed3!8m2!3d-23.987568!4d-46.278394!16s%2Fg%2F11xfsvhyj0!19sChIJU3IaEQABzpQR027WOdTfAHI?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Guarujá - SP
66eeb036c9449f8b,Iate Clube de Santos - Sede Guarujá,"R. Funchal, 1140 - Jardim Santa Maria, Guarujá - SP, 11432-900, Brasil",-23.9895414,-46.2847256,+55 13 3348-4000,Aberto · Fecha 18:00·Outros horários,icsantos.com.br,"4,6",46,Clube de iatismo,,https://www.google.com/maps/place/Iate+Clube+de+Santos+-+Sede+Guaruj%C3%A1/data=!4m7!3m6!1s0x94ce01f8f2598b3b:0x9fc9d5c1528b9c46!8m2!3d-23.9895414!4d-46.2847256!16s%2Fg%2F1td3sm5q!19sChIJO4tZ8vgBzpQRRpyLUsHVyZ8?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Guarujá - SP
8da55588de3e1f26,Itapema Futebol Clube,"R. José Lourenço Guerra, 28 - Jardim Boa Esperanca (Vicente de Carvalho), Guarujá - SP, 11471-040, Brasil",-23.9631824,-46.274887,,,,"4,4",44,Clube de futebol,,https://www.google.com/maps/place/Itapema+Futebol+Clube/data=!4m7!3m6!1s0x94ce019ac8aef729:0xf36e7dbfa1f2b569!8m2!3d-23.9631824!4d-46.274887!16s%2Fg%2F11b6sw0519!19sChIJKfeuyJoBzpQRabXyob99bvM?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Guarujá - SP
acebf9db33e5b6f1,Centro Esportivo Gama Astúrias,"Av. dos Caiçaras, 765 - Jardim Las Palmas, Guarujá - SP, 11420-440, Brasil",-24.00354,-46.2730903,+55 13 98145-0960,Mostrar horário de funcionamento da semana,,"4,0",40,Clube esportivo,Aberto · Fecha 00:00,https://www.google.com/maps/place/Centro+Esportivo+Gama+Ast%C3%BArias/data=!4m7!3m6!1s0x94d1fe10f53dfed1:0xfaf4ff00eefda329!8m2!3d-24.00354!4d-46.2730903!16s%2Fg%2F11bw4701gw!19sChIJ0f499RD-0ZQRKaP97gD_9Po?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Guarujá - SP
ce2fee6d54e9b0a1,Grêmio Recreativo e Esportivo dos Funcionários Públicos da Prefeitura Municipal do Guarujá,"R. Ranulpho Veríssimo, 50 - Jardim Las Palmas, Guarujá - SP, 11420-495, Brasil",-24.0039055,-46.2748544,+55 13 3354-6202,Aberto · Fecha 22:00·Outros horários,,"4,4",44,Clube recreativo,,https://www.google.com/maps/place/Gr%C3%AAmio+Recreativo+e+Esportivo+dos+Funcion%C3%A1rios+P%C3%BAblicos+da+Prefeitura+Municipal+do+Guaruj%C3%A1/data=!4m7!3m6!1s0x94d1fe104247b2eb:0x93b4ed39ba56f880!8m2!3d-24.0039055!4d-46.2748544!16s%2Fg%2F1tgfxs74!19sChIJ67JHQhD-0ZQRgPhWujnttJM?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Guarujá - SP
47c305888b6a062b,Golden Ball Society Guarujá,"Av. Santos Dumont, 294-342 - Sítio Paecara (Vicente de Carvalho), Guarujá - SP, 11460-000, Brasil",-23.9727073,-46.2762196,+55 13 3332-0949,,,"4,4",44,Clube de futebol,,https://www.google.com/maps/place/Golden+Ball+Society+Guaruj%C3%A1/data=!4m7!3m6!1s0x94ce018d63847dbf:0xa0f75fe0ffbf3625!8m2!3d-23.9727073!4d-46.2762196!16s%2Fg%2F11csb0t110!19sChIJv32EY40BzpQRJTa__-Bf96A?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Guarujá - SP|escolinha de futebol Guarujá - SP|escola de futebol Guarujá - SP
