place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
a6773349f945f812,Esporte Clube Ilhabela,"Av. Força Expedicionária Brasileira, 75 - Santa Tereza, Ilhabela - SP, 11630-000, Brasil",-23.7757417,-45.357433,+55 12 98156-5860,Mostrar horário de funcionamento da semana,instagram.com,"4,6",46,Club,Aberto · Fecha 18:00,https://www.google.com/maps/place/Esporte+Clube+Ilhabela/data=!4m7!3m6!1s0x94d299757d0d22d3:0xef4cab08e34f51b2!8m2!3d-23.7757417!4d-45.357433!16s%2Fg%2F1tpn3qfn!19sChIJ0yINfXWZ0pQRslFP4wirTO8?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Ilhabela - SP|escolinha de futebol Ilhabela - SP|grêmio recreativo Ilhabela - SP|associação desportiva classista Ilhabela - SP
d52900678cb5db07,Sea Club,"Av. Pedro de Paula Moraes, 616 - Saco da Capela, Ilhabela - SP, 11630-000, Brasil",-23.7863459,-45.3599448,+55 11 92072-1411,Mostrar horário de funcionamento da semana,seaclub.com.br,"4,5",45,Restaurante,Fechado · Abre sáb. às 09:00,https://www.google.com/maps/place/Sea+Club/data=!4m7!3m6!1s0x94d299975ceac131:0xa89dd2e010715e3!8m2!3d-23.7863459!4d-45.3599448!16s%2Fg%2F11gzvcwt2!19sChIJMcHqXJeZ0pQR4xUHAS7diQo?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Ilhabela - SP|grêmio recreativo Ilhabela - SP
9cb3f79974728abe,Yacht Club de Ilhabela,"Av. Força Expedicionária Brasileira, 299 - Barreiro, Ilhabela - SP, 11630-000, Brasil",-23.7749149,-45.3555244,+55 12 3896-9160,Mostrar horário de funcionamento da semana,yci.com.br,"4,7",47,Clube de iatismo,Aberto · Fecha 22:00,https://www.google.com/maps/place/Yacht+Club+de+Ilhabela/data=!4m7!3m6!1s0x94d2990aab815c57:0xfdac77168a73eb02!8m2!3d-23.7749149!4d-45.3555244!16s%2Fg%2F1tg2ltms!19sChIJV1yBqwqZ0pQRAutzihZ3rP0?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Ilhabela - SP|grêmio recreativo Ilhabela - SP
e54edbb2d4cf781d,Clube de campo Ilha Bella,"BR-376, Imbaú - PR, 84250-000, Brasil",-24.4454114,-50.7606761,+55 42 99834-9543,Mostrar horário de funcionamento da semana,clubeilhabella.com.br,,,Clube,Aberto · Fecha 20:00,https://www.google.com/maps/place/Clube+de+campo+Ilha+Bella/data=!4m7!3m6!1s0x94e977357c7c8b61:0x8cfd077cf9e1554e!8m2!3d-24.4454114!4d-50.7606761!16s%2Fg%2F11ydz5ltj6!19sChIJYYt8fDV36ZQRTlXh-XwH_Yw?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Ilhabela - SP
61df8c7c75875b45,Clube da Carne Ilhabela,,-23.8023026,-45.3684133,+55 11 97886-1775,Aberto · Fecha 20:00·Outros horários,instagram.com,"4,9",49,Delivery,,https://www.google.com/maps/place/Clube+da+Carne+Ilhabela/data=!4m7!3m6!1s0x94d2992f8b617eed:0x6044b9ebaf200f31!8m2!3d-23.8023026!4d-45.3684133!16s%2Fg%2F11t42fbf12!19sChIJ7X5hiy-Z0pQRMQ8gr-u5RGA?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Ilhabela - SP
3d592deb82e5fc8c,Iate Clube de Santos - Sede Ilhabela,"Av. Luís Massa, 201 - Barreiro, Ilhabela - SP, 11630-000, Brasil",-23.7688524,-45.351969,+55 12 99724-2759,Mostrar horário de funcionamento da semana,anoz.com.br,"4,9",49,Local para eventos,Aberto · Fecha 19:00,https://www.google.com/maps/place/Iate+Clube+de+Santos+-+Sede+Ilhabela/data=!4m7!3m6!1s0x94d2990c0dcc4127:0x43543a5a8ffe7581!8m2!3d-23.7688524!4d-45.351969!16s%2Fg%2F11h94p4j1s!19sChIJJ0HMDQyZ0pQRgXX-j1o6VEM?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Ilhabela - SP
468a5c06c3f7bc4e,Campinho do Renan,"Av. Alm. Tamandaré, 1658 - Eng. d'Água, Ilhabela - SP, 11630-000, Brasil",-23.7946024,-45.364822,,Mostrar horário de funcionamento da semana,,"5,0",50,Clube,Aberto 24 horas,https://www.google.com/maps/place/Campinho+do+Renan/data=!4m7!3m6!1s0x94d2990073744cbd:0xae90f73e2b5cef08!8m2!3d-23.7946024!4d-45.364822!16s%2Fg%2F11xrfmvbcy!19sChIJvUx0cwCZ0pQRCO9cKz73kK4?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Ilhabela - SP
52b292f0f6719e00,Campo de Futebol,"Itaguassu, Ilhabela - SP, 11630-000, Brasil",-23.7999021,-45.361208,,,,"4,3",43,Clube,Permanentemente fechado,https://www.google.com/maps/place/Campo+de+Futebol/data=!4m7!3m6!1s0x94d299ec15c89677:0x72c9068e883a3815!8m2!3d-23.7999021!4d-45.361208!16s%2Fg%2F1td345q7!19sChIJd5bIFeyZ0pQRFTg6iI4GyXI?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Ilhabela - SP
da6d56635886f8dc,Escola de Esportes São João Ilhabela,"R. Raimundo Rodrigues dos Santos - Perequê, Ilhabela - SP, 11630-000, Brasil",-23.8145241,-45.3675736,+55 12 98284-5261,Mostrar horário de funcionamento da semana,,"5,0",50,Centro Educacional,Fechado · Abre às 17:00,https://www.google.com/maps/place/Escola+de+Esportes+S%C3%A3o+Jo%C3%A3o+Ilhabela/data=!4m7!3m6!1s0x94d299fc564314ab:0xec0838932b8d787e!8m2!3d-23.8145241!4d-45.3675736!16s%2Fg%2F11hc31c89y!19sChIJqxRDVvyZ0pQRfniNK5M4COw?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Ilhabela - SP
de20d68c1d70d558,Arena Ilhabela Beachtennis,"Av. Ernesto de Oliveira, 847 - Água Branca, Ilhabela - SP, 11631-028, Brasil",-23.8258262,-45.361672,+55 12 98882-4242,Mostrar horário de funcionamento da semana,instagram.com,"4,9",49,Quadra de esportes,Aberto · Fecha 22:00,https://www.google.com/maps/place/Arena+Ilhabela+Beachtennis/data=!4m7!3m6!1s0x94d297005dc27359:0xa39c508b9e0fbbac!8m2!3d-23.8258262!4d-45.361672!16s%2Fg%2F11wj0gjtcn!19sChIJWXPCXQCX0pQRrLsPnotQnKM?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Ilhabela - SP
61f97348cc60bdd4,Natação São João Ilhabela,"R. Raimundo Rodrigues dos Santos - Perequê, Ilhabela - SP, 11633-046, Brasil",-23.8142413,-45.3678518,+55 11 99916-3716,Mostrar horário de funcionamento da semana,instagram.com,"5,0",50,Escola de natação,Aberto · Fecha 19:00,https://www.google.com/maps/place/Nata%C3%A7%C3%A3o+S%C3%A3o+Jo%C3%A3o+Ilhabela/data=!4m7!3m6!1s0x94d2995c6835b35f:0x2fc981436eb60c72!8m2!3d-23.8142413!4d-45.3678518!16s%2Fg%2F11xf2zc5mn!19sChIJX7M1aFyZ0pQRcgy2bkOByS8?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Ilhabela - SP|escolinha de natação Ilhabela - SP|escola de natação Ilhabela - SP
dab6758531be410b,Pé na areia - Escola de vela,"Av. Pedro de Paula Moraes, Sn - Eng. d'Água, Ilhabela - SP, 11630-000, Brasil",-23.7912425,-45.3631248,+55 12 99168-4717,Mostrar horário de funcionamento da semana,,"4,6",46,Escola de esportes,Fecha em breve · 17:00 · Abre qui. às 10:00,https://www.google.com/maps/place/P%C3%A9+na+areia+-+Escola+de+vela/data=!4m7!3m6!1s0x94d2999ad09a6c4f:0xede3c7c97fe9e1d0!8m2!3d-23.7912425!4d-45.3631248!16s%2Fg%2F11h4kn3xkh!19sChIJT2ya0JqZ0pQR0OHpf8nH4-0?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Ilhabela - SP|escola municipal Ilhabela - SP|EMEI Ilhabela - SP
7d8fb52860f76d32,Academia Modella Center Ilhabela,"Av. Princesa Isabel, 809 - Perequê, Ilhabela - SP, 11630-000, Brasil",-23.811189,-45.365891,+55 12 3896-5878,Mostrar horário de funcionamento da semana,modellacenter.com.br,"4,6",46,Academia,Aberto · Fecha 22:00,https://www.google.com/maps/place/Academia+Modella+Center+Ilhabela/data=!4m7!3m6!1s0x94d299fb4451922b:0x66a09e8a2af27923!8m2!3d-23.811189!4d-45.365891!16s%2Fg%2F11fxxty9rm!19sChIJK5JRRPuZ0pQRI3nyKoqeoGY?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Ilhabela - SP|escolinha de natação Ilhabela - SP|escola de natação Ilhabela - SP
fbea953b5c103181,Campo do Galera,"Av. Cel. José Vicente de Faria Lima, 452 - Perequê, Ilhabela - SP, 11630-000, Brasil",-23.8194641,-45.3630308,,Mostrar horário de funcionamento da semana,,"4,3",43,Campo de futebol,Aberto · Fecha 22:00,https://www.google.com/maps/place/Campo+do+Galera/data=!4m7!3m6!1s0x94d297596030b6df:0x972d05bc888329b!8m2!3d-23.8194641!4d-45.3630308!16s%2Fg%2F11c1nw3snf!19sChIJ37YwYFmX0pQRmzKIyFvQcgk?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Ilhabela - SP
3d154021cda539c4,Dojô Shudo-Kan Karatê Ilhabela,"R. Florinda Maria de Jesus, 260 - Reino, Ilhabela - SP, 11630-000, Brasil",-23.8266848,-45.3532793,+55 12 99197-7700,Mostrar horário de funcionamento da semana,,"5,0",50,Escola de esportes,Fechado · Abre qui. às 18:00,https://www.google.com/maps/place/Doj%C3%B4+Shudo-Kan+Karat%C3%AA+Ilhabela/data=!4m7!3m6!1s0x94d297c53862e0bb:0x35d130bbdd03c646!8m2!3d-23.8266848!4d-45.3532793!16s%2Fg%2F11f7sg1t5w!19sChIJu-BiOMWX0pQRRsYD3bsw0TU?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Ilhabela - SP
93a0d14ca399ff13,Base Alpha Ilhabela,"Av. Princesa Isabel, 180 - Perequê, Ilhabela - SP, 11630-067, Brasil",-23.8057652,-45.3652136,+55 11 98090-2218,Mostrar horário de funcionamento da semana,instagram.com,"5,0",50,Sala de fitness,Fechado · Abre qui. às 06:00,https://www.google.com/maps/place/Base+Alpha+Ilhabela/data=!4m7!3m6!1s0x94d290f2dcbf1a25:0x43d95e1f08830340!8m2!3d-23.8057652!4d-45.3652136!16s%2Fg%2F1hjgmh_gx!19sChIJJRq_3PKQ0pQRQAODCB9e2UM?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Ilhabela - SP|escolinha de natação Ilhabela - SP|escola de natação Ilhabela - SP
d94b102431f0b493,Kitesurf Ilhabela - Escola De Kitesurf e Wakeboarding,"Brasil - Rua Posidonio Gomes da SIlva, 71 - Perequê, Ilhabela - SP, 11630-000, Brasil",-23.8118561,-45.3632373,+55 12 99146-4319,,kitesurfilhabela.com.br,"5,0",50,Escola de esportes,,https://www.google.com/maps/place/Kitesurf+Ilhabela+-+Escola+De+Kitesurf+e+Wakeboarding/data=!4m7!3m6!1s0x94d299fb3fcd20d1:0x1a4238eec131202f!8m2!3d-23.8118561!4d-45.3632373!16s%2Fg%2F11b7yt8zc_!19sChIJ0SDNP_uZ0pQRLyAxwe44Qho?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Ilhabela - SP
a574ec27f9477ef2,Escola de Vela Lars Grael,"Av. Santos Dumont, S/Nº - Pequeá, Ilhabela - SP, 11630-000, Brasil",-23.7872142,-45.3616539,+55 12 3896-6737,,,"4,7",47,Escola de iatismo,,https://www.google.com/maps/place/Escola+de+Vela+Lars+Grael/data=!4m7!3m6!1s0x94d2999a7544f5a3:0x64c921796cbec69b!8m2!3d-23.7872142!4d-45.3616539!16s%2Fg%2F11cs1_3yx0!19sChIJo_VEdZqZ0pQRm8a-bHkhyWQ?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Ilhabela - SP|escola municipal Ilhabela - SP
1367c813b74ebb5e,Wave Brazilian Jiu-jítsu,"Av. Alm. Tamandaré, 205 - Itaquanduba, Ilhabela - SP, 11630-000, Brasil",-23.7977354,-45.3636055,+55 12 98866-3735,Mostrar horário de funcionamento da semana,instagram.com,"5,0",50,Academia de artes marciais,Aberto · Fecha 22:00,https://www.google.com/maps/place/Wave+Brazilian+Jiu-j%C3%ADtsu/data=!4m7!3m6!1s0x94d299005248d451:0x24e45d5c79b3f8ee!8m2!3d-23.7977354!4d-45.3636055!16s%2Fg%2F11y6k7yq8r!19sChIJUdRIUgCZ0pQR7vizeVxd5CQ?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Ilhabela - SP
171eee8b686794f0,BEACHBOXE ILHABELA,"Av. Princesa Isabel, 171 - Itaguassu, Ilhabela - SP, 11630-000, Brasil",-23.8055241,-45.3649293,+55 12 99249-4218,Mostrar horário de funcionamento da semana,,,,Escola de esportes,Aberto · Fecha 23:00,https://www.google.com/maps/place/BEACHBOXE+ILHABELA/data=!4m7!3m6!1s0xa7f747355982d8d5:0xfe43f0ad1ad2880a!8m2!3d-23.8055241!4d-45.3649293!16s%2Fg%2F11vdn782l3!19sChIJ1diCWTVH96cRCojSGq3wQ_4?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Ilhabela - SP
