place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
2b0ebcb82c54fa72,Clube Itanhaem,"R. Cambuci, 1 - Tupy, Itanhaém - SP, 11740-000, Brasil",-24.2184705,-46.8494673,,,,"4,9",49,Club,,https://www.google.com/maps/place/Clube+Itanhaem/data=!4m7!3m6!1s0x94d02aebf5920c95:0xb838c8d05b6285d2!8m2!3d-24.2184705!4d-46.8494673!16s%2Fg%2F11clthyxn6!19sChIJlQyS9esq0JQR0oViW9DIOLg?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Itanhaém - SP|associação desportiva classista Itanhaém - SP
5084ccac9a9a91e3,Clube Náutico Itanhaem,"Rua Urcezino Ferreira, 448 - Boca da Barra, Itanhaém - SP, 11740-000, Brasil",-24.1860299,-46.7946807,+55 13 99754-3182,Mostrar horário de funcionamento da semana,clubenauticoitanhaem.com.br,"4,2",42,Clube de futebol,Fechado · Abre qui. às 09:00,https://www.google.com/maps/place/Clube+N%C3%A1utico+Itanhaem/data=!4m7!3m6!1s0x94d1d5707bd7a8c1:0xea1d14ce2201e776!8m2!3d-24.1860299!4d-46.7946807!16s%2Fg%2F1tdqpsvm!19sChIJwajXe3DV0ZQRducBIs4UHeo?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Itanhaém - SP|escolinha de futebol Itanhaém - SP|escola de futebol Itanhaém - SP|escolinha de natação Itanhaém - SP
3728febb8fca3017,Itanhaém Iate Clube,"R. Sebastião das Dores, 29 - Prainha, Itanhaém - SP, 11740-000, Brasil",-24.190231,-46.794594,+55 13 3422-4704,Mostrar horário de funcionamento da semana,,"4,4",44,Iate clube,Aberto · Fecha 20:00,https://www.google.com/maps/place/Itanha%C3%A9m+Iate+Clube/data=!4m7!3m6!1s0x94cfd547defd095f:0xa98a29ed3e94290c!8m2!3d-24.190231!4d-46.794594!16s%2Fg%2F1tdkc6bq!19sChIJXwn93kfVz5QRDCmUPu0piqk?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Itanhaém - SP|associação desportiva classista Itanhaém - SP
b7a7166d4b442072,ESPORTE CLUBE SÃO PAULO ITANHAÉM,"Savoy, Itanhaém - SP, 11740-000, Brasil",-24.1667195,-46.7824204,+55 13 99669-2620,,,"4,8",48,Clube esportivo,,https://www.google.com/maps/place/ESPORTE+CLUBE+S%C3%83O+PAULO+ITANHA%C3%89M/data=!4m7!3m6!1s0x94ce2b499bd1ffd3:0x1e3f396267c65af7!8m2!3d-24.1667195!4d-46.7824204!16s%2Fg%2F11rqbmtm38!19sChIJ0__Rm0krzpQR91rGZ2I5Px4?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Itanhaém - SP|escolinha de futebol Itanhaém - SP|escola de futebol Itanhaém - SP|associação desportiva classista Itanhaém - SP
9fb41260e1e2d423,Jacnay Atlético clube,"R. Equador, 403-529 - Balneario Gaivotas, Itanhaém - SP, 11740-000, Brasil",-24.1913471,-46.8227653,,,,"4,5",45,Clube de futebol,,https://www.google.com/maps/place/Jacnay+Atl%C3%A9tico+clube/data=!4m7!3m6!1s0x94d1d55375029579:0xe057f4e6bb201f24!8m2!3d-24.1913471!4d-46.8227653!16s%2Fg%2F11fx8f2n3y!19sChIJeZUCdVPV0ZQRJB8gu-b0V-A?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Itanhaém - SP
cf83eb7a072056f0,Sociedade Esportiva Palestra de Itanhaém,"Av. José Batista Campos - Oásis, Itanhaém - SP, 11740-000, Brasil",-24.1657731,-46.783747,,,,"4,5",45,Clube de futebol,,https://www.google.com/maps/place/Sociedade+Esportiva+Palestra+de+Itanha%C3%A9m/data=!4m7!3m6!1s0x94ce2ba22a83ddb7:0xde94899e6943e2ca!8m2!3d-24.1657731!4d-46.783747!16s%2Fg%2F11pv8sdt9n!19sChIJt92DKqIrzpQRyuJDaZ6JlN4?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Itanhaém - SP|escolinha de futebol Itanhaém - SP|escola de futebol Itanhaém - SP
8e4ce7aa85d47d3b,Itaú Unibanco Clube Itanhaém,"Av. Armênia Santa Júlia, 85 - São Fernando, Itanhaém - SP, 11740-000, Brasil",-24.2158172,-46.8525541,+55 13 3425-1511,,app.itauunibancoclube.com.br,"4,7",47,Associação / organização,,https://www.google.com/maps/place/Ita%C3%BA+Unibanco+Clube+Itanha%C3%A9m/data=!4m7!3m6!1s0x94d02a92cc137ad7:0x4af8c0dd0ca26480!8m2!3d-24.2158172!4d-46.8525541!16s%2Fg%2F1ydntp529!19sChIJ13oTzJIq0JQRgGSiDN3A-Eo?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Itanhaém - SP
7741bc5e5ac8a483,Campo Do São José,"R. Manoel Louzada - Tropical, Itanhaém - SP, 11740-000, Brasil",-24.1508553,-46.781307,,,,"4,4",44,Campo de futebol,,https://www.google.com/maps/place/Campo+Do+S%C3%A3o+Jos%C3%A9/data=!4m7!3m6!1s0x94ce2bc84d644f51:0x861c5fc7894a41c7!8m2!3d-24.1508553!4d-46.781307!16s%2Fg%2F11gmv27_2l!19sChIJUU9kTcgrzpQRx0FKicdfHIY?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Itanhaém - SP|escolinha de futebol Itanhaém - SP|escola de futebol Itanhaém - SP
bec12ef5cafbb06d,Tupy F.C Futebol club,"Av. Estados Unidos - Tupy, Itanhaém - SP, 11740-000, Brasil",-24.2039989,-46.8504209,+55 13 3425-6251,,,"5,0",50,Clube de futebol,,https://www.google.com/maps/place/Tupy+F.C+Futebol+club/data=!4m7!3m6!1s0x94d02b2c24e1fa47:0x7e9cb5f949a6da92!8m2!3d-24.2039989!4d-46.8504209!16s%2Fg%2F11mvnx5w45!19sChIJR_rhJCwr0JQRktqmSfm1nH4?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Itanhaém - SP
ca078161571d1a67,A. D. Vila Nova,"R. Oscar Pereira da Silva, 401 - Belas Artes, Itanhaém - SP, 11740-000, Brasil",-24.190302,-46.81225,+55 94 98437-8846,,,"4,5",45,Campo de futebol,,https://www.google.com/maps/place/A.+D.+Vila+Nova/data=!4m7!3m6!1s0x94d1d55b03f72f63:0xdfc694c894dd6c75!8m2!3d-24.190302!4d-46.81225!16s%2Fg%2F11d_7s38q1!19sChIJYy_3A1vV0ZQRdWzdlMiUxt8?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Itanhaém - SP|escolinha de futebol Itanhaém - SP|ADC Itanhaém - SP
