place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
0095fa5743ffe7c0,CAMPO DO BRASIL ITAQUÁ,"R. Santa Catarina - Morro Branco, Itaquaquecetuba - SP, 08572-430, Brasil",-23.4976033,-46.3465346,,Mostrar horário de funcionamento da semana,,"4,8",48,Clube,Aberto 24 horas,https://www.google.com/maps/place/CAMPO+DO+BRASIL+ITAQU%C3%81/data=!4m7!3m6!1s0x94ce7b005ee0f59d:0xf1325f3ec38aaf98!8m2!3d-23.4976033!4d-46.3465346!16s%2Fg%2F11vryz5hlf!19sChIJnfXgXgB7zpQRmK-Kwz5fMvE?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Itaquaquecetuba - SP
498749fa80071a9d,Grêmio Esportivo Veteranos de Itaquá,"R. Santa Rita de Cássia, 129 - Vila Japao, Itaquaquecetuba - SP, 08599-010, Brasil",-23.4690574,-46.3475024,+55 11 99308-1656,Mostrar horário de funcionamento da semana,,"4,6",46,Clube de futebol,Fechado · Abre às 09:00,https://www.google.com/maps/place/Gr%C3%AAmio+Esportivo+Veteranos+de+Itaqu%C3%A1/data=!4m7!3m6!1s0x94ce7cbf23e978a5:0x4d2af7741659bfab!8m2!3d-23.4690574!4d-46.3475024!16s%2Fg%2F1ttyxw8d!19sChIJpXjpI798zpQRq79ZFnT3Kk0?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Itaquaquecetuba - SP|escolinha de futebol Itaquaquecetuba - SP|escola de futebol Itaquaquecetuba - SP|grêmio recreativo Itaquaquecetuba - SP
7b8e7164c3fddfef,Campo do bandeirantes itaqua,"Casa do campo (antigo parquinho - Rod. Alberto Hinoto, 198 - Jardim Itapua, Itaquaquecetuba - SP, 08599-385, Brasil",-23.4719461,-46.3474394,,,,"5,0",50,Clube,,https://www.google.com/maps/place/Campo+do+bandeirantes+itaqua/data=!4m7!3m6!1s0x94ce7d0070a6bf7f:0x59edb5910af24192!8m2!3d-23.4719461!4d-46.3474394!16s%2Fg%2F11vs9sbnf4!19sChIJf7-mcAB9zpQRkkHyCpG17Vk?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Itaquaquecetuba - SP
4edb1cc20b8826c2,Nippon Country Club,"Estrada do Corredor, 4811 - Jardim Paineira, Itaquaquecetuba - SP, Brasil",-23.4359058,-46.3455791,+55 11 4648-4112,Mostrar horário de funcionamento da semana,,"4,4",44,Clube de campo,Fechado · Abre às 08:00,https://www.google.com/maps/place/Nippon+Country+Club/data=!4m7!3m6!1s0x94ce7d21f7a87205:0x2172ce0bdc06d20b!8m2!3d-23.4359058!4d-46.3455791!16s%2Fg%2F1t_khp1p!19sChIJBXKo9yF9zpQRC9IG3AvOciE?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Itaquaquecetuba - SP
18f74e560d11ddaa,Clube de Campo de São Paulo,"Praça Rockford, 28 - Vila Represa, São Paulo - SP, 04826-410, Brasil",-23.7348764,-46.7218602,+55 11 5923-5853,Mostrar horário de funcionamento da semana,clubedecampodesp.com.br,"4,7",47,Clube de campo,Fechado · Abre às 06:00,https://www.google.com/maps/place/Clube+de+Campo+de+S%C3%A3o+Paulo/data=!4m7!3m6!1s0x94ce4ef794ed93ff:0xc2dde65b322b8faa!8m2!3d-23.7348764!4d-46.7218602!16s%2Fg%2F11c2j7p11m!19sChIJ_5PtlPdOzpQRqo8rMlvm3cI?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Itaquaquecetuba - SP
d94fa3ba3f0b019a,Campo do Esporte Clube Campo Limpo,"R. Felicidade, 260 - Jardim Campo Limpo, Itaquaquecetuba - SP, Brasil",-23.4745362,-46.3139137,,Mostrar horário de funcionamento da semana,instagram.com,"5,0",50,Campo de futebol,Fechado · Abre dom. às 07:00,https://www.google.com/maps/place/Campo+do+Esporte+Clube+Campo+Limpo/data=!4m7!3m6!1s0x94ce7d001581fbb9:0x13f01afc945ec62b!8m2!3d-23.4745362!4d-46.3139137!16s%2Fg%2F11xzqvv8yj!19sChIJufuBFQB9zpQRK8ZelPwa8BM?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Itaquaquecetuba - SP
d4fa2f04d2b4ec4f,Amigos 40TÕES Itaquaquecetuba,"R. Nossa Sra. da Aparecida - Jardim Japao, Itaquaquecetuba - SP, 08599-040, Brasil",-23.4680561,-46.3468835,+55 11 98169-7399,Mostrar horário de funcionamento da semana,,"4,9",49,Clube de futebol americano,Fechado · Abre às 08:00,https://www.google.com/maps/place/Amigos+40T%C3%95ES+Itaquaquecetuba/data=!4m7!3m6!1s0x94ce7dca994b4651:0x1a3b5f7864115509!8m2!3d-23.4680561!4d-46.3468835!16s%2Fg%2F11ty76gm4q!19sChIJUUZLmcp9zpQRCVURZHhfOxo?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Itaquaquecetuba - SP
fe74414350615ff7,Clube De Tiro Ciminos,"Av. Pres. Tancredo Neves, 303 - Estação, Itaquaquecetuba - SP, 08571-000, Brasil",-23.4824839,-46.3505671,+55 11 4640-2160,Mostrar horário de funcionamento da semana,,"4,7",47,Clube de tiro,Fechado · Abre às 12:00,https://www.google.com/maps/place/Clube+De+Tiro+Ciminos/data=!4m7!3m6!1s0x94ce7ca5d178c6a3:0xf5e85bd310f94bad!8m2!3d-23.4824839!4d-46.3505671!16s%2Fg%2F11bwpbd9t2!19sChIJo8Z40aV8zpQRrUv5ENNb6PU?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Itaquaquecetuba - SP
a65f255857d024ad,Clube de Campo Mairiporã,"Rod. Fernão Dias, s/n - Cidade Jardim, Mairiporã - SP, 07600-000, Brasil",-23.3143848,-46.5845646,+55 11 4419-2005,Mostrar horário de funcionamento da semana,,"4,2",42,Clube de campo,Fechado · Abre às 08:00,https://www.google.com/maps/place/Clube+de+Campo+Mairipor%C3%A3/data=!4m7!3m6!1s0x94ceeddabdcd162f:0xfb90282d3e227e35!8m2!3d-23.3143848!4d-46.5845646!16s%2Fg%2F1ptx0lhn3!19sChIJLxbNvdrtzpQRNX4iPi0okPs?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Itaquaquecetuba - SP
09d029924d7b8204,Sitio Dunas,"R. Duque de Caxias, 317 - Centro, Itaquaquecetuba - SP, 08770-010, Brasil",-23.4782713,-46.3557346,+55 11 96359-4053,,,"4,1",41,Hospedagem,,https://www.google.com/maps/place/Sitio+Dunas/data=!4m7!3m6!1s0x94ce7cb1b0288d8f:0xecf0e27ff26c6371!8m2!3d-23.4782713!4d-46.3557346!16s%2Fg%2F11bvtd7t2b!19sChIJj40osLF8zpQRcWNs8n_i8Ow?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Itaquaquecetuba - SP
