place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
ea6f5bb0f8b6c1cd,Chute Inicial Corinthians Itu,"Pq - R. Cláudio Fonseca, 555 - Parque Nossa Sra. da Candelaria, Itu - SP, 13310-210, Brasil",-23.2692831,-47.3182534,+55 11 95383-4545,Mostrar horário de funcionamento da semana,corinthians.com.br,"4,9",49,Escola de esportes,Fechado · Abre sex. às 18:30,https://www.google.com/maps/place/Chute+Inicial+Corinthians+Itu/data=!4m7!3m6!1s0x94cf51371bb5c6e3:0x1e68e58753dce061!8m2!3d-23.2692831!4d-47.3182534!16s%2Fg%2F11klq_7s6n!19sChIJ48a1GzdRz5QRYeDcU4flaB4?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Itu - SP|escola de futebol Itu - SP|escola particular Itu - SP
3671680eedad28ad,Academia de Futebol Viváh,"R. Carolina Lucca Vaz, 50 - São Luiz, Itu - SP, 13303-519, Brasil",-23.2724914,-47.2854385,+55 11 93744-4977,Mostrar horário de funcionamento da semana,instagram.com,"4,8",48,Centro de treinamento,Fechado · Abre qui. às 15:00,https://www.google.com/maps/place/Academia+de+Futebol+Viv%C3%A1h/data=!4m7!3m6!1s0x94cf450bd1f6b80d:0xb1cf41f41eba88cd!8m2!3d-23.2724914!4d-47.2854385!16s%2Fg%2F11lk_7n8mp!19sChIJDbj20QtFz5QRzYi6HvRBz7E?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Itu - SP|escola de futebol Itu - SP
5eb453dd3abb7c30,Arena Soccer Society,"R. Me. Maria Basília, 708 - Centro, Itu - SP, 13309-049, Brasil",-23.2731196,-47.2938791,+55 11 2715-6533,,,"4,7",47,Treino de futebol,,https://www.google.com/maps/place/Arena+Soccer+Society/data=!4m7!3m6!1s0x94cf50004bf275bb:0xd7001a09f6ed371!8m2!3d-23.2731196!4d-47.2938791!16s%2Fg%2F11g6pxzc9n!19sChIJu3XySwBQz5QRcdNun6ABcA0?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Itu - SP|escola de futebol Itu - SP
66b61b9c43a71dd1,Núcleo de captação Grêmio Novorizontino Itu,"Praça Almeida Júnior, 708 - Vila Nova, Itu - SP, 13309-049, Brasil",-23.2731371,-47.2937712,+55 11 97428-2444,Mostrar horário de funcionamento da semana,,"5,0",50,Treino de futebol,Aberto 24 horas,https://www.google.com/maps/place/N%C3%BAcleo+de+capta%C3%A7%C3%A3o+Gr%C3%AAmio+Novorizontino+Itu/data=!4m7!3m6!1s0x94cf51637ee9ad1b:0xf08fa07ee9de6197!8m2!3d-23.2731371!4d-47.2937712!16s%2Fg%2F11l30z3k9f!19sChIJG63pfmNRz5QRl2He6X6gj_A?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Itu - SP|escola de futebol Itu - SP|escola particular Itu - SP
2883a8620929569c,Aston Academy - Escolinha de Futebol,"King Soccer - R. Gabriel de Bourbon Y Bourbon, 67, Itu - SP, 13304-060, Brasil",-23.2676502,-47.2866825,+55 11 95500-2474,Mostrar horário de funcionamento da semana,,"5,0",50,Treino de futebol,Aberto 24 horas,https://www.google.com/maps/place/Aston+Academy+-+Escolinha+de+Futebol/data=!4m7!3m6!1s0x94cf4f834fbfa627:0x52638efa07429f65!8m2!3d-23.2676502!4d-47.2866825!16s%2Fg%2F11w3bbdhwl!19sChIJJ6a_T4NPz5QRZZ9CB_qOY1I?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Itu - SP|escola de futebol Itu - SP
516c1c61c96ee91b,Elite Arena Galileu,"R. Dr. Felipe Nagibe Chebel, 225 - Centro, Itu - SP, 13300-220, Brasil",-23.262783,-47.3051452,+55 11 99935-9651,Mostrar horário de funcionamento da semana,lojalocal.com,"4,6",46,Campo de futebol,Aberto · Fecha 00:00,https://www.google.com/maps/place/Elite+Arena+Galileu/data=!4m7!3m6!1s0x94cf5016f81a9447:0x99e4646349535aea!8m2!3d-23.262783!4d-47.3051452!16s%2Fg%2F11c523hws0!19sChIJR5Qa-BZQz5QR6lpTSWNk5Jk?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Itu - SP|escola de futebol Itu - SP
95919a31e97ae35c,Elite Black,"R. Profa. Maria Salete de Castro Marmo, 459 - São Luiz, Itu - SP, 13304-210, Brasil",-23.267056,-47.277368,+55 11 99212-8068,Mostrar horário de funcionamento da semana,lojalocal.com,"4,8",48,Campo de futebol,Fecha em breve · 23:30 · Abre qui. às 08:15,https://www.google.com/maps/place/Elite+Black/data=!4m7!3m6!1s0x94cf4ff41bdd9291:0x1bf8ce16caaf505e!8m2!3d-23.267056!4d-47.277368!16s%2Fg%2F11cm_pn6r7!19sChIJkZLdG_RPz5QRXlCvyhbO-Bs?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Itu - SP|escola de futebol Itu - SP
5562ea6f8764c14a,Escola Oficial do Boca Juniors - Unidade Itu,"R. Profa. Maria Salete de Castro Marmo, 459 - São Luiz, Itu - SP, 13304-210, Brasil",-23.2670556,-47.2773684,+55 19 98397-6507,Mostrar horário de funcionamento da semana,linktr.ee,"4,7",47,Treino de futebol,Fechado · Abre qui. às 08:00,https://www.google.com/maps/place/Escola+Oficial+do+Boca+Juniors+-+Unidade+Itu/data=!4m7!3m6!1s0x94cf4ff2b1b5cc3d:0xe5bcf0d92e3bb16c!8m2!3d-23.2670556!4d-47.2773684!16s%2Fg%2F11w_jj1t1g!19sChIJPcy1sfJPz5QRbLE7LtnwvOU?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Itu - SP|escola de futebol Itu - SP|escola particular Itu - SP
f8f97faeac0d3453,Academia de Futebol CS,"Rua Dr. Felipe Nagib Chebel, 225 - Centro, Itu - SP, 13300-220, Brasil",-23.2627276,-47.3051072,+55 11 99571-6418,Mostrar horário de funcionamento da semana,instagram.com,"4,2",42,Treino de futebol,Fechado · Abre qui. às 07:45,https://www.google.com/maps/place/Academia+de+Futebol+CS/data=!4m7!3m6!1s0x94cf51003ccd3649:0x836fb5dc8ae2c4!8m2!3d-23.2627276!4d-47.3051072!16s%2Fg%2F11y44k0l_x!19sChIJSTbNPABRz5QRxOKK3LVvgwA?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Itu - SP|escola de futebol Itu - SP|associação desportiva classista Itu - SP
a608a7b979b9fbd9,Ituano Futebol Clube,"Av. Prudente de Moraes, 435 - Vila Nova, Itu - SP, 13309-050, Brasil",-23.2768961,-47.2901651,+55 11 4024-1665,Mostrar horário de funcionamento da semana,ituanofc.com,"4,4",44,Clube de futebol,Fechado · Abre qui. às 08:00,https://www.google.com/maps/place/Ituano+Futebol+Clube/data=!4m7!3m6!1s0x94cf4552749a49c1:0x53f1b8dacdc64a67!8m2!3d-23.2768961!4d-47.2901651!16s%2Fg%2F1td21dc1!19sChIJwUmadFJFz5QRZ0rGzdq48VM?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Itu - SP|escola de futebol Itu - SP
