place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
01b210c978e16152,Trianon Clube,"Av. Japão, 250 - Jardim Marister, Jacareí - SP, 12321-820, Brasil",-23.3053777,-45.9799363,+55 12 3953-2133,Mostrar horário de funcionamento da semana,trianonclube.com.br,"4,6",46,Club,Aberto · Fecha 22:00,https://www.google.com/maps/place/Trianon+Clube/data=!4m7!3m6!1s0x94cdcb6f9d174305:0xb905f359b9d5faf1!8m2!3d-23.3053777!4d-45.9799363!16s%2Fg%2F1t_khnf0!19sChIJBUMXnW_LzZQR8frVuVnzBbk?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Jacareí - SP|grêmio recreativo Jacareí - SP
e0f546acf217850a,Ponte Preta Futebol Clube,"R. Orual Salvador, 159 - Jardim Santa Maria, Jacareí - SP, 12328-000, Brasil",-23.2912708,-45.9625916,+55 12 97811-5577,Mostrar horário de funcionamento da semana,linktr.ee,"4,4",44,Clube de futebol,Aberto · Fecha 17:00,https://www.google.com/maps/place/Ponte+Preta+Futebol+Clube/data=!4m7!3m6!1s0x94cdcb4133dba951:0x6570737051585c53!8m2!3d-23.2912708!4d-45.9625916!16s%2Fg%2F1tfxht91!19sChIJUanbM0HLzZQRU1xYUXBzcGU?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Jacareí - SP
8ccc39e27bdbdf19,Campo futebol do Esporte Clube Elvira,"R. Projetada, 501 - Jardim Jacinto, Jacareí - SP, 12322-690, Brasil",-23.3011153,-45.990973,,,,"4,4",44,Clube,,https://www.google.com/maps/place/Campo+futebol+do+Esporte+Clube+Elvira/data=!4m7!3m6!1s0x94cdcd2c5eb974fd:0x4527c7ee973181f4!8m2!3d-23.3011153!4d-45.990973!16s%2Fg%2F11rfn2cq4f!19sChIJ_XS5XizNzZQR9IExl-7HJ0U?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Jacareí - SP
dcdbcc5345b5ab52,CLUBE ATLETICO BOA VONTADE,"Estr. Rio Comprido, 330 - Jacareí, SP, Brasil",-23.3080495,-45.9075021,,,,"4,8",48,Clube,,https://www.google.com/maps/place/CLUBE+ATLETICO+BOA+VONTADE/data=!4m7!3m6!1s0x94cdcb8d1d53cc4f:0x40d0bdd98794c8fb!8m2!3d-23.3080495!4d-45.9075021!16s%2Fg%2F11f9w6vq63!19sChIJT8xTHY3LzZQR-8iUh9m90EA?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Jacareí - SP
16467aab5cae9690,CLUBE JACAREÍ,"Av. Benedita Martins Siqueira, 293 - Jardim Emilia, Jacareí - SP, 12321-480, Brasil",-23.2932836,-45.9852546,+55 11 4210-3561,,,"3,5",35,Club,,https://www.google.com/maps/place/CLUBE+JACARE%C3%8D/data=!4m7!3m6!1s0x94cdccaf56e87925:0x5fa367f7d92e5d66!8m2!3d-23.2932836!4d-45.9852546!16s%2Fg%2F11j_z0g8_r!19sChIJJXnoVq_MzZQRZl0u2fdno18?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Jacareí - SP
ffcd1fe1ee0aa5bb,Campo do Balneário - Rugby Jacareí,"R. Miami, 660-690 - Cidade Jardim, Jacareí - SP, 12320-000, Brasil",-23.3187618,-45.9706878,,,,"4,5",45,Campo de rúgbi,,https://www.google.com/maps/place/Campo+do+Balne%C3%A1rio+-+Rugby+Jacare%C3%AD/data=!4m7!3m6!1s0x94cdcb0ce4f96eab:0x1f30dc64b7c15f60!8m2!3d-23.3187618!4d-45.9706878!16s%2Fg%2F11gl364zsq!19sChIJq2755AzLzZQRYF_Bt2TcMB8?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Jacareí - SP
02bf0146478684cf,SANTA BOLA,"R. Santa Cecília, 250 - Centro, Jacareí - SP, 12308-150, Brasil",-23.2974469,-45.9618924,+55 12 3354-1500,Mostrar horário de funcionamento da semana,,"4,7",47,Clube de futebol,Aberto 24 horas,https://www.google.com/maps/place/SANTA+BOLA/data=!4m7!3m6!1s0x94cdcb6b241af2c1:0xe308051d84ec153e!8m2!3d-23.2974469!4d-45.9618924!16s%2Fg%2F11ddx_r00p!19sChIJwfIaJGvLzZQRPhXshB0FCOM?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Jacareí - SP
53da3dbeadc4ca36,Esporte Clube Vila Garcia,"R. Rafael Barrios Madolen, 228 - Vila Sao Joao (Sao Silvestre), Jacareí - SP, 12341-130, Brasil",-23.3660906,-46.0186987,,,,"4,0",40,Club,,https://www.google.com/maps/place/Esporte+Clube+Vila+Garcia/data=!4m7!3m6!1s0x94cdcdd34fc0fe71:0xc927b7d164e4a3a1!8m2!3d-23.3660906!4d-46.0186987!16s%2Fg%2F11p65rghqk!19sChIJcf7AT9PNzZQRoaPkZNG3J8k?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Jacareí - SP
f79644172e79ab26,Clube de Campo Santa Rita AESJ,"Clube de Campo Santa Rita - Tv. Lineu de Moura, S/N - Urbanova, São José dos Campos - SP, 12244-380, Brasil",-23.19104,-45.9220527,+55 12 3949-9494,Mostrar horário de funcionamento da semana,aesj.com.br,"4,6",46,Clube,Aberto · Fecha 00:00,https://www.google.com/maps/place/Clube+de+Campo+Santa+Rita+AESJ/data=!4m7!3m6!1s0x94cc35e74d5bb5f3:0xbe8ba65dcd72436d!8m2!3d-23.19104!4d-45.9220527!16s%2Fg%2F1yfjb5dkq!19sChIJ87VbTec1zJQRbUNyzV2mi74?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Jacareí - SP
01366026b7631647,"Campo do Santa Marina, Jacareí","R. Alexandre Herculano, 100 - Jardim Santa Marina, Jacareí - SP, 12312-545, Brasil",-23.2958446,-45.9292178,,Mostrar horário de funcionamento da semana,,"3,8",38,Campo de futebol,Aberto 24 horas,"https://www.google.com/maps/place/Campo+do+Santa+Marina,+Jacare%C3%AD/data=!4m7!3m6!1s0x94cdcbb9080dbccd:0x402d67eddaf97ced!8m2!3d-23.2958446!4d-45.9292178!16s%2Fg%2F11f7h3btlj!19sChIJzbwNCLnLzZQR7Xz52u1nLUA?authuser=0&hl=pt-BR&rclk=1",scraper_gmaps|clube de campo Jacareí - SP
0599c69aee83a40f,Organização Campo das Oliveiras,"Av. Siqueira Campos, 263 - Centro, Jacareí - SP, 12308-190, Brasil",-23.2995315,-45.9610817,+55 12 3955-3900,Mostrar horário de funcionamento da semana,campodasoliveiras.com.br,"4,6",46,Casa funerária,Aberto 24 horas,https://www.google.com/maps/place/Organiza%C3%A7%C3%A3o+Campo+das+Oliveiras/data=!4m7!3m6!1s0x94cdcbd8de2bd807:0x5f47d170c7300ab!8m2!3d-23.2995315!4d-45.9610817!16s%2Fg%2F11s595tr1g!19sChIJB9gr3tjLzZQRqwBzDBd99AU?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Jacareí - SP
b0aa8f315fbcccc7,Estádio Municipal Du Cambusano,"R. Pixinguinha, 169 - Lot. Villa Branca, Jacareí - SP, 12301-010, Brasil",-23.2742019,-45.9418735,,,,"3,9",39,Estádio de futebol,,https://www.google.com/maps/place/Est%C3%A1dio+Municipal+Du+Cambusano/data=!4m7!3m6!1s0x94cdcb29e29adeaf:0xefae1aea316a4405!8m2!3d-23.2742019!4d-45.9418735!16s%2Fg%2F11bwc519yy!19sChIJr96a4inLzZQRBURqMeoaru8?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Jacareí - SP
