place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
d86248354135baba,Clube de Campo SITICECOM,"R. Laurentina de Sampaio Sar, 305 - Chácara Antonieta, Limeira - SP, 13484-501, Brasil",-22.558793,-47.4374317,+55 19 3453-7577,Mostrar horário de funcionamento da semana,facebook.com,"4,4",44,Clube,Aberto · Fecha 22:00,https://www.google.com/maps/place/Clube+de+Campo+SITICECOM/data=!4m7!3m6!1s0x94c88008beb655f1:0x515dd5fc6a37f24d!8m2!3d-22.558793!4d-47.4374317!16s%2Fg%2F1vfwdzgl!19sChIJ8VW2vgiAyJQRTfI3avzVXVE?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Limeira - SP
29f215b0ea54c109,Clube de Campo dos Metalúrgicos,"R. dos Metalúrgicos, 190 - Chácara Antonieta, Limeira - SP, 13484-505, Brasil",-22.5603763,-47.4375159,+55 19 3441-4774,Mostrar horário de funcionamento da semana,,"4,5",45,Clube,Fechado · Abre qui. às 09:00,https://www.google.com/maps/place/Clube+de+Campo+dos+Metal%C3%BArgicos/data=!4m7!3m6!1s0x94c8800f114b96ed:0xff7dd4320dbe0e35!8m2!3d-22.5603763!4d-47.4375159!16s%2Fg%2F1ptzmvc98!19sChIJ7ZZLEQ-AyJQRNQ6-DTLUff8?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Limeira - SP
e2741c7b216945b7,Limeira Futebol Clube,"R. Claudinez Ragonha, 124 - Jardim Canaa, Limeira - SP, 13486-717, Brasil",-22.5544872,-47.3890151,+55 19 3442-3133,Mostrar horário de funcionamento da semana,limeirafutebolclube.com.br,"4,5",45,Clube de futebol,Aberto 24 horas,https://www.google.com/maps/place/Limeira+Futebol+Clube/data=!4m7!3m6!1s0x94c880be4cebbd1f:0xc88e0a957f9edf49!8m2!3d-22.5544872!4d-47.3890151!16s%2Fg%2F11byfln8jw!19sChIJH73rTL6AyJQRSd-ef5UKjsg?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Limeira - SP|escolinha de futebol Limeira - SP|escola de futebol Limeira - SP
d34e5e8f9338d7e7,Nosso Clube,"Avenida Ana Carolina de Barros Levy, 325 - Vila Paraiso, Limeira - SP, 13480-755, Brasil",-22.559186,-47.4086339,+55 19 3404-8466,Mostrar horário de funcionamento da semana,nossoclube.com.br,"4,6",46,Clube recreativo,Aberto · Fecha 22:00,https://www.google.com/maps/place/Nosso+Clube/data=!4m7!3m6!1s0x94c8808a2092d181:0x92b25aeb92735942!8m2!3d-22.559186!4d-47.4086339!16s%2Fg%2F1tdym9q_!19sChIJgdGSIIqAyJQRQllzkutaspI?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Limeira - SP|escola de futebol Limeira - SP|escolinha de natação Limeira - SP|grêmio recreativo Limeira - SP
b1b69e661eea7c06,Clube dos Comerciários de Limeira,"R. Arquiteta Sueli Fior Godói, 530 - Vila Limeiranea, Limeira - SP, 13482-462, Brasil",-22.572791,-47.4294691,+55 19 3444-4939,Mostrar horário de funcionamento da semana,sinecol.com.br,"4,6",46,Clube de campo,Aberto · Fecha 22:00,https://www.google.com/maps/place/Clube+dos+Comerci%C3%A1rios+de+Limeira/data=!4m7!3m6!1s0x94c8803f42aaaaab:0xdd78901d87e54ff5!8m2!3d-22.572791!4d-47.4294691!16s%2Fg%2F1tdh9k37!19sChIJq6qqQj-AyJQR9U_lhx2QeN0?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Limeira - SP
8b13ddb84e302820,Centro Rural de Limeira,"Limeira - SP, Brasil",-22.537202,-47.2806071,+55 19 98359-4939,,,"4,5",45,Clube de campo,,https://www.google.com/maps/place/Centro+Rural+de+Limeira/data=!4m7!3m6!1s0x94c888624d117e67:0x2ac95db37222a64!8m2!3d-22.537202!4d-47.2806071!16s%2Fg%2F11dxk_0j3p!19sChIJZ34RTWKIyJQRZCoiN9uVrAI?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Limeira - SP
8585fda3f5df398f,AABB Limeira,"R. Manoel David, 210 - Jardim Nossa Sra. de Fatima, Limeira - SP, 13482-374, Brasil",-22.567461,-47.4285812,+55 19 3441-0832,Mostrar horário de funcionamento da semana,limeira.aabb.com.br,"4,7",47,Clube,Aberto · Fecha 22:00,https://www.google.com/maps/place/AABB+Limeira/data=!4m7!3m6!1s0x94c8806b5748e183:0x2b531e3a157edd2d!8m2!3d-22.567461!4d-47.4285812!16s%2Fg%2F1td59qsc!19sChIJg-FIV2uAyJQRLd1-FToeUys?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Limeira - SP
8e9d6612c492457c,Campo Do Parronchi,"Limeira - SP, Brasil",-22.5898913,-47.4631792,,,,"4,1",41,Clube de campo,,https://www.google.com/maps/place/Campo+Do+Parronchi/data=!4m7!3m6!1s0x94c62a8e1d573451:0xe135ccdae76a0133!8m2!3d-22.5898913!4d-47.4631792!16s%2Fg%2F11hd6vr2k1!19sChIJUTRXHY4qxpQRMwFq59rMNeE?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Limeira - SP
498724a2a14c1a95,THIÉ SPORTS,"R. Prof. Rui Côrte Brilho, 645 - Chácara Antonieta, Limeira - SP, 13484-507, Brasil",-22.56244,-47.4370086,+55 19 99155-4959,Mostrar horário de funcionamento da semana,thiesports.com.br,"4,7",47,Escola de esportes,Aberto · Fecha 22:00,https://www.google.com/maps/place/THI%C3%89+SPORTS/data=!4m7!3m6!1s0x94c8800fb121de19:0xfee1283ab448b73f!8m2!3d-22.56244!4d-47.4370086!16s%2Fg%2F11f66v729m!19sChIJGd4hsQ-AyJQRP7dItDoo4f4?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Limeira - SP|escola de futebol Limeira - SP
5d10dd61d415a1d6,Chute Inicial Corinthians Limeira,"Av. Comendador Agostinho Prada, 3825 - Jardim Maria Buchi Modeneis, Limeira - SP, 13482-220, Brasil",-22.5832099,-47.4271469,+55 19 98880-1378,Mostrar horário de funcionamento da semana,corinthians.com.br,"4,0",40,Escola de esportes,Aberto · Fecha 23:10,https://www.google.com/maps/place/Chute+Inicial+Corinthians+Limeira/data=!4m7!3m6!1s0x94c88175ae88ffe9:0xb699f00cbe9d0bc7!8m2!3d-22.5832099!4d-47.4271469!16s%2Fg%2F11f9yn2ylt!19sChIJ6f-IrnWByJQRxwudvgzwmbY?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Limeira - SP|escola de futebol Limeira - SP
