place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
aa69778bf6884af0,Cofap Clube,"R. Rosa Kasinski, 802 - Capuava, Mauá - SP, 09380-128, Brasil",-23.6583646,-46.4862898,,Mostrar horário de funcionamento da semana,,"4,4",44,Clube recreativo,Aberto 24 horas,https://www.google.com/maps/place/Cofap+Clube/data=!4m7!3m6!1s0x94ce69afe148a59d:0x77f4087619897a5c!8m2!3d-23.6583646!4d-46.4862898!16s%2Fg%2F11bxfj6802!19sChIJnaVI4a9pzpQRXHqJGXYI9Hc?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Mauá - SP|grêmio recreativo Mauá - SP
2b9b1d1ff0baf800,Independente Futebol Clube,"R. Brás Cubas, 1335 - Vila Bocaina, Mauá - SP, 09310-730, Brasil",-23.6725114,-46.4434433,+55 11 4514-2146,Mostrar horário de funcionamento da semana,independentefc.com.br,"4,5",45,Clube recreativo,Fechado · Abre às 08:00,https://www.google.com/maps/place/Independente+Futebol+Clube/data=!4m7!3m6!1s0x94ce69561c0d4eb7:0x3822f0ac0c080e92!8m2!3d-23.6725114!4d-46.4434433!16s%2Fg%2F1tm89kwm!19sChIJt04NHFZpzpQRkg4IDKzwIjg?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Mauá - SP|escolinha de futebol Mauá - SP|escola de futebol Mauá - SP|grêmio recreativo Mauá - SP|associação desportiva classista Mauá - SP
7e99b9d15aac6b03,Grêmio Esportivo Mauaense,"R. Pedro de Tolêdo, 341 - Parque Sao Vicente, Mauá - SP, 09371-060, Brasil",-23.6694444,-46.4738889,+55 11 4585-5888,Mostrar horário de funcionamento da semana,gremiomauaense.wordpress.com,"4,2",42,Clube de futebol,Fechado · Abre às 09:00,https://www.google.com/maps/place/Gr%C3%AAmio+Esportivo+Mauaense/data=!4m7!3m6!1s0x94ce6976c7f2f94d:0x7d49740bb89b9c11!8m2!3d-23.6694444!4d-46.4738889!16s%2Fg%2F1v9gwltx!19sChIJTfnyx3ZpzpQREZybuAt0SX0?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Mauá - SP|escolinha de futebol Mauá - SP|escola de futebol Mauá - SP|grêmio recreativo Mauá - SP
fa707255a2f5308b,Bola na Rede Mauá,"R. Jaír Balo, 159 - Alto da Boa Vista, Mauá - SP, 09390-105, Brasil",-23.6515964,-46.4505293,+55 11 97275-1030,,,"4,4",44,Clube,,https://www.google.com/maps/place/Bola+na+Rede+Mau%C3%A1/data=!4m7!3m6!1s0x94ce693992409677:0xf896c8e8fa380262!8m2!3d-23.6515964!4d-46.4505293!16s%2Fg%2F11c5zwktbh!19sChIJd5ZAkjlpzpQRYgI4-ujIlvg?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Mauá - SP|escolinha de futebol Mauá - SP|escola de futebol Mauá - SP
d626e34353a06283,Associação Atlética Industrial,"R. Dr. Fernando Costa, 391 - Vila Emilio, Mauá - SP, 09310-250, Brasil",-23.6685071,-46.4450765,+55 11 4545-5800,Mostrar horário de funcionamento da semana,instagram.com,"4,3",43,Clube recreativo,Fechado · Abre às 09:00,https://www.google.com/maps/place/Associa%C3%A7%C3%A3o+Atl%C3%A9tica+Industrial/data=!4m7!3m6!1s0x94ce6956d0283245:0x26e8116d3c855cae!8m2!3d-23.6685071!4d-46.4450765!16s%2Fg%2F1tdzmpr_!19sChIJRTIo0FZpzpQRrlyFPG0R6CY?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Mauá - SP|grêmio recreativo Mauá - SP|associação desportiva classista Mauá - SP
dded4ecf4ba9f041,São João Futebol Clube,"R. Ipê - Jardim Estrela, Mauá - SP, 09340-570, Brasil",-23.6700175,-46.4251918,,Mostrar horário de funcionamento da semana,,"4,2",42,Clube de futebol,Fechado · Abre às 08:00,https://www.google.com/maps/place/S%C3%A3o+Jo%C3%A3o+Futebol+Clube/data=!4m7!3m6!1s0x94ce6c1c04af4b47:0xfb9d72c34ffa8a80!8m2!3d-23.6700175!4d-46.4251918!16s%2Fg%2F11ddyd417s!19sChIJR0uvBBxszpQRgIr6T8Nynfs?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Mauá - SP|escolinha de futebol Mauá - SP
685614a1a46e2253,Campo do Juá em Mauá.,"Av. Washington Luiz, 1361 - Vila Magini, Mauá - SP, 09390-140, Brasil",-23.6609168,-46.449779,,,,"4,1",41,Campo de futebol,,https://www.google.com/maps/place/Campo+do+Ju%C3%A1+em+Mau%C3%A1./data=!4m7!3m6!1s0x94ce6945e3d056f9:0x4c089f8ca3c50e4f!8m2!3d-23.6609168!4d-46.449779!16s%2Fg%2F11bzyp9bth!19sChIJ-VbQ40VpzpQRTw7Fo4yfCEw?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Mauá - SP|escola de futebol Mauá - SP
4dd18bcc1f9f9a98,Campo do Vila Mercedes (Sintético),"R. Cícero Rodrigues da Silva, 378 - Vila Mercedes, Mauá - SP, 09361-380, Brasil",-23.6996383,-46.4495811,+55 11 4513-8521,Mostrar horário de funcionamento da semana,m.facebook.com,"4,5",45,Campo de futebol,Fechado · Abre às 08:00,https://www.google.com/maps/place/Campo+do+Vila+Mercedes+%28Sint%C3%A9tico%29/data=!4m7!3m6!1s0x94ce6b91c0060845:0x7a834215a0ec64b!8m2!3d-23.6996383!4d-46.4495811!16s%2Fg%2F11c554646d!19sChIJRQgGwJFrzpQRS8YOWiE0qAc?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Mauá - SP
275cbccaf1e92c36,Grêmio Esportivo Jd. Maringá,"R. Nelson Máximo, 1-59 - RP11 (Regiões de Planejamento), Mauá - SP, 09341-260, Brasil",-23.6642779,-46.4305034,,,,"4,3",43,Campo de futebol,,https://www.google.com/maps/place/Gr%C3%AAmio+Esportivo+Jd.+Maring%C3%A1/data=!4m7!3m6!1s0x94ce6ea8966971fb:0x7d8dff7e27425225!8m2!3d-23.6642779!4d-46.4305034!16s%2Fg%2F11c1tgmry2!19sChIJ-3FplqhuzpQRJVJCJ37_jX0?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Mauá - SP|escolinha de futebol Mauá - SP|escola de futebol Mauá - SP|grêmio recreativo Mauá - SP
9bae43ff3e2a3cf5,Campo Do Beira Rio,"R. Pedro de Tolêdo, 488 - Parque Sao Vicente, Mauá - SP, 09371-060, Brasil",-23.6684181,-46.4724595,,Mostrar horário de funcionamento da semana,,"3,9",39,Campo de futebol,Fechado · Abre sáb. às 08:00,https://www.google.com/maps/place/Campo+Do+Beira+Rio/data=!4m7!3m6!1s0x94ce69715ef6dc1b:0x7b8aba5792c92ddd!8m2!3d-23.6684181!4d-46.4724595!16s%2Fg%2F11btwqjcjf!19sChIJG9z2XnFpzpQR3S3Jkle6ins?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Mauá - SP
9bcda763b7bcc7d3,Campo Distrital José Pires de Arruda,"Vila Assis Brasil, Mauá - SP, 09361-510, Brasil",-23.6849425,-46.461913,,,,"4,8",48,Clube,,https://www.google.com/maps/place/Campo+Distrital+Jos%C3%A9+Pires+de+Arruda/data=!4m7!3m6!1s0x94ce6b0053d3ee1b:0xe7dea53fe3969f3e!8m2!3d-23.6849425!4d-46.461913!16s%2Fg%2F11vm3t0h7l!19sChIJG-7TUwBrzpQRPp-W4z-l3uc?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Mauá - SP
