place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
d8ac41814acb5ee5,Casa porto andaimes,"R. Silvano Ribeiro Diroz, 210 - Balneario Mongaguá, Mongaguá - SP, 11730-000, Brasil",-24.0950846,-46.6278571,,Mostrar horário de funcionamento da semana,instagram.com,"4,3",43,Clube de futebol,Fechado · Abre qui. às 08:00,https://www.google.com/maps/place/Casa+porto+andaimes/data=!4m7!3m6!1s0x94ce270b2846f631:0xc403f684be6f800a!8m2!3d-24.0950846!4d-46.6278571!16s%2Fg%2F1ptw6lwjw!19sChIJMfZGKAsnzpQRCoBvvoT2A8Q?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Mongaguá - SP|escolinha de futebol Mongaguá - SP|escola de futebol Mongaguá - SP|grêmio recreativo Mongaguá - SP
c799a21b47d43107,Campo de Futebol,"Balneário Itaóca, Mongaguá - SP, 11730-000, Brasil",-24.1209514,-46.6801957,,Mostrar horário de funcionamento da semana,,"4,4",44,Clube,Aberto 24 horas,https://www.google.com/maps/place/Campo+de+Futebol/data=!4m7!3m6!1s0x94ce280df656ce11:0xef248d1dfa164ae7!8m2!3d-24.1209514!4d-46.6801957!16s%2Fg%2F1vxzbrb9!19sChIJEc5W9g0ozpQR50oW-h2NJO8?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Mongaguá - SP|escolinha de futebol Mongaguá - SP
d645760028c2c425,PORTAL AQUA CLUBE Mongaguá,"Estr. Cachoeira, 1800 - Area Rural - Agenor de Campos, Mongaguá - SP, 11730-000, Brasil",-24.0884956,-46.7339953,+55 13 99702-5247,,,"4,4",44,Piscina,,https://www.google.com/maps/place/PORTAL+AQUA+CLUBE+Mongagu%C3%A1/data=!4m7!3m6!1s0x94ce29f623f73643:0xbe4dea576f31ad0c!8m2!3d-24.0884956!4d-46.7339953!16s%2Fg%2F11fctckzgx!19sChIJQzb3I_YpzpQRDK0xb1fqTb4?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Mongaguá - SP
a5bdc84146a9aef0,Campo de Futebol Do ITAGUAÍ,"R. Lucio, R. Maria Paula Ferreira Leite - Balneario Plataforma II, Mongaguá - SP, 11730-000, Brasil",-24.1293907,-46.7068102,+55 13 99727-5286,Mostrar horário de funcionamento da semana,business.google.com,"3,9",39,Clube,Fechado · Abre sáb. às 09:00,https://www.google.com/maps/place/Campo+de+Futebol+Do+ITAGUA%C3%8D/data=!4m7!3m6!1s0x94ce29363dbca27f:0xc1cef09159b24163!8m2!3d-24.1293907!4d-46.7068102!16s%2Fg%2F11smwgxcbk!19sChIJf6K8PTYpzpQRY0GyWZHwzsE?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Mongaguá - SP
b398f350b8e08dbf,Campo de Futebol Primavera,"Jardim Primavera, Mongaguá - SP, 11730-000, Brasil",-24.1211264,-46.7019941,,Mostrar horário de funcionamento da semana,,"4,1",41,Campo de futebol,Aberto 24 horas,https://www.google.com/maps/place/Campo+de+Futebol+Primavera/data=!4m7!3m6!1s0x94ce2849212d6365:0x65624a0ff7e246d!8m2!3d-24.1211264!4d-46.7019941!16s%2Fg%2F1tkc36sw!19sChIJZWMtIUkozpQRbSR-_6AkVgY?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Mongaguá - SP
d3ed3898f16c1c17,CAMPO DO AGENOR - ZÉ DO BONÉ,"R. Euclides Belchior do Nascimento, 1061 - Balneario de Birigui, Mongaguá - SP, 11730-000, Brasil",-24.12386,-46.6977441,,Mostrar horário de funcionamento da semana,instagram.com,"4,7",47,Campo de futebol,Aberto · Fecha 20:00,https://www.google.com/maps/place/CAMPO+DO+AGENOR+-+Z%C3%89+DO+BON%C3%89/data=!4m7!3m6!1s0x94ce29b2379e6d6d:0xfcde7289e0427920!8m2!3d-24.12386!4d-46.6977441!16s%2Fg%2F11sxnbc31t!19sChIJbW2eN7IpzpQRIHlC4Ily3vw?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Mongaguá - SP
cb6f2cc214962672,campo vila operaria,"Rua São Vicente de Paulo, 1071 - Vila Vera Cruz, Mongaguá - SP, 11730-000, Brasil",-24.0948163,-46.6487582,,Mostrar horário de funcionamento da semana,,"3,4",34,Clube esportivo,Aberto 24 horas,https://www.google.com/maps/place/campo+vila+operaria/data=!4m7!3m6!1s0x94ce27e7d653eeb3:0x1cfaa6392cd24e40!8m2!3d-24.0948163!4d-46.6487582!16s%2Fg%2F11kk5lhxxt!19sChIJs-5T1ucnzpQRQE7SLDmm-hw?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Mongaguá - SP
18f74e560d11ddaa,Clube de Campo de São Paulo,"Praça Rockford, 28 - Vila Represa, São Paulo - SP, 04826-410, Brasil",-23.7348764,-46.7218602,+55 11 5923-5853,Mostrar horário de funcionamento da semana,clubedecampodesp.com.br,"4,7",47,Clube de campo,Fecha em breve · 18:00 · Abre qui. às 06:00,https://www.google.com/maps/place/Clube+de+Campo+de+S%C3%A3o+Paulo/data=!4m7!3m6!1s0x94ce4ef794ed93ff:0xc2dde65b322b8faa!8m2!3d-23.7348764!4d-46.7218602!16s%2Fg%2F11c2j7p11m!19sChIJ_5PtlPdOzpQRqo8rMlvm3cI?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Mongaguá - SP|grêmio recreativo Mongaguá - SP
2c35759ec1207afa,Praia Agenor de Campos,"Mongaguá - SP, Brasil",-24.1338526,-46.6927797,,,,"4,5",45,Praia,,https://www.google.com/maps/place/Praia+Agenor+de+Campos/data=!4m7!3m6!1s0x94ce282409117bab:0x93018c1ce4146ca1!8m2!3d-24.1338526!4d-46.6927797!16s%2Fg%2F11b6g9l0jf!19sChIJq3sRCSQozpQRoWwU5ByMAZM?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Mongaguá - SP
62d94c10df06b9ee,Plataforma de Pesca,"Av. Dom Pedro I, 73 - Balneario Itaguaí, Mongaguá - SP, 11730-000, Brasil",-24.1342557,-46.6926392,,Mostrar horário de funcionamento da semana,mongagua.sp.gov.br,"4,5",45,Cais de pesca,Aberto 24 horas,https://www.google.com/maps/place/Plataforma+de+Pesca/data=!4m7!3m6!1s0x94ce2823b1112a8f:0x8644bba86f77ea9a!8m2!3d-24.1342557!4d-46.6926392!16s%2Fg%2F11f1z8mq7v!19sChIJjyoRsSMozpQRmup3b6i7RIY?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Mongaguá - SP
