place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
afebd3c97685d4fe,Campo Jardim Conceição,"Av. dos Trabalhadores - Conceicao, Osasco - SP, 06145-077, Brasil",-23.5788207,-46.8044076,+55 11 3652-9518,Mostrar horário de funcionamento da semana,facebook.com,"4,5",45,Campo de futebol,Fechado · Abre qui. às 07:00,https://www.google.com/maps/place/Campo+Jardim+Concei%C3%A7%C3%A3o/data=!4m7!3m6!1s0x94ce55686dfe4501:0x1914d985f5c1bbed!8m2!3d-23.5788207!4d-46.8044076!16s%2Fg%2F11gf8fnsqj!19sChIJAUX-bWhVzpQR7bvB9YXZFBk?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Osasco - SP
2555e3ca10c36ccc,Clube dos Subtenentes e Sargentos do II Exército,"Av. Luís Rink, 187 - Vila São José, Osasco - SP, 06290-150, Brasil",-23.5180377,-46.7751426,+55 11 94594-9567,Mostrar horário de funcionamento da semana,clubedossargentos.com.br,"4,3",43,Clube,Fechado · Abre qui. às 09:00,https://www.google.com/maps/place/Clube+dos+Subtenentes+e+Sargentos+do+II+Ex%C3%A9rcito/data=!4m7!3m6!1s0x94cefee29b419a3d:0xedbda56c808dc6ed!8m2!3d-23.5180377!4d-46.7751426!16s%2Fg%2F1tdk1r27!19sChIJPZpBm-L-zpQR7caNgGylve0?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Osasco - SP|grêmio recreativo Osasco - SP
18f74e560d11ddaa,Clube de Campo de São Paulo,"Praça Rockford, 28 - Vila Represa, São Paulo - SP, 04826-410, Brasil",-23.7348764,-46.7218602,+55 11 5923-5853,Mostrar horário de funcionamento da semana,clubedecampodesp.com.br,"4,7",47,Clube de campo,Fechado · Abre qui. às 06:00,https://www.google.com/maps/place/Clube+de+Campo+de+S%C3%A3o+Paulo/data=!4m7!3m6!1s0x94ce4ef794ed93ff:0xc2dde65b322b8faa!8m2!3d-23.7348764!4d-46.7218602!16s%2Fg%2F11c2j7p11m!19sChIJ_5PtlPdOzpQRqo8rMlvm3cI?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Osasco - SP
4551de27d0b5c8dc,Delta Futebol Clube,"R. Rio Paranapanema, 850 - Piratininga, Osasco - SP, 06233-000, Brasil",-23.5140464,-46.7945575,,,google.com.br,"4,4",44,Campo de futebol,,https://www.google.com/maps/place/Delta+Futebol+Clube/data=!4m7!3m6!1s0x94cefe5b0e87a819:0xa96cc180b94bd2ef!8m2!3d-23.5140464!4d-46.7945575!16s%2Fg%2F11d_1n2bvg!19sChIJGaiHDlv-zpQR79JLuYDBbKk?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Osasco - SP
4d22b28eca4c8b94,Campo do Sociedade Esportiva Califórnia,"Pestana, Osasco - SP, 02675-031, Brasil",-23.5422006,-46.8016016,,Mostrar horário de funcionamento da semana,facebook.com,"4,9",49,Clube,Fechado · Abre sáb. à 00:00,https://www.google.com/maps/place/Campo+do+Sociedade+Esportiva+Calif%C3%B3rnia/data=!4m7!3m6!1s0x94ceff4586638727:0x8813f426d3c2f42d!8m2!3d-23.5422006!4d-46.8016016!16s%2Fg%2F11fn1dtlsf!19sChIJJ4djhkX_zpQRLfTC0yb0E4g?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Osasco - SP
163e23eca819e02f,Arena Eucaliptos,"R. Jacinto José de Souza, 174 - Portal D'oeste, Osasco - SP, 06263-265, Brasil",-23.4917491,-46.7942626,+55 11 4325-1001,Mostrar horário de funcionamento da semana,,"4,6",46,Campo de futebol,Fechado · Abre qui. às 06:00,https://www.google.com/maps/place/Arena+Eucaliptos/data=!4m7!3m6!1s0x94ceff5d08c3e7db:0xf30a9bb68f251c41!8m2!3d-23.4917491!4d-46.7942626!16s%2Fg%2F11fhnfg4h2!19sChIJ2-fDCF3_zpQRQRwlj7abCvM?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Osasco - SP|escolinha de futebol Osasco - SP|escola de futebol Osasco - SP
a40e0739e5e1c4e8,ACM Osasco,"Av. das Flores, 453 - Jardim das Flores, Osasco - SP, 06110-160, Brasil",-23.5334742,-46.7889931,+55 11 3685-8900,Mostrar horário de funcionamento da semana,acmsaopaulo.org.br,"4,5",45,Academia,Fechado · Abre qui. às 06:00,https://www.google.com/maps/place/ACM+Osasco/data=!4m7!3m6!1s0x94ceffa8ec046cdd:0x1811af581f70f9b2!8m2!3d-23.5334742!4d-46.7889931!16s%2Fg%2F1tf7nq6j!19sChIJ3WwE7Kj_zpQRsvlwH1ivERg?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Osasco - SP|escolinha de natação Osasco - SP|escola de natação Osasco - SP
185b846438e587f8,Arena Osasquinho,"R. João Antônio Simões, 109 - Vila Osasco, Osasco - SP, 06080-270, Brasil",-23.5429763,-46.7821051,+55 11 95712-7563,Mostrar horário de funcionamento da semana,,"4,1",41,Campo de futebol,Aberto 24 horas,https://www.google.com/maps/place/Arena+Osasquinho/data=!4m7!3m6!1s0x94ceff74b629ad8b:0x97d0dfc7009690ac!8m2!3d-23.5429763!4d-46.7821051!16s%2Fg%2F11b7xsmh_b!19sChIJi60ptnT_zpQRrJCWAMff0Jc?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Osasco - SP|escolinha de futebol Osasco - SP|escola de futebol Osasco - SP
cc5a7d565cba6604,Campo Vila Isabel,"Av. Eucalípto, 281 - Cidade das Flores, Osasco - SP, 06184-330, Brasil",-23.5326959,-46.8079437,,,,"4,9",49,Clube,,https://www.google.com/maps/place/Campo+Vila+Isabel/data=!4m7!3m6!1s0x94ceff000bc86017:0xf771ce8608a7aab!8m2!3d-23.5326959!4d-46.8079437!16s%2Fg%2F11md8305mc!19sChIJF2DICwD_zpQRq3qKYOgcdw8?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Osasco - SP
c70da942f17a6023,Escola Oficial do Santos Futebol Clube,"R. São Jorge, 693 - Pestana, Osasco - SP, 06180-080, Brasil",-23.5383527,-46.8034634,+55 11 3681-7727,Mostrar horário de funcionamento da semana,meninosdavila.net.br,"4,7",47,Campo de futebol,Fechado · Abre qui. às 08:00,https://www.google.com/maps/place/Escola+Oficial+do+Santos+Futebol+Clube/data=!4m7!3m6!1s0x94ceffb70a8798eb:0x2fbd945b871990e9!8m2!3d-23.5383527!4d-46.8034634!16s%2Fg%2F11c609j8cm!19sChIJ65iHCrf_zpQR6ZAZh1uUvS8?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Osasco - SP|escolinha de futebol Osasco - SP|escola de futebol Osasco - SP|grêmio recreativo Osasco - SP
