place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
3b5ba509dddcedcf,Clube de Campo Park Real,"Unnamed Road, Peruíbe - SP, 11750-000, Brasil",-24.2649009,-47.031745,+55 13 99680-4589,Mostrar horário de funcionamento da semana,clubeparkreal.com.br,"4,8",48,Clube de campo,Aberto 24 horas,https://www.google.com/maps/place/Clube+de+Campo+Park+Real/data=!4m7!3m6!1s0x94d027e76f6fc3c1:0x452beff310e6c31d!8m2!3d-24.2649009!4d-47.031745!16s%2Fg%2F11qmbfn4nq!19sChIJwcNvb-cn0JQRHcPmEPPvK0U?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Peruíbe - SP
fcf8a061671ecb49,Campo E.C. CARAGUAVA ( CARLITÃO),"R. Assembleia de Deus, 520 - Jd Caraminguava, Peruíbe - SP, 11750-000, Brasil",-24.3027515,-47.0230865,,,,"4,5",45,Clube,,https://www.google.com/maps/place/Campo+E.C.+CARAGUAVA+%28+CARLIT%C3%83O%29/data=!4m7!3m6!1s0x94d02716e1645bad:0xeb3f6af61fcb5c8e!8m2!3d-24.3027515!4d-47.0230865!16s%2Fg%2F11rb_y_wrt!19sChIJrVtk4RYn0JQRjlzLH_ZqP-s?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Peruíbe - SP
0d1e9b3bf6236c8b,Centro Esportivo Peruibão,"Rua Barão de Mauá, 87 - Centro, Peruíbe - SP, 11750-000, Brasil",-24.327589,-47.0014128,+55 13 3453-4834,Mostrar horário de funcionamento da semana,,"4,5",45,Local para eventos,Fechado · Abre qui. à 00:00,https://www.google.com/maps/place/Centro+Esportivo+Peruib%C3%A3o/data=!4m7!3m6!1s0x94d025dfb319b553:0xc8415b55a26b8753!8m2!3d-24.327589!4d-47.0014128!16s%2Fg%2F11bzv3r32z!19sChIJU7UZs98l0JQRU4drolVbQcg?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Peruíbe - SP|escolinha de futebol Peruíbe - SP|escola de futebol Peruíbe - SP
8556a4bd7c4ca319,Esporte Clube União,"R. José Arranjo, 420 - Bairro dos Prados, Peruíbe - SP, 11750-000, Brasil",-24.2718029,-46.948738,,,,"4,8",48,Campo de futebol,,https://www.google.com/maps/place/Esporte+Clube+Uni%C3%A3o/data=!4m7!3m6!1s0x94d02920a557792b:0x5c3c4c463b1cbfba!8m2!3d-24.2718029!4d-46.948738!16s%2Fg%2F11jdhdmc62!19sChIJK3lXpSAp0JQRur8cO0ZMPFw?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Peruíbe - SP|escolinha de futebol Peruíbe - SP
551c892bef8e1725,Veca Esporte Clube,"Jardim Star, Peruíbe - SP, 11750-000, Brasil",-24.2757612,-46.9509264,+55 13 98485-2256,,,"4,7",47,Club,,https://www.google.com/maps/place/Veca+Esporte+Clube/data=!4m7!3m6!1s0x94d028fa0a19f663:0x67fc8e6dc66fc0a5!8m2!3d-24.2757612!4d-46.9509264!16s%2Fg%2F11fps6f7ks!19sChIJY_YZCvoo0JQRpcBvxm2O_Gc?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Peruíbe - SP
67182c9c4c2fb5bd,Esporte Clube Bahia Peruíbe,"R. Dr. Itatiba, 200 - Jardim Caraminguava, Peruíbe - SP, 11750-000, Brasil",-24.308659,-47.0179593,,Mostrar horário de funcionamento da semana,,"4,9",49,Clube,Fechado · Abre qui. às 06:00,https://www.google.com/maps/place/Esporte+Clube+Bahia+Peru%C3%ADbe/data=!4m7!3m6!1s0x94d02704539e3fd1:0xb27830ad2fb01900!8m2!3d-24.308659!4d-47.0179593!16s%2Fg%2F11nn7bfqy0!19sChIJ0T-eUwQn0JQRABmwL60weLI?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Peruíbe - SP
9597919fae59692f,Esporte Clube Estrela D'Alva,"R. Prudente de Moraes, 1920 - Vila Romar, Peruíbe - SP, 11750-000, Brasil",-24.3026123,-46.9992294,+55 13 99619-7184,,facebook.com,"4,6",46,Quadra de esportes,,https://www.google.com/maps/place/Esporte+Clube+Estrela+D%27Alva/data=!4m7!3m6!1s0x94d0263f7c820485:0xbcea97b72be2c783!8m2!3d-24.3026123!4d-46.9992294!16s%2Fg%2F11j3tm8nk6!19sChIJhQSCfD8m0JQRg8fiK7eX6rw?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Peruíbe - SP|escolinha de futebol Peruíbe - SP
6d66d8d41db3380a,Parkboll,"503, R. Augusto De Lima, 321 - Residencial Park D'Aville, Peruíbe - SP, 11750-000, Brasil",-24.3115292,-47.0075507,+55 13 3455-7822,Mostrar horário de funcionamento da semana,,"4,6",46,Quadra de esportes,Aberto 24 horas,https://www.google.com/maps/place/Parkboll/data=!4m7!3m6!1s0x94d02668dc6ef5eb:0x24f531b20501977a!8m2!3d-24.3115292!4d-47.0075507!16s%2Fg%2F11ckw289nf!19sChIJ6_Vu3Ggm0JQRepcBBbIx9SQ?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Peruíbe - SP
527b7abee69709c0,Ginásio De Esportes Peruíbe,"865, R. Abílio A Monteiro, 535 - Centro, Peruíbe - SP, 11750-000, Brasil",-24.3249905,-47.0073729,+55 13 98816-8592,,,"4,4",44,Instituição educacional,,https://www.google.com/maps/place/Gin%C3%A1sio+De+Esportes+Peru%C3%ADbe/data=!4m7!3m6!1s0x94d02677aac3caa3:0x4f4e0a74a0fcf58d!8m2!3d-24.3249905!4d-47.0073729!16s%2Fg%2F11b7q5lgyc!19sChIJo8rDqncm0JQRjfX8oHQKTk8?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Peruíbe - SP
06a384d1cfdd2290,Campo de Futebol Jardim Veneza -Peruibe.,"R. Sócrates Ananiades, 196 - Jardim Veneza, Peruíbe - SP, 11750-000, Brasil",-24.3237065,-47.0136946,,,,"4,4",44,Campo de futebol,,https://www.google.com/maps/place/Campo+de+Futebol+Jardim+Veneza+-Peruibe./data=!4m7!3m6!1s0x94d027c9c664c7b9:0xd9b2806b863e4f09!8m2!3d-24.3237065!4d-47.0136946!16s%2Fg%2F11nx0y2l4w!19sChIJucdkxskn0JQRCU8-hmuAstk?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Peruíbe - SP
