place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
007af4ee0154c242,Clube de Campo Piracuama - Dando Vida a Sua Vida!,"Estr. Mun. João Jorge Saad, 474 - Piracuama, Pindamonhangaba - SP, 12423-762, Brasil",-22.8510543,-45.6009061,+55 12 99681-2301,Aberto · Fecha 22:00·Outros horários,clubedecampopiracuama.com.br,"4,5",45,Clube de campo,,https://www.google.com/maps/place/Clube+de+Campo+Piracuama+-+Dando+Vida+a+Sua+Vida!/data=!4m7!3m6!1s0x94ccf03dcf88a9bf:0xc03a450af1a4a932!8m2!3d-22.8510543!4d-45.6009061!16s%2Fg%2F1tdyrxgw!19sChIJv6mIzz3wzJQRMqmk8QpFOsA?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Pindamonhangaba - SP
ec1b7cd248df000d,Clube de Campo ASPMP,"Estrada Jesus Antônio de Miranda, Pindamonhangaba - SP, Brasil",-22.811781,-45.4503121,+55 12 3642-6822,,blogspot.com.br,"4,5",45,Clube de campo,,https://www.google.com/maps/place/Clube+de+Campo+ASPMP/data=!4m7!3m6!1s0x94ccf2a0723e8a13:0xb3eeac06d3758150!8m2!3d-22.811781!4d-45.4503121!16s%2Fg%2F11c71bhb6n!19sChIJE4o-cqDyzJQRUIF10was7rM?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Pindamonhangaba - SP
0c39cb2597d9e857,Escola Oficial do São Paulo FC Pinda,"Av. Albuquerque Lins, 321 - Parque São Benedito, Pindamonhangaba - SP, 12410-030, Brasil",-22.9317622,-45.4602724,+55 12 99753-5179,Mostrar horário de funcionamento da semana,,"4,8",48,Treino de futebol,Aberto · Fecha 18:30,https://www.google.com/maps/place/Escola+Oficial+do+S%C3%A3o+Paulo+FC+Pinda/data=!4m7!3m6!1s0x94ccf1700a61faf5:0x7d5c0b8523a7abd1!8m2!3d-22.9317622!4d-45.4602724!16s%2Fg%2F11spr2qjcj!19sChIJ9fphCnDxzJQR0aunI4ULXH0?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Pindamonhangaba - SP|escola de futebol Pindamonhangaba - SP|escola particular Pindamonhangaba - SP|colégio particular Pindamonhangaba - SP
90eadcc292a4cfd3,Craquenet Pindamonhangaba,"R. Dr. Fontes Júnior, 630 - Maria Áurea, Pindamonhangaba - SP, 12420-560, Brasil",-22.9367231,-45.4667023,+55 12 99189-4343,Mostrar horário de funcionamento da semana,,"4,9",49,Treino de futebol,Fechado · Abre às 16:00,https://www.google.com/maps/place/Craquenet+Pindamonhangaba/data=!4m7!3m6!1s0x94ccf1a7fa6de8e7:0x73fd165307cb6673!8m2!3d-22.9367231!4d-45.4667023!16s%2Fg%2F11pxnfmjpc!19sChIJ5-ht-qfxzJQRc2bLB1MW_XM?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Pindamonhangaba - SP|escola de futebol Pindamonhangaba - SP
7f0109b4ab91d7fc,Show De Bola - Escola De Futebol e Locação,"R. Dr. Fontes Júnior, 630 - Maria Áurea, Pindamonhangaba - SP, 12420-560, Brasil",-22.9361801,-45.4666519,+55 12 3648-5626,,,"4,6",46,Treino de futebol,,https://www.google.com/maps/place/Show+De+Bola+-+Escola+De+Futebol+e+Loca%C3%A7%C3%A3o/data=!4m7!3m6!1s0x94ccf0137a3408b7:0x9f35f8bdf6ec895a!8m2!3d-22.9361801!4d-45.4666519!16s%2Fg%2F11g6_tffqp!19sChIJtwg0ehPwzJQRWons9r34NZ8?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Pindamonhangaba - SP|escola de futebol Pindamonhangaba - SP
55a2f7dc889ff8a8,Escola de Futebol Falcon Academy,"Bairro: Campo Alegre - Para alunos de 13 a 17 anos - 📍👆🏽👆🏽Braga Sports Society End. Rua Júlio Augusto n° 11 Bairro Jd. Santa Cecília - Para alunos de 04 a 12 anos 👆👆📍Campo de Futebol Local: Master Sport Clube End. João Bondioli, n° 12, Pindamonhangaba - SP, 12411-240, Brasil",-22.930089,-45.4396255,+55 12 98232-4907,Mostrar horário de funcionamento da semana,instagram.com,"4,8",48,Treino de futebol,Fechado · Abre qui. às 17:30,https://www.google.com/maps/place/Escola+de+Futebol+Falcon+Academy/data=!4m7!3m6!1s0x94ccf1295c08ed8d:0x27f301ffa2289e57!8m2!3d-22.930089!4d-45.4396255!16s%2Fg%2F11fj4b072s!19sChIJje0IXCnxzJQRV54oov8B8yc?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Pindamonhangaba - SP|escola de futebol Pindamonhangaba - SP
4b8632697c5f19f9,Escolinha de Futebol Arena Fut,"R. Francisco Jacinto da Silva, 53 - Vila Sao Benedito, Pindamonhangaba - SP, 12445-170, Brasil",-22.8914737,-45.3887977,+55 12 98861-6830,Mostrar horário de funcionamento da semana,,"5,0",50,Clube esportivo,Fechado · Abre às 17:30,https://www.google.com/maps/place/Escolinha+de+Futebol+Arena+Fut/data=!4m7!3m6!1s0xd7cd5b7a605ed97:0xb68324855b22642b!8m2!3d-22.8914737!4d-45.3887977!16s%2Fg%2F11t29r301b!19sChIJl-0FprfVfA0RK2QiW4Ukg7Y?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Pindamonhangaba - SP|escola de futebol Pindamonhangaba - SP
8798f76f309f7e8c,Escola Pisada de Futsal e Futebol,"R. São Judas Tadeu - Vila Sao Joao, Pindamonhangaba - SP, 12445-050, Brasil",-22.8886898,-45.3897078,+55 12 99235-9932,Mostrar horário de funcionamento da semana,escolinhapisadafutsal.my.canva.site,"5,0",50,Treino de futebol,Fechado · Abre qui. às 18:45,https://www.google.com/maps/place/Escola+Pisada+de+Futsal+e+Futebol/data=!4m7!3m6!1s0x94ccef7971b7584d:0x97a7b613f1e9fd9f!8m2!3d-22.8886898!4d-45.3897078!16s%2Fg%2F11nb6yztc7!19sChIJTVi3cXnvzJQRn_3p8RO2p5c?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Pindamonhangaba - SP|escola de futebol Pindamonhangaba - SP
a7b8cc106a40c4b5,ARENA NOVE - FUTEBOL SOCIETY,"Av. Albuquerque Lins, 321 - São Benedito, Pindamonhangaba - SP, 12410-732, Brasil",-22.9318583,-45.460318,+55 12 99249-7212,Mostrar horário de funcionamento da semana,instagram.com,"4,5",45,Quadra de esportes,Aberto 24 horas,https://www.google.com/maps/place/ARENA+NOVE+-+FUTEBOL+SOCIETY/data=!4m7!3m6!1s0x94ccf1fe163f8541:0xb0206516c69eb64b!8m2!3d-22.9318583!4d-45.460318!16s%2Fg%2F11grpr_7qz!19sChIJQYU_Fv7xzJQRS7aexhZlILA?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Pindamonhangaba - SP|escola de futebol Pindamonhangaba - SP
b1e3879b6fcf070d,"Centro Esportivo José Ely de Miranda ""ZITO""","Av. Dr. José Adhemar Cesar Ribeiro, 453-663 - Moreira César, Pindamonhangaba - SP, 12443-010, Brasil",-22.9013221,-45.3675283,+55 12 3637-5425,Mostrar horário de funcionamento da semana,,"4,7",47,Escola de esportes,Aberto 24 horas,https://www.google.com/maps/place/Centro+Esportivo+Jos%C3%A9+Ely+de+Miranda+%22ZITO%22/data=!4m7!3m6!1s0x94cce8b72c9a18ff:0x83aec8c7f0c6fa9!8m2!3d-22.9013221!4d-45.3675283!16s%2Fg%2F11c1nxyvcq!19sChIJ_xiaLLfozJQRqW8Mf4zsOgg?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Pindamonhangaba - SP|escola de futebol Pindamonhangaba - SP|escolinha de natação Pindamonhangaba - SP|associação desportiva classista Pindamonhangaba - SP
