place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
031e75513dde7b4a,Campo Nova Poá,"R. Cap. Pedro Esperidião Hoffer, 1-223 - Jardim Nova Poa, Poá - SP, 08566-160, Brasil",-23.5506872,-46.3452408,,Mostrar horário de funcionamento da semana,,"4,3",43,Clube esportivo,Aberto 24 horas,https://www.google.com/maps/place/Campo+Nova+Po%C3%A1/data=!4m7!3m6!1s0x94ce7abcd9fe1501:0x40146c917b8760f9!8m2!3d-23.5506872!4d-46.3452408!16s%2Fg%2F11ddxj5rlg!19sChIJARX-2bx6zpQR-WCHe5FsFEA?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Poá - SP
f819b4e7217f290e,Clube de Campo XI Paulista,"Av. Sen. Fláquer, 275-720 - Vila Sao Francisco, Poá - SP, 08568-720, Brasil",-23.5600387,-46.3520452,,Mostrar horário de funcionamento da semana,,"4,4",44,Clube de campo,Fechado · Abre às 08:00,https://www.google.com/maps/place/Clube+de+Campo+XI+Paulista/data=!4m7!3m6!1s0x94ce7aa60f8bb5b7:0x3a875733683771cc!8m2!3d-23.5600387!4d-46.3520452!16s%2Fg%2F1ptxz867g!19sChIJt7WLD6Z6zpQRzHE3aDNXhzo?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Poá - SP
28a6689ac355b8df,Clube Poaense,"R. Associação Atlética Poaense, 326-650 - Jardim Debora, Poá - SP, Brasil",-23.5463296,-46.3458218,,Mostrar horário de funcionamento da semana,,"4,4",44,Club,Fechado · Abre às 09:00,https://www.google.com/maps/place/Clube+Poaense/data=!4m7!3m6!1s0x94ce7abef5d21341:0x1efecd50cc607858!8m2!3d-23.5463296!4d-46.3458218!16s%2Fg%2F11c6dcfyfp!19sChIJQRPS9b56zpQRWHhgzFDN_h4?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Poá - SP|associação desportiva classista Poá - SP|ADC Poá - SP
26a61dee993f04ac,Associação Atlética Poaense,"R. Macucos, 2-50 - Jardim Estela, Poá - SP, 08566-050, Brasil",-23.5454288,-46.3459349,,,,"4,5",45,Clube de campo,,https://www.google.com/maps/place/Associa%C3%A7%C3%A3o+Atl%C3%A9tica+Poaense/data=!4m7!3m6!1s0x94ce7abefe1ca3d9:0x565c1a66d3c680f8!8m2!3d-23.5454288!4d-46.3459349!16s%2Fg%2F11g7zfmr1z!19sChIJ2aMc_r56zpQR-IDG02YaXFY?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Poá - SP|associação desportiva classista Poá - SP
4d9ca7b4d004b24a,Campo do Atlético de Poá,"R. Helena, 124-220 - Vila Aurea, Poá - SP, 08556-010, Brasil",-23.5159773,-46.3496706,,,,"4,0",40,Clube,,https://www.google.com/maps/place/Campo+do+Atl%C3%A9tico+de+Po%C3%A1/data=!4m7!3m6!1s0x94ce7b3b2f353811:0x1f0f78f4ca63e995!8m2!3d-23.5159773!4d-46.3496706!16s%2Fg%2F11c0tbblxp!19sChIJETg1Lzt7zpQRleljyvR4Dx8?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Poá - SP
f180f630355eca10,Esporte Clube Concórdia Poaense,"Av. Vital Brasil, 445 - Jardim Aurea, Poá - SP, 08551-430, Brasil",-23.5158545,-46.3422001,+55 11 97982-5581,Mostrar horário de funcionamento da semana,,"4,3",43,Clube de futebol,Fechado · Abre às 09:00,https://www.google.com/maps/place/Esporte+Clube+Conc%C3%B3rdia+Poaense/data=!4m7!3m6!1s0x94ce7b1891e8f231:0xa01a7648b5a4490f!8m2!3d-23.5158545!4d-46.3422001!16s%2Fg%2F11hbkct78t!19sChIJMfLokRh7zpQRD0mktUh2GqA?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Poá - SP|escolinha de futebol Poá - SP|escola de futebol Poá - SP|grêmio recreativo Poá - SP
69cd9089f7cd296d,CAMPO VELO CLUBE POÁ,"R. Guarapari, 457 - Vila Varela, Poá - SP, 08558-410, Brasil",-23.5124238,-46.3315279,+55 11 97349-7483,,,"4,0",40,Clube,,https://www.google.com/maps/place/CAMPO+VELO+CLUBE+PO%C3%81/data=!4m7!3m6!1s0x94ce7bc98f0e5e09:0xa954e430f22a9e8!8m2!3d-23.5124238!4d-46.3315279!16s%2Fg%2F11scymd1zs!19sChIJCV4Oj8l7zpQR6KkiD0NOlQo?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Poá - SP
32c740b6887a038e,Associação Atlética Poaense,"R. Associação Atlética Poaense, 339 - Jardim Debora, Poá - SP, 08566-050, Brasil",-23.5451059,-46.3457806,+55 11 93036-8859,Mostrar horário de funcionamento da semana,aapoaense.wordpress.com,"4,4",44,Associação / organização,Fechado · Abre às 09:00,https://www.google.com/maps/place/Associa%C3%A7%C3%A3o+Atl%C3%A9tica+Poaense/data=!4m7!3m6!1s0x94ce7abefe63695d:0x330fad371e905fb6!8m2!3d-23.5451059!4d-46.3457806!16s%2Fg%2F1ptx8m4kp!19sChIJXWlj_r56zpQRtl-QHjetDzM?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Poá - SP|associação desportiva classista Poá - SP|ADC Poá - SP
18aea919fc9e262f,Esporte Clube XI Paulista,"R. José de Oliveira Gomes, 55 - Centro, Poá - SP, 08561-300, Brasil",-23.5256566,-46.342618,+55 11 4638-1477,,,"4,3",43,Club,,https://www.google.com/maps/place/Esporte+Clube+XI+Paulista/data=!4m7!3m6!1s0x94ce7ae08fc11983:0xa59d6945e92d0518!8m2!3d-23.5256566!4d-46.342618!16s%2Fg%2F1thd2yhn!19sChIJgxnBj-B6zpQRGAUt6UVpnaU?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Poá - SP|escola de natação Poá - SP|escola particular Poá - SP
24ac46b4ea5f990b,CAMPO DO SETE DE SETEMBRO F.C DE POÁ SP,"Rua Jorge Velho, R. Dr. Siqueira Campos, 330 - Vila Júlia, Poá - SP, 08553-600, Brasil",-23.5231282,-46.3569565,,Mostrar horário de funcionamento da semana,,"3,9",39,Clube esportivo,Fechado · Abre sáb. às 08:00,https://www.google.com/maps/place/CAMPO+DO+SETE+DE+SETEMBRO+F.C+DE+PO%C3%81+SP/data=!4m7!3m6!1s0x94ce7be00206ebc1:0x76e851d9af8c6319!8m2!3d-23.5231282!4d-46.3569565!16s%2Fg%2F11lgm8238b!19sChIJwesGAuB7zpQRGWOMr9lR6HY?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Poá - SP
