place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
720fd33633753a14,Clube de Praia São Paulo,"Av. Antônio Severiano de Andrade e Silva, 70 - Aviação, Praia Grande - SP, 11702-400, Brasil",-24.016951,-46.437976,+55 13 3481-2998,Mostrar horário de funcionamento da semana,,"4,3",43,Centro de recreação,Aberto · Fecha 23:00,https://www.google.com/maps/place/Clube+de+Praia+S%C3%A3o+Paulo/data=!4m7!3m6!1s0x94ce1dd67886f797:0xf78fc1d94e084b36!8m2!3d-24.016951!4d-46.437976!16s%2Fg%2F1tsr49wq!19sChIJl_eGeNYdzpQRNksITtnBj_c?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Praia Grande - SP|grêmio recreativo Praia Grande - SP|associação desportiva classista Praia Grande - SP
5069a80200b6c19d,Novo Campo do Unidos Praia Grande,"R. Carlos José Ângelo Berti, 388 - Vila Tupi, Praia Grande - SP, 11719-110, Brasil",-24.0141472,-46.4655379,,Mostrar horário de funcionamento da semana,,"4,3",43,Clube,Fechado · Abre dom. à 00:00,https://www.google.com/maps/place/Novo+Campo+do+Unidos+Praia+Grande/data=!4m7!3m6!1s0x94ce1f78e19e799d:0x1b86305cb56f1ab0!8m2!3d-24.0141472!4d-46.4655379!16s%2Fg%2F11s7w89kd7!19sChIJnXme4XgfzpQRsBpvtVwwhhs?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Praia Grande - SP
193b2d27c6781576,Campo de Futebol,"Cidade das Crianças, Praia Grande - SP, 11702-200, Brasil",-24.0789132,-46.5985059,,Mostrar horário de funcionamento da semana,,"4,6",46,Clube,Fecha em breve · 18:00 · Abre qui. às 07:00,https://www.google.com/maps/place/Campo+de+Futebol/data=!4m7!3m6!1s0x94ce2731fb75352d:0xf0ca85fbbfb2752e!8m2!3d-24.0789132!4d-46.5985059!16s%2Fg%2F1tptrq_g!19sChIJLTV1-zEnzpQRLnWyv_uFyvA?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Praia Grande - SP
7b0f71b3ec0921b2,REAL ESPORTE CLUBE,"Rua Antonio Luiz Prates Maia, 100 - Princesa, Praia Grande - SP, 11711-150, Brasil",-24.0614636,-46.5646373,,,,"4,4",44,Clube de futebol,,https://www.google.com/maps/place/REAL+ESPORTE+CLUBE/data=!4m7!3m6!1s0x94ce20fcb1d94f69:0x77b2efbbd9a28b47!8m2!3d-24.0614636!4d-46.5646373!16s%2Fg%2F11cnb6cdrj!19sChIJaU_ZsfwgzpQRR4ui2bvvsnc?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Praia Grande - SP|escolinha de futebol Praia Grande - SP
dbc6eb923cd0ecde,Ocian Praia Clube,"Rua Comendador Otto, R. Comendador Oto Carlos Golanda, 80 - Cidade Ocian, Praia Grande - SP, 11704-450, Brasil",-24.0297311,-46.4765098,+55 13 3494-2931,Aberto · Fecha 22:00·Outros horários,ocianpraiaclube.com.br,"4,5",45,Clube de praia,,https://www.google.com/maps/place/Ocian+Praia+Clube/data=!4m7!3m6!1s0x94ce1e5494f0cee7:0x2c12d28d808828a3!8m2!3d-24.0297311!4d-46.4765098!16s%2Fg%2F1s067k3rv!19sChIJ587wlFQezpQRoyiIgI3SEiw?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Praia Grande - SP|escolinha de futebol Praia Grande - SP|escola de futebol Praia Grande - SP|escolinha de natação Praia Grande - SP|escola de natação Praia Grande - SP|grêmio recreativo Praia Grande - SP|ADC Praia Grande - SP
3afc5ca21e04fb69,Campo de Futebol 13 de Maio,"R. Saturnino de Brito, 124 - Sítio do Campo, Praia Grande - SP, 11725-160, Brasil",-23.9990608,-46.4307516,,Mostrar horário de funcionamento da semana,,"4,7",47,Campo de futebol,Fechado · Abre seg. à 00:00,https://www.google.com/maps/place/Campo+de+Futebol+13+de+Maio/data=!4m7!3m6!1s0x94ce1dc0211a1791:0xc106cfe22f8c7ac1!8m2!3d-23.9990608!4d-46.4307516!16s%2Fg%2F11q4hqxs53!19sChIJkRcaIcAdzpQRwXqML-LPBsE?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Praia Grande - SP|grêmio recreativo Praia Grande - SP
8215340ac4173dc1,Campo Solemar,"R. Adriano Dias dos Santos, 255 - Cidade das Crianças, Praia Grande - SP, 11710-110, Brasil",-24.0780782,-46.598487,,Mostrar horário de funcionamento da semana,,"4,4",44,Campo de futebol,Fecha em breve · 18:00 · Abre qui. às 07:00,https://www.google.com/maps/place/Campo+Solemar/data=!4m7!3m6!1s0x94ce279bfe45b23b:0x80c832f4b09e6c3b!8m2!3d-24.0780782!4d-46.598487!16s%2Fg%2F11rkp1w25n!19sChIJO7JF_psnzpQRO2yesPQyyIA?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Praia Grande - SP
f469cc53e080d703,Campo da Aviação 1980,"Aviação, Praia Grande - SP, 11702-350, Brasil",-24.0132956,-46.4376596,,,praiagrande.comunidades.net,"4,9",49,Clube,,https://www.google.com/maps/place/Campo+da+Avia%C3%A7%C3%A3o+1980/data=!4m7!3m6!1s0x94ce1d5f766de08b:0x29874c1ab51dc17a!8m2!3d-24.0132956!4d-46.4376596!16s%2Fg%2F11v13vkswy!19sChIJi-Btdl8dzpQResEdtRpMhyk?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Praia Grande - SP
8b1c4eba8c60a9e4,Praia Clube (escritório),"R. Vinte e Quatro de Outubro, 409 - Vila Gloria, Campo Grande - MS, 79004-400, Brasil",-20.4725022,-54.6164249,+55 67 3383-1607,Mostrar horário de funcionamento da semana,campograndepraiaclube.com.br,"3,7",37,Club,Aberto · Fecha 18:00,https://www.google.com/maps/place/Praia+Clube+%28escrit%C3%B3rio%29/data=!4m7!3m6!1s0x9486e61bee738469:0x407a02f314c3370b!8m2!3d-20.4725022!4d-54.6164249!16s%2Fg%2F11b8_rmkxh!19sChIJaYRz7hvmhpQRCzfDFPMCekA?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Praia Grande - SP
ff0d7ff72a1b8095,Campo Do Portinho,"s/n, 010, R. Paulo Sérgio Garcia - Sítio do Campo, Praia Grande - SP, Brasil",-23.9897114,-46.4054482,,,,"4,7",47,Campo de futebol,,https://www.google.com/maps/place/Campo+Do+Portinho/data=!4m7!3m6!1s0x94ce1c598f5cc429:0x45c2cdaa4eab59b2!8m2!3d-23.9897114!4d-46.4054482!16s%2Fg%2F11g6btndl3!19sChIJKcRcj1kczpQRslmrTqrNwkU?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Praia Grande - SP
