place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
06b746c280e00377,Bem Bolado Futebol Society.,"R. Mal. Deodoro da Fonseca, 798 - Centro, Salto - SP, 13322-160, Brasil",-23.2049611,-47.287871,+55 11 4098-2123,,,"4,5",45,Campo de futebol americano,,https://www.google.com/maps/place/Bem+Bolado+Futebol+Society./data=!4m7!3m6!1s0x94cf4e035eee5799:0x5b921b93716aa9f4!8m2!3d-23.2049611!4d-47.287871!16s%2Fg%2F11b8zy99tp!19sChIJmVfuXgNOz5QR9KlqcZMbkls?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Salto - SP|escola de futebol Salto - SP
1db2ffea3a113713,2R Society,"R. Floriano Peixoto, 1736 - Vila Nova, Salto - SP, 13322-020, Brasil",-23.1969443,-47.2824081,+55 11 99800-3980,Mostrar horário de funcionamento da semana,facebook.com,"4,6",46,Campo de futebol,Aberto · Fecha 00:00,https://www.google.com/maps/place/2R+Society/data=!4m7!3m6!1s0x94cf4e088061de61:0xcf9e75b6183ee1cc!8m2!3d-23.1969443!4d-47.2824081!16s%2Fg%2F11fxcgfh6k!19sChIJYd5hgAhOz5QRzOE-GLZ1ns8?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Salto - SP|escola de futebol Salto - SP|associação desportiva classista Salto - SP
e53cce083c573e59,Big Soccer,"R. Quintino Bocaiúva - Centro, Salto - SP, 13320-110, Brasil",-23.1993515,-47.2940338,,Mostrar horário de funcionamento da semana,m.facebook.com,"4,4",44,Quadra de esportes,Aberto · Fecha 00:00,https://www.google.com/maps/place/Big+Soccer/data=!4m7!3m6!1s0x94cf51ff91183cd5:0x18bcb3ee913f8bbb!8m2!3d-23.1993515!4d-47.2940338!16s%2Fg%2F11bzwn_8fj!19sChIJ1TwYkf9Rz5QRu4s_ke6zvBg?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Salto - SP|escola de futebol Salto - SP
744b9a7c0b591457,Show de Bola,"R. José de Alençar, 140 - Vila Progresso, Salto - SP, 13321-160, Brasil",-23.1942074,-47.2947407,+55 11 93907-4118,Mostrar horário de funcionamento da semana,simplesagenda.com.br,"4,8",48,Quadra de esportes,Fechado · Abre qui. às 08:00,https://www.google.com/maps/place/Show+de+Bola/data=!4m7!3m6!1s0x94cf5200d1572913:0x696bcd799d678c3!8m2!3d-23.1942074!4d-47.2947407!16s%2Fg%2F11j3_qscvv!19sChIJEylX0QBSz5QRw3jWmde8lgY?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Salto - SP|escola de futebol Salto - SP
5c9bbb975d24783b,Show De Bola Cecap,"R. Jornal O Saltense, 40 - Loteamento Julio Ustrito, Salto - SP, 13323-746, Brasil",-23.215953,-47.2657894,+55 11 93907-4118,Mostrar horário de funcionamento da semana,simplesagenda.com.br,"4,5",45,Quadra de esportes,Fechado · Abre qui. às 17:00,https://www.google.com/maps/place/Show+De+Bola+Cecap/data=!4m7!3m6!1s0x94cf4e45ac100891:0x1ff02326a8c4531!8m2!3d-23.215953!4d-47.2657894!16s%2Fg%2F11dx9b823d!19sChIJkQgQrEVOz5QRMUWMajIC_wE?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Salto - SP|escola de futebol Salto - SP
6d50b032c6f01c5c,"Campo de Futebol ""João de Almeida""","Av. Princesa Isabel, 1320 - Jardim Santa Cruz, Salto - SP, 13323-616, Brasil",-23.2262145,-47.2668219,,,salto.sp.gov.br,"4,4",44,Campo de futebol,,https://www.google.com/maps/place/Campo+de+Futebol+%22Jo%C3%A3o+de+Almeida%22/data=!4m7!3m6!1s0x94cf4e4c93177071:0x6225e8a2dbad3ab9!8m2!3d-23.2262145!4d-47.2668219!16s%2Fg%2F11b6sk8lc2!19sChIJcXAXk0xOz5QRuTqt26LoJWI?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Salto - SP|escola de futebol Salto - SP
2981865f0cc4cedc,Academia de Futebol Elite,"R. Topázio, 38 - Jardim Sontag, Salto - SP, 13322-151, Brasil",-23.1954171,-47.2807865,+55 48 99611-0323,Mostrar horário de funcionamento da semana,instagram.com,,,Escola de esportes,Fechado · Abre qui. às 18:30,https://www.google.com/maps/place/Academia+de+Futebol+Elite/data=!4m7!3m6!1s0x94cf4f8765bf3d3d:0x8b1aac2a99148bfd!8m2!3d-23.1954171!4d-47.2807865!16s%2Fg%2F11w3t40sv4!19sChIJPT2_ZYdPz5QR_YsUmSqsGos?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Salto - SP|escola de futebol Salto - SP
672ce4ba864a06c8,2R Society Unidade II,"Av. Brasília, 110 - Jardim D'icarai, Salto - SP, 13327-100, Brasil",-23.1858747,-47.3129908,+55 11 99800-3980,Mostrar horário de funcionamento da semana,facebook.com,"4,6",46,Campo de futebol,Aberto · Fecha 00:00,https://www.google.com/maps/place/2R+Society+Unidade+II/data=!4m7!3m6!1s0x94cf5240758721f9:0x6f3acb179aeecbaa!8m2!3d-23.1858747!4d-47.3129908!16s%2Fg%2F1q5gpz7wm!19sChIJ-SGHdUBSz5QRqsvumhfLOm8?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Salto - SP|escola de futebol Salto - SP|associação desportiva classista Salto - SP
96797e39f9cf2828,Chute Inicial Corinthians Salto,"R. Quintino Bocaiúva, n° 859 - Centro, Salto - SP, 13320-110, Brasil",-23.1993684,-47.2940123,+55 11 99640-3188,Mostrar horário de funcionamento da semana,,"5,0",50,Escola de esportes,Fechado · Abre qui. às 17:00,https://www.google.com/maps/place/Chute+Inicial+Corinthians+Salto/data=!4m7!3m6!1s0x94cf5136bfd4b777:0xb6951b869acd1dbf!8m2!3d-23.1993684!4d-47.2940123!16s%2Fg%2F11xytbpc37!19sChIJd7fUvzZRz5QRvx3NmoYblbY?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Salto - SP|escola de futebol Salto - SP
f334228bfb9d5515,Arena Play Salto,"R. José de Arruda Sontag, 215 - Jardim Sontag, Salto - SP, 13322-152, Brasil",-23.1954308,-47.279369,+55 11 99624-7576,Mostrar horário de funcionamento da semana,,"4,8",48,Quadra de esportes,Fechado · Abre qui. às 16:00,https://www.google.com/maps/place/Arena+Play+Salto/data=!4m7!3m6!1s0x94cf4f9eded8fb71:0x526edb92c1ecfe59!8m2!3d-23.1954308!4d-47.279369!16s%2Fg%2F11rgrmyk2w!19sChIJcfvY3p5Pz5QRWf7swZLbblI?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Salto - SP
