place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
fbbf5d376c8e61d7,clube de campo,"Alameda das Margaridas - Jardim Simus, Sorocaba - SP, 18055-200, Brasil",-23.5031221,-47.4891339,,,,,,Clube,,https://www.google.com/maps/place/clube+de+campo/data=!4m7!3m6!1s0x94c58b003b5e111f:0x7e397f186deefdbe!8m2!3d-23.5031221!4d-47.4891339!16s%2Fg%2F11mrn8j3qx!19sChIJHxFeOwCLxZQRvv3ubRh_OX4?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Sorocaba - SP
bfc1e59f05114eb2,Clube de Campo de Sorocaba,"Av. Eng. Carlos Reinaldo Mendes, 1761 - Alto da Boa Vista, Sorocaba - SP, 18013-280, Brasil",-23.4825402,-47.4286186,+55 15 3388-9000,Mostrar horário de funcionamento da semana,clubedecamposorocaba.com.br,"4,7",47,Clube de campo,Aberto · Fecha 22:00,https://www.google.com/maps/place/Clube+de+Campo+de+Sorocaba/data=!4m7!3m6!1s0x94cf606d4199de81:0x26c27fc12c6a249a!8m2!3d-23.4825402!4d-47.4286186!16s%2Fg%2F1tdlcw6t!19sChIJgd6ZQW1gz5QRmiRqLMF_wiY?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Sorocaba - SP|associação desportiva classista Sorocaba - SP
444347e8f83c7df5,Chute Inicial Corinthians,"Av. Carlos Sonetti, 990 - Jardim Prestes de Barros, Sorocaba - SP, 18021-200, Brasil",-23.512604,-47.4278819,+55 15 98174-7237,Mostrar horário de funcionamento da semana,chuteinicialsorocaba.com.br,"4,8",48,Escola de esportes,Aberto · Fecha 21:30,https://www.google.com/maps/place/Chute+Inicial+Corinthians/data=!4m7!3m6!1s0x94cf61b535ba138f:0xd2946b6598f3982b!8m2!3d-23.512604!4d-47.4278819!16s%2Fg%2F11_swwlvr!19sChIJjxO6NbVhz5QRK5jzmGVrlNI?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Sorocaba - SP|escola de futebol Sorocaba - SP
e3d22bb7c744c0e7,Escola de Futebol São Paulo FC,"Alameda das Primaveras, 181 - Jardim Simus, Sorocaba - SP, 18055-170, Brasil",-23.5042479,-47.4908596,+55 15 3234-1076,Mostrar horário de funcionamento da semana,saopaulofcsorocaba.com.br,"4,6",46,Escola de esportes,Aberto · Fecha 21:00,https://www.google.com/maps/place/Escola+de+Futebol+S%C3%A3o+Paulo+FC/data=!4m7!3m6!1s0x94c58b288800228b:0xbef4189b2f9ceba!8m2!3d-23.5042479!4d-47.4908596!16s%2Fg%2F1q5bwhfmr!19sChIJiyIAiCiLxZQRus75solB7ws?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Sorocaba - SP|escola de futebol Sorocaba - SP
fc9acc969283bf97,Escola de Futebol Meninos da Vila Santos Sorocaba,"Av. Sylvio Betti, 300 - Recreio dos Sorocabanos, Sorocaba - SP, 18071-025, Brasil",-23.4558162,-47.5032655,+55 15 99848-1216,Aberto · Fecha 23:00·Outros horários,,"4,6",46,Clube esportivo,,https://www.google.com/maps/place/Escola+de+Futebol+Meninos+da+Vila+Santos+Sorocaba/data=!4m7!3m6!1s0x94c5f4594f87fd0b:0xad96cdf2f57541e3!8m2!3d-23.4558162!4d-47.5032655!16s%2Fg%2F11b6xky0zx!19sChIJC_2HT1n0xZQR40F19fLNlq0?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Sorocaba - SP|escola de futebol Sorocaba - SP
88b4e87361b72436,Ronaldo Academy Sorocaba,"R. Antônio Aparecido Ferraz, 1480 - Parque Santa Isabel, Sorocaba - SP, 18052-280, Brasil",-23.5371246,-47.4988403,+55 15 98108-9999,Mostrar horário de funcionamento da semana,r9sorocaba.academy,"4,6",46,Escola de esportes,Aberto · Fecha 22:00,https://www.google.com/maps/place/Ronaldo+Academy+Sorocaba/data=!4m7!3m6!1s0x94c58ba3c6fc4e11:0xe876637b41d650b3!8m2!3d-23.5371246!4d-47.4988403!16s%2Fg%2F11fdwxxlm3!19sChIJEU78xqOLxZQRs1DWQXtjdug?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Sorocaba - SP|escola de futebol Sorocaba - SP
568932d24cf7111d,FG ACADEMY,"Av. José Joaquim de Lacerda, 519 - Jardim Sorocabano, Sorocaba - SP, 18080-410, Brasil",-23.4825057,-47.4626006,+55 15 99712-3274,Mostrar horário de funcionamento da semana,,"4,8",48,Treino de futebol,Fecha em breve · 20:00 · Abre qui. às 13:00,https://www.google.com/maps/place/FG+ACADEMY/data=!4m7!3m6!1s0x94c5f53672fbb9bd:0x9ddff7e5651b2ce1!8m2!3d-23.4825057!4d-47.4626006!16s%2Fg%2F11fth4frbj!19sChIJvbn7cjb1xZQR4SwbZeX3350?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Sorocaba - SP|escola de futebol Sorocaba - SP
42845a206c5c77a5,Arena Play Sorocaba - Locação Society e Futsal - Academia de Futebol da Inter de Milão,"Av. Ipanema, 5010 - Jardim Novo Horizonte, Sorocaba - SP, 18071-801, Brasil",-23.456015,-47.5033966,+55 15 99667-3003,Mostrar horário de funcionamento da semana,wa.me,"4,6",46,Escola de esportes,Aberto · Fecha 23:30,https://www.google.com/maps/place/Arena+Play+Sorocaba+-+Loca%C3%A7%C3%A3o+Society+e+Futsal+-+Academia+de+Futebol+da+Inter+de+Mil%C3%A3o/data=!4m7!3m6!1s0x94c5f53d8e973927:0xae7fdb19784aae4b!8m2!3d-23.456015!4d-47.5033966!16s%2Fg%2F11h3t75w1v!19sChIJJzmXjj31xZQRS65KeBnbf64?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Sorocaba - SP
97952aecdbf7306a,MENINOS DA VILA SOROCABA,"R. Nicanor Marquês, 280 - Aeroporto, Sorocaba - SP, 18070-615, Brasil",-23.4805686,-47.4855766,,,,"4,5",45,Campo de futebol,,https://www.google.com/maps/place/MENINOS+DA+VILA+SOROCABA/data=!4m7!3m6!1s0x94c5f526e3586023:0x97e32f1dfd421164!8m2!3d-23.4805686!4d-47.4855766!16s%2Fg%2F11c327ld_d!19sChIJI2BY4yb1xZQRZBFC_R0v45c?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Sorocaba - SP|escola de futebol Sorocaba - SP
091832ed29f4159a,Escola de Futebol do São Paulo FC,"R. Chile, 646-790 - Vila Barcelona, Sorocaba - SP, 18025-280, Brasil",-23.516427,-47.4383888,,,,"5,0",50,Escola de esportes,,https://www.google.com/maps/place/Escola+de+Futebol+do+S%C3%A3o+Paulo+FC/data=!4m7!3m6!1s0x94cf61193575c67f:0x6c32bc1e5fc51de2!8m2!3d-23.516427!4d-47.4383888!16s%2Fg%2F11f7br262g!19sChIJf8Z1NRlhz5QR4h3FXx68Mmw?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Sorocaba - SP|escola de futebol Sorocaba - SP
