place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
c66dfaf2038dc97d,CLUBE DE CAMPO SAO JOSE,"DO - Estr. Samuel, 2661 - Fazenda Aya, Suzano - SP, 08653-000, Brasil",-23.6061203,-46.3203981,+55 11 3111-9300,Mostrar horário de funcionamento da semana,serventuarios.org.br,"4,8",48,Clube de campo,Fechado · Abre às 09:00,https://www.google.com/maps/place/CLUBE+DE+CAMPO+SAO+JOSE/data=!4m7!3m6!1s0x94ce710be9b082e9:0x39ae1e5e73c87dbc!8m2!3d-23.6061203!4d-46.3203981!16s%2Fg%2F11cs6fm7cq!19sChIJ6YKw6QtxzpQRvH3Ic14erjk?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Suzano - SP|grêmio recreativo Suzano - SP
aec4633e63902356,CLUBE MORADA DO CAMPO,"Estr. do Oura, 2436 - Ipelândia, Suzano - SP, 08620-060, Brasil",-23.6404875,-46.2906391,,,,"4,8",48,Clube,,https://www.google.com/maps/place/CLUBE+MORADA+DO+CAMPO/data=!4m7!3m6!1s0x94ce73a6286478c9:0xdd55aef94d9abe6c!8m2!3d-23.6404875!4d-46.2906391!16s%2Fg%2F11ghkm_zrt!19sChIJyXhkKKZzzpQRbL6aTfmuVd0?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Suzano - SP
3015711ca74ed603,Suzano Futebol Clube,"R. Nove de Julho, 722 - Jardim Santa Helena, Suzano - SP, 08674-265, Brasil",-23.5467092,-46.3161988,+55 11 4747-6011,Mostrar horário de funcionamento da semana,,"4,4",44,Clube de futebol,Fechado · Abre às 07:00,https://www.google.com/maps/place/Suzano+Futebol+Clube/data=!4m7!3m6!1s0x94ce7a7a2002db93:0x75e062bd98958c02!8m2!3d-23.5467092!4d-46.3161988!16s%2Fg%2F1vgqf6s2!19sChIJk9sCIHp6zpQRAoyVmL1i4HU?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Suzano - SP|escolinha de futebol Suzano - SP|escola de futebol Suzano - SP|associação de moradores Suzano - SP
4715a6d56149e438,Blue Beach,"R. Rocha, 62 - Meu Cantinho, Suzano - SP, 08664-650, Brasil",-23.5729237,-46.3267007,+55 11 4746-7060,Fechado · Abre às 09:00·Outros horários,bluebeachsp.com.br,"4,4",44,Parque aquático,,https://www.google.com/maps/place/Blue+Beach/data=!4m7!3m6!1s0x94ce7147bb064d85:0xcce0c1bab3d9d70!8m2!3d-23.5729237!4d-46.3267007!16s%2Fg%2F11frsv04rd!19sChIJhU0Gu0dxzpQRcJ09qxsMzgw?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Suzano - SP
99197174ee599075,Clube Recreativo Cacique,"R. Jeca Tatú, 1463 - Jardim Cacique, Suzano - SP, 08616-050, Brasil",-23.5562821,-46.2926192,+55 11 97174-1470,Mostrar horário de funcionamento da semana,,"4,4",44,Clube de futebol,Fechado · Abre às 15:00,https://www.google.com/maps/place/Clube+Recreativo+Cacique/data=!4m7!3m6!1s0x94ce70b118d73a91:0x4c19e3025d961ebb!8m2!3d-23.5562821!4d-46.2926192!16s%2Fg%2F11c60cmlhw!19sChIJkTrXGLFwzpQRux6WXQLjGUw?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Suzano - SP|grêmio recreativo Suzano - SP
4994bc5cc398e76a,Clube Sindicato Dos Metalurgicos,"Estr. Samuel - Fazenda Aya, Suzano - SP, Brasil",-23.6043949,-46.3217506,+55 11 4746-2155,Mostrar horário de funcionamento da semana,,"4,8",48,Clube de campo,Fechado · Abre às 08:00,https://www.google.com/maps/place/Clube+Sindicato+Dos+Metalurgicos/data=!4m7!3m6!1s0x94ce710958d2e96d:0xf9b065505d2d576!8m2!3d-23.6043949!4d-46.3217506!16s%2Fg%2F11g7z86s7v!19sChIJbenSWAlxzpQRdtXSBVUGmw8?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Suzano - SP
0b1e70f35117b99f,Condomínio Clube de campo vale verde,"Estr. Pau-A-Pique, 1500 - Chácara Sete Cruzes, Suzano - SP, 08645-018, Brasil",-23.6144861,-46.3565402,,,,"5,0",50,Complexo habitacional,,https://www.google.com/maps/place/Condom%C3%ADnio+Clube+de+campo+vale+verde/data=!4m7!3m6!1s0x94ce71aeb7b85ea7:0xde9a753e21d8421c!8m2!3d-23.6144861!4d-46.3565402!16s%2Fg%2F11t_tlws7j!19sChIJp164t65xzpQRHELYIT51mt4?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Suzano - SP
a401df4e279d5fa3,Campo do Urupes,"R. Albert Fink, 520 - Parque Maria Helena, Suzano - SP, 08683-220, Brasil",-23.5281805,-46.3104776,,Mostrar horário de funcionamento da semana,,"4,5",45,Campo de futebol,Fechado · Abre às 09:00,https://www.google.com/maps/place/Campo+do+Urupes/data=!4m7!3m6!1s0x94ce7a439f451255:0x93c0094887b683d1!8m2!3d-23.5281805!4d-46.3104776!16s%2Fg%2F11g9qvf3rx!19sChIJVRJFn0N6zpQR0YO2h0gJwJM?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Suzano - SP
5a36ed25ff23127f,CAMPO DO RAFFO,"R. Antônio Barbosa de Lima, 183 - Chácaras Ceres, Suzano - SP, 08655-196, Brasil",-23.5853914,-46.305167,,,,"4,3",43,Clube,,https://www.google.com/maps/place/CAMPO+DO+RAFFO/data=!4m7!3m6!1s0x94ce71e364dfccb9:0x9fe13b8ac18c6eea!8m2!3d-23.5853914!4d-46.305167!16s%2Fg%2F11kqts28n6!19sChIJuczfZONxzpQR6m6MwYo74Z8?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Suzano - SP
25d00de6b823bee0,Academia - Blue Beach,"R. Rocha, 62 - Meu Cantinho, Suzano - SP, 08664-650, Brasil",-23.5730439,-46.3267088,+55 11 4746-7060,Fechado · Abre às 06:30·Outros horários,tenisclubedesuzano.com.br,"4,3",43,Academia,,https://www.google.com/maps/place/Academia+-+Blue+Beach/data=!4m7!3m6!1s0x94ce7060530b1331:0x3fd54e8d817e4a82!8m2!3d-23.5730439!4d-46.3267088!16s%2Fg%2F11b6yrhvlv!19sChIJMRMLU2BwzpQRgkp-gY1O1T8?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo Suzano - SP
