place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
e0271cf18746b1a6,Clube de Campo CCS,"R. Frei Angelico Manetti, 325 - Jardim Tupã, São Bernardo do Campo - SP, 09831-515, Brasil",-23.790686,-46.545143,+55 11 93065-4893,Fechado · Abre qui. às 09:00·Outros horários,,"4,4",44,Clube de campo,,https://www.google.com/maps/place/Clube+de+Campo+CCS/data=!4m7!3m6!1s0x94ce3f86bcc400dd:0x9deadf511c436a48!8m2!3d-23.790686!4d-46.545143!16s%2Fg%2F12hqnlnr_!19sChIJ3QDEvIY_zpQRSGpDHFHf6p0?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São Bernardo do Campo - SP
dcc3fa01d662bbca,Clube de Campo do Sindicato Dos Metalúrgicos do ABC,"Rua Sorocaba, s/n, Estrada de Ribeirão Píres, SP-148, 618 - Riacho Grande, São Bernardo do Campo - SP, 09400-000, Brasil",-23.7707398,-46.4992938,+55 11 94335-9433,Mostrar horário de funcionamento da semana,,"4,5",45,Clube de campo,Fechado · Abre sex. às 08:00,https://www.google.com/maps/place/Clube+de+Campo+do+Sindicato+Dos+Metal%C3%BArgicos+do+ABC/data=!4m7!3m6!1s0x94ce154a69db9a6b:0xe09c167bdf525393!8m2!3d-23.7707398!4d-46.4992938!16s%2Fg%2F11cs36l4br!19sChIJa5rbaUoVzpQRk1NS33sWnOA?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São Bernardo do Campo - SP
18f74e560d11ddaa,Clube de Campo de São Paulo,"Praça Rockford, 28 - Vila Represa, São Paulo - SP, 04826-410, Brasil",-23.7348764,-46.7218602,+55 11 5923-5853,Mostrar horário de funcionamento da semana,clubedecampodesp.com.br,"4,7",47,Clube de campo,Fechado · Abre qui. às 06:00,https://www.google.com/maps/place/Clube+de+Campo+de+S%C3%A3o+Paulo/data=!4m7!3m6!1s0x94ce4ef794ed93ff:0xc2dde65b322b8faa!8m2!3d-23.7348764!4d-46.7218602!16s%2Fg%2F11c2j7p11m!19sChIJ_5PtlPdOzpQRqo8rMlvm3cI?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São Bernardo do Campo - SP
e86cff6bfc30767d,Sede Campo Nova Petropolis,"Av. Imperatriz Leopoldina, 925 - Nova Petrópolis, São Bernardo do Campo - SP, 09770-272, Brasil",-23.706485,-46.543425,+55 11 4123-3050,Mostrar horário de funcionamento da semana,associacaoclube.com.br,"4,5",45,Club,Fechado · Abre qui. às 06:00,https://www.google.com/maps/place/Sede+Campo+Nova+Petropolis/data=!4m7!3m6!1s0x94ce4227902038e9:0xcf9ee200e4454201!8m2!3d-23.706485!4d-46.543425!16s%2Fg%2F1tgpcd3r!19sChIJ6TggkCdCzpQRAUJF5ADins8?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São Bernardo do Campo - SP|grêmio recreativo São Bernardo do Campo - SP
3c83e4bfd8be3ef9,Sede Náutica da Associação dos Funcionários Públicos de São Bernardo do Campo - Sede Náutica,"R. Portugal, 891 - Estoril, São Bernardo do Campo - SP, 09832-400, Brasil",-23.7714719,-46.5211547,+55 11 4101-9101,Mostrar horário de funcionamento da semana,associacaoclube.com.br,"4,6",46,Associação / organização,Fechado · Abre qui. às 08:00,https://www.google.com/maps/place/Sede+N%C3%A1utica+da+Associa%C3%A7%C3%A3o+dos+Funcion%C3%A1rios+P%C3%BAblicos+de+S%C3%A3o+Bernardo+do+Campo+-+Sede+N%C3%A1utica/data=!4m7!3m6!1s0x94ce40014c352295:0xa35db2e83d39d773!8m2!3d-23.7714719!4d-46.5211547!16s%2Fg%2F11b63vx2sl!19sChIJlSI1TAFAzpQRc9c5PeiyXaM?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São Bernardo do Campo - SP
04096b1df9200357,Associação dos Funcionários Públicos de São Bernardo do Campo,"R. Vinte e Oito de Outubro, 61 - Centro, São Bernardo do Campo - SP, 09721-250, Brasil",-23.7156304,-46.5499168,+55 11 3531-4366,Mostrar horário de funcionamento da semana,associacaoclube.com.br,"4,6",46,Associação / organização,Fechado · Abre qui. às 06:00,https://www.google.com/maps/place/Associa%C3%A7%C3%A3o+dos+Funcion%C3%A1rios+P%C3%BAblicos+de+S%C3%A3o+Bernardo+do+Campo/data=!4m7!3m6!1s0x94ce418478406041:0xcd411f5542c9382e!8m2!3d-23.7156304!4d-46.5499168!16s%2Fg%2F1tdph9s7!19sChIJQWBAeIRBzpQRLjjJQlUfQc0?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São Bernardo do Campo - SP|associação de moradores São Bernardo do Campo - SP
0bc84e3128d3f1f6,Clube de Campo Abc,"R. Guaraba, 302 - Pqe Represa Billings, Santo André - SP, 09134-700, Brasil",-23.7433624,-46.4725914,+55 11 4452-2704,,,"4,2",42,Associação / organização,,https://www.google.com/maps/place/Clube+de+Campo+Abc/data=!4m7!3m6!1s0x94ce6b23bcf2233d:0x88c9bc1dbaeba8d0!8m2!3d-23.7433624!4d-46.4725914!16s%2Fg%2F11b6hs9bw8!19sChIJPSPyvCNrzpQR0Kjruh28yYg?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São Bernardo do Campo - SP
517e8868b9101808,São Bernardo Futebol Clube,"Av. Imperador Pedro II, 777 - Nova Petrópolis, São Bernardo do Campo - SP, 09770-420, Brasil",-23.7039432,-46.5442129,+55 11 4330-8155,,,"4,2",42,Clube de futebol,,https://www.google.com/maps/place/S%C3%A3o+Bernardo+Futebol+Clube/data=!4m7!3m6!1s0x94ce42263e87e647:0x906d391565615a4d!8m2!3d-23.7039432!4d-46.5442129!16s%2Fg%2F11bzzz91r7!19sChIJR-aHPiZCzpQRTVphZRU5bZA?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São Bernardo do Campo - SP
1040092597103ea9,São Bernardo Futebol Clube,"R. Olavo Bilac, 240 - Jardim Olavo Bilac, São Bernardo do Campo - SP, 09725-570, Brasil",-23.6997566,-46.5553346,+55 11 3593-6798,,,"3,5",35,Clube de futebol,,https://www.google.com/maps/place/S%C3%A3o+Bernardo+Futebol+Clube/data=!4m7!3m6!1s0x94ce4183578bd71d:0x7cdcf973b3e74419!8m2!3d-23.6997566!4d-46.5553346!16s%2Fg%2F1tlwb5vp!19sChIJHdeLV4NBzpQRGUTns3P53Hw?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São Bernardo do Campo - SP
096867629b61e5cf,São Bernardo Tênis Clube,"Rua Tietê, 255 - Vila Vivaldi, São Bernardo do Campo - SP, 09615-000, Brasil",-23.6675,-46.5558,+55 11 4362-1443,Mostrar horário de funcionamento da semana,sbtc.com.br,"4,4",44,Tênis Clube,Fechado · Abre qui. às 06:00,https://www.google.com/maps/place/S%C3%A3o+Bernardo+T%C3%AAnis+Clube/data=!4m7!3m6!1s0x94ce43026bebb6ff:0xa285c9e2e17470d2!8m2!3d-23.6675!4d-46.5558!16s%2Fg%2F1tkspgy2!19sChIJ_7brawJDzpQR0nB04eLJhaI?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São Bernardo do Campo - SP
