place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
f79644172e79ab26,Clube de Campo Santa Rita AESJ,"Clube de Campo Santa Rita - Tv. Lineu de Moura, S/N - Urbanova, São José dos Campos - SP, 12244-380, Brasil",-23.19104,-45.9220527,+55 12 3949-9494,Mostrar horário de funcionamento da semana,aesj.com.br,"4,6",46,Clube,Aberto · Fecha 00:00,https://www.google.com/maps/place/Clube+de+Campo+Santa+Rita+AESJ/data=!4m7!3m6!1s0x94cc35e74d5bb5f3:0xbe8ba65dcd72436d!8m2!3d-23.19104!4d-45.9220527!16s%2Fg%2F1yfjb5dkq!19sChIJ87VbTec1zJQRbUNyzV2mi74?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São José dos Campos - SP|escola de futebol São José dos Campos - SP
dab4471a4acb3234,Urbanova Sport Club,"Tv. Lineu de Moura - Urbanova, São José dos Campos - SP, 12244-381, Brasil",-23.186894,-45.91977,+55 12 98836-5188,Mostrar horário de funcionamento da semana,,"5,0",50,Clube,Fechado · Abre às 15:00,https://www.google.com/maps/place/Urbanova+Sport+Club/data=!4m7!3m6!1s0x94cc35dd8df6cd85:0x7cfce6554e006225!8m2!3d-23.186894!4d-45.91977!16s%2Fg%2F11tnfrfg8n!19sChIJhc32jd01zJQRJWIATlXm_Hw?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São José dos Campos - SP|escolinha de futebol São José dos Campos - SP|escola de futebol São José dos Campos - SP
4d14d6b747cfc3d1,Escolinha de Futebol DDF,"Av. Linneu de Moura, 1685 - Urbanova, São José dos Campos - SP, 12244-380, Brasil",-23.1958789,-45.9194254,+55 12 99740-4003,Mostrar horário de funcionamento da semana,instagram.com,"4,7",47,Treino de futebol,Aberto · Fecha 20:00,https://www.google.com/maps/place/Escolinha+de+Futebol+DDF/data=!4m7!3m6!1s0x94cc354703404341:0x56897b4bbbe51a83!8m2!3d-23.1958789!4d-45.9194254!16s%2Fg%2F11t7skjfn3!19sChIJQUNAA0c1zJQRgxrlu0t7iVY?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol São José dos Campos - SP|escola de futebol São José dos Campos - SP
da9cb6b589e61b18,Ronaldo Academy SJC,"Av. Linneu de Moura, 1685 - Urbanova, São José dos Campos - SP, 12244-380, Brasil",-23.1957379,-45.9193037,+55 12 99208-1145,Mostrar horário de funcionamento da semana,,"4,3",43,Treino de futebol,Aberto · Fecha 21:00,https://www.google.com/maps/place/Ronaldo+Academy+SJC/data=!4m7!3m6!1s0x94cc35e8b92d7849:0x2e92ba968a55bc8e!8m2!3d-23.1957379!4d-45.9193037!16s%2Fg%2F11dxlct481!19sChIJSXgtueg1zJQRjrxVipa6ki4?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol São José dos Campos - SP|escola de futebol São José dos Campos - SP
92565e403a99fc81,Quero Jogar - Escola de Futebol Feminino | São José dos Campos | Urbanova,"Tv. Lineu de Moura, 528 - Urbanova, São José dos Campos - SP, 12244-381, Brasil",-23.1872623,-45.919123,+55 12 99111-0798,Mostrar horário de funcionamento da semana,querojogarfutebolfeminino.com.br,,,Treino de futebol,Fechado · Abre ter. às 20:30,https://www.google.com/maps/place/Quero+Jogar+-+Escola+de+Futebol+Feminino+%7C+S%C3%A3o+Jos%C3%A9+dos+Campos+%7C+Urbanova/data=!4m7!3m6!1s0x94cc4b73e94f41ff:0xc752cc976922e7c3!8m2!3d-23.1872623!4d-45.919123!16s%2Fg%2F11vrx2gmpx!19sChIJ_0FP6XNLzJQRw-ciaZfMUsc?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol São José dos Campos - SP|escola de futebol São José dos Campos - SP
dc2487d652acfdc4,Chute Inicial Corinthians - Urbanova,"Tv. Lineu de Moura, 528 - Urbanova, São José dos Campos - SP, 12244-381, Brasil",-23.1872623,-45.919123,+55 12 98808-2749,Mostrar horário de funcionamento da semana,,"4,7",47,Centro de recreação,Aberto 24 horas,https://www.google.com/maps/place/Chute+Inicial+Corinthians+-+Urbanova/data=!4m7!3m6!1s0x94cc35e71f940b2b:0xdaaebcd41f2cbf5c!8m2!3d-23.1872623!4d-45.919123!16s%2Fg%2F11vyr7c6t0!19sChIJKwuUH-c1zJQRXL8sH9S8rto?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol São José dos Campos - SP|escola de futebol São José dos Campos - SP
cce7a4b50112bb57,F4 Natação & Fitness,"Av. Shishima Hifumi, 1250 - Urbanova, São José dos Campos - SP, 12244-000, Brasil",-23.2031668,-45.9406831,+55 12 3204-5859,Mostrar horário de funcionamento da semana,,"4,2",42,Academia,Aberto · Fecha 21:00,https://www.google.com/maps/place/F4+Nata%C3%A7%C3%A3o+%26+Fitness/data=!4m7!3m6!1s0x94cc35cd157ec75b:0xc4abd669b72fc103!8m2!3d-23.2031668!4d-45.9406831!16s%2Fg%2F1ydntvc1z!19sChIJW8d-Fc01zJQRA8Evt2nWq8Q?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escola de natação São José dos Campos - SP
bb8868406010e5f2,Escola Moppe | Educação Infantil e Ensino Fundamental (1º ao 9º ano),"Av. Linneu de Moura, 1645 - Urbanova, São José dos Campos - SP, 12244-380, Brasil",-23.1960933,-45.9187401,+55 12 3949-9380,,moppe.com.br,,,Escola particular,,https://www.google.com/maps/place/Escola+Moppe+%7C+Educa%C3%A7%C3%A3o+Infantil+e+Ensino+Fundamental+%281%C2%BA+ao+9%C2%BA+ano%29/data=!4m7!3m6!1s0x94cc35dc3fb6e6e7:0xa31bc2976417398b!8m2!3d-23.1960933!4d-45.9187401!16s%2Fg%2F1tg7t3p0!19sChIJ5-a2P9w1zJQRizkXZJfCG6M?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|EMEF São José dos Campos - SP|escola particular São José dos Campos - SP|colégio particular São José dos Campos - SP|creche particular São José dos Campos - SP
2468e3d78aaf4b07,Maple Bear São José dos Campos,"Av. Linneu de Moura, 1095 - Urbanova, São José dos Campos - SP, 12244-380, Brasil",-23.197046,-45.918001,+55 12 3209-8318,Mostrar horário de funcionamento da semana,maplebearsjc.com.br,,,Escola bilíngue,Aberto · Fecha 18:30,https://www.google.com/maps/place/Maple+Bear+S%C3%A3o+Jos%C3%A9+dos+Campos/data=!4m7!3m6!1s0x94cc35e7a1c5d2a5:0x74c2738241149544!8m2!3d-23.197046!4d-45.918001!16s%2Fg%2F1jglwv9mb!19sChIJpdLFoec1zJQRRJUUQYJzwnQ?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|EMEF São José dos Campos - SP|escola particular São José dos Campos - SP|colégio particular São José dos Campos - SP
9929d8e00d2f90e1,Colégio Mater Dei,"Avenida, Tv. Lineu de Moura, 1055 - Urbanova, São José dos Campos - SP, 12244-380, Brasil",-23.197639,-45.917271,+55 12 3878-5151,Mostrar horário de funcionamento da semana,colegiomaterdei.net,,,Escola particular,Aberto · Fecha 18:00,https://www.google.com/maps/place/Col%C3%A9gio+Mater+Dei/data=!4m7!3m6!1s0x94cc35e7a4bb3a1f:0xbad1e021ccee261b!8m2!3d-23.197639!4d-45.917271!16s%2Fg%2F1tjs618r!19sChIJHzq7pOc1zJQRGybuzCHg0bo?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escola particular São José dos Campos - SP|colégio particular São José dos Campos - SP
c8e56361317f467f,Colégio Solare,"Av. Possidônio José de Freitas, 1401 - Urbanova, São José dos Campos - SP, 12244-010, Brasil",-23.1969414,-45.9426935,+55 12 3949-1044,Mostrar horário de funcionamento da semana,colegiosolare.com.br,,,Escola de educação geral,Aberto · Fecha 19:00,https://www.google.com/maps/place/Col%C3%A9gio+Solare/data=!4m7!3m6!1s0x94cc342b3c0c7941:0x2c9e6fc71acec1a8!8m2!3d-23.1969414!4d-45.9426935!16s%2Fg%2F11dxcrpffn!19sChIJQXkMPCs0zJQRqMHOGsdvniw?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escola particular São José dos Campos - SP|colégio particular São José dos Campos - SP
df3403e00f341703,Colégio Futura Geração,"R. Benedito Machado Figueiredo, 21 - Urbanova I, São José dos Campos - SP, 12244-030, Brasil",-23.1906202,-45.932615,+55 12 99719-9158,Mostrar horário de funcionamento da semana,colegiofuturageracao.com.br,,,Escola de educação geral,Aberto · Fecha 18:00,https://www.google.com/maps/place/Col%C3%A9gio+Futura+Gera%C3%A7%C3%A3o/data=!4m7!3m6!1s0x94cc35d81cb81777:0xfc8d59c072b3e684!8m2!3d-23.1906202!4d-45.932615!16s%2Fg%2F1yfjffw_x!19sChIJdxe4HNg1zJQRhOazcsBZjfw?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escola particular São José dos Campos - SP|colégio particular São José dos Campos - SP
b084d7095c8b48eb,Residencial Jaguary,"Av. Aquarela do Brasil - Urbanova, São José dos Campos - SP, 12244-625, Brasil",-23.18822,-45.961776,+55 12 97404-3850,Mostrar horário de funcionamento da semana,veceurbanismo.com.br,"4,6",46,Loteamento de terrenos,Aberto · Fecha 18:00,https://www.google.com/maps/place/Residencial+Jaguary/data=!4m7!3m6!1s0x94cc36968b7782e9:0x26109dd9bf6ecea9!8m2!3d-23.18822!4d-45.961776!16s%2Fg%2F11bzt9kl67!19sChIJ6YJ3i5Y2zJQRqc5uv9mdECY?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|condomínio residencial São José dos Campos - SP|condomínio São José dos Campos - SP|síndico profissional São José dos Campos - SP
65e809479a48e86f,Condomínio Alphaville 2 São José dos Campos,"R. Cabriúva, 200 - Urbanova, São José dos Campos - SP, 12244-047, Brasil",-23.1854151,-45.9431898,+55 12 3912-5220,Mostrar horário de funcionamento da semana,,"4,6",46,Complexo de condomínio,Aberto 24 horas,https://www.google.com/maps/place/Condom%C3%ADnio+Alphaville+2+S%C3%A3o+Jos%C3%A9+dos+Campos/data=!4m7!3m6!1s0x94cc3687944caf89:0xb4556aaa5d743a12!8m2!3d-23.1854151!4d-45.9431898!16s%2Fg%2F11c3tr8kql!19sChIJia9MlIc2zJQREjp0XapqVbQ?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|condomínio residencial São José dos Campos - SP|condomínio São José dos Campos - SP
aee0cdc923c0c242,Condomínio Portal da Serra,"R. Maria Aparecida de Faria - Urbanova, São José dos Campos - SP, 12244-270, Brasil",-23.1978009,-45.9421943,,,sheltmapbr.cfd,"4,6",46,Complexo de condomínio,,https://www.google.com/maps/place/Condom%C3%ADnio+Portal+da+Serra/data=!4m7!3m6!1s0x94cc35d7066d5ecf:0xba905089ac09baf7!8m2!3d-23.1978009!4d-45.9421943!16s%2Fg%2F11bw46bwl2!19sChIJz15tBtc1zJQR97oJrIlQkLo?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|condomínio São José dos Campos - SP
7ef3964687a8709f,Condomínio Morada da Serra,"58, R. Hélio Chaves Monteiro, 12 - Urbanova, São José dos Campos - SP, 12244-210, Brasil",-23.1934276,-45.9316179,,,,"4,5",45,Complexo de condomínio,,https://www.google.com/maps/place/Condom%C3%ADnio+Morada+da+Serra/data=!4m7!3m6!1s0x94cc35d9ec705faf:0xa578baba01bf732a!8m2!3d-23.1934276!4d-45.9316179!16s%2Fg%2F11bw47hlj2!19sChIJr19w7Nk1zJQRKnO_Abq6eKU?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|condomínio São José dos Campos - SP
b8668580929d24c5,Condomínio Floradas do Paratey,"R. Maria das Dores Rodrigues Monteiro - Urbanova VII, São José dos Campos - SP, 12244-874, Brasil",-23.2025808,-45.95619,,,,"4,6",46,Complexo de condomínio,,https://www.google.com/maps/place/Condom%C3%ADnio+Floradas+do+Paratey/data=!4m7!3m6!1s0x94cc3426aafdc41f:0x32dc16e571155ee4!8m2!3d-23.2025808!4d-45.95619!16s%2Fg%2F11fz9_77zg!19sChIJH8T9qiY0zJQR5F4VceUW3DI?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|condomínio São José dos Campos - SP
9fe57c5dac64a2cd,Edificio Grand Vita,"R. Inez Maria Cuoghi, 200 - Urbanova, São José dos Campos - SP, 12244-857, Brasil",-23.2033774,-45.9530168,,Mostrar horário de funcionamento da semana,,"4,5",45,Complexo de condomínio,Aberto 24 horas,https://www.google.com/maps/place/Edificio+Grand+Vita/data=!4m7!3m6!1s0x94cc3425bbe34917:0xd2192a020592525!8m2!3d-23.2033774!4d-45.9530168!16s%2Fg%2F11b75cnqsv!19sChIJF0njuyU0zJQRJSVZIKCSIQ0?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|síndico profissional São José dos Campos - SP
4d4cea017df5259d,Urbanova Premium,"Av. Shishima Hifumi, 2700 - Urbanova, São José dos Campos - SP, 12244-220, Brasil",-23.2037275,-45.9485123,,,,"4,4",44,Complexo de condomínio,,https://www.google.com/maps/place/Urbanova+Premium/data=!4m7!3m6!1s0x94cc35d1b2203bc1:0x11c444f43804dd31!8m2!3d-23.2037275!4d-45.9485123!16s%2Fg%2F11cn2m9czj!19sChIJwTsgstE1zJQRMd0EOPRExBE?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|síndico profissional São José dos Campos - SP
31e9cca5172ecbc9,Edificio Mirage Residence,"R. Inez Maria Cuoghi, 50 - Urbanova, São José dos Campos - SP, 12244-857, Brasil",-23.2027127,-45.9522497,,,,"4,1",41,Complexo de condomínio,,https://www.google.com/maps/place/Edificio+Mirage+Residence/data=!4m7!3m6!1s0x94cc3425ed6cd699:0x3b3c33daa61ed0!8m2!3d-23.2027127!4d-45.9522497!16s%2Fg%2F11cm239y_h!19sChIJmdZs7SU0zJQR0B6m2jM8OwA?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|síndico profissional São José dos Campos - SP
fb3ae0ea9ef78461,Associação Moradores Residencial Alto Serra IV,"R. João Justo Pereira, 31 - Urbanova IV, São José dos Campos - SP, 12235-101, Brasil",-23.2040603,-45.9506758,+55 12 3949-1864,,,"4,4",44,Associação / organização,,https://www.google.com/maps/place/Associa%C3%A7%C3%A3o+Moradores+Residencial+Alto+Serra+IV/data=!4m7!3m6!1s0x94cc4a9997b1eddd:0x3cec8902c4b99610!8m2!3d-23.2040603!4d-45.9506758!16s%2Fg%2F1wfcq7r4!19sChIJ3e2xl5lKzJQREJa5xAKJ7Dw?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associação de moradores São José dos Campos - SP
