place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
1525a6b16598ba9a,São Vicente Atlético Clube,"Rua Marquês de São Vicente, Av. Capitão Antão de Moura, 539 - Parque Bitaru, São Vicente - SP, 11310-180, Brasil",-23.9696021,-46.393889,+55 13 3048-5055,Mostrar horário de funcionamento da semana,saovicenteac.com,"4,4",44,Clube de futebol,Fechado · Abre qui. às 08:00,https://www.google.com/maps/place/S%C3%A3o+Vicente+Atl%C3%A9tico+Clube/data=!4m7!3m6!1s0x94ce1c8f6d8dcbad:0x9d9e5c0b191bd52d!8m2!3d-23.9696021!4d-46.393889!16s%2Fg%2F11c3st0yc2!19sChIJrcuNbY8czpQRLdUbGQtcnp0?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São Vicente - SP|escolinha de futebol São Vicente - SP|escola de futebol São Vicente - SP|grêmio recreativo São Vicente - SP
ea531537005015ea,Clube Esportivo Petrópolis,"R. Niterói, 47 - Jardim Independencia, São Vicente - SP, 11380-350, Brasil",-23.9612527,-46.3758394,,,,"4,5",45,Clube,,https://www.google.com/maps/place/Clube+Esportivo+Petr%C3%B3polis/data=!4m7!3m6!1s0x94ce1d3d53eb61b7:0xda1a5e66aa7bb77c!8m2!3d-23.9612527!4d-46.3758394!16s%2Fg%2F11f6dvhb42!19sChIJt2HrUz0dzpQRfLd7qmZeGto?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São Vicente - SP
a327d9cdd1d8f3c3,Santos São Vicente Golf Club,"Av. Pérsio de Queirós Filho, 101 - Catiapoã, São Vicente - SP, 11370-300, Brasil",-23.9583469,-46.3890808,+55 13 3468-3129,Mostrar horário de funcionamento da semana,santossaovicentegolfclub.com.br,"4,5",45,Clube de golfe,Fechado · Abre qui. às 07:00,https://www.google.com/maps/place/Santos+S%C3%A3o+Vicente+Golf+Club/data=!4m7!3m6!1s0x94ce1c9c79415ceb:0xdca7c99e314462ab!8m2!3d-23.9583469!4d-46.3890808!16s%2Fg%2F1tfd82q9!19sChIJ61xBeZwczpQRq2JEMZ7Jp9w?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São Vicente - SP|grêmio recreativo São Vicente - SP
46a5b0bb2ec7b1f8,São Paulino Futebol Clube,"R. Ten. Durval do Amaral, 464-524 - Catiapoã, São Vicente - SP, 11390-300, Brasil",-23.958722,-46.3846455,,,,"4,2",42,Clube de futebol,,https://www.google.com/maps/place/S%C3%A3o+Paulino+Futebol+Clube/data=!4m7!3m6!1s0x94ce1c9ee5514673:0x5d4b1d2fa29fb72!8m2!3d-23.958722!4d-46.3846455!16s%2Fg%2F11c1n2c6d0!19sChIJc0ZR5Z4czpQRcvsp-tKx1AU?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São Vicente - SP|grêmio recreativo São Vicente - SP
8d90dad9d85ca555,São Vicente Praia Clube,"Av. Cap. Luiz Antônio Pimenta, 1263-1379 - Parque Bitaru, São Vicente - SP, 11330-200, Brasil",-23.9719585,-46.3919317,+55 13 3466-9137,Mostrar horário de funcionamento da semana,,"4,3",43,Associação / organização,Fechado · Abre qui. às 09:00,https://www.google.com/maps/place/S%C3%A3o+Vicente+Praia+Clube/data=!4m7!3m6!1s0x94ce1c892b0e2f3b:0x9df62126fc5ba2af!8m2!3d-23.9719585!4d-46.3919317!16s%2Fg%2F11b6hnd8c9!19sChIJOy8OK4kczpQRr6Jb_CYh9p0?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São Vicente - SP|grêmio recreativo São Vicente - SP
87cec9cd2f971006,Clube Tumiaru São Vicente,"Av. Tupiniquins, 1026 - Japuí, São Vicente - SP, 11325-000, Brasil",-23.9833929,-46.3939198,+55 13 3567-1322,Mostrar horário de funcionamento da semana,tumiaru.com.br,"4,5",45,Club,Fechado · Abre qui. às 09:00,https://www.google.com/maps/place/Clube+Tumiaru+S%C3%A3o+Vicente/data=!4m7!3m6!1s0x94ce1cf177485563:0x335dfd8f31a706b3!8m2!3d-23.9833929!4d-46.3939198!16s%2Fg%2F11b808h2_c!19sChIJY1VId_EczpQRswanMY_9XTM?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São Vicente - SP|grêmio recreativo São Vicente - SP
d43c8161297d6028,Serra do Mar - Pastoral Futebol Clube,"-23.986363, -46.489801, São Vicente - SP, Brasil",-23.9862955,-46.489884,,,,"4,3",43,Campo de futebol,,https://www.google.com/maps/place/Serra+do+Mar+-+Pastoral+Futebol+Clube/data=!4m7!3m6!1s0x94ce18cef83c1607:0x7942076fbf5899db!8m2!3d-23.9862955!4d-46.489884!16s%2Fg%2F11clsxstl3!19sChIJBxY8-M4YzpQR25lYv28HQnk?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São Vicente - SP|escolinha de futebol São Vicente - SP|escola de futebol São Vicente - SP
1f9ed595a5dd115a,Estádio Mansueto Pierotti,"R. Marquês de São Vicente, 462 - Parque Bitaru, São Vicente - SP, 11310-185, Brasil",-23.9691326,-46.3938746,+55 13 3048-5055,,,"4,3",43,Estádio de futebol,,https://www.google.com/maps/place/Est%C3%A1dio+Mansueto+Pierotti/data=!4m7!3m6!1s0x94ce1c8f767af4ad:0xa3c8e81a58bcb751!8m2!3d-23.9691326!4d-46.3938746!16s%2Fg%2F122gqwmd!19sChIJrfR6do8czpQRUbe8WBroyKM?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São Vicente - SP|ADC São Vicente - SP
8acf237401780272,"Arena Canto do Rio , Katarina de Moraes","Tv. do Parque, 511 - Catiapoã, São Vicente - SP, 11365-330, Brasil",-23.9575687,-46.3926488,+55 13 98819-1979,Mostrar horário de funcionamento da semana,,"4,6",46,Campo de futebol,Aberto 24 horas,"https://www.google.com/maps/place/Arena+Canto+do+Rio+,+Katarina+de+Moraes/data=!4m7!3m6!1s0x94ce1b8cee1c3ad5:0x5e930c4a3ae1bca4!8m2!3d-23.9575687!4d-46.3926488!16s%2Fg%2F11q4g62j0s!19sChIJ1Toc7owbzpQRpLzhOkoMk14?authuser=0&hl=pt-BR&rclk=1",scraper_gmaps|clube de campo São Vicente - SP
ba540059507edfb6,Associação Atlética Ferroviária,"R. Sales da Cruz, 23 - Catiapoã, São Vicente - SP, 11390-450, Brasil",-23.9612594,-46.3903544,,,,"4,6",46,Club,,https://www.google.com/maps/place/Associa%C3%A7%C3%A3o+Atl%C3%A9tica+Ferrovi%C3%A1ria/data=!4m7!3m6!1s0x94ce1c9cc0b14b9b:0x771e5e8bb93f02ac!8m2!3d-23.9612594!4d-46.3903544!16s%2Fg%2F11j4cmrpb5!19sChIJm0uxwJwczpQRrAI_uYteHnc?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São Vicente - SP|grêmio recreativo São Vicente - SP|associação desportiva classista São Vicente - SP
04c4901a3271eb85,Ilha Porchat,"Alameda Paulo Gonçalves, Alameda paulo Gonsalves, 61 - Ilha Porchat, São Vicente - SP, 11320-350, Brasil",-23.9768931,-46.3710079,+55 13 3468-1244,Mostrar horário de funcionamento da semana,instagram.com,"4,4",44,Atração turística,Fechado · Abre qui. às 09:00,https://www.google.com/maps/place/Ilha+Porchat/data=!4m7!3m6!1s0x94ce1cd03044aeed:0x44949e495b5c545e!8m2!3d-23.9768931!4d-46.3710079!16s%2Fg%2F1tg_h53k!19sChIJ7a5EMNAczpQRXlRcW0melEQ?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São Vicente - SP
5a8f89f5dd0237d3,Arena Sports SV,"R. Cel. Silva Telles, 1517 - Parque Sao Vicente, São Vicente - SP, 11355-420, Brasil",-23.9506326,-46.4040882,+55 13 99744-9494,Mostrar horário de funcionamento da semana,,"4,7",47,Campo de futebol,Aberto · Fecha 23:30,https://www.google.com/maps/place/Arena+Sports+SV/data=!4m7!3m6!1s0x94ce1bfdb9655643:0xe85d4ec42d17b71d!8m2!3d-23.9506326!4d-46.4040882!16s%2Fg%2F11nxplxznl!19sChIJQ1Zluf0bzpQRHbcXLcROXeg?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São Vicente - SP|escolinha de futebol São Vicente - SP|escola de futebol São Vicente - SP
31176999163f8a54,Baía de São Vicente Iate Clube,"Av. Tupiniquins, 1000 - Japuí, São Vicente - SP, 11325-000, Brasil",-23.9829149,-46.3936236,+55 13 3567-1000,,baiaiateclube.com.br,"4,6",46,Iate clube,,https://www.google.com/maps/place/Ba%C3%ADa+de+S%C3%A3o+Vicente+Iate+Clube/data=!4m7!3m6!1s0x94ce1cf178003305:0x4757511da3d5a86f!8m2!3d-23.9829149!4d-46.3936236!16s%2Fg%2F11bt_h30_p!19sChIJBTMAePEczpQRb6jVox1RV0c?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São Vicente - SP|grêmio recreativo São Vicente - SP
