place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
68d611af5a88cd96,JGSPORTS SOCIETY Escola de futebol Society e aluguel do campo- Estrada Velha Tté/Tbé,"Rod. Álvaro Barbosa Lima, 741 - São Vicente de Paulo, Tremembé - SP, 12120-000, Brasil",-22.9730923,-45.5574113,+55 12 2101-6336,Mostrar horário de funcionamento da semana,instagram.com,"4,4",44,Campo de futebol,Aberto · Fecha 23:00,https://www.google.com/maps/place/JGSPORTS+SOCIETY+Escola+de+futebol+Society+e+aluguel+do+campo-+Estrada+Velha+Tt%C3%A9%2FTb%C3%A9/data=!4m7!3m6!1s0x94ccf77a3af3fc8b:0x536156bfb5d50fd0!8m2!3d-22.9730923!4d-45.5574113!16s%2Fg%2F11g81rc20l!19sChIJi_zzOnr3zJQR0A_Vtb9WYVM?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Tremembé - SP|escola de futebol Tremembé - SP|grêmio recreativo Tremembé - SP
9296c27cb7c5ba18,Escola de Futebol Craquenet- Tremembé,"R. Praça da República, 111 - Village Tremembé, Tremembé - SP, 12120-000, Brasil",-22.9620349,-45.5444711,+55 12 99175-7454,Mostrar horário de funcionamento da semana,,"5,0",50,Escola de esportes,Fechado · Abre qui. às 09:00,https://www.google.com/maps/place/Escola+de+Futebol+Craquenet-+Trememb%C3%A9/data=!4m7!3m6!1s0x94ccf730ee87c27f:0x849f40ff95392358!8m2!3d-22.9620349!4d-45.5444711!16s%2Fg%2F11lm9ws_m8!19sChIJf8KH7jD3zJQRWCM5lf9An4Q?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Tremembé - SP|escola de futebol Tremembé - SP|escola particular Tremembé - SP|colégio particular Tremembé - SP
6c30d17ae70b6bb3,Academia Gold Lotus Sport Center,"Praça Dona Mariquinha Sciascia, 91 - Tremembé, São Paulo - SP, 02372-050, Brasil",-23.4590797,-46.6238327,+55 11 2953-6202,Mostrar horário de funcionamento da semana,instagram.com,"4,5",45,Escola de natação,Aberto · Fecha 22:30,https://www.google.com/maps/place/Academia+Gold+Lotus+Sport+Center/data=!4m7!3m6!1s0x94cef6fac8b32859:0xc7c1355dc3644cb!8m2!3d-23.4590797!4d-46.6238327!16s%2Fg%2F11cmsdqgjz!19sChIJWSizyPr2zpQRy0Q23FUTfAw?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de natação Tremembé - SP
b42dd8dcad566df9,Biofit Academia Tremembé - Unidade Benvirá,"Av. Luíz Gonzaga das Neves, 590 - Caminho Novo, Tremembé - SP, 12125-280, Brasil",-22.9729077,-45.5501284,+55 12 99607-2464,Aberto · Fecha 23:00·Outros horários,biofitacademia.net.br,"4,4",44,Academia,,https://www.google.com/maps/place/Biofit+Academia+Trememb%C3%A9+-+Unidade+Benvir%C3%A1/data=!4m7!3m6!1s0x94ccf79cafae7567:0xd7a7dd09d457af86!8m2!3d-22.9729077!4d-45.5501284!16s%2Fg%2F11sk0zlrhg!19sChIJZ3Wur5z3zJQRhq9X1Andp9c?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de natação Tremembé - SP|escola de natação Tremembé - SP
770afcade29f6fbc,Escola de natação Golfinho,"Rua Coronel Alexandre Monteiro Patto, 211 - Solar da Mantiqueira, Tremembé - SP, 12120-011, Brasil",-22.9614965,-45.5509489,+55 12 96666-8311,Mostrar horário de funcionamento da semana,,"5,0",50,Escola de natação,Aberto · Fecha 22:00,https://www.google.com/maps/place/Escola+de+nata%C3%A7%C3%A3o+Golfinho/data=!4m7!3m6!1s0x94ccf9e1193f98a3:0xebe8e38d878f182b!8m2!3d-22.9614965!4d-45.5509489!16s%2Fg%2F11xgyb3rmb!19sChIJo5g_GeH5zJQRKxiPh43j6Os?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de natação Tremembé - SP|escola de natação Tremembé - SP
88e586ffd845e834,Biofit Academia Tremembé - Unidade NOVA no centro de Tremembé,"R. Lindolfo de Mattos Freitas, 100 - Centro, Tremembé - SP, 12120-083, Brasil",-22.9639431,-45.5458563,+55 12 98882-1100,Mostrar horário de funcionamento da semana,biofitacademia.net.br,"4,5",45,Academia,Aberto · Fecha 23:00,https://www.google.com/maps/place/Biofit+Academia+Trememb%C3%A9+-+Unidade+NOVA+no+centro+de+Trememb%C3%A9/data=!4m7!3m6!1s0x94ccf7ccb241131b:0x9f3aceef76133945!8m2!3d-22.9639431!4d-45.5458563!16s%2Fg%2F11ynd6nh43!19sChIJGxNBssz3zJQRRTkTdu_OOp8?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de natação Tremembé - SP
ea9ad2ce2da42bea,Clube Atlético Tremembé,"R. Japiuba, 179 - Tremembé, São Paulo - SP, 02372-070, Brasil",-23.4575029,-46.6260595,+55 11 2991-2169,Mostrar horário de funcionamento da semana,catclube.com.br,"4,4",44,Clube esportivo,Aberto · Fecha 22:00,https://www.google.com/maps/place/Clube+Atl%C3%A9tico+Trememb%C3%A9/data=!4m7!3m6!1s0x94cef6e4c26199ab:0x80db0e665852cc47!8m2!3d-23.4575029!4d-46.6260595!16s%2Fg%2F1th583qh!19sChIJq5lhwuT2zpQRR8xSWGYO24A?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de natação Tremembé - SP|grêmio recreativo Tremembé - SP|associação desportiva classista Tremembé - SP
bd318f5a533164ca,Grêmio Recreativo e Desportivo de São Paulo,"Estrada Municipal Cerejeiras, 1939 - Cerejeira, Guararema - SP, 08900-000, Brasil",-23.3438224,-46.081089,+55 11 94735-7956,Mostrar horário de funcionamento da semana,,"4,8",48,Clube,Aberto · Fecha 17:00,https://www.google.com/maps/place/Gr%C3%AAmio+Recreativo+e+Desportivo+de+S%C3%A3o+Paulo/data=!4m7!3m6!1s0x94cdd317b6ec490f:0xd7b37baa4a5f656e!8m2!3d-23.3438224!4d-46.081089!16s%2Fg%2F11rsqw5m69!19sChIJD0nsthfTzZQRbmVfSqp7s9c?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|grêmio recreativo Tremembé - SP
1cc3626d85e77000,Clube Creix,"Solar da Mantiqueira, Tremembé - SP, 12120-045, Brasil",-22.9585657,-45.5463492,,,,"4,7",47,Clube,,https://www.google.com/maps/place/Clube+Creix/data=!4m7!3m6!1s0x94ccf7faaa388add:0x9ee3cec650a7d292!8m2!3d-22.9585657!4d-45.5463492!16s%2Fg%2F11ss4rpqn_!19sChIJ3Yo4qvr3zJQRktKnUMbO454?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|grêmio recreativo Tremembé - SP
37b819c59f5ba5bb,Grêmio Recreativo Nestlé de Caçapava,"R. Dr. José de Moura Resende, 1309 - Vera Cruz, Caçapava - SP, 12286-010, Brasil",-23.1082332,-45.7210129,,Mostrar horário de funcionamento da semana,nestle.com.br,"4,4",44,Clube,Aberto · Fecha 22:00,https://www.google.com/maps/place/Gr%C3%AAmio+Recreativo+Nestl%C3%A9+de+Ca%C3%A7apava/data=!4m7!3m6!1s0x94cc5184b642ba2f:0xcd41f3c07afdba50!8m2!3d-23.1082332!4d-45.7210129!16s%2Fg%2F1tdnm740!19sChIJL7pCtoRRzJQRULr9esDzQc0?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|grêmio recreativo Tremembé - SP
4bcb1fa514c79446,Grêmio Recreativo Drogaria São Paulo,"Estrada Municipal Cerejeiras, 2045, Guararema - SP, 08900-000, Brasil",-23.3438908,-46.0806324,,Mostrar horário de funcionamento da semana,,"4,5",45,Drogaria,Aberto · Fecha 17:00,https://www.google.com/maps/place/Gr%C3%AAmio+Recreativo+Drogaria+S%C3%A3o+Paulo/data=!4m7!3m6!1s0x94cdd2ee7b0d3a35:0xf621e4dcc4d68b7e!8m2!3d-23.3438908!4d-46.0806324!16s%2Fg%2F11b6ht3ddb!19sChIJNToNe-7SzZQRfovWxNzkIfY?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|grêmio recreativo Tremembé - SP
d23d4e87f5a65182,Grêmio Recreativo Iochpe,"Rua Dr. Othon Barcellos, 83 - Itagaçaba, Cruzeiro - SP, 12701-080, Brasil",-22.5837648,-44.9579979,+55 12 3144-1369,,,"4,2",42,Esportes,,https://www.google.com/maps/place/Gr%C3%AAmio+Recreativo+Iochpe/data=!4m7!3m6!1s0x9df42e0a0bffff:0xa7852f45535abe94!8m2!3d-22.5837648!4d-44.9579979!16s%2Fg%2F11v6bnb8_2!19sChIJ__8LCi70nQARlL5aU0Uvhac?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|grêmio recreativo Tremembé - SP
052e754445aa8598,Condominio Clube Recreativo Ubatuba,"R. Domingos Pedro de Oliveira, 130 - Pedreira, Ubatuba - SP, 11680-000, Brasil",-23.424346,-45.0767171,,,,"4,9",49,Hospedagem,,https://www.google.com/maps/place/Condominio+Clube+Recreativo+Ubatuba/data=!4m7!3m6!1s0x94cd518efa583181:0x38ba754347a3637b!8m2!3d-23.424346!4d-45.0767171!16s%2Fg%2F11hf19w64w!19sChIJgTFY-o5RzZQRe2OjR0N1ujg?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|grêmio recreativo Tremembé - SP
04e96630e7c5b99f,Clube Recreativo Jequitibá,"R. José de Noronha Ferraz, 454 - Vila Resende, Caçapava - SP, 12282-060, Brasil",-23.1037552,-45.6962144,+55 12 3655-4873,Mostrar horário de funcionamento da semana,instagram.com,"4,6",46,Clube de campo,Aberto · Fecha 22:00,https://www.google.com/maps/place/Clube+Recreativo+Jequitib%C3%A1/data=!4m7!3m6!1s0x94cc515e272e8a33:0x20adba5166b01b4a!8m2!3d-23.1037552!4d-45.6962144!16s%2Fg%2F1v76_sjt!19sChIJM4ouJ15RzJQRShuwZlG6rSA?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|grêmio recreativo Tremembé - SP
786cb852477a72b6,CRE Clube Recreativo Estrela,"410,, R. Gen. Wiedman, 274, Piquete - SP, 12620-000, Brasil",-22.6140951,-45.1890367,,,,"4,4",44,Clube de natação,,https://www.google.com/maps/place/CRE+Clube+Recreativo+Estrela/data=!4m7!3m6!1s0x94ccbbcc8bbe0d9d:0x36b945d8d579bbec!8m2!3d-22.6140951!4d-45.1890367!16s%2Fg%2F11clwpybkk!19sChIJnQ2-i8y7zJQR7Lt51dhFuTY?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|grêmio recreativo Tremembé - SP
66b19056c1fe58c0,ADC Embraer EGM - Associação Desportiva Classista Embraer,"Unnamed Road, São José dos Campos - SP, Brasil",-23.1305159,-45.7635511,+55 12 2136-2137,Mostrar horário de funcionamento da semana,adcembraer.com.br,"4,4",44,Organização de serviço social,Aberto · Fecha 20:00,https://www.google.com/maps/place/ADC+Embraer+EGM+-+Associa%C3%A7%C3%A3o+Desportiva+Classista+Embraer/data=!4m7!3m6!1s0x94cc4de52bf7e983:0xef867598d8bfbd9d!8m2!3d-23.1305159!4d-45.7635511!16s%2Fg%2F11c2qs9_t4!19sChIJg-n3K-VNzJQRnb2_2Jh1hu8?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associação desportiva classista Tremembé - SP
e3a0ab5f1ca715d1,Associação Desportiva Classista Parayba,"R. Paulo Madureira Lebrão, 204 - Vila Alexandrina, São José dos Campos - SP, 12211-240, Brasil",-23.1636161,-45.8912734,,,,"4,5",45,Associação / organização,,https://www.google.com/maps/place/Associa%C3%A7%C3%A3o+Desportiva+Classista+Parayba/data=!4m7!3m6!1s0x94cc49ee8ae3126b:0x584bfbe46c37029c!8m2!3d-23.1636161!4d-45.8912734!16zL20vMGQyZnc4!19sChIJaxLjiu5JzJQRnAI3bOT7S1g?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associação desportiva classista Tremembé - SP
02d3fac4398779ab,ADC - ASSOCIAÇÃO DESPORTIVA CLASSISTA - INPE - CACHOEIRA PAULISTA,"Cachoeira Paulista - SP, 12630-000, Brasil",-22.674578,-44.9952255,+55 12 3186-9232,Mostrar horário de funcionamento da semana,,"4,2",42,Clube de campo,Aberto · Fecha 19:00,https://www.google.com/maps/place/ADC+-+ASSOCIA%C3%87%C3%83O+DESPORTIVA+CLASSISTA+-+INPE+-+CACHOEIRA+PAULISTA/data=!4m7!3m6!1s0x9d8a7dfe77a64d:0xf32e80b83bc24cdc!8m2!3d-22.674578!4d-44.9952255!16s%2Fg%2F11csszx3yw!19sChIJTaZ3_n2KnQAR3EzCO7iALvM?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associação desportiva classista Tremembé - SP
ad31d1cd2cde4913,Clube ADC Mafersa,"Av. Ver. Altomir Spinelli, 111 - Jardim Campo Grande, Caçapava - SP, 12282-505, Brasil",-23.0990652,-45.6949757,+55 12 3653-4297,Mostrar horário de funcionamento da semana,,"4,5",45,Club,Aberto 24 horas,https://www.google.com/maps/place/Clube+ADC+Mafersa/data=!4m7!3m6!1s0x94cc517a8942e629:0xfabe090132f86713!8m2!3d-23.0990652!4d-45.6949757!16s%2Fg%2F1tcvk6jt!19sChIJKeZCiXpRzJQRE2f4MgEJvvo?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associação desportiva classista Tremembé - SP
a3081862ad609179,ADC EMBRAER,"Av. Brg. Faria Lima, 2100 - Recanto dos Eucaliptos, São José dos Campos - SP, 12227-901, Brasil",-23.2212385,-45.8549874,+55 12 99719-2699,Mostrar horário de funcionamento da semana,adcembraer.com.br,"4,7",47,Clube,Aberto · Fecha 21:00,https://www.google.com/maps/place/ADC+EMBRAER/data=!4m7!3m6!1s0x94cc4b3cd1c54a27:0x9c428cdc1bd22bee!8m2!3d-23.2212385!4d-45.8549874!16s%2Fg%2F1tf3cndy!19sChIJJ0rF0TxLzJQR7ivSG9yMQpw?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associação desportiva classista Tremembé - SP
72803c679123602d,Associação Desportiva Classita-Embraer,"Rod. dos Tamoios, s/n - Km 65 - Vila Letonia, São José dos Campos - SP, 12231-200, Brasil",-23.2447983,-45.8668816,+55 12 3944-1228,,,"4,5",45,Associação / organização,,https://www.google.com/maps/place/Associa%C3%A7%C3%A3o+Desportiva+Classita-Embraer/data=!4m7!3m6!1s0x94cdb52a8a061a91:0x87eb87c5e2122329!8m2!3d-23.2447983!4d-45.8668816!16s%2Fg%2F11b6hsdg35!19sChIJkRoGiiq1zZQRKSMS4sWH64c?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associação desportiva classista Tremembé - SP
eb4d432daa290abd,Escolinha Chute Inicial Corinthians C.A.T Tremembé ZN,"R. Japiuba, 179 - Tremembé, São Paulo - SP, 02372-070, Brasil",-23.4583186,-46.6254695,+55 11 99229-3551,Mostrar horário de funcionamento da semana,chuteinicialcat.com.br,"4,9",49,Treino de futebol,Fechado · Abre às 18:00,https://www.google.com/maps/place/Escolinha+Chute+Inicial+Corinthians+C.A.T+Trememb%C3%A9+ZN/data=!4m7!3m6!1s0x94cef6e4c3a4919b:0x20655cf84fc07678!8m2!3d-23.4583186!4d-46.6254695!16s%2Fg%2F11cmt9knpt!19sChIJm5Gkw-T2zpQReHbAT_hcZSA?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associação desportiva classista Tremembé - SP|escola particular Tremembé - SP|colégio particular Tremembé - SP
86263c8b561353a7,Arena Tremembé Futebol Society,"R. Japiuba, 179 - Tremembé, São Paulo - SP, 02372-070, Brasil",-23.4578511,-46.6262156,+55 11 94782-5512,Mostrar horário de funcionamento da semana,arenatremembe.com.br,"4,7",47,Campo de futebol,Aberto · Fecha 23:00,https://www.google.com/maps/place/Arena+Trememb%C3%A9+Futebol+Society/data=!4m7!3m6!1s0x94cef6e4c3a4919b:0x82444930459167fc!8m2!3d-23.4578511!4d-46.6262156!16s%2Fg%2F11cm_hv5gx!19sChIJm5Gkw-T2zpQR_GeRRTBJRII?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associação desportiva classista Tremembé - SP
28c96b45a9f3f4fb,Associação Desportiva Classista Mercedes-Benz,"R. Brejaúva, 337 - Vila Santa Rita, Diadema - SP, 09950-630, Brasil",-23.6727328,-46.5820928,+55 11 4072-7200,Mostrar horário de funcionamento da semana,adcmb.com.br,"4,5",45,Clube,Aberto · Fecha 22:00,https://www.google.com/maps/place/Associa%C3%A7%C3%A3o+Desportiva+Classista+Mercedes-Benz/data=!4m7!3m6!1s0x94ce4370310afa7d:0xa5b48bfa6b7efc9e!8m2!3d-23.6727328!4d-46.5820928!16s%2Fg%2F1txfq8cw!19sChIJffoKMXBDzpQRnvx-a_qLtKU?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associação desportiva classista Tremembé - SP
f5c02792bd37811f,Associação Desportiva Classista Ford Taubate,"Av. Voluntário Benedito Sérgio, 2800 - Res. Santa Izabel, Taubaté - SP, 12053-000, Brasil",-22.9969596,-45.5811398,,,,"5,0",50,Associação / organização,Permanentemente fechado,https://www.google.com/maps/place/Associa%C3%A7%C3%A3o+Desportiva+Classista+Ford+Taubate/data=!4m7!3m6!1s0x94ccf83a309e2127:0xf468fe49ea5bc408!8m2!3d-22.9969596!4d-45.5811398!16s%2Fg%2F1tgnyb8_!19sChIJJyGeMDr4zJQRCMRb6kn-aPQ?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associação desportiva classista Tremembé - SP
7c6d86496f5bf658,Penitenciária Dr. Tarcizo Leonce Pinheiro Cintra de Tremembé,"Rod. Amador Bueno da Veiga, Km 140 - s/n - Una, Tremembé - SP, 12120-000, Brasil",-22.9740032,-45.5134261,+55 12 3602-1995,Mostrar horário de funcionamento da semana,cnes.datasus.gov.br,"3,8",38,Centro médico público,Aberto · Fecha 23:59,https://www.google.com/maps/place/Penitenci%C3%A1ria+Dr.+Tarcizo+Leonce+Pinheiro+Cintra+de+Trememb%C3%A9/data=!4m7!3m6!1s0x94ccfa0b63cccdf1:0x985eb1f541701fae!8m2!3d-22.9740032!4d-45.5134261!16s%2Fg%2F11b7cpd56s!19sChIJ8c3MYwv6zJQRrh9wQfWxXpg?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|ADC Tremembé - SP
b89ac738e9c6e6aa,"Centro de Progressão Penitenciária ""Dr Edgard Magalhães Noronha"" de Tremembé - CPP de Tremembé","Rod. Amador Bueno da Veiga, Km 138 - S/N - Flor do Vale, Tremembé - SP, Brasil",-22.9852929,-45.5225516,+55 12 3602-1700,Mostrar horário de funcionamento da semana,cnes.datasus.gov.br,,,Presídio,Aberto · Fecha 17:00,https://www.google.com/maps/place/Centro+de+Progress%C3%A3o+Penitenci%C3%A1ria+%22Dr+Edgard+Magalh%C3%A3es+Noronha%22+de+Trememb%C3%A9+-+CPP+de+Trememb%C3%A9/data=!4m7!3m6!1s0x94ccfa1f18a3522f:0xb79694375f91b351!8m2!3d-22.9852929!4d-45.5225516!16s%2Fg%2F11b6t7b25m!19sChIJL1KjGB_6zJQRUbORXzeUlrc?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|ADC Tremembé - SP
43733b1136e28d1f,Penitenciária Feminina II de Tremembé,"km 5, 91, Bairro do 000, Rod. Amador Bueno da Veiga, 140 - Una, Tremembé - SP, Brasil",-22.9720436,-45.5105919,+55 12 3602-1741,Mostrar horário de funcionamento da semana,sap.sp.gov.br,,,Presídio,Aberto · Fecha 17:00,https://www.google.com/maps/place/Penitenci%C3%A1ria+Feminina+II+de+Trememb%C3%A9/data=!4m7!3m6!1s0x94ccfa0eab89ffbd:0xcd4c5e6bcd521edc!8m2!3d-22.9720436!4d-45.5105919!16s%2Fg%2F11b_00pwxb!19sChIJvf-Jqw76zJQR3B5SzWteTM0?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|ADC Tremembé - SP|administradora de condomínios Tremembé - SP
dcce89ae6d1406ab,"Penitenciária II ""Dr. José Augusto Salgado"" de Tremembé","Rodovia Amador Bueno da Veiga, Km 138,5, s/n - Una, Tremembé - SP, 12120-000, Brasil",-22.9773875,-45.5181994,+55 12 3602-2166,Mostrar horário de funcionamento da semana,sap.sp.gov.br,,,Presídio,Aberto · Fecha 17:00,https://www.google.com/maps/place/Penitenci%C3%A1ria+II+%22Dr.+Jos%C3%A9+Augusto+Salgado%22+de+Trememb%C3%A9/data=!4m7!3m6!1s0x94ccfa052bd92385:0xe08738a94076dc9a!8m2!3d-22.9773875!4d-45.5181994!16s%2Fg%2F11c45lrzph!19sChIJhSPZKwX6zJQRmtx2QKk4h-A?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|ADC Tremembé - SP
589cc7d5ae4f6bda,Ordem dos Advogados do Brasil-Secção de São Paulo,"R. Bom Jesus, 227 - Solar da Mantiqueira, Tremembé - SP, 12120-000, Brasil",-22.9625026,-45.5492577,+55 12 3672-2522,,oabsp.org.br,"4,5",45,Advogado,,https://www.google.com/maps/place/Ordem+dos+Advogados+do+Brasil-Sec%C3%A7%C3%A3o+de+S%C3%A3o+Paulo/data=!4m7!3m6!1s0x94ccf76c90ac5457:0xbfed2437b452c723!8m2!3d-22.9625026!4d-45.5492577!16s%2Fg%2F1pv19_02v!19sChIJV1SskGz3zJQRI8dStDck7b8?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|ADC Tremembé - SP
2c0cdcf10fb7b879,EMEF Prof. Emília de Moura Marcondes,"Av. dos Diamantes, 1200 - Jardim R. Eldorado, Tremembé - SP, 12120-000, Brasil",-22.9760731,-45.5544897,+55 12 3672-3063,Mostrar horário de funcionamento da semana,facebook.com,,,Escola de ensino fundamental,Aberto · Fecha 18:00,https://www.google.com/maps/place/EMEF+Prof.+Em%C3%ADlia+de+Moura+Marcondes/data=!4m7!3m6!1s0x94ccf77b6157b569:0x999128ba3d8f1419!8m2!3d-22.9760731!4d-45.5544897!16s%2Fg%2F1tfnzqd7!19sChIJabVXYXv3zJQRGRSPPbookZk?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escola municipal Tremembé - SP|EMEF Tremembé - SP
