place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
1db83cd87d81b1b2,"Olé Brasil Valinhos - Escola de Futebol, Society, Beach Tennis, Futevôlei e mais.","Av. Rosa Belmiro Ramos - Ortizes, Valinhos - SP, 13275-400, Brasil",-22.982795,-46.988691,+55 19 3871-0523,Mostrar horário de funcionamento da semana,olebrasilsociety.com.br,"4,6",46,Associação / organização,Aberto · Fecha 00:00,"https://www.google.com/maps/place/Ol%C3%A9+Brasil+Valinhos+-+Escola+de+Futebol,+Society,+Beach+Tennis,+Futev%C3%B4lei+e+mais./data=!4m7!3m6!1s0x94c8cd784b6ab76f:0x1305068c746c440e!8m2!3d-22.982795!4d-46.988691!16s%2Fg%2F11c1vn0clz!19sChIJb7dqS3jNyJQRDkRsdIwGBRM?authuser=0&hl=pt-BR&rclk=1",scraper_gmaps|escolinha de futebol Valinhos - SP|escola de futebol Valinhos - SP|associação desportiva classista Valinhos - SP
5ffd6f14facb1912,Show de Bola Valinhos,"R. Isaura Aparecida Oliveira Barbosa Terini, 71 - Jardim Itapua, Valinhos - SP, 13273-105, Brasil",-22.9508514,-46.9836921,+55 19 99300-7753,Mostrar horário de funcionamento da semana,,"4,5",45,Campo de futebol,Aberto · Fecha 00:00,https://www.google.com/maps/place/Show+de+Bola+Valinhos/data=!4m7!3m6!1s0x94c8cdf76479b9df:0xc006bd5d2101d576!8m2!3d-22.9508514!4d-46.9836921!16s%2Fg%2F11cs6lh1vg!19sChIJ37l5ZPfNyJQRdtUBIV29BsA?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Valinhos - SP|escola de futebol Valinhos - SP
fb9031ee598be69f,Escolinha de futebol Ponte Preta Valinhos,"Av. Rosa Belmiro Ramos, 215 - Jardim Eliza, Valinhos - SP, 13275-400, Brasil",-22.9796791,-46.9882316,+55 19 99368-6390,Mostrar horário de funcionamento da semana,pontepretavalinhos.com.br,"4,9",49,Escola de esportes,Fechado · Abre qui. às 08:00,https://www.google.com/maps/place/Escolinha+de+futebol+Ponte+Preta+Valinhos/data=!4m7!3m6!1s0x94c8cd82eeff39d7:0x1633b30582f3afab!8m2!3d-22.9796791!4d-46.9882316!16s%2Fg%2F11f01k1ldw!19sChIJ1zn_7oLNyJQRq6_zggWzMxY?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Valinhos - SP|escola de futebol Valinhos - SP|colégio particular Valinhos - SP
4dc9db92159bbb76,Goalz Sports,"R. Júlia Ostaneli Favrin, 57 - Lote 9A - Chácaras São Bento, Valinhos - SP, 13278-065, Brasil",-23.008945,-47.0138641,+55 19 99300-2002,Mostrar horário de funcionamento da semana,goalzsports.com.br,"4,9",49,Treino de futebol,Aberto · Fecha 22:00,https://www.google.com/maps/place/Goalz+Sports/data=!4m7!3m6!1s0x94c8cf9f78c8862b:0xf4dbb7b4feb1c988!8m2!3d-23.008945!4d-47.0138641!16s%2Fg%2F11ks70t714!19sChIJK4bIeJ_PyJQRiMmx_rS32_Q?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Valinhos - SP|escola de futebol Valinhos - SP
40a69c58c2e56837,Center Ball Society,"Av. Rosa Belmiro Ramos, 305 - Ortizes, Valinhos - SP, 13275-400, Brasil",-22.9796383,-46.9885371,+55 19 97407-8504,Mostrar horário de funcionamento da semana,,"4,6",46,Instituição educacional,Aberto · Fecha 00:00,https://www.google.com/maps/place/Center+Ball+Society/data=!4m7!3m6!1s0x94c8cd82eeff39d7:0x5f0a3414fe32bfaa!8m2!3d-22.9796383!4d-46.9885371!16s%2Fg%2F11dx93hf4p!19sChIJ1zn_7oLNyJQRqr8y_hQ0Cl8?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Valinhos - SP|escola de futebol Valinhos - SP
fb2e66cdd2e02089,B4F Locação de Quadras Society e Espaço para Festas,"Av. Gessy Lever, 855 - Lenheiro, Valinhos - SP, 13272-000, Brasil",-22.9601403,-46.9888633,+55 19 99554-5794,Mostrar horário de funcionamento da semana,instagram.com,"4,9",49,Campo de futebol,Aberto · Fecha 23:00,https://www.google.com/maps/place/B4F+Loca%C3%A7%C3%A3o+de+Quadras+Society+e+Espa%C3%A7o+para+Festas/data=!4m7!3m6!1s0x94c8cdb3688f7b9b:0x3d18bdbe98b032b9!8m2!3d-22.9601403!4d-46.9888633!16s%2Fg%2F11sk8cmln2!19sChIJm3uPaLPNyJQRuTKwmL69GD0?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Valinhos - SP|escola de futebol Valinhos - SP
28fb8e00e3af8069,Arena 18 Valinhos,"R. Paschoal Nicolau, 34 - Vila Moletta, Valinhos - SP, 13272-060, Brasil",-22.9627381,-46.996407,+55 19 99180-9966,,,"5,0",50,Escola de esportes,,https://www.google.com/maps/place/Arena+18+Valinhos/data=!4m7!3m6!1s0x94c8cd88b6194b37:0x8484f5a55dc9b134!8m2!3d-22.9627381!4d-46.996407!16s%2Fg%2F11sb8793pf!19sChIJN0sZtojNyJQRNLHJXaX1hIQ?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Valinhos - SP|escola de futebol Valinhos - SP|colégio particular Valinhos - SP
32c4d6f7104cb88b,Complexo Esportivo Prof. Elerdir Rosa de Amorim,"289, Rua Antonio Geraldo Capovilla, 167 - Jardim Lorena, Valinhos - SP, 13277-640, Brasil",-22.993141,-46.992204,,Mostrar horário de funcionamento da semana,valinhos.sp.gov.br,"4,4",44,Campo de futebol,Aberto 24 horas,https://www.google.com/maps/place/Complexo+Esportivo+Prof.+Elerdir+Rosa+de+Amorim/data=!4m7!3m6!1s0x94c8cd6fc9ad37ed:0x845e98ed0a8df9e1!8m2!3d-22.993141!4d-46.992204!16s%2Fg%2F11cnwjmskb!19sChIJ7TetyW_NyJQR4fmNCu2YXoQ?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Valinhos - SP|escola de futebol Valinhos - SP
80128285997023de,Esporte Clube Castelo,"R. Gervásio José Marchiori, 260 - Castelo, Valinhos - SP, 13271-300, Brasil",-22.9704063,-47.005766,+55 19 98612-2702,Mostrar horário de funcionamento da semana,eccastelo.com.br,"4,5",45,Clube,Fechado · Abre qui. às 09:00,https://www.google.com/maps/place/Esporte+Clube+Castelo/data=!4m7!3m6!1s0x94c8cdb9351fc859:0x1743ca74d0f3f66c!8m2!3d-22.9704063!4d-47.005766!16s%2Fg%2F1tdzxvbc!19sChIJWcgfNbnNyJQRbPbz0HTKQxc?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Valinhos - SP|escola de futebol Valinhos - SP
a71f5f6f4b8f9786,Pumas Valinhos,"Rua Antônio Carlos Brigero, 295 - Chacaras São Bento, Valinhos - SP, 13274-465, Brasil",-22.9755541,-47.0170575,+55 19 97160-2496,Mostrar horário de funcionamento da semana,instagram.com,,,Escola de esportes,Aberto · Fecha 22:00,https://www.google.com/maps/place/Pumas+Valinhos/data=!4m7!3m6!1s0x808f46c7d745123:0xef7efaeb7b0afe8f!8m2!3d-22.9755541!4d-47.0170575!16s%2Fg%2F11y3dsbq8y!19sChIJI1F0fWz0CAgRj_4Ke-v6fu8?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinha de futebol Valinhos - SP|escola de futebol Valinhos - SP
