place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
6cb3e723264ff5c6,AABB São José dos Campos,,-23.2643711,-45.8555454,,,,"4,4",291,Associação / organização,,https://www.google.com/maps/place/AABB+S%C3%A3o+Jos%C3%A9+dos+Campos/data=!4m7!3m6!1s0x94cc4a18d66d9607:0x520fda742ab39484!8m2!3d-23.2643711!4d-45.8555454!16s%2Fg%2F1tctgqkw!19sChIJB5Zt1hhKzJQRhJSzKnTaD1I?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São José dos Campos - SP
9900866457bb34f1,AABB São José dos Campos,"Estrada Doutor Bezerra de Menezes, 1549 Torrão de Ouro II, São José dos Campos - SP, 12229-380, Brasil",-23.2643711,-45.8555454,+55 12 98121-0559,Fechado · Abre qua. às 09:00·Outros horários,,"4,4",44,Associação / organização,,https://www.google.com/maps/place/AABB+S%C3%A3o+Jos%C3%A9+dos+Campos/data=!4m7!3m6!1s0x94cc4a18d66d9607:0x520fda742ab39484!8m2!3d-23.2643711!4d-45.8555454!16s%2Fg%2F1tctgqkw!19sChIJB5Zt1hhKzJQRhJSzKnTaD1I?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São José dos Campos - SP
f4a053d146ad205a,Adc,,-23.2432107,-45.9303572,,,,"4,9",10,Clube esportivo,,https://www.google.com/maps/place/Adc/data=!4m7!3m6!1s0x94cc3577778cf4ad:0x4dcc06638fc31c30!8m2!3d-23.2432107!4d-45.9303572!16s%2Fg%2F11rjkd0lld!19sChIJrfSMd3c1zJQRMBzDj2MGzE0?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|ADC São José dos Campos - SP
6b7b5d5a50c374ef,Adc,"Rod. Pres. Dutra, KM 155 - Jardim Limoeiro, São José dos Campos - SP, 12240-420, Brasil",-23.2432107,-45.9303572,+55 12 99255-6609,Mostrar horário de funcionamento da semana,sodimac.com.br,"4,9",49,Clube esportivo,Aberto · Fecha 17:00,https://www.google.com/maps/place/Adc/data=!4m7!3m6!1s0x94cc3577778cf4ad:0x4dcc06638fc31c30!8m2!3d-23.2432107!4d-45.9303572!16s%2Fg%2F11rjkd0lld!19sChIJrfSMd3c1zJQRMBzDj2MGzE0?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|ADC São José dos Campos - SP
cb237543a2727a86,ADC EMBRAER,"· Av. Brg. Faria Lima, 2100",-23.2212385,-45.8549874,,,,"4,7",980,Clube,,https://www.google.com/maps/place/ADC+EMBRAER/data=!4m7!3m6!1s0x94cc4b3cd1c54a27:0x9c428cdc1bd22bee!8m2!3d-23.2212385!4d-45.8549874!16s%2Fg%2F1tf3cndy!19sChIJJ0rF0TxLzJQR7ivSG9yMQpw?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associação desportiva classista São José dos Campos - SP|ADC São José dos Campos - SP
ee7ca6e8de075989,ADC Embraer EGM - Associação Desportiva Classista Embraer,,-23.1305159,-45.7635511,,,,"4,4",101,Organização de serviço social,,https://www.google.com/maps/place/ADC+Embraer+EGM+-+Associa%C3%A7%C3%A3o+Desportiva+Classista+Embraer/data=!4m7!3m6!1s0x94cc4de52bf7e983:0xef867598d8bfbd9d!8m2!3d-23.1305159!4d-45.7635511!16s%2Fg%2F11c2qs9_t4!19sChIJg-n3K-VNzJQRnb2_2Jh1hu8?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associação desportiva classista São José dos Campos - SP
66b19056c1fe58c0,ADC Embraer EGM - Associação Desportiva Classista Embraer,"Unnamed Road, São José dos Campos - SP, Brasil",-23.1305159,-45.7635511,+55 12 2136-2137,Mostrar horário de funcionamento da semana,adcembraer.com.br,"4,4",44,Organização de serviço social,Aberto · Fecha 20:00,https://www.google.com/maps/place/ADC+Embraer+EGM+-+Associa%C3%A7%C3%A3o+Desportiva+Classista+Embraer/data=!4m7!3m6!1s0x94cc4de52bf7e983:0xef867598d8bfbd9d!8m2!3d-23.1305159!4d-45.7635511!16s%2Fg%2F11c2qs9_t4!19sChIJg-n3K-VNzJQRnb2_2Jh1hu8?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associação desportiva classista São José dos Campos - SP
d3692abce3d8060b,ADC INPE,· Av. dos Astronautas,-23.2094707,-45.8578948,,,,"4,5",694,Clube,,https://www.google.com/maps/place/ADC+INPE/data=!4m7!3m6!1s0x94cc4b0515bb810b:0xbd8d05cbfd30ae95!8m2!3d-23.2094707!4d-45.8578948!16s%2Fg%2F1tj74qhy!19sChIJC4G7FQVLzJQRla4w_csFjb0?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|ADC São José dos Campos - SP
a7aa6f6ac7b4a3c2,ADC INPE,"Av. dos Astronautas - Campus do CTA, São José dos Campos - SP, 12227-010, Brasil",-23.2094707,-45.8578948,+55 12 3208-6942,,adcinpe.com.br,"4,5",45,Clube,,https://www.google.com/maps/place/ADC+INPE/data=!4m7!3m6!1s0x94cc4b0515bb810b:0xbd8d05cbfd30ae95!8m2!3d-23.2094707!4d-45.8578948!16s%2Fg%2F1tj74qhy!19sChIJC4G7FQVLzJQRla4w_csFjb0?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|ADC São José dos Campos - SP
35da7e21c3cd0011,ADC J. MACEDO,,-23.1692563,-45.9222275,,,,"3,7",3,Clube,,https://www.google.com/maps/place/ADC+J.+MACEDO/data=!4m7!3m6!1s0x94cc375a67a77ddf:0x26ee956070dca6f7!8m2!3d-23.1692563!4d-45.9222275!16s%2Fg%2F11txt3ghv0!19sChIJ332nZ1o3zJQR96bccGCV7iY?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|ADC São José dos Campos - SP
