place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
beb7010247f26705,Clube de Campo Santa Rita AESJ,,-23.19104,-45.9220527,,,,"4,6",1701,Clube,,https://www.google.com/maps/place/Clube+de+Campo+Santa+Rita+AESJ/data=!4m7!3m6!1s0x94cc35e74d5bb5f3:0xbe8ba65dcd72436d!8m2!3d-23.19104!4d-45.9220527!16s%2Fg%2F1yfjb5dkq!19sChIJ87VbTec1zJQRbUNyzV2mi74?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São José dos Campos - SP|clube recreativo São José dos Campos - SP|clube social São José dos Campos - SP|associação recreativa São José dos Campos - SP
5372c9fee0497275,Clube de Campo Luso Brasileiro - São Jose Dos Campos,,-23.1248056,-45.8653574,,,,"4,3",805,Clube de campo,,https://www.google.com/maps/place/Clube+de+Campo+Luso+Brasileiro+-+S%C3%A3o+Jose+Dos+Campos/data=!4m7!3m6!1s0x94cc48c43bde00c9:0x618e1be2b47f07bb!8m2!3d-23.1248056!4d-45.8653574!16s%2Fg%2F11cn2vvy4r!19sChIJyQDeO8RIzJQRuwd_tOIbjmE?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São José dos Campos - SP|clube recreativo São José dos Campos - SP|clube social São José dos Campos - SP
0c1aa39e4d19cff3,Clube de Campo Sindicato dos Bancários de SJC,,-23.1554959,-45.8854203,,,,"4,5",649,Clube de campo,,https://www.google.com/maps/place/Clube+de+Campo+Sindicato+dos+Banc%C3%A1rios+de+SJC/data=!4m7!3m6!1s0x94cc49eab720db2d:0xb402e52af5bfbb44!8m2!3d-23.1554959!4d-45.8854203!16s%2Fg%2F11c20b3m3z!19sChIJLdsgt-pJzJQRRLu_9SrlArQ?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São José dos Campos - SP|clube recreativo São José dos Campos - SP
656db7cb892a7456,Clube de Campo ADC Embraer,"· Estrada Padre Luiz Albino Bertolotti, S/N Rodovia dos Tamoios, Av. Brasil, km 7,5",-23.2709323,-45.8387774,,,,"4,7",2295,Clube de campo,,https://www.google.com/maps/place/Clube+de+Campo+ADC+Embraer/data=!4m7!3m6!1s0x94cc4adda5689475:0x57acde99fb101e77!8m2!3d-23.2709323!4d-45.8387774!16s%2Fg%2F11b630rqdr!19sChIJdZRopd1KzJQRdx4Q-5nerFc?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São José dos Campos - SP|clube recreativo São José dos Campos - SP|clube social São José dos Campos - SP|associação recreativa São José dos Campos - SP|ADC São José dos Campos - SP
5255b86e471df1ed,Associação Esportiva São José,,-23.1910339,-45.9220617,,,,"4,5",115,Clube de campo,,https://www.google.com/maps/place/Associa%C3%A7%C3%A3o+Esportiva+S%C3%A3o+Jos%C3%A9/data=!4m7!3m6!1s0x94cc35e0a738e539:0xd70e4c83b90631b8!8m2!3d-23.1910339!4d-45.9220617!16s%2Fg%2F1tdh4zyv!19sChIJOeU4p-A1zJQRuDEGuYNMDtc?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São José dos Campos - SP|clube recreativo São José dos Campos - SP|clube social São José dos Campos - SP|associação recreativa São José dos Campos - SP
25f5a6ef25347c5b,Clube de Campo Luso Brasileiro,,-23.1936525,-45.8988629,,,,"5,0",2,Associação / organização,,https://www.google.com/maps/place/Clube+de+Campo+Luso+Brasileiro/data=!4m7!3m6!1s0x94cc4a0c7393ffff:0xbaf2a2dd2db7f2e7!8m2!3d-23.1936525!4d-45.8988629!16s%2Fg%2F11nxv80l8z!19sChIJ__-TcwxKzJQR5_K3Ld2i8ro?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São José dos Campos - SP|clube recreativo São José dos Campos - SP|clube social São José dos Campos - SP
ab4f403cdd6319b2,Clube de Campo ASSEM,"· Estr. Mun. Nelson Tavares da Silva, 3001",-23.2011951,-45.7671468,,,,"4,5",576,Clube de campo,,https://www.google.com/maps/place/Clube+de+Campo+ASSEM/data=!4m7!3m6!1s0x94cc4d4d4484e27f:0xf9a67400cb912625!8m2!3d-23.2011951!4d-45.7671468!16s%2Fg%2F12llq1pvp!19sChIJf-KERE1NzJQRJSaRywB0pvk?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São José dos Campos - SP|associação recreativa São José dos Campos - SP
b50f9f9431087773,Ginásio Linneu de Moura,,-23.1901337,-45.8865026,,,,"4,5",683,Ginásio poliesportivo,,https://www.google.com/maps/place/Gin%C3%A1sio+Linneu+de+Moura/data=!4m7!3m6!1s0x94cc4a15a6dec46d:0x240d7b6675e0f186!8m2!3d-23.1901337!4d-45.8865026!16s%2Fg%2F11bbrjvfx6!19sChIJbcTephVKzJQRhvHgdWZ7DSQ?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São José dos Campos - SP
fe139e6faf06e197,Tênis Clube São José,"· Av. Nove de Julho, 23",-23.192728,-45.892854,,,,"4,3",617,Tênis Clube,,https://www.google.com/maps/place/T%C3%AAnis+Clube+S%C3%A3o+Jos%C3%A9/data=!4m7!3m6!1s0x94cc4a1250b468ab:0xd6ab1457f1943107!8m2!3d-23.192728!4d-45.892854!16zL20vMGJtcnp6!19sChIJq2i0UBJKzJQRBzGU8VcUq9Y?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São José dos Campos - SP|clube recreativo São José dos Campos - SP
88d29db8151596a5,Clube ARRAVV VISTA,,-23.180808,-45.82933,,,,"4,5",104,Clube de campo,,https://www.google.com/maps/place/Clube+ARRAVV+VISTA/data=!4m7!3m6!1s0x94cc4b886983bd61:0x2023c5f6930a5bf6!8m2!3d-23.180808!4d-45.82933!16s%2Fg%2F11c1369r8r!19sChIJYb2DaYhLzJQR9lsKk_bFIyA?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São José dos Campos - SP|clube recreativo São José dos Campos - SP
a087d228eda41f4a,Clube de Campo de São Paulo,,-23.7348764,-46.7218602,,,,"4,7",1653,Clube de campo,,https://www.google.com/maps/place/Clube+de+Campo+de+S%C3%A3o+Paulo/data=!4m7!3m6!1s0x94ce4ef794ed93ff:0xc2dde65b322b8faa!8m2!3d-23.7348764!4d-46.7218602!16s%2Fg%2F11c2j7p11m!19sChIJ_5PtlPdOzpQRqo8rMlvm3cI?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São José dos Campos - SP
6159f975cde6beed,Johnson Clube,"· Av. Dr. Sebastião Henrique da Cunha Pontes, 1400",-23.248119,-45.9310677,,,,"4,6",814,Associação / organização,,https://www.google.com/maps/place/Johnson+Clube/data=!4m7!3m6!1s0x94cc4a62619022cd:0x7a22ad7ea8e7b545!8m2!3d-23.248119!4d-45.9310677!16s%2Fg%2F11b6hkm9tg!19sChIJzSKQYWJKzJQRRbXnqH6tIno?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São José dos Campos - SP
bb78ffc53da3ad02,Centro de Formação de Atletas Athletico Paranaense São José dos Campos,,-23.1865188,-45.8514044,,,,"4,9",53,Clube de futebol,,https://www.google.com/maps/place/Centro+de+Forma%C3%A7%C3%A3o+de+Atletas+Athletico+Paranaense+S%C3%A3o+Jos%C3%A9+dos+Campos/data=!4m7!3m6!1s0x94cc4bd18e1843eb:0x8447d784d8cd28a2!8m2!3d-23.1865188!4d-45.8514044!16s%2Fg%2F11gjv_tlm1!19sChIJ60MYjtFLzJQRoijN2ITXR4Q?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São José dos Campos - SP
68e82148c1c4daed,CLUBE DE CAMPO SAO JOSE,,-23.6061203,-46.3203981,,,,"4,8",96,Clube de campo,,https://www.google.com/maps/place/CLUBE+DE+CAMPO+SAO+JOSE/data=!4m7!3m6!1s0x94ce710be9b082e9:0x39ae1e5e73c87dbc!8m2!3d-23.6061203!4d-46.3203981!16s%2Fg%2F11cs6fm7cq!19sChIJ6YKw6QtxzpQRvH3Ic14erjk?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São José dos Campos - SP
4111e6cfbdf95d24,Associação Desportiva da Polícia Militar (ADPM),,-23.2598871,-45.8309672,,,,"4,5",253,Clube de campo,,https://www.google.com/maps/place/Associa%C3%A7%C3%A3o+Desportiva+da+Pol%C3%ADcia+Militar+%28ADPM%29/data=!4m7!3m6!1s0x94cdb4830fb804b3:0xe4ffad3b797b1618!8m2!3d-23.2598871!4d-45.8309672!16s%2Fg%2F11cndb4bzc!19sChIJswS4D4O0zZQRGBZ7eTut_-Q?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São José dos Campos - SP
3e257471dfe6838d,Campo da Toca do Leão,"· 448, Rua Alzíro Lebrão, 370",-23.1513372,-45.8984585,,,,"4,4",145,Campo de futebol,,https://www.google.com/maps/place/Campo+da+Toca+do+Le%C3%A3o/data=!4m7!3m6!1s0x94cc49da3a7cbf2d:0xfb3099810c09f47d!8m2!3d-23.1513372!4d-45.8984585!16s%2Fg%2F11cn0qh3ls!19sChIJLb98OtpJzJQRffQJDIGZMPs?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São José dos Campos - SP
6cb3e723264ff5c6,AABB São José dos Campos,,-23.2643711,-45.8555454,,,,"4,4",291,Associação / organização,,https://www.google.com/maps/place/AABB+S%C3%A3o+Jos%C3%A9+dos+Campos/data=!4m7!3m6!1s0x94cc4a18d66d9607:0x520fda742ab39484!8m2!3d-23.2643711!4d-45.8555454!16s%2Fg%2F1tctgqkw!19sChIJB5Zt1hhKzJQRhJSzKnTaD1I?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São José dos Campos - SP
f4271af994839d73,Clube dos Empregados da Petrobras - CEPE,,-23.186647,-45.8511476,,,,"4,4",503,Clube recreativo,,https://www.google.com/maps/place/Clube+dos+Empregados+da+Petrobras+-+CEPE/data=!4m7!3m6!1s0x94cc4a626107ff97:0x6a4ec216e4f52254!8m2!3d-23.186647!4d-45.8511476!16s%2Fg%2F11b6hhc1hn!19sChIJl_8HYWJKzJQRVCL15BbCTmo?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São José dos Campos - SP|clube recreativo São José dos Campos - SP|clube social São José dos Campos - SP
29f699a031d8ac90,Campo do Oriente E.C.O.,,-23.2462264,-45.8973206,,,,"4,9",34,Academia,,https://www.google.com/maps/place/Campo+do+Oriente+E.C.O./data=!4m7!3m6!1s0x94cc4b63a317a479:0xd77eb499e7c677a8!8m2!3d-23.2462264!4d-45.8973206!16s%2Fg%2F11h3nnjr_h!19sChIJeaQXo2NLzJQRqHfG55m0ftc?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São José dos Campos - SP
9f8b7eada1f599d4,Associação Sabesp,"· Av. Linneu de Moura, 100",-23.1874332,-45.9192619,,,,"4,3",326,Clube,,https://www.google.com/maps/place/Associa%C3%A7%C3%A3o+Sabesp/data=!4m7!3m6!1s0x94cc35edf3c98f47:0xe038a7d2aa9c6738!8m2!3d-23.1874332!4d-45.9192619!16s%2Fg%2F1tkvbwcb!19sChIJR4_J8-01zJQROGecqtKnOOA?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube de campo São José dos Campos - SP|associação recreativa São José dos Campos - SP
e705ade47bc9b4ea,Clube Recreativo Orion,"· Av. Brasil, 146",-23.1806307,-45.8736183,,,,"5,0",6,Clube,,https://www.google.com/maps/place/Clube+Recreativo+Orion/data=!4m7!3m6!1s0x94cc4b007097c023:0x80fce9444e1c991c!8m2!3d-23.1806307!4d-45.8736183!16s%2Fg%2F11yjztrb4n!19sChIJI8CXcABLzJQRHJkcTkTp_IA?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|clube recreativo São José dos Campos - SP
