nome,telefone,telefone_limpo,possivel_whatsapp,website,categoria_google,segmento_busca,cidade,endereco,avaliacao,total_reviews,status_negocio,google_maps_url,fonte,consulta_origem
Subsede Dragões da Real SJC,+55 12 98124-3957,5512981243957,sim,instagram.com,Clube recreativo,clube recreativo,São José dos Campos,"R. dos Canários, 11 - Vila Tatetuba, São José dos Campos - SP, 12220-180, Brasil","5,0",50,,https://www.google.com/maps/place/Subsede+Drag%C3%B5es+da+Real+SJC/data=!4m7!3m6!1s0x94cc4ba53efad435:0x1a089b0e5311729b!8m2!3d-23.1830394!4d-45.8544357!16s%2Fg%2F11l5z8j6c2!19sChIJNdT6PqVLzJQRm3IRUw6bCBo?authuser=0&hl=pt-BR&rclk=1,Google Maps público,clube recreativo São José dos Campos - SP
Clube de Campo Luso Brasileiro,+55 12 3308-9876,551233089876,sim,clubeluso.com.br,Associação / organização,clube de campo,São José dos Campos,"Praça Nossa Sra. de Fátima, 122 - Jardim Nova America, São José dos Campos - SP, 12242-270, Brasil","5,0",50,,https://www.google.com/maps/place/Clube+de+Campo+Luso+Brasileiro/data=!4m7!3m6!1s0x94cc4a0c7393ffff:0xbaf2a2dd2db7f2e7!8m2!3d-23.1936525!4d-45.8988629!16s%2Fg%2F11nxv80l8z!19sChIJ__-TcwxKzJQR5_K3Ld2i8ro?authuser=0&hl=pt-BR&rclk=1,Google Maps público,clube de campo São José dos Campos - SP
Adc,+55 12 99255-6609,5512992556609,sim,sodimac.com.br,Clube esportivo,adc,São José dos Campos,"Rod. Pres. Dutra, KM 155 - Jardim Limoeiro, São José dos Campos - SP, 12240-420, Brasil","4,9",49,Aberto · Fecha 17:00,https://www.google.com/maps/place/Adc/data=!4m7!3m6!1s0x94cc3577778cf4ad:0x4dcc06638fc31c30!8m2!3d-23.2432107!4d-45.9303572!16s%2Fg%2F11rjkd0lld!19sChIJrfSMd3c1zJQRMBzDj2MGzE0?authuser=0&hl=pt-BR&rclk=1,Google Maps público,ADC São José dos Campos - SP
Teatro Do Sesi,+55 12 3936-2611,551239362611,sim,sesisp.org.br,Teatro,sesi,São José dos Campos,"Av. Cidade Jardim, 4389 - Bosque dos Eucaliptos, São José dos Campos - SP, 12232-000, Brasil","4,8",48,,https://www.google.com/maps/place/Teatro+Do+Sesi/data=!4m7!3m6!1s0x94cc4acaaa9252db:0x37e6b618eb8bee77!8m2!3d-23.2486504!4d-45.8849802!16s%2Fg%2F11c5r5w7pv!19sChIJ21KSqspKzJQRd-6L6xi25jc?authuser=0&hl=pt-BR&rclk=1,Google Maps público,SESI São José dos Campos - SP
Coliseu Arena Poker Club,+55 12 99765-2121,5512997652121,sim,instagram.com,Clube,clube social,São José dos Campos,"Outro lado da - Avenida Deputado Benedito Matarazzo Em frente ao, Rod. Pres. Dutra, 7.100 - Vale Sul Shopping - Parque Res. Aquarius, São José dos Campos - SP, 12242-010, Brasil","4,8",48,Fechado · Abre às 18:00,https://www.google.com/maps/place/Coliseu+Arena+Poker+Club/data=!4m7!3m6!1s0x94cc4b32a75ed031:0xf5bc7de1d9314fc8!8m2!3d-23.2137098!4d-45.8953186!16s%2Fg%2F11fm3lrdhw!19sChIJMdBepzJLzJQRyE8x2eF9vPU?authuser=0&hl=pt-BR&rclk=1,Google Maps público,clube social São José dos Campos - SP
CLUBE DE CAMPO SAO JOSE,+55 11 3111-9300,551131119300,sim,serventuarios.org.br,Clube de campo,clube de campo,São José dos Campos,"DO - Estr. Samuel, 2661 - Fazenda Aya, Suzano - SP, 08653-000, Brasil","4,8",48,Fechado · Abre ter. às 09:00,https://www.google.com/maps/place/CLUBE+DE+CAMPO+SAO+JOSE/data=!4m7!3m6!1s0x94ce710be9b082e9:0x39ae1e5e73c87dbc!8m2!3d-23.6061203!4d-46.3203981!16s%2Fg%2F11cs6fm7cq!19sChIJ6YKw6QtxzpQRvH3Ic14erjk?authuser=0&hl=pt-BR&rclk=1,Google Maps público,clube de campo São José dos Campos - SP
São José Desportivo,+55 12 3341-7820,551233417820,sim,sjdesportivo.com.br,Organização não governamental,clube recreativo,São José dos Campos,"Av. Tívoli, 128 - Vila Betania, São José dos Campos - SP, 12245-481, Brasil","4,7",47,Aberto · Fecha 17:00,https://www.google.com/maps/place/S%C3%A3o+Jos%C3%A9+Desportivo/data=!4m7!3m6!1s0x94cc4a66910f6821:0x9164399ea629da4f!8m2!3d-23.206011!4d-45.8889945!16s%2Fg%2F11g6b49q7h!19sChIJIWgPkWZKzJQRT9oppp45ZJE?authuser=0&hl=pt-BR&rclk=1,Google Maps público,clube recreativo São José dos Campos - SP
Clube de Campo de São Paulo,+55 11 5923-5853,551159235853,sim,clubedecampodesp.com.br,Clube de campo,clube de campo,São José dos Campos,"Praça Rockford, 28 - Vila Represa, São Paulo - SP, 04826-410, Brasil","4,7",47,Aberto · Fecha 18:00,https://www.google.com/maps/place/Clube+de+Campo+de+S%C3%A3o+Paulo/data=!4m7!3m6!1s0x94ce4ef794ed93ff:0xc2dde65b322b8faa!8m2!3d-23.7348764!4d-46.7218602!16s%2Fg%2F11c2j7p11m!19sChIJ_5PtlPdOzpQRqo8rMlvm3cI?authuser=0&hl=pt-BR&rclk=1,Google Maps público,clube de campo São José dos Campos - SP
Clube de Campo ADC Embraer,+55 12 99719-2699,5512997192699,sim,adcembraer.com.br,Clube de campo,clube de campo,São José dos Campos,"Estrada Padre Luiz Albino Bertolotti, S/N Rodovia dos Tamoios, Av. Brasil, km 7,5, São José dos Campos - SP, 12229-850, Brasil","4,7",47,Fechado · Abre qua. às 08:00,https://www.google.com/maps/place/Clube+de+Campo+ADC+Embraer/data=!4m7!3m6!1s0x94cc4adda5689475:0x57acde99fb101e77!8m2!3d-23.2709323!4d-45.8387774!16s%2Fg%2F11b630rqdr!19sChIJdZRopd1KzJQRdx4Q-5nerFc?authuser=0&hl=pt-BR&rclk=1,Google Maps público,clube de campo São José dos Campos - SP
ADCCTA,+55 12 98215-0770,5512982150770,sim,adccta.com,Associação / organização,adc,São José dos Campos,"Praça Marechal-do-Ar Eduardo Gomes, 50 - Campus do CTA, São José dos Campos - SP, 12228-000, Brasil","4,7",47,Aberto · Fecha 17:30,https://www.google.com/maps/place/ADCCTA/data=!4m7!3m6!1s0x94cc4a5e8027e3af:0x976b703d84608541!8m2!3d-23.210868!4d-45.877084!16s%2Fg%2F1ptzkzk8j!19sChIJr-MngF5KzJQRQYVghD1wa5c?authuser=0&hl=pt-BR&rclk=1,Google Maps público,ADC São José dos Campos - SP
