place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
1c3b5546f2bf1614,Academia Bio Sports,,-23.1067492,-45.6998684,,,,"4,7",199,Academia,,https://www.google.com/maps/place/Academia+Bio+Sports/data=!4m7!3m6!1s0x94cc5165caab05a5:0xbc7d39a5641cb937!8m2!3d-23.1067492!4d-45.6998684!16s%2Fg%2F11b6zv_scx!19sChIJpQWrymVRzJQRN7kcZKU5fbw?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinhas de natação Caçapava - SP|scraper_gmaps|associações esportivas Caçapava - SP
8c28d70760c1e808,Academia CEMC ESPORTES,,-23.1012634,-45.7010051,,,,"5,0",30,,,https://www.google.com/maps/place/Academia+CEMC+ESPORTES/data=!4m7!3m6!1s0x94cc5165cbb7fcb1:0xb21a1501b04c600f!8m2!3d-23.1012634!4d-45.7010051!16s%2Fg%2F11bx2g7spg!19sChIJsfy3y2VRzJQRD2BMsAEVGrI?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinhas de natação Caçapava - SP
1706c151cc58567c,Academia em Caçapava - Atletas,,-23.0964861,-45.6990234,,,,"4,8",68,Academia,,https://www.google.com/maps/place/Academia+em+Ca%C3%A7apava+-+Atletas/data=!4m7!3m6!1s0x94cc5168dc3d4551:0x8fd315dab0de2dba!8m2!3d-23.0964861!4d-45.6990234!16s%2Fg%2F11dfpjh5tz!19sChIJUUU93GhRzJQRui3esNoV048?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinhas de natação Caçapava - SP
9514b3709ab0e100,Academia Fênix,,-23.0956604,-45.7094584,,,,"4,8",72,Academia,,https://www.google.com/maps/place/Academia+F%C3%AAnix/data=!4m7!3m6!1s0x94cc517387e24379:0xf938b308b1c82801!8m2!3d-23.0956604!4d-45.7094584!16s%2Fg%2F11c52x0bpv!19sChIJeUPih3NRzJQRASjIsQizOPk?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinhas de natação Caçapava - SP
d2809aebfba69779,Academia Play Life Caçapava,· Av. Vera Cruz,-23.1013605,-45.7114351,,,,"4,8",103,Academia,,https://www.google.com/maps/place/Academia+Play+Life+Ca%C3%A7apava/data=!4m7!3m6!1s0x94cc51078de863bb:0x5e84d62000429e18!8m2!3d-23.1013605!4d-45.7114351!16s%2Fg%2F11gycz00q2!19sChIJu2PojQdRzJQRGJ5CACDWhF4?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinhas de natação Caçapava - SP
ce2f1875a5a37271,Academia Raia Livre Cacapava,"R. Éssio Lanfredi, 751 - Parque Res. Maria Elmira, Caçapava - SP, 12285-010, Brasil",-23.1231662,-45.7112777,+55 12 3655-5002,Mostrar horário de funcionamento da semana,,"4,6",46,Academia,Aberto · Fecha 21:00,https://www.google.com/maps/place/Academia+Raia+Livre+Cacapava/data=!4m7!3m6!1s0x94cc5359010a8291:0xe210d26ce6da1c77!8m2!3d-23.1231662!4d-45.7112777!16s%2Fg%2F11tsjbdzkk!19sChIJkYIKAVlTzJQRdxza5mzSEOI?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinhas de natação Caçapava - SP
015abd21f735ddfd,ACE Caçapava,"· Rua Major Benjamim Raymundo da Silva, 30",-23.1067741,-45.706847,,,,"4,8",73,Associação / organização,,https://www.google.com/maps/place/ACE+Ca%C3%A7apava/data=!4m7!3m6!1s0x94cc517c8c68763b:0x51f203baf86681e9!8m2!3d-23.1067741!4d-45.706847!16s%2Fg%2F1tp30h7q!19sChIJO3ZojHxRzJQR6YFm-LoD8lE?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associações esportivas Caçapava - SP
fe1c41921d8b629c,Ace Team Voleibol,"· Av. Francisca Sales Damasco, 812",-23.0910514,-45.7028005,,,,"5,0",1,Academia,,https://www.google.com/maps/place/Ace+Team+Voleibol/data=!4m7!3m6!1s0x94cc5100017200f3:0xff94f5525b9afd08!8m2!3d-23.0910514!4d-45.7028005!16s%2Fg%2F11w9k_1p8j!19sChIJ8wByAQBRzJQRCP2aW1L1lP8?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associações esportivas Caçapava - SP
a11b8db86cbb2904,Arena Sports - Caçapava,"· Av. Cel. Manoel Inocêncio, 746",-23.1061028,-45.7042387,,,,"4,5",193,Sala de fitness,,https://www.google.com/maps/place/Arena+Sports+-+Ca%C3%A7apava/data=!4m7!3m6!1s0x94cc53072334dafb:0xac5c165f9e8cb7c4!8m2!3d-23.1061028!4d-45.7042387!16s%2Fg%2F11mw7lvjgw!19sChIJ-9o0IwdTzJQRxLeMnl8WXKw?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinhas de natação Caçapava - SP|scraper_gmaps|associações esportivas Caçapava - SP
c325f6bb975c2a09,ASPMC / Associação Dos Servidores Publicos De Caçapava / Clube De Campo,,-23.0628038,-45.7321495,,,,"4,3",48,Clube de campo,,https://www.google.com/maps/place/ASPMC+%2F+Associa%C3%A7%C3%A3o+Dos+Servidores+Publicos+De+Ca%C3%A7apava+%2F+Clube+De+Campo/data=!4m7!3m6!1s0x94cc506aa0fb4ccb:0xf889fecf4aefada9!8m2!3d-23.0628038!4d-45.7321495!16s%2Fg%2F11bwh8pdwd!19sChIJy0z7oGpQzJQRqa3vSs_-ifg?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associações esportivas Caçapava - SP
