place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
9e110118ce5fd6e3,Associação Atlética Caçapavense,· Av. da Integração,-23.111301,-45.7006335,,,,"4,0",314,Associação / organização,,https://www.google.com/maps/place/Associa%C3%A7%C3%A3o+Atl%C3%A9tica+Ca%C3%A7apavense/data=!4m7!3m6!1s0x94cc53d93a44a1ef:0x978006c9bf898755!8m2!3d-23.111301!4d-45.7006335!16s%2Fg%2F11b7hpz4nq!19sChIJ76FEOtlTzJQRVYeJv8kGgJc?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associações esportivas Caçapava - SP
55d4fe8861175846,Clube ADC Mafersa,"· Av. Ver. Altomir Spinelli, 111",-23.0990652,-45.6949757,,,,"4,5",479,Club,,https://www.google.com/maps/place/Clube+ADC+Mafersa/data=!4m7!3m6!1s0x94cc517a8942e629:0xfabe090132f86713!8m2!3d-23.0990652!4d-45.6949757!16s%2Fg%2F1tcvk6jt!19sChIJKeZCiXpRzJQRE2f4MgEJvvo?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associações esportivas Caçapava - SP
bc0b196963eca6c4,Clube Esportivo Caçapava,,-23.1410165,-45.7206859,,,,"4,7",3,Clube de futebol,,https://www.google.com/maps/place/Clube+Esportivo+Ca%C3%A7apava/data=!4m7!3m6!1s0x94cc524ef09acc8b:0xeef971bb05066577!8m2!3d-23.1410165!4d-45.7206859!16s%2Fg%2F11fx8qmyxv!19sChIJi8ya8E5SzJQRd2UGBbtx-e4?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associações esportivas Caçapava - SP
c325f6bb975c2a09,ASPMC / Associação Dos Servidores Publicos De Caçapava / Clube De Campo,,-23.0628038,-45.7321495,,,,"4,3",48,Clube de campo,,https://www.google.com/maps/place/ASPMC+%2F+Associa%C3%A7%C3%A3o+Dos+Servidores+Publicos+De+Ca%C3%A7apava+%2F+Clube+De+Campo/data=!4m7!3m6!1s0x94cc506aa0fb4ccb:0xf889fecf4aefada9!8m2!3d-23.0628038!4d-45.7321495!16s%2Fg%2F11bwh8pdwd!19sChIJy0z7oGpQzJQRqa3vSs_-ifg?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associações esportivas Caçapava - SP
a11b8db86cbb2904,Arena Sports - Caçapava,"· Av. Cel. Manoel Inocêncio, 746",-23.1061028,-45.7042387,,,,"4,5",193,Sala de fitness,,https://www.google.com/maps/place/Arena+Sports+-+Ca%C3%A7apava/data=!4m7!3m6!1s0x94cc53072334dafb:0xac5c165f9e8cb7c4!8m2!3d-23.1061028!4d-45.7042387!16s%2Fg%2F11mw7lvjgw!19sChIJ-9o0IwdTzJQRxLeMnl8WXKw?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associações esportivas Caçapava - SP
58ebd2f2e0d88b2b,Grêmio Recreativo Nestlé de Caçapava,,-23.1082332,-45.7210129,,,,"4,4",839,Clube,,https://www.google.com/maps/place/Gr%C3%AAmio+Recreativo+Nestl%C3%A9+de+Ca%C3%A7apava/data=!4m7!3m6!1s0x94cc5184b642ba2f:0xcd41f3c07afdba50!8m2!3d-23.1082332!4d-45.7210129!16s%2Fg%2F1tdnm740!19sChIJL7pCtoRRzJQRULr9esDzQc0?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associações esportivas Caçapava - SP
42084d63f201782c,Clube Recreativo Jequitibá,,-23.1037552,-45.6962144,,,,"4,6",1579,Clube de campo,,https://www.google.com/maps/place/Clube+Recreativo+Jequitib%C3%A1/data=!4m7!3m6!1s0x94cc515e272e8a33:0x20adba5166b01b4a!8m2!3d-23.1037552!4d-45.6962144!16s%2Fg%2F1v76_sjt!19sChIJM4ouJ15RzJQRShuwZlG6rSA?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associações esportivas Caçapava - SP
34f20d60638f36ca,Campo Airsoft ZONA DA MATA,"· Av. Mal. Castelo Branco, 3952",-23.1150593,-45.7346979,,,,"4,8",4,Clube esportivo,,https://www.google.com/maps/place/Campo+Airsoft+ZONA+DA+MATA/data=!4m7!3m6!1s0x94cc510056da6d9d:0x9dd76ba477a04618!8m2!3d-23.1150593!4d-45.7346979!16s%2Fg%2F11zkskwk4l!19sChIJnW3aVgBRzJQRGEagd6Rr150?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associações esportivas Caçapava - SP
015abd21f735ddfd,ACE Caçapava,"· Rua Major Benjamim Raymundo da Silva, 30",-23.1067741,-45.706847,,,,"4,8",73,Associação / organização,,https://www.google.com/maps/place/ACE+Ca%C3%A7apava/data=!4m7!3m6!1s0x94cc517c8c68763b:0x51f203baf86681e9!8m2!3d-23.1067741!4d-45.706847!16s%2Fg%2F1tp30h7q!19sChIJO3ZojHxRzJQR6YFm-LoD8lE?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associações esportivas Caçapava - SP
17750b31803761ad,Sociedade Deportivo Vila André,"· R. Fernando Navajas, 118",-23.0865506,-45.7090065,,,,"3,5",6,Jardim,,https://www.google.com/maps/place/Sociedade+Deportivo+Vila+Andr%C3%A9/data=!4m7!3m6!1s0x94cc510ec83613c7:0xb85f34e830026c5e!8m2!3d-23.0865506!4d-45.7090065!16s%2Fg%2F11g0h020vj!19sChIJxxM2yA5RzJQRXmwCMOg0X7g?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associações esportivas Caçapava - SP
