place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
b2c3d823b17958bc,Acquavila,"R. Durval Rocha, 500 - Vila Paraiba, Guaratinguetá - SP, 12515-710, Brasil",-22.8055165,-45.1865415,+55 12 3125-2891,Mostrar horário de funcionamento da semana,,"4,7",47,Escola de natação,Aberto · Fecha 21:00,https://www.google.com/maps/place/Acquavila/data=!4m7!3m6!1s0x94ccc5ad4a1ed8f1:0xc3e162aeb4720a31!8m2!3d-22.8055165!4d-45.1865415!16s%2Fg%2F11gfd1fm48!19sChIJ8dgeSq3FzJQRMQpytK5i4cM?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinhas de natação Guaratinguetá - SP
36c5dd49ee2bd1a2,Clóvis Natação - Unidade Portal,"Av. Claudio Vilela Santos, 885 - Portal das Colinas, Guaratinguetá - SP, 12516-180, Brasil",-22.7982077,-45.1923685,+55 12 3125-2253,Mostrar horário de funcionamento da semana,clovisnatacao.com.br,"4,9",49,Escola de natação,Aberto · Fecha 21:00,https://www.google.com/maps/place/Cl%C3%B3vis+Nata%C3%A7%C3%A3o+-+Unidade+Portal/data=!4m7!3m6!1s0x94ccc5902881f493:0x4197affc6b2a0071!8m2!3d-22.7982077!4d-45.1923685!16s%2Fg%2F11f9vvl_5d!19sChIJk_SBKJDFzJQRcQAqa_yvl0E?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinhas de natação Guaratinguetá - SP
021ec12c67a2dc67,Clóvis Natação - Unidade Selles,,-22.8189488,-45.2035496,,,,"4,4",35,Escola de natação,,https://www.google.com/maps/place/Cl%C3%B3vis+Nata%C3%A7%C3%A3o+-+Unidade+Selles/data=!4m7!3m6!1s0x94ccc51165e50cab:0xee3a2567e343e6e!8m2!3d-22.8189488!4d-45.2035496!16s%2Fg%2F11fp33cwc6!19sChIJqwzlZRHFzJQRbj40flai4w4?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinhas de natação Guaratinguetá - SP
f7a1018390167fab,Creche Helena Vaz de Lima Soliva,,-22.790009,-45.1871212,,,,"5,0",2,Pré-escola,,https://www.google.com/maps/place/Creche+Helena+Vaz+de+Lima+Soliva/data=!4m7!3m6!1s0x94ccc5f63f664f11:0x436e972ea926da1e!8m2!3d-22.790009!4d-45.1871212!16s%2Fg%2F11rjzqw8k3!19sChIJEU9mP_bFzJQRHtomqS6XbkM?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolas municipais Guaratinguetá - SP
c79dd1aeff9bdc03,Creche Municipal Euterpe Quissak,,-22.7840658,-45.18737,,,,"5,0",1,Instituição educacional,,https://www.google.com/maps/place/Creche+Municipal+Euterpe+Quissak/data=!4m7!3m6!1s0x94ccc532facdd491:0x1caee052b67868c9!8m2!3d-22.7840658!4d-45.18737!16s%2Fg%2F11j029s12z!19sChIJkdTN-jLFzJQRyWh4tlLgrhw?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolas municipais Guaratinguetá - SP
b3e77bef5ca7108a,"Creche Municipal Maria Aparecida Barbosa da Costa ""Creche da Figueira""",,-22.8207598,-45.1999062,,,,"5,0",6,Pré-escola,,https://www.google.com/maps/place/Creche+Municipal+Maria+Aparecida+Barbosa+da+Costa+%22Creche+da+Figueira%22/data=!4m7!3m6!1s0x94ccc4f66054e8b1:0xfd93fafcc8101050!8m2!3d-22.8207598!4d-45.1999062!16s%2Fg%2F11f3zmw8j5!19sChIJsehUYPbEzJQRUBAQyPz6k_0?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolas municipais Guaratinguetá - SP
109670beba0eadd2,Creche municipal professora rita de cassia silva moura,"· Av. Dr. João Batista Rangel Camargo, 50",-22.813663,-45.1925776,,,,"4,8",4,Jardim de infância,,https://www.google.com/maps/place/Creche+municipal+professora+rita+de+cassia+silva+moura/data=!4m7!3m6!1s0x94ccc4568aec2e93:0xb6e8ecaad5bcc82c!8m2!3d-22.813663!4d-45.1925776!16s%2Fg%2F11dxbczb41!19sChIJky7silbEzJQRLMi81ars6LY?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolas municipais Guaratinguetá - SP
2c1fffd7004e7223,Creche Municipal São Francisco,,-22.8158599,-45.1961664,,,,"5,0",1,Jardim de infância,,https://www.google.com/maps/place/Creche+Municipal+S%C3%A3o+Francisco/data=!4m7!3m6!1s0x94ccc5f8ef68bc6d:0xd3996e6d148db744!8m2!3d-22.8158599!4d-45.1961664!16s%2Fg%2F11j9djxl6s!19sChIJbbxo7_jFzJQRRLeNFG1umdM?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolas municipais Guaratinguetá - SP
12defd3de8f2e911,CRECHE MUNICIPAL WANDA DE MELLO SILVA,"· CRECHE MUNICIPAL WANDA DE MELLO SILVA Rua Francisco Assis Barbosa, s/n – Pingo de Ouro Cep: 12510-440 – Telefone: 3132-4413 – Orelhão: 3133-0654 Email: crechewandademello@yahoo.com",-22.7831213,-45.247721,,,,"5,0",5,Jardim de infância,,https://www.google.com/maps/place/CRECHE+MUNICIPAL+WANDA+DE+MELLO+SILVA/data=!4m7!3m6!1s0x94ccc1f7907910c1:0x9681da72f45dad0d!8m2!3d-22.7831213!4d-45.247721!16s%2Fg%2F11gxy6pxkl!19sChIJwRB5kPfBzJQRDa1d9HLagZY?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolas municipais Guaratinguetá - SP
8318a2214a3751db,E E Profª Maria Amália de Magalhães Turner,,-22.8163242,-45.1819017,,,,,,Escola de ensino médio,,https://www.google.com/maps/place/E+E+Prof%C2%AA+Maria+Am%C3%A1lia+de+Magalh%C3%A3es+Turner/data=!4m7!3m6!1s0x94ccc5a984376347:0x1f7d79c1824244fe!8m2!3d-22.8163242!4d-45.1819017!16s%2Fg%2F11lg2p6kgc!19sChIJR2M3hKnFzJQR_kRCgsF5fR8?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolas municipais Guaratinguetá - SP
