place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
5095df973c0ce713,Academia Biofisic Jacareí,,-23.296972,-45.954326,,,,"4,6",134,Academia,,https://www.google.com/maps/place/Academia+Biofisic+Jacare%C3%AD/data=!4m7!3m6!1s0x94cdcbd8a786b357:0x6f8b2631a0ae9069!8m2!3d-23.296972!4d-45.954326!16s%2Fg%2F11n4r4jvvg!19sChIJV7OGp9jLzZQRaZCuoDEmi28?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associações esportivas Jacareí - SP
527e63da696a9258,Academia de Futebol Nacional do Vale,,-23.3008453,-45.9922903,,,,"5,0",1,Clube,,https://www.google.com/maps/place/Academia+de+Futebol+Nacional+do+Vale/data=!4m7!3m6!1s0x94cdcd6f9dd6bda3:0x60a810f647d4b8ee!8m2!3d-23.3008453!4d-45.9922903!16s%2Fg%2F11xn4hp4v2!19sChIJo73WnW_NzZQR7rjUR_YQqGA?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associações esportivas Jacareí - SP
98772d0d517a1635,Academia SportMania,"· Av. Cel. Carlos Porto, 128",-23.3045159,-45.9707852,,,,"4,8",152,Personal Trainer para mulheres,,https://www.google.com/maps/place/Academia+SportMania/data=!4m7!3m6!1s0x94cdcb6584b0feb7:0x891683b2630f70c!8m2!3d-23.3045159!4d-45.9707852!16s%2Fg%2F1tfk5k2j!19sChIJt_6whGXLzZQRDPcwJjtokQg?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|centros esportivos Jacareí - SP
24cf4ca42c186d10,Academy nacional,,-23.3070913,-45.9818702,,,,"5,0",1,Clube,,https://www.google.com/maps/place/Academy+nacional/data=!4m7!3m6!1s0x94cdcd0051f6b09d:0x324df9724644f60!8m2!3d-23.3070913!4d-45.9818702!16s%2Fg%2F11yf41ks4m!19sChIJnbD2UQDNzZQRYE9kJJffJAM?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associações esportivas Jacareí - SP
847695338058246a,Allp Fit Academia Jacareí,,-23.302508,-45.9611886,,,,"4,6",24,Academia,,https://www.google.com/maps/place/Allp+Fit+Academia+Jacare%C3%AD/data=!4m7!3m6!1s0x94cdcb92e20ef9db:0xc48e74ef28c28937!8m2!3d-23.302508!4d-45.9611886!16s%2Fg%2F11z1glll2d!19sChIJ2_kO4pLLzZQRN4nCKO90jsQ?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associações esportivas Jacareí - SP
4ee24f084af82fa3,Arena Califórnia,,-23.2797222,-45.945,,,,"4,5",244,Campo de futebol,,https://www.google.com/maps/place/Arena+Calif%C3%B3rnia/data=!4m7!3m6!1s0x94cdcb262f7a04f9:0xd06f353112675fdb!8m2!3d-23.2797222!4d-45.945!16s%2Fg%2F11gbt_8vkg!19sChIJ-QR6LybLzZQR219nEjE1b9A?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associações esportivas Jacareí - SP
a94b311242de9138,Arena Viking - Escola de Artes Marciais,,-23.2975026,-45.9563608,,,,"5,0",233,Academia de artes marciais,,https://www.google.com/maps/place/Arena+Viking+-+Escola+de+Artes+Marciais/data=!4m7!3m6!1s0x94cdcb0ee7dc6303:0x89ec226c93878df6!8m2!3d-23.2975026!4d-45.9563608!16s%2Fg%2F11fmxp4yhs!19sChIJA2Pc5w7LzZQR9o2Hk2wi7Ik?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associações esportivas Jacareí - SP
0097117859fc1f01,Associação Engenheiros Arquitetos Jacarei,"· Av. Pensilvânia, 531",-23.3016155,-45.9833115,,,,"4,5",79,Associação de arquitetos,,https://www.google.com/maps/place/Associa%C3%A7%C3%A3o+Engenheiros+Arquitetos+Jacarei/data=!4m7!3m6!1s0x94cdcca1c357d001:0x5e3b0c6f3548b2e7!8m2!3d-23.3016155!4d-45.9833115!16s%2Fg%2F1tgfr762!19sChIJAdBXw6HMzZQR57JINW8MO14?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associações esportivas Jacareí - SP
a5b50f39b1684209,Associação Esportiva Du Sol,,-23.3049037,-45.967949,,,,"4,9",15,Associação / organização,,https://www.google.com/maps/place/Associa%C3%A7%C3%A3o+Esportiva+Du+Sol/data=!4m7!3m6!1s0x94cdcbed4120022d:0x2bfa870b5ab99acb!8m2!3d-23.3049037!4d-45.967949!16s%2Fg%2F11tn5nscgl!19sChIJLQIgQe3LzZQRy5q5WguH-is?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associações esportivas Jacareí - SP
ba97db5e4f2b5e12,Associação Esportiva Jacareí Rugby - Escritório,,-23.2922747,-45.9566601,,,,,,Clube de rúgbi,,https://www.google.com/maps/place/Associa%C3%A7%C3%A3o+Esportiva+Jacare%C3%AD+Rugby+-+Escrit%C3%B3rio/data=!4m7!3m6!1s0x94cdcb1d58fb352b:0xc14781e365ad9bcb!8m2!3d-23.2922747!4d-45.9566601!16s%2Fg%2F11ghtdp9jp!19sChIJKzX7WB3LzZQRy5utZeOBR8E?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associações esportivas Jacareí - SP
c47147fa8a432a5a,Associação Fênix,,-23.260499,-45.930865,,,,"4,7",140,Associação / organização,,https://www.google.com/maps/place/Associa%C3%A7%C3%A3o+F%C3%AAnix/data=!4m7!3m6!1s0x94cc352e018b8869:0x15bd7155d79bf223!8m2!3d-23.260499!4d-45.930865!16s%2Fg%2F11cm0pl59q!19sChIJaYiLAS41zJQRI_Kb11VxvRU?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associações esportivas Jacareí - SP
57bcc6091f4396b7,Associação Vem Viver Jacareí - Vivva Residencial Clube,"· Condomínio Vem Viver - Avenida Antônio Abdon Abrahão, 235",-23.2692152,-45.9296312,,,,"4,7",210,Complexo de condomínio,,https://www.google.com/maps/place/Associa%C3%A7%C3%A3o+Vem+Viver+Jacare%C3%AD+-+Vivva+Residencial+Clube/data=!4m7!3m6!1s0x94cdcacf103e6bb5:0xfb18519798080234!8m2!3d-23.2692152!4d-45.9296312!16s%2Fg%2F11c76f_zt_!19sChIJtWs-EM_KzZQRNAIImJdRGPs?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associações esportivas Jacareí - SP
0cff48feb2560237,Bunkyo - Associação Cultural e Desportiva Nipo-Brasileira de Jacareí,"· Av. Lucas Nogueira Garcês, 1940",-23.3044,-46.0123,,,,"4,6",402,Associação / organização,,https://www.google.com/maps/place/Bunkyo+-+Associa%C3%A7%C3%A3o+Cultural+e+Desportiva+Nipo-Brasileira+de+Jacare%C3%AD/data=!4m7!3m6!1s0x94cdccda3f4a4875:0xcf17c9dd90a7de18!8m2!3d-23.3044!4d-46.0123!16s%2Fg%2F11c51v_2p7!19sChIJdUhKP9rMzZQRGN6nkN3JF88?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associações esportivas Jacareí - SP
4f8c29c87e8089f3,Campo futebol do Esporte Clube Elvira,,-23.3011153,-45.990973,,,,"4,4",22,Clube,,https://www.google.com/maps/place/Campo+futebol+do+Esporte+Clube+Elvira/data=!4m7!3m6!1s0x94cdcd2c5eb974fd:0x4527c7ee973181f4!8m2!3d-23.3011153!4d-45.990973!16s%2Fg%2F11rfn2cq4f!19sChIJ_XS5XizNzZQR9IExl-7HJ0U?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associações esportivas Jacareí - SP
8b0e3c1feccb1510,Centro de treinamento mestre Josué,,-23.3005398,-45.9698501,,,,"5,0",36,Escola de lutas,,https://www.google.com/maps/place/Centro+de+treinamento+mestre+Josu%C3%A9/data=!4m7!3m6!1s0x94cdcb218b3d4c75:0xee48a5dff03d9542!8m2!3d-23.3005398!4d-45.9698501!16s%2Fg%2F11shy6mm70!19sChIJdUw9iyHLzZQRQpU98N-lSO4?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associações esportivas Jacareí - SP|scraper_gmaps|centros esportivos Jacareí - SP
8237680d913e7b5d,CLUBE ATLETICO BOA VONTADE,,-23.3080495,-45.9075021,,,,"4,8",79,Clube,,https://www.google.com/maps/place/CLUBE+ATLETICO+BOA+VONTADE/data=!4m7!3m6!1s0x94cdcb8d1d53cc4f:0x40d0bdd98794c8fb!8m2!3d-23.3080495!4d-45.9075021!16s%2Fg%2F11f9w6vq63!19sChIJT8xTHY3LzZQR-8iUh9m90EA?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associações esportivas Jacareí - SP
f27bc63ddcf2faa6,Clube de Tênis de Mesa - Sara Santos,,-23.3154881,-45.9596745,,,,"5,0",23,Clube de tênis de mesa,,https://www.google.com/maps/place/Clube+de+T%C3%AAnis+de+Mesa+-+Sara+Santos/data=!4m7!3m6!1s0x94cdcb09d3f2f7c7:0x5b3b54e6a8823568!8m2!3d-23.3154881!4d-45.9596745!16s%2Fg%2F11tsb2n729!19sChIJx_fy0wnLzZQRaDWCqOZUO1s?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|associações esportivas Jacareí - SP
