nome,telefone,telefone_limpo,possivel_whatsapp,website,categoria_google,segmento_busca,cidade,endereco,avaliacao,total_reviews,status_negocio,google_maps_url,fonte,consulta_origem
Clóvis Natação - Unidade Portal,+55 12 3125-2253,551231252253,sim,clovisnatacao.com.br,Escola de natação,escola de natação,Guaratinguetá,"Av. Claudio Vilela Santos, 885 - Portal das Colinas, Guaratinguetá - SP, 12516-180, Brasil","4,9",49,Aberto · Fecha 21:00,https://www.google.com/maps/place/Cl%C3%B3vis+Nata%C3%A7%C3%A3o+-+Unidade+Portal/data=!4m7!3m6!1s0x94ccc5902881f493:0x4197affc6b2a0071!8m2!3d-22.7982077!4d-45.1923685!16s%2Fg%2F11f9vvl_5d!19sChIJk_SBKJDFzJQRcQAqa_yvl0E?authuser=0&hl=pt-BR&rclk=1,Google Maps público,escolinhas de natação Guaratinguetá - SP
ATOM Inteligência Imobiliária Ltda.,+55 12 3426-4386,551234264386,sim,atomimobiliaria.com.br,Imobiliária,,Taubaté,"Av. Independência, 603 - Independência, Taubaté - SP, 12031-000, Brasil","4,9",49,Aberto · Fecha 18:00,https://www.google.com/maps/place/ATOM+Intelig%C3%AAncia+Imobili%C3%A1ria+Ltda./data=!4m7!3m6!1s0x94ccf99110692c9d:0xc003bd28b865d8e3!8m2!3d-23.037425!4d-45.577192!16s%2Fg%2F11t_zwy_77!19sChIJnSxpEJH5zJQR49hluCi9A8A?authuser=0&hl=pt-BR&rclk=1,Google Maps público,condomínios residenciais Pindamonhangaba - SP
Secretaria de Esporte e Qualidade de vida,+55 12 3932-8600,551239328600,sim,sjc.sp.gov.br,Prestador de serviços públicos,,São José dos Campos,"R. Aurora Pinto da Cunha, 131 - Jardim America, São José dos Campos - SP, 12225-100, Brasil","4,8",48,Aberto · Fecha 17:30,https://www.google.com/maps/place/Secretaria+de+Esporte+e+Qualidade+de+vida/data=!4m7!3m6!1s0x94cc4b91a765a2d5:0xea4611558a8a2ca3!8m2!3d-23.228613!4d-45.9003864!16s%2Fg%2F11fk3s8xg5!19sChIJ1aJlp5FLzJQRoyyKilURRuo?authuser=0&hl=pt-BR&rclk=1,Google Maps público,centros esportivos São José dos Campos - SP
TOTAL FITNESS POWER,+55 12 99734-9253,5512997349253,sim,totalfitnesspower.com.br,Academia,,Campos do Jordão,"Av. Frei Orestes Girardi, 03 - Abernéssia, Campos do Jordão - SP, 12460-000, Brasil","4,7",47,Aberto · Fecha 21:00,https://www.google.com/maps/place/TOTAL+FITNESS+POWER/data=!4m7!3m6!1s0x94cc63818fb0f3cb:0x67b1a45c57f4b364!8m2!3d-22.7437152!4d-45.6032791!16s%2Fg%2F11j7z59cxv!19sChIJy_Owj4FjzJQRZLP0V1yksWc?authuser=0&hl=pt-BR&rclk=1,Google Maps público,escolinhas de natação Campos do Jordão - SP
Centro Esportivo do Vale do Sol,+55 12 3931-3256,551239313256,sim,sjc.sp.gov.br,Ginásio poliesportivo,centro esportivo,São José dos Campos,"Praça Bahia de São Salvador, 342 - Jardim Vale do Sol, São José dos Campos - SP, 12238-090, Brasil","4,7",47,Aberto · Fecha 22:00,https://www.google.com/maps/place/Centro+Esportivo+do+Vale+do+Sol/data=!4m7!3m6!1s0x94cc3553b4b11091:0x51892f54750550aa!8m2!3d-23.2545604!4d-45.9112283!16s%2Fg%2F11dzdwnh62!19sChIJkRCxtFM1zJQRqlAFdVQviVE?authuser=0&hl=pt-BR&rclk=1,Google Maps público,centros esportivos São José dos Campos - SP
A.A. Ferroviária Pindamonhangaba,+55 12 98224-1116,5512982241116,sim,linktr.ee,Clube esportivo,,Pindamonhangaba,"R. Álvaro Pinto Madureira, 81 - Chácara Galega, Pindamonhangaba - SP, 12422-210, Brasil","4,7",47,Aberto · Fecha 23:00,https://www.google.com/maps/place/A.A.+Ferrovi%C3%A1ria+Pindamonhangaba/data=!4m7!3m6!1s0x94ccf1868e17e891:0x5add028c1a9e962b!8m2!3d-22.9297765!4d-45.4649652!16s%2Fg%2F11qby3234w!19sChIJkegXjobxzJQRK5aeGowC3Vo?authuser=0&hl=pt-BR&rclk=1,Google Maps público,associações esportivas Pindamonhangaba - SP
Residencial Jaguary,+55 12 97404-3850,5512974043850,sim,veceurbanismo.com.br,Loteamento de terrenos,,São José dos Campos,"Av. Aquarela do Brasil - Urbanova, São José dos Campos - SP, 12244-625, Brasil","4,6",46,Aberto · Fecha 18:00,https://www.google.com/maps/place/Residencial+Jaguary/data=!4m7!3m6!1s0x94cc36968b7782e9:0x26109dd9bf6ecea9!8m2!3d-23.18822!4d-45.961776!16s%2Fg%2F11bzt9kl67!19sChIJ6YJ3i5Y2zJQRqc5uv9mdECY?authuser=0&hl=pt-BR&rclk=1,Google Maps público,condomínios residenciais São José dos Campos - SP
RESIDENCIAL SANTA MONICA,+55 12 97405-2478,5512974052478,sim,veceurbanismo.com.br,Complexo de condomínio,,Caçapava,"Rod. João Amaral Gurgel, 2351 - Residencial Santa Monica, Caçapava - SP, 12285-020, Brasil","4,6",46,Aberto · Fecha 17:30,https://www.google.com/maps/place/RESIDENCIAL+SANTA+MONICA/data=!4m7!3m6!1s0x94cc524a07e98dc5:0x442ca2e67bebf520!8m2!3d-23.1325718!4d-45.7176681!16s%2Fg%2F11b8_6jmkk!19sChIJxY3pB0pSzJQRIPXre-aiLEQ?authuser=0&hl=pt-BR&rclk=1,Google Maps público,condomínios residenciais Caçapava - SP
Poliesportivo João Do Pulo,+55 12 3931-6539,551239316539,sim,sjc.sp.gov.br,Ginásio poliesportivo,,São José dos Campos,"Av. Perseu, 180 - Jardim Satélite, São José dos Campos - SP, 12230-000, Brasil","4,6",46,Aberto · Fecha 22:00,https://www.google.com/maps/place/Poliesportivo+Jo%C3%A3o+Do+Pulo/data=!4m7!3m6!1s0x94cc4a93d97cd183:0x20fe4a1028e13964!8m2!3d-23.225081!4d-45.8895435!16s%2Fg%2F1q67qm2vn!19sChIJg9F82ZNKzJQRZDnhKBBK_iA?authuser=0&hl=pt-BR&rclk=1,Google Maps público,centros esportivos São José dos Campos - SP
Centro Esportivo João do Pulo,+55 12 3642-9122,551236429122,sim,pindamonhangaba.sp.gov.br,Quadra de esportes,centro esportivo,Pindamonhangaba,"R. Eng. Orlando Drumond Murgel - São Benedito, Pindamonhangaba - SP, 12410-310, Brasil","4,6",46,Aberto · Fecha 22:00,https://www.google.com/maps/place/Centro+Esportivo+Jo%C3%A3o+do+Pulo/data=!4m7!3m6!1s0x94ccf01cec97d033:0xf889d705603e3f21!8m2!3d-22.9375433!4d-45.4553103!16s%2Fg%2F11bw5mbpd4!19sChIJM9CX7BzwzJQRIT8-YAXXifg?authuser=0&hl=pt-BR&rclk=1,Google Maps público,associações esportivas Pindamonhangaba - SP
Grêmio Tipês - Pindamonhangaba,+55 11 98132-0928,5511981320928,sim,pt-br.facebook.com,Estádio de futebol,,Pindamonhangaba,"R. Mém de Sá, 2 - Conj. Hab. Terra dos Ipes I (Norte), Pindamonhangaba - SP, 12443-500, Brasil","4,5",45,,https://www.google.com/maps/place/Gr%C3%AAmio+Tip%C3%AAs+-+Pindamonhangaba/data=!4m7!3m6!1s0x94cce9c7d26c8f27:0x1e56f4bc88da6142!8m2!3d-22.893428!4d-45.373197!16s%2Fg%2F11pzkr002t!19sChIJJ49s0sfpzJQRQmHaiLz0Vh4?authuser=0&hl=pt-BR&rclk=1,Google Maps público,associações esportivas Pindamonhangaba - SP
Ginásio Linneu de Moura,+55 12 3921-8669,551239218669,sim,aesj.com.br,Ginásio poliesportivo,,São José dos Campos,"Tv. Maj. Cesar Leite, 20 - Centro, São José dos Campos - SP, 12245-800, Brasil","4,5",45,Aberto · Fecha 22:00,https://www.google.com/maps/place/Gin%C3%A1sio+Linneu+de+Moura/data=!4m7!3m6!1s0x94cc4a15a6dec46d:0x240d7b6675e0f186!8m2!3d-23.1901337!4d-45.8865026!16s%2Fg%2F11bbrjvfx6!19sChIJbcTephVKzJQRhvHgdWZ7DSQ?authuser=0&hl=pt-BR&rclk=1,Google Maps público,centros esportivos São José dos Campos - SP
Clube de Campo Piracuama - Dando Vida a Sua Vida!,+55 12 99681-2301,5512996812301,sim,clubedecampopiracuama.com.br,Clube de campo,clube de campo,Pindamonhangaba,"Estr. Mun. João Jorge Saad, 474 - Piracuama, Pindamonhangaba - SP, 12423-762, Brasil","4,5",45,,https://www.google.com/maps/place/Clube+de+Campo+Piracuama+-+Dando+Vida+a+Sua+Vida!/data=!4m7!3m6!1s0x94ccf03dcf88a9bf:0xc03a450af1a4a932!8m2!3d-22.8510543!4d-45.6009061!16s%2Fg%2F1tdyrxgw!19sChIJv6mIzz3wzJQRMqmk8QpFOsA?authuser=0&hl=pt-BR&rclk=1,Google Maps público,clube de campo Pindamonhangaba - SP
Centro de Treinamento Prosport,+55 12 98145-5939,5512981455939,sim,instagram.com.br,Escola de esportes,,São José dos Campos,"Av. Manuel Vieira, 4099 - Res. Uniao, São José dos Campos - SP, 12239-050, Brasil","4,5",45,Aberto · Fecha 23:00,https://www.google.com/maps/place/Centro+de+Treinamento+Prosport/data=!4m7!3m6!1s0x94cc354c41bab2a7:0x8041e7e0e5d6a289!8m2!3d-23.2625152!4d-45.911447!16s%2Fg%2F11btxcv7fw!19sChIJp7K6QUw1zJQRiaLW5eDnQYA?authuser=0&hl=pt-BR&rclk=1,Google Maps público,centros esportivos São José dos Campos - SP
