nome,telefone,telefone_limpo,possivel_whatsapp,website,categoria_google,segmento_busca,cidade,endereco,avaliacao,total_reviews,status_negocio,google_maps_url,fonte,consulta_origem
ATOM Inteligência Imobiliária Ltda.,+55 12 3426-4386,551234264386,sim,atomimobiliaria.com.br,Imobiliária,,Taubaté,"Av. Independência, 603 - Independência, Taubaté - SP, 12031-000, Brasil","4,9",49,Aberto · Fecha 18:00,https://www.google.com/maps/place/ATOM+Intelig%C3%AAncia+Imobili%C3%A1ria+Ltda./data=!4m7!3m6!1s0x94ccf99110692c9d:0xc003bd28b865d8e3!8m2!3d-23.037425!4d-45.577192!16s%2Fg%2F11t_zwy_77!19sChIJnSxpEJH5zJQR49hluCi9A8A?authuser=0&hl=pt-BR&rclk=1,Google Maps público,condomínios residenciais Pindamonhangaba - SP
A.A. Ferroviária Pindamonhangaba,+55 12 98224-1116,5512982241116,sim,linktr.ee,Clube esportivo,,Pindamonhangaba,"R. Álvaro Pinto Madureira, 81 - Chácara Galega, Pindamonhangaba - SP, 12422-210, Brasil","4,7",47,Aberto · Fecha 23:00,https://www.google.com/maps/place/A.A.+Ferrovi%C3%A1ria+Pindamonhangaba/data=!4m7!3m6!1s0x94ccf1868e17e891:0x5add028c1a9e962b!8m2!3d-22.9297765!4d-45.4649652!16s%2Fg%2F11qby3234w!19sChIJkegXjobxzJQRK5aeGowC3Vo?authuser=0&hl=pt-BR&rclk=1,Google Maps público,associações esportivas Pindamonhangaba - SP
Centro Esportivo João do Pulo,+55 12 3642-9122,551236429122,sim,pindamonhangaba.sp.gov.br,Quadra de esportes,centro esportivo,Pindamonhangaba,"R. Eng. Orlando Drumond Murgel - São Benedito, Pindamonhangaba - SP, 12410-310, Brasil","4,6",46,Aberto · Fecha 22:00,https://www.google.com/maps/place/Centro+Esportivo+Jo%C3%A3o+do+Pulo/data=!4m7!3m6!1s0x94ccf01cec97d033:0xf889d705603e3f21!8m2!3d-22.9375433!4d-45.4553103!16s%2Fg%2F11bw5mbpd4!19sChIJM9CX7BzwzJQRIT8-YAXXifg?authuser=0&hl=pt-BR&rclk=1,Google Maps público,associações esportivas Pindamonhangaba - SP
Grêmio Tipês - Pindamonhangaba,+55 11 98132-0928,5511981320928,sim,pt-br.facebook.com,Estádio de futebol,,Pindamonhangaba,"R. Mém de Sá, 2 - Conj. Hab. Terra dos Ipes I (Norte), Pindamonhangaba - SP, 12443-500, Brasil","4,5",45,,https://www.google.com/maps/place/Gr%C3%AAmio+Tip%C3%AAs+-+Pindamonhangaba/data=!4m7!3m6!1s0x94cce9c7d26c8f27:0x1e56f4bc88da6142!8m2!3d-22.893428!4d-45.373197!16s%2Fg%2F11pzkr002t!19sChIJJ49s0sfpzJQRQmHaiLz0Vh4?authuser=0&hl=pt-BR&rclk=1,Google Maps público,associações esportivas Pindamonhangaba - SP
Clube de Campo Piracuama - Dando Vida a Sua Vida!,+55 12 99681-2301,5512996812301,sim,clubedecampopiracuama.com.br,Clube de campo,clube de campo,Pindamonhangaba,"Estr. Mun. João Jorge Saad, 474 - Piracuama, Pindamonhangaba - SP, 12423-762, Brasil","4,5",45,,https://www.google.com/maps/place/Clube+de+Campo+Piracuama+-+Dando+Vida+a+Sua+Vida!/data=!4m7!3m6!1s0x94ccf03dcf88a9bf:0xc03a450af1a4a932!8m2!3d-22.8510543!4d-45.6009061!16s%2Fg%2F1tdyrxgw!19sChIJv6mIzz3wzJQRMqmk8QpFOsA?authuser=0&hl=pt-BR&rclk=1,Google Maps público,clube de campo Pindamonhangaba - SP
Centro Esportivo do Araretama,+55 12 3643-1400,551236431400,sim,pindamonhangaba.sp.gov.br,Clube,centro esportivo,Pindamonhangaba,"Av. Nicanor Ramos Nogueira, 378 - Conj. Res. Araretama, Pindamonhangaba - SP, 12424-020, Brasil","4,5",45,,https://www.google.com/maps/place/Centro+Esportivo+do+Araretama/data=!4m7!3m6!1s0x94ccf0981f993abb:0xd02aba976f4841fe!8m2!3d-22.9532938!4d-45.5036364!16s%2Fg%2F1pty55rl8!19sChIJuzqZH5jwzJQR_kFIb5e6KtA?authuser=0&hl=pt-BR&rclk=1,Google Maps público,associações esportivas Pindamonhangaba - SP
O Centro de Iniciação Esportiva (CIE),+55 12 3550-0070,551235500070,sim,,Escola de esportes,,Pindamonhangaba,"R. Ceará, 55 - Crispim, Pindamonhangaba - SP, 12402-270, Brasil","5,0",50,Aberto · Fecha 17:00,https://www.google.com/maps/place/O+Centro+de+Inicia%C3%A7%C3%A3o+Esportiva+%28CIE%29/data=!4m7!3m6!1s0x94cceffa9b5832eb:0xf9aee2d5b2d8797c!8m2!3d-22.9135263!4d-45.4481629!16s%2Fg%2F11kqc8wdxr!19sChIJ6zJYm_rvzJQRfHnYstXirvk?authuser=0&hl=pt-BR&rclk=1,Google Maps público,associações esportivas Pindamonhangaba - SP
"Centro Esportivo José Ely de Miranda ""ZITO""",+55 12 3637-5425,551236375425,sim,,Escola de esportes,centro esportivo,Pindamonhangaba,"Av. Dr. José Adhemar Cesar Ribeiro, 453-663 - Moreira César, Pindamonhangaba - SP, 12443-010, Brasil","4,7",47,Aberto 24 horas,https://www.google.com/maps/place/Centro+Esportivo+Jos%C3%A9+Ely+de+Miranda+%22ZITO%22/data=!4m7!3m6!1s0x94cce8b72c9a18ff:0x83aec8c7f0c6fa9!8m2!3d-22.9013221!4d-45.3675283!16s%2Fg%2F11c1nxyvcq!19sChIJ_xiaLLfozJQRqW8Mf4zsOgg?authuser=0&hl=pt-BR&rclk=1,Google Maps público,associações esportivas Pindamonhangaba - SP
Olímpica Casa dos Esportes,+55 12 3642-3455,551236423455,sim,,Loja de artigos esportivos,,Pindamonhangaba,"Av. Dr. Jorge Tibiriçá, 670 - Chácara Galega, Pindamonhangaba - SP, 12420-010, Brasil","4,6",46,Aberto · Fecha 19:00,https://www.google.com/maps/place/Ol%C3%ADmpica+Casa+dos+Esportes/data=!4m7!3m6!1s0x94ccf01637d1eded:0xdd727b67911832b8!8m2!3d-22.9312044!4d-45.4623328!16s%2Fg%2F1tfbt_dx!19sChIJ7e3RNxbwzJQRuDIYkWd7ct0?authuser=0&hl=pt-BR&rclk=1,Google Maps público,associações esportivas Pindamonhangaba - SP
Ginásio de Esportes Cidade Nova,+55 12 3643-1374,551236431374,sim,,Ginásio poliesportivo,,Pindamonhangaba,"R. Natividade da Serra, 211 - Cidade Nova, Pindamonhangaba - SP, 12414-100, Brasil","4,5",45,,https://www.google.com/maps/place/Gin%C3%A1sio+de+Esportes+Cidade+Nova/data=!4m7!3m6!1s0x94cce52eb6b8e5f1:0xd7c0067453f80bed!8m2!3d-22.9433048!4d-45.410891!16s%2Fg%2F11pdgmyhbl!19sChIJ8eW4ti7lzJQR7Qv4U3QGwNc?authuser=0&hl=pt-BR&rclk=1,Google Maps público,associações esportivas Pindamonhangaba - SP
