place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
a2d90470055599a8,Academia Água Viva,,-23.2434794,-45.9083736,,,,"4,4",163,,,https://www.google.com/maps/place/Academia+%C3%81gua+Viva/data=!4m7!3m6!1s0x94cc355959f306bb:0xc7afa921f41c55a0!8m2!3d-23.2434794!4d-45.9083736!16s%2Fg%2F11bwy_wl23!19sChIJuwbzWVk1zJQRoFUc9CGpr8c?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinhas de natação São José dos Campos - SP
6523c840eb455db4,Arena Sport Center,"· Av. Dep. Benedito Matarazzo, 7100",-23.2140423,-45.8954246,,,,"4,3",223,Campo de futebol,,https://www.google.com/maps/place/Arena+Sport+Center/data=!4m7!3m6!1s0x94cc4a7d69dbabc7:0x8ad25e4a704c16bd!8m2!3d-23.2140423!4d-45.8954246!16s%2Fg%2F11c1x411vb!19sChIJx6vbaX1KzJQRvRZMcEpe0oo?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|centros esportivos São José dos Campos - SP
0e4a1ab773e5bf58,Arena Sul Sports,,-23.2513669,-45.8921909,,,,"4,5",678,Quadra de esportes,,https://www.google.com/maps/place/Arena+Sul+Sports/data=!4m7!3m6!1s0x94cc4ab32a7f6091:0xf73e48fd7a3102fb!8m2!3d-23.2513669!4d-45.8921909!16s%2Fg%2F11g8z__2l8!19sChIJkWB_KrNKzJQR-wIxev1IPvc?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|centros esportivos São José dos Campos - SP
41a94dae86df701e,Avix Arena,"· Av. Dr. Nélson d'Ávila, 485",-23.1902286,-45.8854773,,,,"4,6",86,Quadra de esportes,,https://www.google.com/maps/place/Avix+Arena/data=!4m7!3m6!1s0x94cc4b5b36dc89cf:0xb1414b909274e397!8m2!3d-23.1902286!4d-45.8854773!16s%2Fg%2F11rsh51jys!19sChIJz4ncNltLzJQRl-N0kpBLQbE?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|centros esportivos São José dos Campos - SP
f7811e8137587227,Bellsub Esportes,"· Av. Anchieta, 1235",-23.1941255,-45.9053461,,,,"4,9",56,Loja de artigos para mergulho,,https://www.google.com/maps/place/Bellsub+Esportes/data=!4m7!3m6!1s0x94cc35f671a2ce41:0x7d95a3b04179af19!8m2!3d-23.1941255!4d-45.9053461!16s%2Fg%2F1pt_2g5sy!19sChIJQc6icfY1zJQRGa95QbCjlX0?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|centros esportivos São José dos Campos - SP
d1adc62424d0b496,Casa do Jovem,"Av. Olivo Gomes, 381 - Santana, São José dos Campos - SP, 12212-000, Brasil",-23.1687225,-45.8919981,+55 12 3922-4149,Mostrar horário de funcionamento da semana,,"4,6",46,Ginásio poliesportivo,Aberto · Fecha 20:30,https://www.google.com/maps/place/Casa+do+Jovem/data=!4m7!3m6!1s0x94cc49f100de74e1:0x1c0364a403956865!8m2!3d-23.1687225!4d-45.8919981!16s%2Fg%2F1q66247q_!19sChIJ4XTeAPFJzJQRZWiVA6RkAxw?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|centros esportivos São José dos Campos - SP
af439eb232659684,Centro Comunitário Alto Da Ponte,"· Rua Alzíro Lebrão, s /n",-23.1519796,-45.9000028,,,,"4,3",505,Prestador de serviços públicos,,https://www.google.com/maps/place/Centro+Comunit%C3%A1rio+Alto+Da+Ponte/data=!4m7!3m6!1s0x94cc49a5bfcd19b9:0xafd6e33f6febdc4c!8m2!3d-23.1519796!4d-45.9000028!16s%2Fg%2F11h5v6k314!19sChIJuRnNv6VJzJQRTNzrbz_j1q8?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|centros esportivos São José dos Campos - SP
82bcac4e53f00b07,Centro da Juventude Fuad Cury,,-23.2293123,-45.9005598,,,,"4,7",138,Parque,,https://www.google.com/maps/place/Centro+da+Juventude+Fuad+Cury/data=!4m7!3m6!1s0x94cc4a9c1558c037:0xd4714116f0ec9161!8m2!3d-23.2293123!4d-45.9005598!16s%2Fg%2F1ptxyjd12!19sChIJN8BYFZxKzJQRYZHs8BZBcdQ?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|centros esportivos São José dos Campos - SP
9df88d153e6c4fe7,Centro de Treinamento Prosport,"Av. Manuel Vieira, 4099 - Res. Uniao, São José dos Campos - SP, 12239-050, Brasil",-23.2625152,-45.911447,+55 12 98145-5939,Mostrar horário de funcionamento da semana,instagram.com.br,"4,5",45,Escola de esportes,Aberto · Fecha 23:00,https://www.google.com/maps/place/Centro+de+Treinamento+Prosport/data=!4m7!3m6!1s0x94cc354c41bab2a7:0x8041e7e0e5d6a289!8m2!3d-23.2625152!4d-45.911447!16s%2Fg%2F11btxcv7fw!19sChIJp7K6QUw1zJQRiaLW5eDnQYA?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|centros esportivos São José dos Campos - SP
7b953de89c1358f5,Centro Esportivo Alcides Teixeira (Jardim Da Granja),,-23.2053187,-45.8597234,,,,"4,7",9,Prestador de serviços públicos,,https://www.google.com/maps/place/Centro+Esportivo+Alcides+Teixeira+%28Jardim+Da+Granja%29/data=!4m7!3m6!1s0x94cc4bced5a80013:0xf21a8763deba283b!8m2!3d-23.2053187!4d-45.8597234!16s%2Fg%2F11fk3s17m8!19sChIJEwCo1c5LzJQROyi63mOHGvI?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|centros esportivos São José dos Campos - SP
b9bc2346526d7634,Centro Esportivo do Vale do Sol,"Praça Bahia de São Salvador, 342 - Jardim Vale do Sol, São José dos Campos - SP, 12238-090, Brasil",-23.2545604,-45.9112283,+55 12 3931-3256,Mostrar horário de funcionamento da semana,sjc.sp.gov.br,"4,7",47,Ginásio poliesportivo,Aberto · Fecha 22:00,https://www.google.com/maps/place/Centro+Esportivo+do+Vale+do+Sol/data=!4m7!3m6!1s0x94cc3553b4b11091:0x51892f54750550aa!8m2!3d-23.2545604!4d-45.9112283!16s%2Fg%2F11dzdwnh62!19sChIJkRCxtFM1zJQRqlAFdVQviVE?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|centros esportivos São José dos Campos - SP
0c00cc3a1606dd85,Centro Esportivo Palmeiras de São José,"R. Cidade de Bento Gonçalves, 254 - Palmeiras de São José, São José dos Campos - SP, 12237-832, Brasil",-23.2373136,-45.9132893,+55 12 3937-7151,Mostrar horário de funcionamento da semana,,"4,6",46,Quadra de esportes,Aberto · Fecha 21:00,https://www.google.com/maps/place/Centro+Esportivo+Palmeiras+de+S%C3%A3o+Jos%C3%A9/data=!4m7!3m6!1s0x94cc35688174a9bd:0xcc4e716368074be!8m2!3d-23.2373136!4d-45.9132893!16s%2Fg%2F11clytpn_5!19sChIJval0gWg1zJQRvnSANhbnxAw?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|centros esportivos São José dos Campos - SP
e0eb3b0f844332ef,Centro Esportivo Vila Letônia,"R. Roseira, 34 - Vila Letonia, São José dos Campos - SP, 12231-130, Brasil",-23.2108247,-45.8865419,+55 12 3923-8604,,,"4,7",47,Ginásio poliesportivo,,https://www.google.com/maps/place/Centro+Esportivo+Vila+Let%C3%B4nia/data=!4m7!3m6!1s0x94cc4b21e939d6f7:0xe103abe2d70618f9!8m2!3d-23.2108247!4d-45.8865419!16s%2Fg%2F11h5wbqy2c!19sChIJ99Y56SFLzJQR-RgG1-KrA-E?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|centros esportivos São José dos Campos - SP
e5f8a407ee589b98,Centro Esportivo Vila Tatetuba,"R. Arcil Moreno, 102 - Res. Tatetuba, São José dos Campos - SP, 12220-080, Brasil",-23.185525,-45.8611524,,Informações sobre horários de pico,sjc.sp.gov.br,,,Playground,,https://www.google.com/maps/place/Centro+Esportivo+Vila+Tatetuba/data=!4m7!3m6!1s0x94cc4be3b15f0bab:0x45ef7397884eea2e!8m2!3d-23.185525!4d-45.8611524!16s%2Fg%2F11rz2fh6kl!19sChIJqwtfseNLzJQRLupOiJdz70U?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|centros esportivos São José dos Campos - SP
61ef612b0e27e26f,Centro Poliesportivo José Carlos das Neves,"Av. Vinte e Três de Dezembro, 400 - Jardim das Cerejeiras, São José dos Campos - SP, 12225-480, Brasil",-23.1927042,-45.7914374,+55 12 3907-6739,Mostrar horário de funcionamento da semana,sjc.sp.gov.br,"4,3",43,Ginásio poliesportivo,Aberto · Fecha 22:00,https://www.google.com/maps/place/Centro+Poliesportivo+Jos%C3%A9+Carlos+das+Neves/data=!4m7!3m6!1s0x94cc4ce2034f71a5:0x681edd18bdbbdf45!8m2!3d-23.1927042!4d-45.7914374!16s%2Fg%2F1q64qy6hm!19sChIJpXFPA-JMzJQRRd-7vRjdHmg?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|centros esportivos São José dos Campos - SP
98142cdda9f8a8db,Centro Poliesportivo Tesouro,,-23.174496,-45.8456834,,,,"4,6",135,Clube,,https://www.google.com/maps/place/Centro+Poliesportivo+Tesouro/data=!4m7!3m6!1s0x94cc4bea1568b92f:0x18a17c9f60af76e5!8m2!3d-23.174496!4d-45.8456834!16s%2Fg%2F1yfj5sg0j!19sChIJL7loFepLzJQR5XavYJ98oRg?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|centros esportivos São José dos Campos - SP
a6dab169dc594219,Chute Inicial Corinthians São José dos Campos - Centro,"· Av. Nove de Julho, 23",-23.192683,-45.8929078,,,,"4,8",156,Treino de futebol,,https://www.google.com/maps/place/Chute+Inicial+Corinthians+S%C3%A3o+Jos%C3%A9+dos+Campos+-+Centro/data=!4m7!3m6!1s0x94cc4b124ec0ff89:0x239b202f892dc29e!8m2!3d-23.192683!4d-45.8929078!16s%2Fg%2F11spxv6dcj!19sChIJif_AThJLzJQRnsItiS8gmyM?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|centros esportivos São José dos Campos - SP
1f815e3bdd783d97,Cidade Sports,,-23.1947595,-45.8594619,,,,"4,8",12,Quadra de esportes,,https://www.google.com/maps/place/Cidade+Sports/data=!4m7!3m6!1s0x94cc4bae59dcd46d:0xb32e5a30c3fb73c9!8m2!3d-23.1947595!4d-45.8594619!16s%2Fg%2F11cn5qq3pm!19sChIJbdTcWa5LzJQRyXP7wzBaLrM?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|centros esportivos São José dos Campos - SP
2462b561074e8899,Clique Esporte Loja de Materiais Esportivos,,-23.1801655,-45.8848138,,,,"4,9",81,Loja de artigos esportivos,,https://www.google.com/maps/place/Clique+Esporte+Loja+de+Materiais+Esportivos/data=!4m7!3m6!1s0x94cc4bcc49510bff:0xf43e957aae2c35c!8m2!3d-23.1801655!4d-45.8848138!16s%2Fg%2F11xsbdhz3z!19sChIJ_wtRScxLzJQRXMPiqlfpQw8?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|centros esportivos São José dos Campos - SP
98536f3e10536afb,Clínica Centro de Fisioterapia e Esporte | Pilates | Funcional | Fisioterapia São José dos Campos,,-23.2038123,-45.9017096,,,,"5,0",64,Estúdio de pilates,,https://www.google.com/maps/place/Cl%C3%ADnica+Centro+de+Fisioterapia+e+Esporte+%7C+Pilates+%7C+Funcional+%7C+Fisioterapia+S%C3%A3o+Jos%C3%A9+dos+Campos/data=!4m7!3m6!1s0x94cc4a763a790a11:0x67a988689766a38e!8m2!3d-23.2038123!4d-45.9017096!16s%2Fg%2F11g_m_ptg!19sChIJEQp5OnZKzJQRjqNml2iIqWc?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|centros esportivos São José dos Campos - SP
