nome,telefone,telefone_limpo,possivel_whatsapp,website,categoria_google,segmento_busca,cidade,endereco,avaliacao,total_reviews,status_negocio,google_maps_url,fonte,consulta_origem
Secretaria de Esporte e Qualidade de vida,+55 12 3932-8600,551239328600,sim,sjc.sp.gov.br,Prestador de serviços públicos,,São José dos Campos,"R. Aurora Pinto da Cunha, 131 - Jardim America, São José dos Campos - SP, 12225-100, Brasil","4,8",48,Aberto · Fecha 17:30,https://www.google.com/maps/place/Secretaria+de+Esporte+e+Qualidade+de+vida/data=!4m7!3m6!1s0x94cc4b91a765a2d5:0xea4611558a8a2ca3!8m2!3d-23.228613!4d-45.9003864!16s%2Fg%2F11fk3s8xg5!19sChIJ1aJlp5FLzJQRoyyKilURRuo?authuser=0&hl=pt-BR&rclk=1,Google Maps público,centros esportivos São José dos Campos - SP
Centro Esportivo do Vale do Sol,+55 12 3931-3256,551239313256,sim,sjc.sp.gov.br,Ginásio poliesportivo,centro esportivo,São José dos Campos,"Praça Bahia de São Salvador, 342 - Jardim Vale do Sol, São José dos Campos - SP, 12238-090, Brasil","4,7",47,Aberto · Fecha 22:00,https://www.google.com/maps/place/Centro+Esportivo+do+Vale+do+Sol/data=!4m7!3m6!1s0x94cc3553b4b11091:0x51892f54750550aa!8m2!3d-23.2545604!4d-45.9112283!16s%2Fg%2F11dzdwnh62!19sChIJkRCxtFM1zJQRqlAFdVQviVE?authuser=0&hl=pt-BR&rclk=1,Google Maps público,centros esportivos São José dos Campos - SP
Residencial Jaguary,+55 12 97404-3850,5512974043850,sim,veceurbanismo.com.br,Loteamento de terrenos,,São José dos Campos,"Av. Aquarela do Brasil - Urbanova, São José dos Campos - SP, 12244-625, Brasil","4,6",46,Aberto · Fecha 18:00,https://www.google.com/maps/place/Residencial+Jaguary/data=!4m7!3m6!1s0x94cc36968b7782e9:0x26109dd9bf6ecea9!8m2!3d-23.18822!4d-45.961776!16s%2Fg%2F11bzt9kl67!19sChIJ6YJ3i5Y2zJQRqc5uv9mdECY?authuser=0&hl=pt-BR&rclk=1,Google Maps público,condomínios residenciais São José dos Campos - SP
Poliesportivo João Do Pulo,+55 12 3931-6539,551239316539,sim,sjc.sp.gov.br,Ginásio poliesportivo,,São José dos Campos,"Av. Perseu, 180 - Jardim Satélite, São José dos Campos - SP, 12230-000, Brasil","4,6",46,Aberto · Fecha 22:00,https://www.google.com/maps/place/Poliesportivo+Jo%C3%A3o+Do+Pulo/data=!4m7!3m6!1s0x94cc4a93d97cd183:0x20fe4a1028e13964!8m2!3d-23.225081!4d-45.8895435!16s%2Fg%2F1q67qm2vn!19sChIJg9F82ZNKzJQRZDnhKBBK_iA?authuser=0&hl=pt-BR&rclk=1,Google Maps público,centros esportivos São José dos Campos - SP
Ginásio Linneu de Moura,+55 12 3921-8669,551239218669,sim,aesj.com.br,Ginásio poliesportivo,,São José dos Campos,"Tv. Maj. Cesar Leite, 20 - Centro, São José dos Campos - SP, 12245-800, Brasil","4,5",45,Aberto · Fecha 22:00,https://www.google.com/maps/place/Gin%C3%A1sio+Linneu+de+Moura/data=!4m7!3m6!1s0x94cc4a15a6dec46d:0x240d7b6675e0f186!8m2!3d-23.1901337!4d-45.8865026!16s%2Fg%2F11bbrjvfx6!19sChIJbcTephVKzJQRhvHgdWZ7DSQ?authuser=0&hl=pt-BR&rclk=1,Google Maps público,centros esportivos São José dos Campos - SP
Centro de Treinamento Prosport,+55 12 98145-5939,5512981455939,sim,instagram.com.br,Escola de esportes,,São José dos Campos,"Av. Manuel Vieira, 4099 - Res. Uniao, São José dos Campos - SP, 12239-050, Brasil","4,5",45,Aberto · Fecha 23:00,https://www.google.com/maps/place/Centro+de+Treinamento+Prosport/data=!4m7!3m6!1s0x94cc354c41bab2a7:0x8041e7e0e5d6a289!8m2!3d-23.2625152!4d-45.911447!16s%2Fg%2F11btxcv7fw!19sChIJp7K6QUw1zJQRiaLW5eDnQYA?authuser=0&hl=pt-BR&rclk=1,Google Maps público,centros esportivos São José dos Campos - SP
Centro Poliesportivo José Carlos das Neves,+55 12 3907-6739,551239076739,sim,sjc.sp.gov.br,Ginásio poliesportivo,,São José dos Campos,"Av. Vinte e Três de Dezembro, 400 - Jardim das Cerejeiras, São José dos Campos - SP, 12225-480, Brasil","4,3",43,Aberto · Fecha 22:00,https://www.google.com/maps/place/Centro+Poliesportivo+Jos%C3%A9+Carlos+das+Neves/data=!4m7!3m6!1s0x94cc4ce2034f71a5:0x681edd18bdbbdf45!8m2!3d-23.1927042!4d-45.7914374!16s%2Fg%2F1q64qy6hm!19sChIJpXFPA-JMzJQRRd-7vRjdHmg?authuser=0&hl=pt-BR&rclk=1,Google Maps público,centros esportivos São José dos Campos - SP
Centro Esportivo Vila Letônia,+55 12 3923-8604,551239238604,sim,,Ginásio poliesportivo,centro esportivo,São José dos Campos,"R. Roseira, 34 - Vila Letonia, São José dos Campos - SP, 12231-130, Brasil","4,7",47,,https://www.google.com/maps/place/Centro+Esportivo+Vila+Let%C3%B4nia/data=!4m7!3m6!1s0x94cc4b21e939d6f7:0xe103abe2d70618f9!8m2!3d-23.2108247!4d-45.8865419!16s%2Fg%2F11h5wbqy2c!19sChIJ99Y56SFLzJQR-RgG1-KrA-E?authuser=0&hl=pt-BR&rclk=1,Google Maps público,centros esportivos São José dos Campos - SP
Centro Esportivo Palmeiras de São José,+55 12 3937-7151,551239377151,sim,,Quadra de esportes,centro esportivo,São José dos Campos,"R. Cidade de Bento Gonçalves, 254 - Palmeiras de São José, São José dos Campos - SP, 12237-832, Brasil","4,6",46,Aberto · Fecha 21:00,https://www.google.com/maps/place/Centro+Esportivo+Palmeiras+de+S%C3%A3o+Jos%C3%A9/data=!4m7!3m6!1s0x94cc35688174a9bd:0xcc4e716368074be!8m2!3d-23.2373136!4d-45.9132893!16s%2Fg%2F11clytpn_5!19sChIJval0gWg1zJQRvnSANhbnxAw?authuser=0&hl=pt-BR&rclk=1,Google Maps público,centros esportivos São José dos Campos - SP
Casa do Jovem,+55 12 3922-4149,551239224149,sim,,Ginásio poliesportivo,,São José dos Campos,"Av. Olivo Gomes, 381 - Santana, São José dos Campos - SP, 12212-000, Brasil","4,6",46,Aberto · Fecha 20:30,https://www.google.com/maps/place/Casa+do+Jovem/data=!4m7!3m6!1s0x94cc49f100de74e1:0x1c0364a403956865!8m2!3d-23.1687225!4d-45.8919981!16s%2Fg%2F1q66247q_!19sChIJ4XTeAPFJzJQRZWiVA6RkAxw?authuser=0&hl=pt-BR&rclk=1,Google Maps público,centros esportivos São José dos Campos - SP
