place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
4f040d3d80ed5371,ATOM Inteligência Imobiliária Ltda.,· 603 Avenida Independência,-23.037425,-45.577192,,,,"4,9",125,Imobiliária,,https://www.google.com/maps/place/ATOM+Intelig%C3%AAncia+Imobili%C3%A1ria+Ltda./data=!4m7!3m6!1s0x94ccf99110692c9d:0xc003bd28b865d8e3!8m2!3d-23.037425!4d-45.577192!16s%2Fg%2F11t_zwy_77!19sChIJnSxpEJH5zJQR49hluCi9A8A?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|condomínios residenciais Taubaté - SP
0445e4c787203c7a,Residencial Taubaté Village,,-23.0269002,-45.5806451,,,,"4,5",243,Complexo de condomínio,,https://www.google.com/maps/place/Residencial+Taubat%C3%A9+Village/data=!4m7!3m6!1s0x94ccf85fb99ffe71:0x24ba091366ab2319!8m2!3d-23.0269002!4d-45.5806451!16s%2Fg%2F11bzq3ps64!19sChIJcf6fuV_4zJQRGSOrZhMJuiQ?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|condomínios residenciais Taubaté - SP
fef5a0531322e797,Condomínio Residencial Taubaté Privilege - Tremembé,,-22.9983328,-45.541941,,,,"4,5",158,Complexo de condomínio,,https://www.google.com/maps/place/Condom%C3%ADnio+Residencial+Taubat%C3%A9+Privilege+-+Trememb%C3%A9/data=!4m7!3m6!1s0x94ccf994fd363c35:0xa02554fe8ba406b1!8m2!3d-22.9983328!4d-45.541941!16s%2Fg%2F11b7q9fc24!19sChIJNTw2_ZT5zJQRsQaki_5UJaA?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|condomínios residenciais Taubaté - SP
33259cd4605424b8,Condominio Residencial Veredas,,-22.9950839,-45.5526258,,,,"4,6",199,Complexo de condomínio,,https://www.google.com/maps/place/Condominio+Residencial+Veredas/data=!4m7!3m6!1s0x94ccf9c61370b445:0x125fe325ed6ec386!8m2!3d-22.9950839!4d-45.5526258!16s%2Fg%2F11ckqry3nb!19sChIJRbRwE8b5zJQRhsNu7SXjXxI?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|condomínios residenciais Taubaté - SP
52ca135e2a88a81f,Condomínio Residencial Jardins,"· Av. Arnaldo Felipe Sbruzzi, 77",-23.0366333,-45.6059323,,,,"4,4",72,Complexo de condomínio,,https://www.google.com/maps/place/Condom%C3%ADnio+Residencial+Jardins/data=!4m7!3m6!1s0x94cc57d344c6a3c1:0xf47aa8ebb9faae55!8m2!3d-23.0366333!4d-45.6059323!16s%2Fg%2F11c0vkb6wv!19sChIJwaPGRNNXzJQRVa76ueuoevQ?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|condomínios residenciais Taubaté - SP
ecedeea77d4a6d03,Condomínio Residencial Via Schneider,,-23.0243937,-45.5763187,,,,"4,7",32,,,https://www.google.com/maps/place/Condom%C3%ADnio+Residencial+Via+Schneider/data=!4m7!3m6!1s0x94ccf9e93a9c117b:0x17d50c2aa430d2f3!8m2!3d-23.0243937!4d-45.5763187!16s%2Fg%2F11rs2jmnrh!19sChIJexGcOun5zJQR89IwpCoM1Rc?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|condomínios residenciais Taubaté - SP
584cdbb79857f9ab,Residencial São José,,-22.9961779,-45.5761777,,,,"4,6",177,Complexo de condomínio,,https://www.google.com/maps/place/Residencial+S%C3%A3o+Jos%C3%A9/data=!4m7!3m6!1s0x94ccf82489d0baf7:0x6f5907d706555218!8m2!3d-22.9961779!4d-45.5761777!16s%2Fg%2F11ckr51vyd!19sChIJ97rQiST4zJQRGFJVBtcHWW8?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|condomínios residenciais Taubaté - SP
a6bebdf73f3e3bc0,Condomínio Residencial Rivera,,-23.0070713,-45.525014,,,,"4,6",77,Complexo residencial,,https://www.google.com/maps/place/Condom%C3%ADnio+Residencial+Rivera/data=!4m7!3m6!1s0x94ccfa2a9cf3a82b:0xaaf047113324b2c7!8m2!3d-23.0070713!4d-45.525014!16s%2Fg%2F11fzb1l2vk!19sChIJK6jznCr6zJQRx7IkMxFH8Ko?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|condomínios residenciais Taubaté - SP
bfcd461fc95654a7,Residencial Atlantic,"· Av. Helvino Moraes, 1149",-23.013039,-45.5444087,,,,"4,4",77,Complexo de condomínio,,https://www.google.com/maps/place/Residencial+Atlantic/data=!4m7!3m6!1s0x94ccf9a1d6d96dc1:0xd4d898d3ac47003d!8m2!3d-23.013039!4d-45.5444087!16s%2Fg%2F11b7gmxss4!19sChIJwW3Z1qH5zJQRPQBHrNOY2NQ?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|condomínios residenciais Taubaté - SP
513064e4e87f53ce,Condomínio Residencial Fortaleza,"· Av. Prof. Ernesto de Oliveira Filho, 741",-23.0334935,-45.5857451,,,,"4,7",35,Complexo de condomínio,,https://www.google.com/maps/place/Condom%C3%ADnio+Residencial+Fortaleza/data=!4m7!3m6!1s0x94ccf9acfbf6f18f:0x3c4647d1538c92b!8m2!3d-23.0334935!4d-45.5857451!16s%2Fg%2F11fm5mj8dj!19sChIJj_H2-6z5zJQRK8k4FX1kxAM?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|condomínios residenciais Taubaté - SP
5910599552873825,Residencial Solare,,-23.0495619,-45.5745848,,,,"4,6",78,,,https://www.google.com/maps/place/Residencial+Solare/data=!4m7!3m6!1s0x94ccf8c396f6ddc3:0xca9391fecff963e7!8m2!3d-23.0495619!4d-45.5745848!16s%2Fg%2F11c565bsq9!19sChIJw932lsP4zJQR52P5z_6Rk8o?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|condomínios residenciais Taubaté - SP
