place_id,nome,endereco,latitude,longitude,telefone,horario,website,avaliacao,total_reviews,categoria,status_negocio,google_maps_url,fonte
6c30d17ae70b6bb3,Academia Gold Lotus Sport Center,"Praça Dona Mariquinha Sciascia, 91 - Tremembé, São Paulo - SP, 02372-050, Brasil",-23.4590797,-46.6238327,+55 11 2953-6202,Mostrar horário de funcionamento da semana,instagram.com,"4,5",45,Escola de natação,Aberto · Fecha 22:30,https://www.google.com/maps/place/Academia+Gold+Lotus+Sport+Center/data=!4m7!3m6!1s0x94cef6fac8b32859:0xc7c1355dc3644cb!8m2!3d-23.4590797!4d-46.6238327!16s%2Fg%2F11cmsdqgjz!19sChIJWSizyPr2zpQRy0Q23FUTfAw?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinhas de natação Tremembé - SP
5557bd8118641461,Biofit Academia Tremembé - Unidade Benvirá,"· Av. Luíz Gonzaga das Neves, 590",-22.9729077,-45.5501284,,,,"4,4",62,Academia,,https://www.google.com/maps/place/Biofit+Academia+Trememb%C3%A9+-+Unidade+Benvir%C3%A1/data=!4m7!3m6!1s0x94ccf79cafae7567:0xd7a7dd09d457af86!8m2!3d-22.9729077!4d-45.5501284!16s%2Fg%2F11sk0zlrhg!19sChIJZ3Wur5z3zJQRhq9X1Andp9c?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinhas de natação Tremembé - SP
593669a54af27fcf,Biofit Academia Tremembé - Unidade NOVA no centro de Tremembé,,-22.9639431,-45.5458563,,,,"4,5",28,Academia,,https://www.google.com/maps/place/Biofit+Academia+Trememb%C3%A9+-+Unidade+NOVA+no+centro+de+Trememb%C3%A9/data=!4m7!3m6!1s0x94ccf7ccb241131b:0x9f3aceef76133945!8m2!3d-22.9639431!4d-45.5458563!16s%2Fg%2F11ynd6nh43!19sChIJGxNBssz3zJQRRTkTdu_OOp8?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolinhas de natação Tremembé - SP
d4b9250b3e73c124,Campos Do Conde 3,"· Condomínio Campos do Conde 3 - Av. Tom Jobim, 401",-22.9932803,-45.5496186,,,,"4,7",111,Complexo de condomínio,,https://www.google.com/maps/place/Campos+Do+Conde+3/data=!4m7!3m6!1s0x94ccf9c13917c653:0x77b896862c507648!8m2!3d-22.9932803!4d-45.5496186!16s%2Fg%2F11bw6157vf!19sChIJU8YXOcH5zJQRSHZQLIaWuHc?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|condomínios residenciais Tremembé - SP
93a3ca8a16bd1e5e,Campos do Conde II Louvre,,-22.9877508,-45.541796,,,,"4,6",438,Complexo de condomínio,,https://www.google.com/maps/place/Campos+do+Conde+II+Louvre/data=!4m7!3m6!1s0x94ccf9e86041daeb:0xfb78c2f9f75517b2!8m2!3d-22.9877508!4d-45.541796!16s%2Fg%2F11c2j8zjg1!19sChIJ69pBYOj5zJQRshdV9_nCePs?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|condomínios residenciais Tremembé - SP
2ea78eb45197eb79,Condomínio Avalon,,-22.9941036,-45.5534502,,,,"4,4",47,Complexo de condomínio,,https://www.google.com/maps/place/Condom%C3%ADnio+Avalon/data=!4m7!3m6!1s0x94ccf9c5f5ddce81:0x95e5f20a0bf48755!8m2!3d-22.9941036!4d-45.5534502!16s%2Fg%2F11cnxshrk8!19sChIJgc7d9cX5zJQRVYf0Cwry5ZU?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|condomínios residenciais Tremembé - SP
3a0792c933cef68e,Condomínio Residencial Sol Nascente,"· Av. Luíz Gonzaga das Neves, 1382",-22.9797982,-45.5501107,,,,"4,4",34,Complexo de condomínio,,https://www.google.com/maps/place/Condom%C3%ADnio+Residencial+Sol+Nascente/data=!4m7!3m6!1s0x94ccf9d961c0e83f:0x25dd8ed971ac0d48!8m2!3d-22.9797982!4d-45.5501107!16s%2Fg%2F1ptwtd1w3!19sChIJP-jAYdn5zJQRSA2scdmO3SU?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|condomínios residenciais Tremembé - SP
c23a3b4b4841f480,Condomínio Vale do Sol,,-22.9846077,-45.5498942,,,,"4,7",51,,,https://www.google.com/maps/place/Condom%C3%ADnio+Vale+do+Sol/data=!4m7!3m6!1s0x94ccf653ff15a537:0x4c56c690ffe2021e!8m2!3d-22.9846077!4d-45.5498942!16s%2Fg%2F1tdl77cq!19sChIJN6UV_1P2zJQRHgLi_5DGVkw?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|condomínios residenciais Tremembé - SP
bdb3b3a76461adc3,Creche Eliza Rossi Lima,,-22.9710972,-45.5415193,,,,"4,8",4,Jardim de infância,,https://www.google.com/maps/place/Creche+Eliza+Rossi+Lima/data=!4m7!3m6!1s0x94ccf74ae0a0c615:0x660c44981bed8932!8m2!3d-22.9710972!4d-45.5415193!16s%2Fg%2F11s0h7cjck!19sChIJFcag4Er3zJQRMontG5hEDGY?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolas municipais Tremembé - SP
a001ebdf308badeb,E.E. Nicolau Couto Ruiz,"R. Nicolau Couto Ruiz, 500 - Centro, Tremembé - SP, 12120-000, Brasil",-22.9731961,-45.5094088,+55 12 3608-4132,Mostrar horário de funcionamento da semana,instagram.com,,,Escola pública,Aberto · Fecha 17:00,https://www.google.com/maps/place/E.E.+Nicolau+Couto+Ruiz/data=!4m7!3m6!1s0x94ccf63b30962a19:0xcc7fe241304e2ae9!8m2!3d-22.9731961!4d-45.5094088!16s%2Fg%2F1tdygrb9!19sChIJGSqWMDv2zJQR6SpOMEHif8w?authuser=0&hl=pt-BR&rclk=1,scraper_gmaps|escolas municipais Tremembé - SP
